ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gills_1	gills_2	gills_3	gills_4	gills_5	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	Expression
XR_003475688.1	46969.3040137442	-11.0380222895067	0.370885284906405	-29.7612839837856	1.23908141993635e-194	2.27036888574937e-190	117143	111146	74575	165213	103079	37	35	38	37	30	56922.9771435908	92138.8071971054	55132.9900588405	136131.472943645	129142.07249158	42.2280058154826	35.0356883750273	47.9865149480176	63.5663082305177	35.9037853113549	Up_gills_Down_hemocyte
XM_027355829.1	2741.50970859698	-6.98076314905728	0.271501316327504	-25.7117101437424	8.64654189586685e-146	7.92152935789841e-142	9968	5605	7455	7994	4479	26	42	48	21	39	4843.72293835153	4646.48313335411	5511.4507661905	6586.86056612673	5611.49548103675	29.6737338162851	42.0428260500327	60.6145451974959	36.0781749416452	46.6749209047613	Up_gills_Down_hemocyte
XM_027355828.1	3062.10694144057	-7.17470872827781	0.285287961098946	-25.1490062904877	1.44901583959025e-139	8.8501057429374e-136	10878	5873	8325	8896	5404	25	37	30	28	50	5285.91674592576	4868.65217523438	6154.63817954874	7330.08651441874	6770.37766901598	28.5324363618126	37.0377277107431	37.8840907484349	48.1042332555269	59.8396421855914	Up_gills_Down_hemocyte
XM_027366290.1	9677.19234424959	-11.9410066832787	0.478758536276675	-24.9416057959915	2.63366952517273e-137	1.2064181677435e-133	42660	24704	25150	12632	21181	6	2	6	2	4	20729.6569572709	20479.3433231721	18593.2913171953	10408.4591782978	26536.5228363115	6.84778472683502	2.00203933571584	7.57681814968699	3.43601666110906	4.78717137484731	Up_gills_Down_hemocyte
XM_027356265.1	22068.185009279	-12.7021841554849	0.519692963535064	-24.4417089449931	6.16516444552019e-132	2.25928616270533e-128	83782	72164	67329	19441	43357	7	12	5	2	2	40711.9577870152	59823.1594710733	49776.0521310315	16018.9087147948	54319.6270532061	7.98908218130752	12.0122360142951	6.31401512473916	3.43601666110906	2.39358568742366	Up_gills_Down_hemocyte
XM_027367438.1	6542.40657953237	-8.33566683916658	0.34283796614765	-24.3137215309948	1.40356864724141e-130	4.28626472056738e-127	25398	12868	18587	10416	15875	36	44	39	27	18	12341.5805766706	10667.4299661018	13741.2924736664	8582.52935411259	19888.9240369409	41.0867083610101	44.0448653857486	49.2493179729654	46.3862249249724	21.5422711868129	Up_gills_Down_hemocyte
XM_027368237.1	15942.3496882279	-10.6688751717295	0.443959298323255	-24.0312010853782	1.312751676273e-127	3.43622128062145e-124	39704	45721	47974	44074	24222	30	12	16	16	4	19293.2559735463	37902.2043425661	35466.9804235041	36315.8984978071	30346.4263321438	34.2389236341751	12.0122360142951	20.2048483991653	27.4881332888725	4.78717137484731	Up_gills_Down_hemocyte
XM_027364713.1	5710.96433959512	-8.99739245880572	0.385143101522513	-23.3611673771075	1.06125272297208e-120	2.43066670537718e-117	14073	15025	12927	15585	12216	26	24	13	19	8	6838.45434504625	12455.5591576531	9556.87780745064	12841.6589846241	15304.7619549777	29.6737338162851	24.0244720285901	16.4164393243218	32.6421582805361	9.57434274969463	Up_gills_Down_hemocyte
XM_027365010.1	36657.4783861701	-14.0912268540391	0.617943509142178	-22.8034223930929	4.24029719875829e-115	8.63277395253868e-112	108595	82032	137464	30830	94785	6	2	0	3	6	52769.2709159595	68003.6225504557	101626.568494113	25403.166281422	118750.971013634	6.84778472683502	2.00203933571584	0	5.1540249916636	7.18075706227097	Up_gills_Down_hemocyte
XM_027358254.1	6424.34370147071	4.74784976123364	0.211165054100277	22.4840695420133	5.94334448162946e-112	1.08899900936897e-108	976	413	573	652	422	10373	12254	9757	8388	9275	474.265006804885	342.372441405039	423.616537763535	537.232060184467	528.700846840256	11838.6784952433	12266.495009931	12321.169114416	14410.6538766914	11100.2536254272	Down_gills_Up_hemocyte
XM_027376661.1	424539.674111264	6.53694122021997	0.29466807953923	22.1840832927738	4.89302734992965e-109	8.15044910297826e-106	17782	5995	17594	12285	6778	778965	879286	670791	552957	529657	8640.75855635703	4969.78882862763	13007.1716673851	10122.5396616046	8491.78753526838	889030.771623174	880182.579672121	847076.903907781	949984.732438443	633889.707221876	Down_gills_Up_hemocyte
XM_027356268.1	10779.4929879294	-12.2228781527819	0.553936317784943	-22.0654933795607	6.78246915623608e-108	1.03562651958095e-104	57636	34752	27631	9525	18104	7	7	2	1	2	28006.9036190639	28809.0244157577	20427.4843890824	7848.36713689731	22681.5168985687	7.98908218130752	7.00713767500546	2.52560604989566	1.71800833055453	2.39358568742366	Up_gills_Down_hemocyte
XM_027379114.1	4762.20248539541	-7.90441621405201	0.361110949660681	-21.8891623792616	3.29513030317522e-106	4.64435942654459e-103	12283	8102	19055	13543	7576	21	43	24	32	39	5968.64454772992	6716.4685720669	14087.2829443005	11159.1009065617	9491.55833095209	23.9672465439226	43.0438457178907	30.307272598748	54.976266577745	46.6749209047613	Up_gills_Down_hemocyte
XM_027356269.1	15109.8540000243	-12.5338737970833	0.578763809547934	-21.6562846368597	5.30319523977972e-104	6.9407461698917e-101	71115	53173	42186	13879	23797	2	12	4	0	4	34556.7171710342	44079.8300891772	31187.9358849782	11435.9566921782	29813.9669484777	2.28259490894501	12.0122360142951	5.05121209979133	0	4.78717137484731	Up_gills_Down_hemocyte
XM_027360383.1	3099.19946119057	-7.48060065817606	0.346102371266147	-21.6138382144271	1.33110445020003e-103	1.62598845606767e-100	8987	5393	8496	9690	6158	25	33	37	27	16	4367.02829524129	4470.73747335927	6281.05777458812	7984.32310304829	7715.02325792013	28.5324363618126	33.0336490393114	46.7237119230698	46.3862249249724	19.1486854993893	Up_gills_Down_hemocyte
XM_027356274.1	12271.4369254177	-12.5657957378358	0.585864468745197	-21.4482980419501	4.73667921444766e-102	5.42438582789528e-99	60762	38381	37048	13131	18472	4	6	7	0	0	29525.9122371705	31817.425359726	27389.4336667774	10819.6229789605	23142.5640825432	4.56518981789001	6.00611800714753	8.83962117463482	0	0	Up_gills_Down_hemocyte
XM_027363492.1	98266.71065061	6.4896233920358	0.30340936537108	21.3890015692125	1.69140256728391e-101	1.82303348472606e-98	4912	1251	3931	2906	1668	185258	207259	156540	117760	127805	2386.87470637868	1037.065191762	2906.17209415088	2394.47295536206	2089.7464751885	211434.483820667	207470.335340565	197679.185525334	202312.661006102	152956.10939059	Down_gills_Up_hemocyte
XM_027360384.1	2958.82560381504	-7.71782881080397	0.363515100903125	-21.231109221129	4.92854957486257e-100	5.01698965890038e-97	8477	5442	8061	9146	5845	24	40	27	15	10	4119.2053920953	4511.35793250902	5959.464067909	7536.08040252628	7322.88258242013	27.3911389073401	40.0407867143169	34.0956816735915	25.770124958318	11.9679284371183	Up_gills_Down_hemocyte
XM_027381155.1	1189.08215267037	-7.34734193038851	0.35183600932471	-20.8828594449173	7.66638037502141e-97	7.39321513744828e-94	5315	2771	2262	2393	2630	14	20	10	8	8	2582.70339259013	2297.1284143665	1672.28727473144	1971.77349696538	3294.9839506869	15.978164362615	20.0203933571584	12.6280302494783	13.7440666444363	9.57434274969463	Up_gills_Down_hemocyte
XM_027357523.1	9310.08274163713	-10.2837622752201	0.496705884330879	-20.7039268098736	3.19266817155613e-95	2.92496294537115e-92	54323	14813	31394	17404	13407	4	11	8	23	10	26397.026603137	12279.8134976582	23209.4547758262	14340.4705144946	16796.9010748515	4.56518981789001	11.0112163464371	10.1024241995827	39.5141916027542	11.9679284371183	Up_gills_Down_hemocyte
XM_027369484.1	4221.84456108356	-5.78791033821008	0.279736612691931	-20.69057132891	4.2119301078146e-95	3.67500930311842e-92	11958	11693	15064	6987	7240	146	170	109	83	111	5810.71818788198	9693.36793547004	11136.7530975042	5757.11718482956	9070.60220645368	166.629428352985	170.173343535847	137.645529719314	142.594691436026	132.844005652013	Up_gills_Down_hemocyte
XM_027371897.1	38716.992961726	-13.9402377013855	0.678892391236119	-20.5337957551759	1.07444938143348e-93	8.94869818909345e-91	53939	42427	109742	148979	97279	8	0	2	6	3	26210.4305348859	35171.5147009482	81131.8081801848	122755.053825493	121875.567961548	9.13037963578003	0	2.52560604989566	10.3080499833272	3.59037853113549	Up_gills_Down_hemocyte
XM_027381750.1	14412.5234115889	-8.66919214232055	0.426569906573773	-20.3230279696752	8.045741727847e-92	6.4096576382322e-89	34581	32391	50466	33619	28022	37	85	42	19	116	16803.8506150817	26851.7814759095	37309.3057500429	27701.2340971497	35107.2396449234	42.2280058154826	85.0866717679234	53.0377270478089	32.6421582805361	138.827969870572	Up_gills_Down_hemocyte
XM_027377418.1	3072.98811038264	-10.9985789906359	0.541307801539675	-20.3185303432759	8.81767754551561e-92	6.73192940277011e-89	11114	6938	7461	5904	7328	2	3	0	5	2	5400.59557953841	5751.52542001977	5515.88654145504	4864.75166154769	9180.85262001279	2.28259490894501	3.00305900357377	0	8.59004165277266	2.39358568742366	Up_gills_Down_hemocyte
XM_027356275.1	162796.997499897	-15.0786700237568	0.747162484592429	-20.1812461609098	1.43092994293326e-90	1.04875717377465e-87	259668	496234	710950	461864	147027	1	6	11	16	0	126179.760027675	411372.508688107	525602.404054076	380564.644547605	184202.131299484	1.1412974544725	6.00611800714753	13.8908332744261	27.4881332888725	0	Up_gills_Down_hemocyte
XM_027371784.1	2525.35513289211	-9.17851037089895	0.458454621589014	-20.0205427945868	3.64726161418047e-89	2.57033748294726e-86	5798	5777	11934	5199	3589	10	4	5	6	10	2817.40625968721	4789.06923485935	8822.75700116933	4283.84889708442	4496.46288935943	11.412974544725	4.00407867143169	6.31401512473916	10.3080499833272	11.9679284371183	Up_gills_Down_hemocyte
XM_027368358.1	1585.34255557443	-7.2280278875374	0.365949960611914	-19.7514104809609	7.80084246028979e-87	5.29388282962555e-84	3426	4088	5052	3892	2994	18	14	13	20	18	1664.7867964278	3388.90687763632	3734.92277274237	3206.9128500582	3751.01975222684	20.5433541805051	14.0142753500109	16.4164393243218	34.3601666110906	21.5422711868129	Up_gills_Down_hemocyte
XM_027353243.1	4192.03120574223	-9.85447812498323	0.501679236377853	-19.6429858172585	6.63783129211365e-86	4.34374938447852e-83	6042	11817	13832	9270	9002	4	4	10	6	12	2935.97251138844	9796.16256678778	10225.9405765187	7638.25337102762	11278.116168853	4.56518981789001	4.00407867143169	12.6280302494783	10.3080499833272	14.3615141245419	Up_gills_Down_hemocyte
XM_027377415.1	126107.871431257	-20.0732342781001	1.02360451006676	-19.6103417684149	1.26181189603059e-85	7.97247564516153e-83	296630	323757	629149	284724	118781	0	0	0	0	0	144140.603451366	268390.979447873	465127.261984974	234605.615190126	148814.254238229	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027354076.1	5793.49456265441	-7.31597294709487	0.374696818413619	-19.5250468847561	6.72552107768055e-85	4.10772409021135e-82	9937	14002	17929	11439	14732	65	78	62	47	42	4828.65919325834	11607.5034492818	13254.8357863219	9425.45634424865	18456.9215062812	74.1843345407127	78.0795340929179	78.2937875467655	80.746391536063	50.2652994358968	Up_gills_Down_hemocyte
XM_027363774.1	1776.20380301222	-8.16640851049422	0.420447359337005	-19.4231413972291	4.91871352161235e-84	2.90727702762913e-81	5539	4386	5521	4219	3046	16	21	8	5	2	2691.55109906994	3635.94558838378	4081.65253925389	3476.35285570286	3816.1677238754	18.2607592715601	21.0214130250164	10.1024241995827	8.59004165277266	2.39358568742366	Up_gills_Down_hemocyte
XM_027356825.1	1322.94967709827	-7.40793854616368	0.381675851215421	-19.4089789086042	6.48020632383333e-84	3.71052563973744e-81	5812	3360	4193	1841	2335	20	14	14	10	5	2824.2092413422	2785.40291312574	3099.86761403578	1516.93899202393	2925.39449614218	22.8259490894501	14.0142753500109	17.6792423492696	17.1800833055453	5.98396421855914	Up_gills_Down_hemocyte
XR_003477648.1	9441.24176505442	-12.7805153689811	0.660485564746748	-19.3501812168773	2.03126731223189e-83	1.12784578672803e-80	73922	10651	22753	10866	19056	4	3	0	2	2	35920.7149928593	8829.56143681616	16821.1990990117	8953.31835270616	23874.2259179809	4.56518981789001	3.00305900357377	0	3.43601666110906	2.39358568742366	Up_gills_Down_hemocyte
