ID	log2FoldChange
XR_003475688.1	-11.0380222895067
XM_027355829.1	-6.98076314905728
XM_027355828.1	-7.17470872827781
XM_027366290.1	-11.9410066832787
XM_027356265.1	-12.7021841554849
XM_027367438.1	-8.33566683916658
XM_027368237.1	-10.6688751717295
XM_027364713.1	-8.99739245880572
XM_027365010.1	-14.0912268540391
XM_027358254.1	4.74784976123364
XM_027376661.1	6.53694122021997
XM_027356268.1	-12.2228781527819
XM_027379114.1	-7.90441621405201
XM_027356269.1	-12.5338737970833
XM_027360383.1	-7.48060065817606
XM_027356274.1	-12.5657957378358
XM_027363492.1	6.4896233920358
XM_027360384.1	-7.71782881080397
XM_027381155.1	-7.34734193038851
XM_027357523.1	-10.2837622752201
XM_027369484.1	-5.78791033821008
XM_027371897.1	-13.9402377013855
XM_027381750.1	-8.66919214232055
XM_027377418.1	-10.9985789906359
XM_027356275.1	-15.0786700237568
XM_027371784.1	-9.17851037089895
XM_027368358.1	-7.2280278875374
XM_027353243.1	-9.85447812498323
XM_027377415.1	-20.0732342781001
XM_027354076.1	-7.31597294709487
XM_027363774.1	-8.16640851049422
XM_027356825.1	-7.40793854616368
XR_003477648.1	-12.7805153689811
XM_027363799.1	-12.7047611700587
XM_027375663.1	-16.6097738877971
XM_027368614.1	-9.45632118286072
XM_027363524.1	-9.58242865242514
XM_027350808.1	-15.8004393448205
XM_027370944.1	-14.0969962429324
XM_027372464.1	-15.4596522894629
XM_027351673.1	-7.93794657306116
XR_003475469.1	-12.450668938615
XM_027382188.1	-7.7780268977894
XM_027381617.1	-9.28582320053628
XM_027356273.1	-12.7187642244648
XM_027363761.1	-6.6317077507431
XM_027377198.1	-11.5684596983297
XM_027362283.1	-11.8781452416136
XM_027374913.1	-14.4485980255474
XM_027373288.1	-18.8459900917255
XM_027364731.1	6.4129692192118
XM_027374892.1	-11.318904599748
XM_027381501.1	-8.34442623746272
XM_027356802.1	3.98926815755819
XM_027382676.1	-8.13655990609354
XM_027383259.1	-6.67814367404091
XM_027376719.1	-7.62848345825051
XR_003477463.1	-7.94420871743803
XM_027372337.1	-7.85900257379841
XM_027383258.1	-6.3392963195217
XM_027376200.1	-7.2667461575651
XM_027369485.1	-5.93940686251512
XM_027366196.1	-7.37022752671509
XM_027358547.1	-6.06967519288105
XM_027368762.1	-8.37162239602128
XM_027372166.1	-9.43631158577201
XM_027356811.1	-6.73975927682444
XM_027378026.1	-14.0100893052404
XM_027356272.1	-12.3970350156279
XM_027369419.1	-5.02562452258333
XM_027365739.1	-11.9224569193849
XM_027353575.1	-8.05404499903166
XM_027376753.1	-7.08118596117642
XM_027369777.1	-13.1128865184717
XM_027366177.1	-11.2076694756141
XM_027378527.1	-9.0679809759075
XM_027373738.1	4.85458584408072
XM_027374863.1	-11.003982402163
XM_027373625.1	-16.7666530621167
XM_027383307.1	-10.3293989644447
XM_027356112.1	-11.944228531786
XM_027367066.1	-8.02164818464857
XM_027352808.1	-11.5392945459362
XM_027355334.1	6.11563270748898
XM_027356267.1	-12.110530841375
XM_027376198.1	-7.43448757482869
XM_027381683.1	-10.6191357219427
XM_027354253.1	-8.29556133434992
XM_027372329.1	-6.08736891902803
XM_027383335.1	-12.9295381524542
XM_027374125.1	-9.74768842388418
XM_027351285.1	-6.93278306891866
XM_027367764.1	-8.60393401208649
XM_027363157.1	-4.8170514416442
XM_027354220.1	-8.5626299075199
XM_027356270.1	-12.5699210555692
XM_027379121.1	-8.13783157555735
XM_027376759.1	-4.5542294712894
XM_027358624.1	-6.57734526407389
XM_027375296.1	-9.93330765659397
XM_027379072.1	-11.7684936615336
XR_003477154.1	-18.7766494895847
XM_027370241.1	-7.49214535307031
XM_027369751.1	5.37587449727932
XM_027369648.1	-10.0910890503582
XM_027374882.1	-11.4401668811783
XM_027362209.1	-9.61442735651775
XM_027368408.1	-6.97678127099151
XM_027373414.1	-18.7672137244219
XM_027352461.1	-7.93142341551187
XM_027359019.1	-12.2825390919541
XM_027376692.1	-6.85758501648155
XM_027365740.1	-11.9316927898906
XM_027382677.1	-7.51753461079063
XM_027363190.1	-7.62738431501876
XM_027378660.1	-10.4074917390969
XM_027361656.1	5.45969005738259
XM_027354227.1	-9.37570219507489
XM_027362353.1	-5.91394285257184
XM_027355690.1	-10.847891892883
XM_027374599.1	-6.03563614479217
XM_027368407.1	-6.91594915709446
XM_027354044.1	-7.78377618604775
XR_003476156.1	-10.3940443238484
XM_027354863.1	-9.63199018193442
XM_027372328.1	-6.06039733998488
XM_027380004.1	-7.1190466923984
XM_027372078.1	-6.53995463385045
XM_027350794.1	-17.4004349708505
XM_027354236.1	-8.33931948640968
XM_027365498.1	-8.17678431166161
XM_027374870.1	-8.71734139634775
XM_027350793.1	-12.6742876319337
XM_027376102.1	-8.49460973564003
XM_027366180.1	-10.1656739412707
XM_027354612.1	-7.40457979346692
XM_027367064.1	-8.83156013199939
XM_027354260.1	-8.36981777571006
XM_027367065.1	-8.0157318120368
XM_027360440.1	6.34818123519824
XM_027378021.1	-6.1239170017498
XM_027363192.1	-7.00015515035987
XM_027381368.1	-9.14502518776101
XM_027378659.1	-10.1254567701479
XM_027378424.1	-4.73297665793344
XM_027383311.1	-13.5638012454221
XM_027359256.1	-15.4415303729244
XM_027352708.1	-7.83656805292808
XM_027371895.1	-5.11685380930285
XM_027366245.1	3.7329491763398
XM_027362434.1	4.0778303576307
XM_027381156.1	-8.08607401093093
XM_027370325.1	-13.4624978743391
XM_027380344.1	-15.470057681508
XM_027356950.1	-10.7155273552775
XM_027371898.1	-8.49670913197176
XM_027357961.1	-8.50612066842117
XM_027378347.1	-15.4571359467561
XM_027369750.1	6.08212887623681
XM_027361437.1	-7.22369799693541
XM_027379144.1	-9.13166777740401
XM_027379167.1	-8.232695269468
XM_027380677.1	-6.61992363827468
XM_027365496.1	-13.0567942521928
XM_027353007.1	4.05363851377935
XM_027372331.1	-5.50629532046233
XM_027367284.1	-7.07651364019441
XM_027356531.1	-11.6573798845692
XM_027363229.1	-6.08133218106663
XM_027370052.1	-7.10963135049288
XM_027382145.1	-7.13048836944214
XM_027377795.1	-16.9337564189916
XR_003477328.1	-12.1948295368831
XM_027370845.1	-7.95073742208355
XM_027376468.1	4.3264578671666
XM_027359011.1	-7.65909249846967
XM_027360937.1	-6.34449704061564
XM_027381569.1	6.02608278667256
XM_027380334.1	-6.34974990981799
XR_003475566.1	-5.66638547983537
XM_027383441.1	-8.02875381109154
XR_003477494.1	-7.99255281373894
XM_027356823.1	-13.3774898810948
XM_027376380.1	5.47658654887399
XM_027372330.1	-6.10612837968507
XM_027377815.1	-4.45699343103965
XM_027370319.1	-15.4252518327216
XM_027378153.1	-7.72586572294649
XM_027370320.1	-15.3689272148925
XM_027373975.1	-9.14235180047145
XM_027355522.1	-9.43977057114248
XM_027363184.1	-14.4430032572244
XM_027353006.1	4.16650601371341
XM_027376677.1	7.4516616567267
XM_027364460.1	5.77421132709414
XM_027358478.1	-15.3808417587803
XM_027365316.1	-15.6627659140247
XM_027375144.1	-11.458475613004
XM_027379273.1	-12.4629741288182
XM_027360136.1	-16.0453606093035
XM_027374629.1	-5.12684271626539
XM_027377444.1	-7.53453547076053
XM_027379166.1	-8.27705970500717
XM_027359240.1	-12.7739523129794
XM_027379583.1	-12.3179157175475
XM_027369178.1	-10.4243998269232
XM_027381160.1	-6.86462580896628
XM_027373871.1	-16.4054311685183
XM_027372332.1	-6.15219414792935
XM_027381468.1	-7.2080784552281
XM_027356799.1	3.91386190546786
XM_027357867.1	-14.6993968523518
XM_027362512.1	-10.3297986960944
XR_003477270.1	-5.49314047749609
XM_027371565.1	-10.8672012922577
XM_027369689.1	-12.4873440913712
XM_027364823.1	6.32932593158048
XR_003476844.1	-15.2874203664691
XM_027382654.1	-6.62035118757203
XM_027351952.1	-7.05603684099145
XR_003475976.1	-14.4957649789193
XM_027371156.1	-12.1859207969125
XM_027371957.1	-6.07961919177144
XM_027367748.1	-15.1312093339009
XM_027381161.1	-7.15466309544023
XM_027373801.1	-10.4797187561738
XM_027366562.1	-15.6449289098064
XM_027383588.1	-6.67448074697868
XM_027379074.1	-11.5142709836165
XM_027378011.1	-10.6800928926871
XM_027377093.1	-6.19535530365491
XM_027365173.1	-6.55805991827087
XM_027366711.1	-11.3380605117656
XM_027375865.1	-7.69639345917744
XM_027357161.1	-4.95898847963654
XM_027377184.1	-6.26333009364827
XM_027381098.1	3.85309951858313
XR_003477519.1	-6.12180203412835
XM_027358655.1	4.92587197051301
XM_027383290.1	-7.30509794150135
XM_027354081.1	-8.01486815578993
XR_003477329.1	-12.6991217580446
XR_003477867.1	-7.00677936567768
XM_027366246.1	3.63979356866721
XM_027352018.1	-9.12439732306428
XM_027353933.1	-11.6984968584022
XM_027365171.1	-11.4832281521563
XM_027377681.1	-11.0735426425609
XM_027353344.1	-10.4920528161487
XM_027377442.1	-8.07978430234172
XM_027355298.1	-8.19216278245719
XM_027364392.1	-6.01996110674908
XM_027354244.1	-9.95940512650784
XM_027370232.1	-7.4004605303585
XM_027358949.1	-12.2983013479341
XM_027357868.1	-14.205241145227
XM_027355549.1	-15.1379622943782
XM_027373421.1	-16.5367360310362
XM_027371569.1	-15.6933460121617
XM_027354213.1	-8.05711410119793
XM_027358787.1	-9.77802780679889
XM_027359731.1	6.53147488241763
XM_027372102.1	3.27007975926704
XM_027365497.1	-8.90559290503065
XM_027361907.1	-13.9788084832067
XM_027354010.1	-6.75112924233008
XM_027356015.1	-5.55791509936395
XM_027351783.1	-7.93838052766501
XM_027353871.1	-7.95632325425282
XM_027375535.1	-7.73838876832643
XM_027383559.1	-8.2267112924267
XM_027355331.1	6.48547652970095
XR_003475753.1	5.70711030719471
XR_003477455.1	-9.1735375186946
XM_027369930.1	-8.76337343409846
XM_027360199.1	-6.61784207019473
XM_027353005.1	4.19322290151945
XM_027352932.1	-7.64239948269879
XM_027366303.1	-15.5671366352195
XM_027355807.1	-3.99517064369498
XM_027365262.1	-6.58790882651654
XM_027381154.1	-7.57970809487782
XM_027382049.1	-4.847973005727
XM_027366870.1	-8.43002353187736
XM_027362739.1	-11.558133607722
XM_027364708.1	-13.5018006122552
XM_027352307.1	5.1439591705033
XM_027356271.1	-12.0038611398054
XM_027353004.1	4.24672627161302
XM_027367765.1	-8.96732851544713
XM_027372030.1	-4.95138953283595
XM_027375881.1	-9.30906672496638
XM_027369122.1	6.41675219695095
XM_027372588.1	-7.3215109832937
XM_027370854.1	5.03260977200861
XM_027365793.1	-13.6357761210397
XM_027373083.1	-9.89044355548541
XM_027372028.1	-5.3229104305975
XM_027363360.1	-7.23098352424097
XM_027361219.1	-4.2101160320128
XM_027353433.1	-11.5623014495839
XM_027353896.1	-8.16545826819878
XM_027368901.1	-8.08055088515988
