ID	padj
XR_003475688.1	2.27036888574937e-190
XM_027355829.1	7.92152935789841e-142
XM_027355828.1	8.8501057429374e-136
XM_027366290.1	1.2064181677435e-133
XM_027356265.1	2.25928616270533e-128
XM_027367438.1	4.28626472056738e-127
XM_027368237.1	3.43622128062145e-124
XM_027364713.1	2.43066670537718e-117
XM_027365010.1	8.63277395253868e-112
XM_027358254.1	1.08899900936897e-108
XM_027376661.1	8.15044910297826e-106
XM_027356268.1	1.03562651958095e-104
XM_027379114.1	4.64435942654459e-103
XM_027356269.1	6.9407461698917e-101
XM_027360383.1	1.62598845606767e-100
XM_027356274.1	5.42438582789528e-99
XM_027363492.1	1.82303348472606e-98
XM_027360384.1	5.01698965890038e-97
XM_027381155.1	7.39321513744828e-94
XM_027357523.1	2.92496294537115e-92
XM_027369484.1	3.67500930311842e-92
XM_027371897.1	8.94869818909345e-91
XM_027381750.1	6.4096576382322e-89
XM_027377418.1	6.73192940277011e-89
XM_027356275.1	1.04875717377465e-87
XM_027371784.1	2.57033748294726e-86
XM_027368358.1	5.29388282962555e-84
XM_027353243.1	4.34374938447852e-83
XM_027377415.1	7.97247564516153e-83
XM_027354076.1	4.10772409021135e-82
XM_027363774.1	2.90727702762913e-81
XM_027356825.1	3.71052563973744e-81
XR_003477648.1	1.12784578672803e-80
XM_027363799.1	1.76953216890343e-80
XM_027375663.1	2.22714499399938e-80
XM_027368614.1	2.80895452337158e-80
XM_027363524.1	1.69103480031935e-79
XM_027350808.1	7.99609701312672e-79
XM_027370944.1	1.51794403500325e-78
XM_027372464.1	4.54164125250135e-77
XM_027351673.1	6.38176416766311e-77
XR_003475469.1	7.62919061097056e-77
XM_027382188.1	1.91663632998328e-76
XM_027381617.1	5.23555997229891e-76
XM_027356273.1	2.98205012978639e-75
XM_027363761.1	1.21346405735923e-74
XM_027377198.1	1.51447448518826e-74
XM_027362283.1	2.36816549067056e-74
XM_027374913.1	1.07035028076545e-73
XM_027373288.1	1.69124238414847e-73
XM_027364731.1	1.02693741652694e-72
