ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gills_1	gills_2	gills_3	gills_4	gills_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356802.1	113337.492631548	11.5561670705214	0.221978257994216	52.0599052129806	0	0	384	214	237	242	220	277291	36319	44668	43915	77299	69.6764540826528	64.8241579808672	63.2359425269703	79.1993465192344	100.388430244835	212171.119160954	230268.736787184	216926.631246533	253569.859292112	220061.255497339	Down_gills_Up_muscle
XM_027356798.1	88924.3719048445	10.4626269718832	0.286479758016312	36.5213481201262	5.08337923280955e-292	4.23547157677692e-288	426	350	508	466	349	234072	23680	32002	37732	65367	77.297316247943	106.020819127586	135.543708032493	152.507832553567	159.252555252034	179101.80353579	150135.292467318	155415.197751221	217868.562696344	186092.240366558	Down_gills_Up_muscle
XM_027356797.1	89265.48542031	10.4404523115729	0.310584053085745	33.6155453180674	9.9442706726751e-248	5.52371088298193e-244	404	336	527	467	382	234492	23528	31943	38270	65796	73.3054360661243	101.779986362483	140.613256167567	152.835102580506	174.31081978876	179423.169429554	149171.586198102	155128.668888421	220975.03165454	187313.553431518	Down_gills_Up_muscle
XM_027361441.1	6819.16728069174	12.1568796680218	0.392035570989841	31.0096342465232	3.99730359611695e-211	1.66527667814232e-207	20	8	12	6	8	11225	2111	3002	2005	7042	3.6289819834715	2.42333300863055	3.20181987478331	1.96362016163391	3.65048837253947	8588.886089277	13384.1048310181	14578.9770529706	11577.082269855	20047.7543203956	Down_gills_Up_muscle
XM_027356801.1	89725.3331456427	11.0288568556	0.365509495199114	30.1739270811337	5.20810438771451e-200	1.73575703033749e-196	345	150	306	265	337	234762	23842	32236	38528	65691	62.5999392148834	45.4374939118228	81.6464068069744	86.726557138831	153.776822693225	179629.761789831	151162.400464772	156551.600359614	222464.750969065	187014.630653381	Down_gills_Up_muscle
XM_027356799.1	308347.466960349	11.926134438558	0.396513438801352	30.0775037401263	9.5414615132151e-199	2.64998191093694e-195	652	464	535	427	551	422398	127708	155205	144433	127184	118.304812661171	140.553314500572	142.747802750756	139.744301502947	251.427386658656	323200.739985606	809690.790980415	753740.883912826	833971.433158091	362078.04394848	Down_gills_Up_muscle
XM_027370370.1	13118.0397649096	12.0415918217712	0.409491642172397	29.4061968099991	4.57594100022605e-190	1.08933544039667e-186	30	38	24	8	11	21033	4836	5480	5260	9628	5.44347297520725	11.5108317909951	6.40363974956662	2.61816021551188	5.01942151224177	16093.5448655468	30661.0757758425	26613.1892905659	30371.796877525	27409.7953133725	Down_gills_Up_muscle
XM_027370790.1	77696.1671248484	12.3683457964027	0.435782574708722	28.3819191363255	3.38080315259198e-177	7.04221296684909e-174	126	123	148	28	84	132749	25935	41903	33027	40960	22.8625864958705	37.2587450076947	39.4891117889941	9.16356075429158	38.3301279116644	101573.811979103	164432.382184962	203498.626066165	190701.394576809	116608.352309487	Down_gills_Up_muscle
XM_027375601.1	3862.08523901843	11.0271300533322	0.391518108825823	28.165057515227	1.56743988214735e-174	2.90220202178927e-171	16	19	14	9	7	7532	869	1668	1255	4209	2.9031855867772	5.75541589549755	3.73545652058053	2.94543024245087	3.19417732597204	5763.16169482712	5509.61018387243	8100.51090085109	7246.50286716612	11982.5330778962	Down_gills_Up_muscle
XM_027369977.1	36993.2522052605	13.3429121152402	0.487485233979163	27.3709051786593	6.09039448688401e-165	1.01490333729435e-161	46	53	15	6	11	91868	11171	14492	13119	29031	8.34665856198445	16.0545811821774	4.00227484347914	1.96362016163391	5.01942151224177	70293.4331625568	70826.0706145443	70379.2589778981	75750.4949118346	82647.8778295094	Down_gills_Up_muscle
XM_027356800.1	203535.501940292	10.5560126572372	0.392381225824717	26.9024406941242	2.05646152551139e-159	3.11535226010198e-156	836	931	920	639	1016	350976	78920	96260	91604	94375	151.691446909109	282.01537887938	245.47285706672	209.125547214011	463.612023312513	268551.704594217	500366.439253409	467479.124290123	528931.194138554	268674.639873237	Down_gills_Up_muscle
XM_027367149.1	99936.5644836551	13.3385149689452	0.497939730821377	26.7874084820319	4.52992790893073e-158	6.29055988953515e-155	87	147	34	19	46	237274	29251	43178	36732	73932	15.786071628101	44.5287440335863	9.07182297855271	6.21813051184072	20.9903081421019	181551.835897293	185456.395268645	209690.563355485	212094.456826092	210475.798411742	Down_gills_Up_muscle
XM_027373337.1	365989.198321705	12.1041623667938	0.453128251230853	26.7124425235344	3.37450765552517e-157	4.32559965935934e-154	583	829	652	288	452	335687	148772	200395	154664	208199	105.784824818194	251.117883019341	173.965546529893	94.2537677584277	206.25259304848	256853.220904332	943240.191340702	973202.567131927	893046.310316639	592718.318908271	Down_gills_Up_muscle
XM_027373336.1	416560.822107948	12.2647225630213	0.477822983332523	25.6679209473818	2.66768259458367e-145	3.17530448258159e-142	608	882	715	227	447	375375	166759	225683	178090	244456	110.321052297534	267.172464201518	190.775100872505	74.2902961151496	203.971037815643	287220.767551212	1057280.87992219	1096011.7515808	1028310.51443316	695937.777640817	Down_gills_Up_muscle
XM_027355456.1	76320.0425686598	12.7449966921238	0.497230087513656	25.631990123232	6.71424093529133e-145	7.45907406304631e-142	79	65	196	21	39	156848	23174	34199	23486	68304	14.3344788347124	19.6895806951232	52.2963912881274	6.87267056571869	17.7961308161299	120013.327869124	146927.165018481	166084.755574464	135610.650468736	194453.537503593	Down_gills_Up_muscle
XM_027363873.1	8646.7149936718	10.756551048615	0.426687034896353	25.2094630698772	3.15447067501401e-140	3.28538120802709e-137	39	28	64	17	26	11934	3287	4726	3621	4421	7.07651486776943	8.48166553020692	17.076372665511	5.56359045796275	11.8640872107533	9131.38232422555	20840.1480717937	22951.4475524114	20908.0373561821	12586.072401373	Down_gills_Up_muscle
XM_027354132.1	16344.0372301947	15.3459880346226	0.629686473278747	24.3708395937374	3.48643808697827e-131	3.41752966361211e-128	7	4	4	0	0	36177	3789	5458	3925	21976	1.27014369421503	1.21166650431527	1.06727329159444	0	0	27681.0808063941	24022.9148293356	26506.3480196914	22663.3655407387	62563.1140222968	Down_gills_Up_muscle
XR_003475609.1	124262.464943106	14.6832023382669	0.61343333237886	23.9361012244415	1.28960217449239e-126	1.19388503531896e-123	119	19	7	10	32	169161	41036	48655	57379	100238	21.5924428016554	5.75541589549755	1.86772826029026	3.27270026938985	14.6019534901579	129434.704654627	260175.331996996	236289.18338184	331312.420729183	285365.918427693	Down_gills_Up_muscle
XM_027371490.1	716791.249848368	17.3238604884888	0.726661461411901	23.8403457571956	1.27528699312611e-125	1.11849381333966e-122	51	10	27	8	48	288583	394874	464530	284521	191325	9.25390405785233	3.02916626078818	7.20409471826244	2.61816021551188	21.9029302352368	220811.270761855	2503569.40362076	2255953.4345158	1642854.37630994	544680.005019837	Down_gills_Up_muscle
XM_027360238.1	7440.93331314756	10.229540126222	0.433782775783101	23.5821722237697	5.87361632741049e-123	4.89389712399842e-120	91	39	49	23	28	7991	3107	4170	3322	3197	16.5118680247953	11.8137484170739	13.0740978220318	7.52721061959666	12.7767093038881	6114.36870729733	19698.9169635117	20251.2772521277	19181.5797009768	9101.48687337472	Down_gills_Up_muscle
XM_027365689.1	42277.5133231528	16.6486168744714	0.707816205957562	23.5211015717682	2.48130102597175e-122	1.96897144270444e-119	10	0	2	2	2	34385	19257	24038	19890	15028	1.81449099173575	0	0.533636645797218	0.65454005387797	0.912622093134867	26309.9196596695	122092.7080677	116738.657694639	114846.96575931	42782.9667604239	Down_gills_Up_muscle
XM_027370936.1	29021.0634681678	14.9375018698308	0.647506521195621	23.069268618714	9.42438682134171e-118	7.13854463594719e-115	16	6	3	8	2	26563	14896	21542	9181	6254	2.9031855867772	1.81749975647291	0.800454968695827	2.61816021551188	0.912622093134867	20324.8624667675	94443.2143831574	104617.029871783	53012.0659947826	17804.4100425666	Down_gills_Up_muscle
XM_027377415.1	46740.5074611022	-10.8023299607446	0.46850869236177	-23.056840005016	1.25595251631856e-117	9.09964901388366e-115	296630	323757	629149	284724	118781	94	8	8	12	10	53823.2462878576	98071.3781094	167868.481033337	93181.6311501756	54201.0824223263	71.924747651852	50.7213825903101	38.8513712271035	69.2892704430227	28.4688360130582	Up_gills_Down_muscle
XM_027365705.1	13577.6445706266	15.2701236457073	0.666858174138058	22.8986075869049	4.79699889512219e-116	3.33071623284651e-113	8	0	1	2	2	17604	6151	7308	5786	5060	1.4515927933886	0	0.266818322898609	0.65454005387797	0.912622093134867	13469.8218900341	38998.4030391247	35490.7276159591	33408.9765652774	14405.2310226075	Down_gills_Up_muscle
XM_027354223.1	25297.026123161	15.2351081988168	0.676240083037654	22.5291410269279	2.15086726191744e-112	1.43368208210369e-109	6	0	9	4	4	12791	7726	11963	10946	25604	1.08869459504145	0	2.40136490608748	1.30908010775594	1.82524418626973	9787.12177888126	48984.175236592	58097.36924873	63203.3628557772	72891.6077278343	Down_gills_Up_muscle
XM_027365858.1	14403.6015568625	15.7974361418675	0.705061529624366	22.4057553534142	3.45878541942366e-111	2.21681539343369e-108	5	0	0	0	4	18860	5241	6765	5956	10232	0.907245495867875	0	0	0	1.82524418626973	14430.8589437652	33228.8457694769	32853.6907939194	34390.5745632203	29129.3130085612	Down_gills_Up_muscle
XM_027371770.1	1120.21010371485	10.6150032052743	0.475216308254055	22.3372031239285	1.60801311194974e-110	9.92441870278909e-108	13	6	5	2	1	2112	454	358	500	729	2.35883828925648	1.81749975647291	1.33409161449305	0.65454005387797	0.456311046567434	1616.01135149693	2878.4384620001	1738.59886241288	2887.05293512595	2075.37814535195	Down_gills_Up_muscle
XM_027371491.1	702253.474235466	16.8592018859954	0.7561129310558	22.2972008459821	3.93347617218532e-110	2.34098024761772e-107	91	6	32	14	61	289028	384696	453940	279299	191458	16.5118680247953	1.81749975647291	8.53818633275549	4.58178037714579	27.8349738406135	221151.765577867	2439039.12462024	2204523.93185392	1612701.99545548	545058.640538811	Down_gills_Up_muscle
XM_027375602.1	3894.72284833772	11.7819376152297	0.529253994384469	22.2614051858641	8.74626003228634e-110	5.02578197165585e-107	5	12	16	5	1	7454	866	1638	1331	4251	0.907245495867875	3.63499951294582	4.26909316637774	1.63635013469493	0.456311046567434	5703.47945741388	5490.58966540107	7954.81825874945	7685.33491330527	12102.1021891511	Down_gills_Up_muscle
XM_027367224.1	26833.5991579185	15.2038966589139	0.687675685981192	22.1091089431505	2.58318840855184e-108	1.43487505467026e-105	25	2	2	0	2	53639	9985	8918	10703	20679	4.53622747933938	0.605833252157637	0.533636645797218	0	0.912622093134867	41042.2504180605	63306.6256455308	43309.5660754137	61800.255129306	58870.7059914031	Down_gills_Up_muscle
