ID	padj
XM_027356802.1	0
XM_027356798.1	4.23547157677692e-288
XM_027356797.1	5.52371088298193e-244
XM_027361441.1	1.66527667814232e-207
XM_027356801.1	1.73575703033749e-196
XM_027356799.1	2.64998191093694e-195
XM_027370370.1	1.08933544039667e-186
XM_027370790.1	7.04221296684909e-174
XM_027375601.1	2.90220202178927e-171
XM_027369977.1	1.01490333729435e-161
XM_027356800.1	3.11535226010198e-156
XM_027367149.1	6.29055988953515e-155
XM_027373337.1	4.32559965935934e-154
XM_027373336.1	3.17530448258159e-142
XM_027355456.1	7.45907406304631e-142
XM_027363873.1	3.28538120802709e-137
XM_027354132.1	3.41752966361211e-128
XR_003475609.1	1.19388503531896e-123
XM_027371490.1	1.11849381333966e-122
XM_027360238.1	4.89389712399842e-120
XM_027365689.1	1.96897144270444e-119
XM_027370936.1	7.13854463594719e-115
XM_027377415.1	9.09964901388366e-115
XM_027365705.1	3.33071623284651e-113
XM_027354223.1	1.43368208210369e-109
XM_027365858.1	2.21681539343369e-108
XM_027371770.1	9.92441870278909e-108
XM_027371491.1	2.34098024761772e-107
XM_027375602.1	5.02578197165585e-107
XM_027367224.1	1.43487505467026e-105
XM_027358642.1	2.34481650641547e-105
XM_027365815.1	2.34481650641547e-105
XM_027365780.1	4.52239538230858e-105
XM_027380479.1	4.54976682624938e-105
XM_027365863.1	1.26385948385121e-104
XM_027365721.1	2.8240622363556e-104
XM_027370793.1	4.56922496579621e-104
XM_027373331.1	4.83332094518911e-104
XM_027383586.1	3.50454164110517e-103
XM_027351027.1	7.65354205739495e-103
XM_027354432.1	1.65428856327925e-101
XM_027381851.1	6.51270302744381e-101
XR_003476776.1	1.34422086772417e-100
XM_027378495.1	1.62846611093861e-99
XM_027373333.1	2.25632093180119e-99
XM_027363561.1	2.80176433378475e-99
XM_027356611.1	3.0521515523212e-99
XM_027360928.1	3.23278120887989e-99
XM_027370783.1	5.64620611147874e-99
XM_027367001.1	6.47218008188478e-99
XM_027358886.1	3.43668389722066e-98
XM_027381853.1	9.29754518340697e-98
XM_027373332.1	2.27694798968114e-97
