ID	padj
XM_027367438.1	1.20499396819709e-261
XM_027365833.1	5.32395834134473e-236
XM_027375354.1	8.23624447140606e-207
XM_027377145.1	3.00771337939002e-161
XM_027352708.1	1.26386246329126e-149
XM_027365653.1	6.44764041334782e-146
XM_027360936.1	1.68944002455757e-143
XM_027382188.1	7.2503210834647e-143
XM_027360238.1	6.8723937305306e-132
XM_027377051.1	1.69250132719514e-131
XM_027375317.1	7.19112571035304e-131
XM_027363774.1	2.28635142001852e-130
XM_027360613.1	1.74611643079021e-129
XM_027376677.1	2.81904589667533e-128
XM_027382644.1	2.33346576664655e-126
XM_027362399.1	2.46284593105234e-125
XM_027356789.1	5.22438877478405e-125
XM_027375348.1	2.4991004506586e-124
XM_027364268.1	1.45413791122075e-123
XM_027362646.1	1.10193600322922e-122
XM_027367016.1	9.70015144596951e-122
XM_027375361.1	6.03430775209657e-121
XM_027367228.1	5.81257279261117e-119
XM_027368290.1	2.55668394512463e-117
XM_027355645.1	1.10867075116259e-116
XM_027366234.1	2.83367714268966e-116
XM_027359031.1	2.29846020352429e-113
XM_027379114.1	3.29905722727334e-113
XM_027353014.1	3.57993236120819e-113
XM_027360286.1	3.58324763720557e-113
XM_027350887.1	2.09772190489125e-112
XM_027362906.1	3.25583907353672e-112
XM_027372482.1	6.88102111493469e-112
XM_027358582.1	1.23389554349836e-111
XM_027354162.1	3.40697269937721e-111
XM_027355828.1	3.40697269937721e-111
XM_027365519.1	4.29880496578227e-111
XM_027355829.1	5.2547938051491e-111
XM_027379121.1	1.27864093428801e-109
XM_027363241.1	2.10090683758378e-109
XM_027378229.1	5.24172574117327e-109
XM_027363492.1	9.92405261846535e-109
XR_003475024.1	4.83357754789654e-108
XM_027357934.1	5.13716912109546e-108
XM_027376661.1	1.49791608438766e-107
XM_027355618.1	2.39366413098428e-107
XM_027354718.1	1.25704149151184e-106
XM_027355661.1	2.53537714116885e-105
XM_027371819.1	2.23336727127733e-103
XR_003477405.1	8.23871088748348e-103
XM_027380421.1	4.68774059219162e-102
XM_027360239.1	6.59171929659753e-102
XM_027380334.1	1.17950713604452e-99
XM_027379671.1	1.19237719711639e-99
XM_027383256.1	1.52493890111093e-99
XM_027359234.1	1.81975223241795e-99
