ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356802.1	86473.9122659164	7.44862799459971	0.14583450165807	51.0758970607935	0	0	3095	3377	2728	1627	2426	277291	36319	44668	43915	77299	1082.58177838015	1039.49512644508	1053.84312316236	819.267648606094	925.712181378657	155556.343368295	174549.164678508	164094.170829746	192862.88857414	172755.655350503	Down_hemocyte_Up_muscle
XM_027358624.1	81095.4672192855	13.7850463615996	0.333980350924737	41.275022088668	0	0	26	33	23	39	27	220963	37625	60358	39962	48717	9.09438650658605	10.1579328317109	8.88504099440403	19.638253408505	10.3026499988556	123957.129152005	180825.802500863	221733.589212452	175502.373976996	108877.699086799	Down_hemocyte_Up_muscle
XM_027367149.1	75891.1740368636	13.7263284683599	0.299885109216809	45.7719574813439	0	0	21	36	28	14	51	237274	29251	43178	36732	73932	7.34546602455027	11.0813812709574	10.8165716453614	7.04962942869411	19.4605611089495	133107.370294632	140580.34681602	158620.446585627	161317.081250264	165230.741812616	Down_hemocyte_Up_muscle
XM_027356798.1	68044.9832285552	6.81959154883888	0.181926984314418	37.485321787409	1.59759216681279e-307	5.96021697633682e-304	3245	3730	2889	2200	3837	234072	23680	32002	37732	65367	1135.04939284122	1148.15422612975	1116.03841012318	1107.79891022336	1464.12103872626	131311.093417758	113806.113042404	117563.841114299	165708.812744608	146088.809988439	Down_hemocyte_Up_muscle
XM_027356797.1	68305.4704294725	6.82637102893883	0.182320019222775	37.4416976152122	8.1986949515377e-307	2.44698249523594e-303	3301	3660	2992	2171	3763	234492	23528	31943	38270	65796	1154.63730224002	1126.60709588067	1155.82794153291	1093.19610640678	1435.8841461368	131546.707499047	113075.600830307	117347.096328794	168071.564288565	147047.582755814	Down_hemocyte_Up_muscle
XM_027381155.1	8821.83375590139	11.9513834114914	0.323059436381251	36.9943795648405	1.41000945377829e-299	3.50692851312224e-296	14	20	10	8	8	22906	4063	5900	4519	6398	4.89697734970018	6.15632292830965	3.8630613019148	4.02835967353949	3.05263703669796	12849.943204771	19526.7836693956	21674.4785505396	19846.234622943	14298.9001530746	Down_hemocyte_Up_muscle
XM_027356801.1	68665.9958352865	6.8413810737134	0.190199774909064	35.9694488439028	2.51361896705196e-283	5.35867654933091e-280	3162	3702	2907	2139	3906	234762	23842	32236	38528	65691	1106.01731283943	1139.53537403012	1122.99192046663	1077.08266771262	1490.45003316778	131698.173694161	114584.685268454	118423.472975456	169204.631014106	146812.918092471	Down_hemocyte_Up_muscle
XM_027367236.1	856469.200450342	18.2340245077239	0.518701042633975	35.1532443720011	1.03703357731183e-270	1.93445650927806e-267	8	10	8	28	14	1355957	518654	523098	411891	707302	2.79827277125725	3.07816146415482	3.09044904153184	14.0992588573882	5.34211481422143	760672.768624453	2492651.84771516	1921673.96285257	1808914.67693707	1580750.34011722	Down_hemocyte_Up_muscle
XM_027363209.1	3796.42832315878	11.4487242755842	0.331709069239867	34.5143541049984	4.8860552041372e-261	8.10162242348215e-258	10	7	8	6	5	10701	1393	2199	1957	3839	3.49784096407156	2.15471302490838	3.09044904153184	3.02126975515462	1.90789814793623	6003.1101996968	6694.7599437529	8078.33531061635	8594.61853443226	8579.78707215592	Down_hemocyte_Up_muscle
XM_027360043.1	61320.8932566467	13.5236838594611	0.407566134692768	33.1815690959101	1.98585877550459e-241	2.9634970506855e-238	23	30	33	26	24	70283	29216	39726	35889	58062	8.04503421736458	9.23448439246447	12.7481022963188	13.0921689390033	9.15791111009389	39427.7725600682	140412.136767182	145939.039813345	157614.851600531	129762.854124386	Down_hemocyte_Up_muscle
