ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hep_1	hep_2	hep_3	hep_4	hep_5	gills_1	gills_2	gills_3	gills_4	gills_5	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	Expression
XM_027367228.1	3952.5355230977	-10.9656790538061	0.378662980281046	-28.9589413933923	2.16550703810645e-184	4.2495910115801e-180	6947	4050	6110	7181	4040	11	8	5	2	4	8379.27747710452	8238.71647747007	7545.30708578539	9461.91347321359	5880.53519936823	4.84326056156469	5.88105147664219	3.1729142897957	1.44156932171687	4.26672238550592	Up_hep_Down_gills
XM_027380251.1	3210.87766154957	-10.1914721149144	0.371264277032815	-27.4507210776264	6.81124631219396e-166	6.68319488152471e-162	3838	4810	5105	4322	3894	11	7	11	6	6	4629.28846367168	9784.74722385951	6304.22138673231	5694.80434914763	5668.02080849998	4.84326056156469	5.14592004206192	6.98041143755054	4.32470796515062	6.40008357825888	Up_hep_Down_gills
XM_027362906.1	2149.15113115603	-8.80870610292416	0.32843804392837	-26.8199931943489	1.88910434562896e-158	1.23572612262076e-154	2339	2366	3881	3239	3263	22	15	22	7	7	2821.2365076936	4813.03782362819	4792.69014728856	4267.80918252873	4749.5510781036	9.68652112312938	11.0269715187041	13.9608228751011	5.04549262600906	7.46676417463536	Up_hep_Down_gills
XM_027360238.1	2658.95374469295	-7.48821594331342	0.285703903838644	-26.2097081723549	2.05973248747736e-151	1.01050475835639e-147	5721	2258	3930	4345	3003	91	39	49	23	28	6900.51050043399	4593.33871756232	4853.20079331204	5725.10987900195	4371.10079299574	40.0669737365806	28.6701259486307	31.0945600399979	16.578047199744	29.8670566985414	Up_hep_Down_gills
XM_027380441.1	28035.368125594	-11.2924935495791	0.445439018335061	-25.3513793914768	8.67712486561237e-142	3.40559796725554e-138	43264	48837	33832	37805	25500	34	18	22	41	39	52183.8291016914	99346.7152123964	41779.513801357	49813.0676583818	37117.2395009629	14.9700780993818	13.2323658224449	13.9608228751011	29.5521710951959	41.6005432586827	Up_hep_Down_gills
XM_027353914.1	12699.6326545529	-13.3010261036223	0.54993313974256	-24.1866240500598	3.07649893376558e-129	1.00622025127026e-125	19400	20892	14621	12244	18477	4	0	4	4	6	23399.7384562873	42499.571517853	18055.6358267215	16133.0829363636	26894.7150689918	1.7611856587508	0	2.53833143183656	2.88313864343375	6.40008357825888	Up_hep_Down_gills
XM_027360388.1	4971.05264121955	-12.3763820758903	0.522700130165223	-23.6777864814731	6.10837462718102e-124	1.71243919548286e-120	10226	6675	6905	6104	4959	4	0	2	6	2	12334.3157450512	13578.6253054599	8527.06144473782	8042.82409699147	7218.21139942254	1.7611856587508	0	1.26916571591828	4.32470796515062	2.13336119275296	Up_hep_Down_gills
XM_027374911.1	6702.73988935395	-12.8707765470066	0.548348057572389	-23.4719105306714	7.89860890593067e-122	1.93752876462479e-118	8681	8922	11397	12027	5823	2	0	5	2	4	10470.7798731459	18149.5872622192	14074.2823006049	15847.1568503467	8475.83080839634	0.880592829375398	0	3.1729142897957	1.44156932171687	4.26672238550592	Up_hep_Down_gills
XM_027360739.1	6133.19249880292	-9.769982352975	0.418635387208248	-23.3376887179271	1.83797636919891e-120	4.00760536323994e-117	10970	7516	10989	9989	4127	14	16	17	34	17	13231.7077765707	15289.4303813988	13570.4385541237	13161.8233789069	6007.1704870774	6.16414980562779	11.7621029532844	10.7879085853054	24.5066784691868	18.1335701384002	Up_hep_Down_gills
XM_027374995.1	848.647698196803	-7.61491086122166	0.326408118592561	-23.3294162352836	2.23009640623485e-120	4.37634118759528e-117	1293	943	1254	1551	943	10	14	21	10	8	1559.58050639069	1918.29867611217	1548.57857374384	2043.64681756779	1372.6100725258	4.40296414687699	10.2918400841238	13.3262400171419	7.20784660858437	8.53344477101184	Up_hep_Down_gills
