ID	log2FoldChange
XM_027367228.1	-10.9656790538061
XM_027380251.1	-10.1914721149144
XM_027362906.1	-8.80870610292416
XM_027360238.1	-7.48821594331342
XM_027380441.1	-11.2924935495791
XM_027353914.1	-13.3010261036223
XM_027360388.1	-12.3763820758903
XM_027374911.1	-12.8707765470066
XM_027360739.1	-9.769982352975
XM_027374995.1	-7.61491086122166
XM_027351217.1	-9.04560937445552
XM_027375771.1	-12.091681420748
XR_003475024.1	-11.5599849786818
XM_027379523.1	-11.768724963084
XM_027351847.1	-12.6058023201102
XM_027354222.1	-12.3293397516837
XM_027380855.1	-12.207632223014
XM_027364406.1	-11.0360257051522
XM_027367145.1	-8.60568303095956
XM_027353471.1	-11.4410780537767
XM_027354925.1	-12.0030028709878
XM_027375794.1	-11.7656013107658
XM_027350887.1	-5.38491120857531
XM_027364872.1	-11.5729892745222
XM_027367016.1	-11.7536940283217
XM_027369866.1	-13.2511275123342
XM_027365519.1	-11.5357971253679
XM_027363184.1	9.37844112916484
XM_027375343.1	-12.3702969470265
XM_027363949.1	-12.8684002602172
XM_027380833.1	-10.8501830601395
XM_027367709.1	-11.6599053895851
XM_027365311.1	-12.393187868634
XM_027365310.1	-13.2241731373614
XM_027362687.1	-10.3561592837154
XM_027376188.1	-9.67579275609893
XM_027369548.1	-10.2864422102502
XM_027361473.1	-9.62456039995788
XM_027365653.1	-7.76496855557424
XM_027367963.1	-10.1633713677206
XM_027355571.1	-12.9416320309872
XM_027374599.1	6.67347854044551
XM_027371447.1	-12.0851813497571
XM_027378762.1	-12.0335958412687
XM_027369306.1	-13.087622248697
XM_027354784.1	-10.4073683341299
XM_027359213.1	-10.7972746942995
XM_027360499.1	-11.9362901199798
XM_027380569.1	-11.6516402216131
XM_027376806.1	-13.1266109875454
XM_027374595.1	-12.0299415561955
XM_027365171.1	7.52706553966935
XM_027379918.1	-12.929534233168
XM_027379449.1	-13.9977892234654
XM_027369155.1	-9.8778131068964
XM_027359754.1	-13.937966495242
XM_027360143.1	-13.2576222460161
XM_027366577.1	-13.3718691307809
