ID	padj
XM_027367228.1	4.2495910115801e-180
XM_027380251.1	6.68319488152471e-162
XM_027362906.1	1.23572612262076e-154
XM_027360238.1	1.01050475835639e-147
XM_027380441.1	3.40559796725554e-138
XM_027353914.1	1.00622025127026e-125
XM_027360388.1	1.71243919548286e-120
XM_027374911.1	1.93752876462479e-118
XM_027360739.1	4.00760536323994e-117
XM_027374995.1	4.37634118759528e-117
XM_027351217.1	2.46911765046443e-116
XM_027375771.1	1.0382049532098e-112
XR_003475024.1	4.61743721118218e-112
XM_027379523.1	4.42569439750514e-109
XM_027351847.1	2.5287163791615e-107
XM_027354222.1	2.65139247080818e-106
XM_027380855.1	6.30716779221405e-105
XM_027364406.1	1.05117784374917e-103
XM_027367145.1	9.81543653334279e-101
XM_027353471.1	1.3720780712206e-98
XM_027354925.1	2.01839076912748e-95
XM_027375794.1	2.48253332950103e-95
XM_027350887.1	9.5458081068791e-95
XM_027364872.1	3.52888789503499e-94
XM_027367016.1	2.54403687260222e-93
XM_027369866.1	3.10212605172561e-93
XM_027365519.1	1.3192702052326e-92
XM_027363184.1	3.42544730930875e-92
XM_027375343.1	5.26103499038089e-92
XM_027363949.1	6.44369705295365e-92
XM_027380833.1	7.1645223508655e-92
XM_027367709.1	2.57540434338066e-91
XM_027365311.1	1.4094965803148e-90
XM_027365310.1	6.10796703095475e-90
XM_027362687.1	6.27550129015674e-89
XM_027376188.1	1.61077033461532e-86
XM_027369548.1	1.34609328231376e-84
XM_027361473.1	1.68588347466437e-84
XM_027365653.1	1.68588347466437e-84
XM_027367963.1	6.20864034275019e-84
XM_027355571.1	1.22114563741706e-83
XM_027374599.1	9.95564856112046e-83
XM_027371447.1	2.28000736449746e-82
XM_027378762.1	2.89453369907994e-82
XM_027369306.1	2.1948379541857e-81
XM_027354784.1	2.38545126830642e-81
XM_027359213.1	3.87951585892129e-81
XM_027360499.1	7.32709027587715e-81
XM_027380569.1	6.57820161825698e-80
XM_027376806.1	8.93644572151524e-80
XM_027374595.1	9.87900142003055e-79
XM_027365171.1	1.74666461077296e-78
XM_027379918.1	1.74666461077296e-78
XM_027379449.1	2.14695332127929e-78
XM_027369155.1	7.472484504847e-78
XM_027359754.1	7.57002354789116e-78
XM_027360143.1	7.81498193644177e-78
XM_027366577.1	7.81498193644177e-78
XM_027356123.1	1.34570274192334e-77
XM_027375344.1	4.24468474366317e-77
XM_027351143.1	2.92455429993717e-76
XM_027362429.1	5.77823661219119e-76
XM_027360743.1	6.2070623024986e-76
XM_027361907.1	7.10926308741918e-76
XM_027366040.1	5.80593174885438e-75
XM_027378174.1	6.14993263515975e-75
XM_027360950.1	1.08357198628443e-74
XM_027372128.1	1.92950258852175e-74
XM_027373642.1	3.23357158875598e-74
XM_027365364.1	7.00806916123951e-74
XM_027369236.1	1.18050869364417e-73
XM_027372089.1	1.26086878927134e-73
XM_027357868.1	5.92539377883764e-73
XM_027358803.1	7.3553327125637e-73
XM_027355837.1	3.00984917390673e-72
XM_027369687.1	3.27568551066562e-72
XM_027374474.1	3.27568551066562e-72
XM_027381918.1	4.37708855434753e-72
XM_027362058.1	4.3772308461388e-72
XM_027365313.1	1.66761576540069e-71
XM_027362346.1	2.05555252038073e-71
XM_027358431.1	4.76327231170409e-71
XM_027375329.1	4.76327231170409e-71
XM_027376843.1	5.03825677566436e-71
XM_027377212.1	5.96971641840143e-71
XM_027358966.1	7.31678132804197e-71
XM_027376185.1	9.62651042259495e-71
XM_027363955.1	1.00667512856539e-70
XM_027368825.1	1.91332347197362e-70
XM_027361614.1	9.39923130162497e-70
XM_027372640.1	9.39923130162497e-70
XM_027354949.1	1.04570167734378e-69
XM_027370505.1	1.04608669077878e-69
XM_027366679.1	1.20387099949035e-69
XM_027360216.1	1.37084929941641e-69
XM_027357843.1	1.38511957148212e-69
XM_027375725.1	1.60315371336204e-69
XM_027369246.1	1.62274831332238e-69
XM_027364955.1	1.88968645588372e-69
XM_027361738.1	2.01304383393161e-69
XM_027372482.1	3.5572337213686e-69
XM_027365477.1	3.87386523758003e-69
XM_027355570.1	7.34356816391735e-69
XM_027363951.1	8.47013075670308e-69
XR_003477658.1	9.70569036961058e-69
XM_027360894.1	1.22942357463138e-68
XM_027367556.1	1.55184171947521e-68
