ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	hep_1	hep_2	hep_3	hep_4	hep_5	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027367225.1	18096.7144935762	-12.6921598186256	0.35856575575795	-35.3970216475256	1.8974846808557e-274	3.02250334813505e-270	53657	10015	8966	10954	20121	12	3	16	15	19	27570.2674085451	42516.386759068	29254.0537026071	42677.198526725	38922.3738135111	4.50879571978946	1.84445735250057	5.94383378048021	6.02682547898708	8.54081297369904	Up_muscle_Down_hep
XM_027367224.1	18077.7918199371	-12.572954228219	0.369864497687436	-33.9934065227426	2.78810892511862e-253	2.22058935341073e-249	53639	9985	8918	10703	20679	13	4	14	15	24	27561.0185721704	42389.0286359754	29097.4404327292	41699.2930282579	40001.7776496991	4.88452869643858	2.45927647000076	5.20085455792018	6.02682547898708	10.7883953351988	Up_muscle_Down_hep
XM_027367223.1	21058.9090940836	-12.7190886070038	0.381135031253738	-33.3716073412736	3.5405485723046e-244	1.879913273608e-240	56665	11422	10102	13747	24004	15	3	18	22	17	29115.8507315952	48489.4827321093	32960.5677563837	53558.8322208224	46433.7091108554	5.63599464973683	1.84445735250057	6.68681300304023	8.83934403584772	7.64178002909914	Up_muscle_Down_hep
XM_027370962.1	21749.3699990321	-12.7819486060374	0.394463685111357	-32.4033595194676	2.46135918519039e-230	9.80174761522444e-227	59909	8821	16542	11932	25213	6	8	27	19	13	30782.6965760017	37447.5334599839	53972.8481316669	46487.5235366882	48772.4174225961	2.25439785989473	4.91855294000151	10.0302195045603	7.63397894005031	5.84371413989934	Up_muscle_Down_hep
XM_027367222.1	21815.3025204119	-12.4455336906308	0.437466296925019	-28.4491257454833	4.99595291052537e-178	1.59161067823517e-174	57030	11871	10334	13212	27514	20	2	26	21	26	29303.3965803031	50395.609307728	33717.5318941268	51474.4519750858	53223.5074352639	7.51465953298244	1.22963823500038	9.65872989328033	8.43755567058192	11.6874282797987	Up_muscle_Down_hep
XM_027365885.1	518663.974871846	-13.7560482683715	0.495127945964977	-27.7828152914328	6.99749803916386e-170	1.85771910443069e-166	660168	307431	428873	347158	408428	164	115	280	256	79	339210.322876127	1305127.83801568	1399316.72692373	1352540.70532598	790069.444456275	61.620208170456	70.7041985125217	104.017091158404	102.857821508046	35.511801311696	Up_muscle_Down_hep
XM_027365884.1	585512.437780392	-13.6066138467582	0.533503235170805	-25.5042761688258	1.76729101920713e-143	4.02159694927862e-140	764191	332366	467974	396701	505866	184	139	409	322	74	392659.862109388	1410983.66465945	1526894.54912155	1545562.10815687	978555.019708047	69.1348677034384	85.4598573325263	151.939251013525	129.375853615589	33.2642189501963	Up_muscle_Down_hep
XM_027378454.1	6695.06178089878	-11.6818887436993	0.467454773838277	-24.9904148967806	7.77136565461059e-138	1.54737604390365e-134	23797	2712	6688	2522	5967	20	5	9	13	2	12227.475511511	11513.1743275679	21821.448936319	9825.80743878039	11542.6571514945	7.51465953298244	3.07409558750095	3.34340650152012	5.22324874845547	0.899032944599899	Up_muscle_Down_hep
XM_027367243.1	55892.3973908914	-13.2962802195112	0.560767112989946	-23.710877316997	2.78487736691326e-124	4.92892350861792e-121	136103	36854	38887	30281	45298	25	4	36	62	11	69933.0209498333	156455.208948446	126879.588036279	117975.921908687	87625.1522789338	9.39332441622805	2.45927647000076	13.3736260060805	24.9108786464799	4.94468119529944	Up_muscle_Down_hep
XM_027368559.1	65555.3436003961	-15.2972122236362	0.744645007364499	-20.5429594939167	8.89723903445848e-94	1.41724120579889e-90	209446	34591	50904	46616	27587	25	1	2	2	10	107618.432406771	146848.161196497	166088.3727055	181617.700065895	53364.7197650878	9.39332441622805	0.614819117500189	0.742979222560026	0.803576730531611	4.49516472299949	Up_muscle_Down_hep
XM_027381853.1	57352.0583768424	-6.7478085270498	0.342024793280365	-19.7290040360275	1.21541286255391e-86	1.76002831705648e-83	236235	29557	34455	38554	30369	4062	1218	2249	2729	2402	121383.270053444	125477.468141565	112418.962784221	150207.842979675	58746.2636222116	1526.22735114873	748.84968511523	835.480135768749	1096.48044881038	1079.73856646448	Up_muscle_Down_hep
XM_027370936.1	19505.3804698563	-13.8173122408899	0.704917570231422	-19.601316273552	1.50675599589825e-85	2.00009302155527e-82	26563	14896	21542	9181	6254	2	4	10	14	2	13648.7133677467	63237.5533862283	70286.7304106136	35769.5234319757	12097.8343934048	0.751465953298244	2.45927647000076	3.71489611280013	5.62503711372128	0.899032944599899	Up_muscle_Down_hep
XM_027381865.1	29785.7881132127	-6.34579328122868	0.324621678059854	-19.5482732981826	4.26720970282221e-85	5.22864487355807e-82	100923	14688	16059	21908	21856	2189	632	2009	2350	1591	51856.6840798515	62354.5370661199	52396.9271035207	85354.3970534499	42278.5846661746	822.479485884928	388.56568226012	746.322629061546	944.202658374643	715.18070742922	Up_muscle_Down_hep
XM_027381668.1	81020.6143023423	-13.3139478574084	0.691855462422356	-19.2438284880963	1.59017819433559e-82	1.80928203268369e-79	274828	40818	37028	53888	85228	50	0	38	46	62	141213.289064905	173283.462279744	120814.086604967	209949.687256541	164866.36227712	18.7866488324561	0	14.1166052286405	18.4822648022271	27.8700212825969	Up_muscle_Down_hep
XM_027381854.1	61772.1537009467	-6.60819471268768	0.343469254199845	-19.2395523962758	1.72693189505617e-82	1.83388654375664e-79	241670	31320	36682	43882	32912	4529	1543	2427	3209	3172	124175.904814341	132961.880508638	119685.165951264	170965.932604505	63665.4821803229	1701.69465124387	948.665898302792	901.605286576591	1289.33886413797	1425.86625013544	Up_muscle_Down_hep
XM_027371493.1	9024.75985571588	-12.3550878614594	0.653375957719781	-18.9096150776307	9.50480089806234e-80	9.46262334407719e-77	3468	5012	5953	3151	18337	10	6	7	9	8	1781.94247484642	21277.2970979979	19423.3082413138	12276.4152417117	35471.3766024727	3.75732976649122	3.68891470500113	2.60042727896009	3.61609528739225	3.5961317783996	Up_muscle_Down_hep
XM_027367239.1	4862.34691080759	-10.7032923861717	0.567384261834474	-18.8642743659573	2.24329734993499e-79	2.10196961688909e-76	13583	3538	2219	2914	4137	15	0	24	26	8	6979.27469314847	15019.7679833832	7240.1009553965	11353.0542730397	8002.67682851227	5.63599464973683	0	8.91575067072031	10.4464974969109	3.5961317783996	Up_muscle_Down_hep
XM_027381851.1	97248.8539899403	-7.46631708776463	0.398768751492743	-18.7234256942535	3.18962426051602e-78	2.82264026920887e-75	287676	56800	64607	71180	46503	3632	1217	2093	2684	3335	147814.902939423	241131.379721923	210798.198479181	277319.97362902	89956.1229287663	1364.66217118961	748.23486599773	777.527756409067	1078.39997237342	1499.13743512033	Up_muscle_Down_hep
XM_027368558.1	205387.252558022	-13.1509921254054	0.707632774476818	-18.5844870386741	4.29082786129451e-77	3.59729457908212e-74	1072435	43508	75314	107181	338390	267	8	155	112	39	551043.102079561	184703.240650377	245732.745991317	417581.231996797	654586.853275385	100.320704765316	4.91855294000151	57.580889748402	45.0002969097702	17.531142419698	Up_muscle_Down_hep
XR_003476719.1	448649.698658758	-13.0639660776076	0.705242493780323	-18.5240767435618	1.32048813227701e-76	1.05170277295202e-73	1234813	175082	259671	255822	653575	472	23	434	379	41	634476.855015147	743270.496909749	847248.425051269	996692.192943567	1264285.59540607	177.345964978385	14.1408397025043	161.226491295526	152.27779043574	18.4301753642979	Up_muscle_Down_hep
XM_027359148.1	15185.5612249366	-6.67581240359513	0.361078762186304	-18.4885213496734	2.55463771171233e-76	1.93775352904123e-73	28615	10431	9658	9898	11024	858	301	853	839	687	14703.0807144551	44282.4193992849	31511.8950100133	38562.9825650469	21324.9962188831	322.378893964947	185.060554367557	316.880638421851	337.100438458011	308.817816470065	Up_muscle_Down_hep
XM_027367228.1	1214.90268234012	7.40908079860752	0.409126486387458	18.109511471694	2.68117187523276e-73	1.94129030911739e-70	20	7	8	0	6	6947	4050	6110	7181	4040	10.276484860706	29.7168953882652	26.1022116463146	0	11.6064928622368	2610.21698878145	2490.01742587577	2269.80152492088	2885.24225097375	1816.0465480918	Down_muscle_Up_hep
XM_027367206.1	2284.69499990403	-12.4341508782306	0.696299262864439	-17.8574810306116	2.52793224963944e-71	1.75075794802203e-68	8757	1020	522	980	4390	2	0	4	4	0	4499.55889626012	4330.17618514721	1703.16930992203	3818.11708564821	8492.08394420326	0.751465953298244	0	1.48595844512005	1.60715346106322	0	Up_muscle_Down_hep
XM_027371495.1	2092.81218739895	-11.3504397944114	0.637706356914435	-17.7988500057156	7.21349511841149e-71	4.78765682254902e-68	3481	1369	1664	1072	1920	1	0	2	10	6	1788.62219000588	5811.77568379072	5429.26002243343	4176.55256715804	3714.07771591578	0.375732976649122	0	0.742979222560026	4.01788365265806	2.6970988337997	Up_muscle_Down_hep
XM_027375602.1	2638.5932508488	-7.70504610421882	0.437467832169447	-17.6128289616375	1.96380214456053e-69	1.25125617442819e-66	7454	866	1638	1331	4251	48	45	43	32	115	3830.04590758512	3676.40448660538	5344.42783458291	5185.62636836507	8223.20019289477	18.0351828791578	27.6668602875085	15.9740532850406	12.8572276885058	51.6943943144942	Up_muscle_Down_hep
XM_027381855.1	43764.4936522674	-5.93094390949377	0.339663283694402	-17.4612452808702	2.82699517754912e-68	1.73196946858384e-65	196448	20445	24538	29462	24817	5423	1583	3282	4152	2578	100939.744895798	86794.5608875831	80062.0086721584	114785.066915681	48006.3888936884	2037.59993236819	973.258663002799	1219.228904221	1668.22529258362	1158.85346558927	Up_muscle_Down_hep
XM_027358886.1	162181.25091134	-14.6772208618619	0.85480609804224	-17.1702341565849	4.43626734308976e-66	2.61723342622507e-63	321230	99878	99523	140479	83050	39	0	65	50	6	165055.761590229	424009.153941307	324721.301209521	547311.500076301	160653.205368128	14.6535860893158	0	24.1468247332008	20.0894182632903	2.6970988337997	Up_muscle_Down_hep
XM_027366518.1	736.732811387641	-7.07931908935671	0.412592795864573	-17.1581257848244	5.46489189974253e-66	3.10893796682138e-63	3480	401	383	487	349	17	32	35	20	17	1788.10836576284	1702.35357867062	1249.64338256731	1897.37042929661	675.111001486774	6.38746060303507	19.674211760006	13.0021363948004	8.03576730531611	7.64178002909914	Up_muscle_Down_hep
XM_027383660.1	8287.06123674519	-10.2349792060987	0.601046510098139	-17.0285976777862	5.0397513823253e-65	2.69970832146307e-62	5545	4693	8414	6718	3310	31	28	24	26	46	2849.15542763073	19923.0557224469	27453.0010990113	26173.5822259027	6402.91522900063	11.6477222761228	17.2149352900053	8.91575067072031	10.4464974969109	20.6777577257977	Up_muscle_Down_hep
XM_027383714.1	3192.70700559053	-9.5665584042571	0.561810745922404	-17.0280801385355	5.08451564089975e-65	2.69970832146307e-62	3437	1445	2985	2764	1797	12	24	25	10	22	1766.01392331232	6134.41626229188	9739.38772053112	10768.6485966649	3476.14461223992	4.50879571978946	14.7556588200045	9.28724028200032	4.01788365265806	9.88936239059889	Up_muscle_Down_hep
XM_027354135.1	22535.5988618496	-15.042109113342	0.899520827205022	-16.722357791404	9.00836147827262e-63	4.62884483830338e-60	17919	12275	15500	25359	7578	9	0	6	2	0	9207.21661094953	52110.6986987079	50573.0350647345	98799.6236479111	14659.0004850051	3.3815967898421	0	2.22893766768008	0.803576730531611	0	Up_muscle_Down_hep
XM_027378225.1	146.901981824049	-3.11386419871814	0.187867540771051	-16.5747855427188	1.06040546626053e-61	5.27849958501997e-59	469	68	90	71	113	75	47	80	78	72	240.983569983555	288.678412343147	293.649881021039	276.61868681737	218.58894890546	28.1799732486841	28.8964985225089	29.719168902401	31.3394924907328	32.3651860055964	Up_muscle_Down_hep
XR_003476718.1	743235.803653431	-12.9790691033093	0.783449983547377	-16.5665573755474	1.21590736761742e-61	5.86914801781148e-59	894780	469848	667661	552882	333211	244	35	889	995	171	459759.656183125	1994631.98062652	2178428.59124875	2154049.19443607	644568.515519798	91.6788463023857	21.5186691125066	330.254264427931	399.779423439477	76.8673167632914	Up_muscle_Down_hep
XR_003475500.1	339381.610813773	-15.1681464703434	0.920769077546647	-16.4733447725659	5.70281590530519e-61	2.67176925163548e-58	222613	229456	374082	232244	92979	48	4	87	94	3	114383.956214817	974102.849744254	1220545.94213458	904831.412693145	179860.016639653	18.0351828791578	2.45927647000076	32.3195961813611	37.7681063349857	1.34854941689985	Up_muscle_Down_hep
XM_027375601.1	2615.98997548469	-7.68449500453278	0.472230285068758	-16.2727703993273	1.54028325390341e-59	7.01004912897926e-57	7532	869	1668	1255	4209	56	41	30	33	125	3870.12419854187	3689.14029891463	5442.31112825659	4889.52749233521	8141.95474285911	21.0410466923508	25.2075838175078	11.1446883384004	13.2590160537716	56.1895590374937	Up_muscle_Down_hep
XM_027367205.1	2247.21177950883	-12.0412384765297	0.740158284154959	-16.2684641032928	1.65250964518056e-59	7.31189614946696e-57	8865	1022	503	949	4257	1	0	4	8	0	4555.05191450793	4338.66672668672	1641.17655726203	3697.33991253076	8234.80668575701	0.375732976649122	0	1.48595844512005	3.21430692212644	0	Up_muscle_Down_hep
XM_027368554.1	132196.969572673	-13.6824003491221	0.844489995916931	-16.2019685434711	4.88383215658632e-59	2.10255574114226e-56	552317	31054	57450	63513	243664	92	2	93	71	3	283793.864440527	131832.638483884	187446.507385096	247449.051490586	471347.412797345	34.5674338517192	1.22963823500038	34.5485338490412	28.5269739338722	1.34854941689985	Up_muscle_Down_hep
XM_027381669.1	12280.1370967468	-8.21076021005358	0.506883909687902	-16.198502365382	5.1670165333045e-59	2.16593174628967e-56	59521	2781	7009	10412	8563	78	107	185	200	376	30583.3327697041	11806.0980106808	22868.8001786274	40565.546016091	16564.399729889	29.3071721786315	65.7856455725202	68.7255780868024	80.3576730531611	169.018193584781	Up_muscle_Down_hep
