ID	log2FoldChange
XM_027367225.1	-12.6921598186256
XM_027367224.1	-12.572954228219
XM_027367223.1	-12.7190886070038
XM_027370962.1	-12.7819486060374
XM_027367222.1	-12.4455336906308
XM_027365885.1	-13.7560482683715
XM_027365884.1	-13.6066138467582
XM_027378454.1	-11.6818887436993
XM_027367243.1	-13.2962802195112
XM_027368559.1	-15.2972122236362
XM_027381853.1	-6.7478085270498
XM_027370936.1	-13.8173122408899
XM_027381865.1	-6.34579328122868
XM_027381668.1	-13.3139478574084
XM_027381854.1	-6.60819471268768
XM_027371493.1	-12.3550878614594
XM_027367239.1	-10.7032923861717
XM_027381851.1	-7.46631708776463
XM_027368558.1	-13.1509921254054
XR_003476719.1	-13.0639660776076
XM_027359148.1	-6.67581240359513
XM_027367228.1	7.40908079860752
XM_027367206.1	-12.4341508782306
XM_027371495.1	-11.3504397944114
XM_027375602.1	-7.70504610421882
XM_027381855.1	-5.93094390949377
XM_027358886.1	-14.6772208618619
XM_027366518.1	-7.07931908935671
XM_027383660.1	-10.2349792060987
XM_027383714.1	-9.5665584042571
XM_027354135.1	-15.042109113342
XM_027378225.1	-3.11386419871814
XR_003476718.1	-12.9790691033093
XR_003475500.1	-15.1681464703434
XM_027375601.1	-7.68449500453278
XM_027367205.1	-12.0412384765297
XM_027368554.1	-13.6824003491221
XM_027381669.1	-8.21076021005358
XM_027373792.1	-2.46410030833046
XM_027374011.1	-12.0598182805491
XM_027376680.1	4.3666417291803
XM_027361441.1	-9.17659802826236
XM_027367242.1	-12.670001939633
XM_027370786.1	-8.69614426857301
XM_027381866.1	-5.46747812903783
XR_003476575.1	-10.6716547036979
XM_027360999.1	-8.76894116448789
XM_027360217.1	6.22414199009753
XM_027360996.1	-8.89494649823495
XM_027366516.1	-6.48396451792346
XM_027367241.1	-12.9229563722615
XM_027364575.1	-14.3191826633526
XM_027372961.1	-9.81063219509063
XM_027373341.1	-6.7468674394683
XM_027366514.1	-6.44342705882609
XM_027378125.1	-15.357093165729
XR_003476289.1	-10.978922417511
XM_027365833.1	7.71618912709973
XM_027373336.1	-10.1297210917436
XM_027367234.1	-14.4537112619922
XM_027361448.1	-5.55304911697311
XM_027366515.1	-6.54486129770929
XR_003475816.1	-13.1239468720441
XM_027373070.1	-2.8387398620597
XM_027373235.1	4.41184886652759
XM_027365875.1	-10.759675638085
XM_027373320.1	-7.47942303706367
XR_003476288.1	-10.8263084164203
XM_027356629.1	-6.21149636750087
XM_027373774.1	5.45003649602888
XM_027351358.1	5.75718673530231
XM_027356631.1	-6.38219448591566
XM_027366517.1	-5.82220312519638
XM_027358429.1	-4.18285365291193
XM_027352835.1	-9.50312425462315
XM_027371492.1	-14.778227927261
XM_027371429.1	-4.24707076197204
XM_027356628.1	-8.53721837036651
XM_027378553.1	-11.4410235508321
XM_027355469.1	-15.5642886103108
XM_027373323.1	-7.33520041632091
XR_003476716.1	-12.4736942048567
XM_027366513.1	-6.1516319550404
XM_027383691.1	-7.72818872162462
XM_027359597.1	4.32692826057664
XM_027371430.1	-4.21567953529061
XM_027359641.1	-10.3770793922137
XM_027373322.1	-7.57126826476429
XM_027373319.1	-7.87426530439739
XM_027368553.1	-14.3410561862422
XM_027360739.1	6.47955812511335
XM_027359599.1	4.01144057665295
XM_027364268.1	5.55844699330323
XM_027366679.1	7.86325504664596
XM_027373325.1	-7.22794497693347
XM_027372676.1	-9.4338327681333
XM_027362049.1	-12.9858165897437
XM_027375613.1	-7.57129668519401
XM_027377991.1	6.72000912977479
XM_027377619.1	6.29839683676449
XM_027377569.1	10.1739106226206
XR_003477731.1	-5.28361739727907
XR_003476717.1	-14.0141183487219
XM_027365867.1	-11.5204827283
XM_027382188.1	6.97626813791833
XM_027375615.1	-8.39677483683062
XM_027365863.1	-9.71456594177072
XM_027373337.1	-9.85921320304305
XM_027352295.1	7.7600321838886
XM_027365273.1	4.13613330220119
XM_027367236.1	-14.2991333461152
XM_027353471.1	7.63228122111824
XM_027356093.1	8.86787230559505
XM_027364464.1	6.71679526586526
XM_027373317.1	-8.07072171396259
XM_027373343.1	-7.70502144887728
XM_027366419.1	-11.7756943963567
XM_027373324.1	-7.37249466568482
XM_027352297.1	7.27419204416904
XM_027359642.1	-10.3672705864988
XM_027374917.1	-3.33163189682483
XM_027356692.1	-9.10123520908772
XM_027368950.1	4.60232559359183
XM_027383692.1	-7.65318732079879
XM_027352296.1	7.54217667037882
XM_027367963.1	8.60294204269001
XM_027354137.1	-13.0379094137399
XM_027363241.1	8.65045045664757
XM_027357721.1	7.73794964109733
XM_027373345.1	-7.6127606298854
XM_027351876.1	5.02246327268331
XM_027354133.1	-15.6580992479822
XM_027364574.1	-13.6274936847348
XM_027379373.1	6.71007311606653
XM_027377147.1	5.18796341867542
XM_027371490.1	-14.2929089402223
XM_027371497.1	-9.4703117370506
XM_027373315.1	-7.9559724583611
XM_027383414.1	3.77334485482598
XR_003476715.1	-9.6637138153313
XM_027354134.1	-15.5581998082099
XM_027373318.1	-7.81772595682982
XM_027379438.1	3.91293865896731
XM_027379742.1	6.2622482669359
XR_003476759.1	5.71531128001609
XR_003476287.1	-11.5236941571758
XM_027359935.1	4.0948900485888
XM_027373313.1	-8.03768378483318
XM_027370157.1	5.38597256513736
XM_027359032.1	5.45735108383911
XM_027373316.1	-8.15808135400169
XM_027354682.1	-10.5703513037803
XM_027377836.1	7.47784109164591
XM_027373327.1	-6.6015982540893
XM_027370700.1	5.6671160327593
XM_027360950.1	7.36342391130216
XM_027363971.1	7.23930667747027
XM_027370505.1	8.91120666608933
XM_027371482.1	-13.6087577194986
XR_003477591.1	-15.7876848285211
XM_027374285.1	7.46211724080172
XM_027367186.1	-4.74571905104665
XM_027373862.1	4.67194411445616
XM_027365290.1	3.67441083757537
XM_027356630.1	-6.45531754528836
XM_027361798.1	7.40534609697579
XM_027362906.1	5.34466395269512
XM_027366411.1	4.60651577555041
XM_027350951.1	-7.45826575188869
XM_027358029.1	6.61088162586492
XM_027356898.1	4.07071398289395
XM_027361534.1	-4.02624321179333
XM_027371537.1	-12.5759586951153
XM_027361473.1	6.85586657497037
XM_027360199.1	6.56585806632746
XM_027369155.1	6.9425935292378
XM_027353577.1	7.61819060693546
XM_027371539.1	-13.2223810805589
XM_027369766.1	7.85100530032491
XM_027359643.1	-10.9561374186341
XM_027363882.1	6.7141592567
XM_027368571.1	-3.64284071579673
XM_027354094.1	6.54535745598746
XM_027371491.1	-14.2687494715917
XM_027368918.1	3.18779437102206
XM_027359777.1	-2.69714856266243
XM_027361149.1	-8.2846410047499
XM_027373328.1	-6.86836790499305
XM_027375603.1	-7.83267610107289
XM_027365861.1	-5.44736413304779
XM_027350813.1	-5.23041348899604
XM_027357897.1	-3.37429250276963
XM_027365880.1	-10.7131879377329
XM_027371152.1	-6.69842774965704
XM_027370937.1	8.49863316274462
XR_003477590.1	-15.7349540804445
XM_027359178.1	9.24245244399792
XM_027373519.1	-5.86391026528052
XM_027362509.1	6.11649281081769
XM_027373329.1	-6.47999523255771
XM_027362058.1	8.43651559752527
XM_027380421.1	7.54503076775627
XM_027371503.1	-11.6181710219414
XM_027362705.1	-11.64510642668
XM_027360634.1	-5.1212848729098
XM_027360508.1	8.33950738540975
XM_027363739.1	-11.1776352423733
XM_027368951.1	4.08557328657605
XR_003476992.1	-10.1805046953706
XM_027365313.1	8.51045588657589
XM_027363191.1	4.12132774590306
XR_003476174.1	-9.88317197723708
XM_027378597.1	11.0607755295666
XM_027362345.1	-7.78526996601311
XM_027355864.1	8.56794558386526
XM_027361621.1	4.89603332712026
XM_027373863.1	4.85509220196648
XM_027357536.1	-4.90168034898916
XM_027373339.1	-7.90448166924337
XM_027362890.1	5.66076677917608
XR_003476574.1	-14.4992093900452
XM_027352315.1	4.42156045491483
XM_027378590.1	7.26879136203823
XM_027361439.1	-5.23175499496877
XM_027360302.1	7.48630712482822
XM_027357358.1	-9.93361151155905
XM_027360995.1	-9.3546081248282
XM_027365839.1	-9.09467553684729
XM_027361345.1	8.91480955575072
XM_027382062.1	4.87187038687679
XM_027366521.1	3.77302272934448
XM_027364536.1	8.25128990929736
XM_027371798.1	-3.50880735835253
XM_027379363.1	7.44940013998189
XM_027365792.1	-9.5837985863164
XM_027379161.1	7.75769862040535
XM_027362910.1	10.3205637831247
XM_027361574.1	3.85300153840875
XM_027382382.1	3.00893613503331
XM_027356693.1	-8.08340117624347
XM_027379807.1	7.54697956630841
XM_027369863.1	5.61956829293107
XM_027370651.1	3.67755047941686
XM_027371797.1	-3.59629361761058
XM_027362706.1	-10.4132378213424
XM_027354093.1	6.22811442411388
XM_027360023.1	2.57844294907422
XM_027361623.1	5.36631031410172
XM_027367821.1	7.84777870250975
XM_027359992.1	3.66583111042901
XM_027369958.1	7.93544554774138
XM_027357805.1	3.95068985903036
XM_027357537.1	-4.92965089964111
XM_027360216.1	6.10964199849028
XM_027353372.1	8.23247085371777
XM_027357866.1	4.84275508126536
XM_027356378.1	3.24976601265564
XR_003476211.1	8.64711075698446
XM_027369977.1	-8.61488672391179
XM_027365747.1	-11.1140749172097
XM_027360633.1	5.10292395789142
XM_027365741.1	-10.6881488543701
XM_027372167.1	5.00047110750342
XM_027369669.1	6.47108134193498
XM_027366979.1	4.79319942107693
XM_027358803.1	6.31154247793236
XM_027367556.1	7.27441373542303
XM_027352317.1	4.06210849706041
XM_027352730.1	4.07878251652413
XM_027367245.1	-10.1724315252246
XM_027362059.1	10.053494280612
XM_027369982.1	-9.75950209751556
XM_027365800.1	-9.57509804155581
XM_027353790.1	6.94783332555601
XM_027373775.1	-3.36796804544043
XM_027367238.1	-13.5991995260032
XM_027380253.1	9.81686124957679
XM_027366409.1	4.59929034588888
XM_027369796.1	-5.54666166933472
XM_027353713.1	10.4083472507891
XM_027356405.1	7.75911159610883
XM_027374373.1	7.7772531662481
XM_027383751.1	3.90218654110282
XM_027378519.1	10.7637266105475
XM_027357535.1	-4.75353647633822
XM_027381844.1	7.22746651525394
XM_027376864.1	6.76904585835979
XM_027369731.1	-14.1199997898081
XM_027383413.1	3.63123812739423
XM_027372202.1	7.42398992324039
XM_027381055.1	9.80468699142949
XM_027374288.1	8.32040749795621
XR_003476748.1	8.06258386478429
XM_027370154.1	4.67419679530295
XM_027366312.1	-6.83716354909065
XM_027381145.1	10.6903669546517
XM_027379996.1	-5.68785369906174
XM_027367711.1	4.99178346365091
XM_027367190.1	3.42669233781746
XM_027360339.1	6.84853712930597
XM_027359601.1	3.94681584276472
XM_027351115.1	2.15478672419932
XM_027362108.1	5.31579297211499
XM_027363970.1	8.21960372959876
XM_027352731.1	4.29001674101435
XM_027369773.1	7.16674205726239
XM_027361614.1	6.87211186358771
XM_027356510.1	-12.2243613453472
XM_027362370.1	6.5447542899973
XM_027381154.1	-4.18543414520919
XR_003477437.1	-9.55564181864954
XM_027363848.1	3.11307501888269
XR_003476994.1	-13.5185977606791
XM_027375571.1	-6.76138168013901
XM_027375907.1	9.14894245704489
XM_027379515.1	-3.57317082505599
XM_027373552.1	4.7825716558801
XM_027375614.1	-7.14653563777972
XM_027364294.1	4.46031327539303
XM_027360962.1	5.69358586153896
XR_003475609.1	-10.6575057960997
XM_027356467.1	-14.7684312483627
XM_027369687.1	9.20418797701218
XM_027350630.1	7.82455904904981
XM_027365845.1	-9.25729213016121
XM_027370131.1	-8.37362063068766
XM_027356376.1	3.80271623100184
XM_027353134.1	5.39597913752287
XM_027357577.1	5.58269700862994
XM_027359274.1	5.44037976912408
XM_027382407.1	5.91036020498918
XM_027362057.1	9.06065261194217
XM_027362105.1	7.1879665417487
XR_003476993.1	-11.3521534247932
XM_027373607.1	4.75776503882457
XM_027352729.1	4.28961367789776
XM_027372253.1	9.65049319393073
XM_027360140.1	8.66978186964436
XM_027369499.1	-1.99457952877142
XM_027380036.1	-6.84578193444171
XM_027367822.1	7.17128261988533
XM_027366958.1	4.96284158297446
XM_027351485.1	7.82927637596905
XM_027352569.1	8.42826289312982
XM_027372109.1	5.72308164992801
XM_027358962.1	4.21747779571714
XM_027365225.1	-9.35749867562127
XM_027375272.1	-6.29952507073214
XM_027365860.1	-4.92073256554851
XM_027362301.1	-1.75366870280745
XM_027381081.1	4.51976290627354
XM_027373312.1	-8.25920217292319
XM_027357101.1	-3.42138826938708
XM_027361824.1	7.0148284372774
XM_027383822.1	-4.61396488079015
XM_027369501.1	2.67280059051646
XM_027354150.1	6.71007621251596
XM_027357843.1	8.71041204551979
XM_027357833.1	7.20794676601984
XM_027373338.1	-8.11399897609872
XM_027382405.1	6.77084142827412
XM_027364298.1	4.62863885133336
XM_027381603.1	4.56185997751827
XM_027353370.1	7.39459488810145
XM_027365071.1	3.77183073219541
XM_027381655.1	6.60792618093907
