ID	padj
XM_027367225.1	3.02250334813505e-270
XM_027367224.1	2.22058935341073e-249
XM_027367223.1	1.879913273608e-240
XM_027370962.1	9.80174761522444e-227
XM_027367222.1	1.59161067823517e-174
XM_027365885.1	1.85771910443069e-166
XM_027365884.1	4.02159694927862e-140
XM_027378454.1	1.54737604390365e-134
XM_027367243.1	4.92892350861792e-121
XM_027368559.1	1.41724120579889e-90
XM_027381853.1	1.76002831705648e-83
XM_027370936.1	2.00009302155527e-82
XM_027381865.1	5.22864487355807e-82
XM_027381668.1	1.80928203268369e-79
XM_027381854.1	1.83388654375664e-79
XM_027371493.1	9.46262334407719e-77
XM_027367239.1	2.10196961688909e-76
XM_027381851.1	2.82264026920887e-75
XM_027368558.1	3.59729457908212e-74
XR_003476719.1	1.05170277295202e-73
XM_027359148.1	1.93775352904123e-73
XM_027367228.1	1.94129030911739e-70
XM_027367206.1	1.75075794802203e-68
XM_027371495.1	4.78765682254902e-68
XM_027375602.1	1.25125617442819e-66
XM_027381855.1	1.73196946858384e-65
XM_027358886.1	2.61723342622507e-63
XM_027366518.1	3.10893796682138e-63
XM_027383660.1	2.69970832146307e-62
XM_027383714.1	2.69970832146307e-62
XM_027354135.1	4.62884483830338e-60
XM_027378225.1	5.27849958501997e-59
XR_003476718.1	5.86914801781148e-59
XR_003475500.1	2.67176925163548e-58
XM_027375601.1	7.01004912897926e-57
XM_027367205.1	7.31189614946696e-57
XM_027368554.1	2.10255574114226e-56
XM_027381669.1	2.16593174628967e-56
XM_027373792.1	4.2086566457457e-56
XM_027374011.1	6.221617855602e-56
XM_027376680.1	9.30662917586375e-56
XM_027361441.1	1.27860412369816e-54
XM_027367242.1	1.52797732636312e-54
XM_027370786.1	5.06980991014132e-53
XM_027381866.1	8.79424867411581e-53
XR_003476575.1	3.06779308677741e-50
XM_027360999.1	5.72849115622706e-50
XM_027360217.1	2.817211500884e-49
XM_027360996.1	2.93630999294104e-49
XM_027366516.1	1.51812022934599e-48
XM_027367241.1	1.62538277371371e-48
XM_027364575.1	1.65978050886144e-48
XM_027372961.1	3.55791663589779e-48
