ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	gills_1	gills_2	gills_3	gills_4	gills_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	Expression
XM_027373072.1	34265.074903177	-12.6730120177456	0.380349629150603	-33.3193752444217	2.02377606178295e-243	3.67133215368044e-239	40495	48079	51263	71928	42406	21	15	13	28	2	66741.2050330443	67507.4090114996	70943.9356985913	75302.357900019	62104.1555575112	8.89090769817621	11.3497630480507	8.56051705544856	20.7167028009082	2.1679405018934	Up_ovary_Down_gills
XM_027356520.1	35970.4840351621	-14.1733962984786	0.45482981783205	-31.1619769478532	3.49105501274269e-213	3.16656144930826e-209	34378	47887	51169	69424	63019	8	2	1	10	7	56659.5665298431	67237.823068984	70813.847136555	72680.8877606902	92292.1704258548	3.38701245644808	1.51330173974009	0.658501311957582	7.39882242889578	7.58779175662691	Up_ovary_Down_gills
XM_027367829.1	202945.391659144	-16.6508001727684	0.541617128374448	-30.7427503682211	1.52846399081097e-207	9.24262175243393e-204	144054	245334	360340	410639	354355	21	2	6	0	4	237420.361768864	344471.862610022	498682.047278356	429903.305329022	518957.648506859	8.89090769817621	1.51330173974009	3.95100787174549	0	4.3358810037868	Up_ovary_Down_gills
XM_027360709.1	257542.111872346	-18.7145927315543	0.627808652605744	-29.8093896187614	2.95205462345441e-195	1.33883057310216e-191	337194	260270	282969	511943	496181	5	0	0	0	4	555741.051732617	365443.402388215	391606.705434615	535959.779368388	726663.727035831	2.11688278528005	0	0	0	4.3358810037868	Up_ovary_Down_gills
XM_027373952.1	82347.9304097105	-16.9312826148193	0.578854762716753	-29.2496213304963	4.54033164051415e-188	1.64732312581134e-184	89649	104545	116250	147103	146153	6	0	0	0	4	147753.606371339	146790.949793199	160880.801454484	154004.042294607	214043.028043129	2.54025934233606	0	0	0	4.3358810037868	Up_ovary_Down_gills
XM_027373947.1	95306.0662109513	-17.4959830038175	0.602781113298298	-29.0254333087561	3.14308731602326e-185	9.50312449999631e-182	100563	133475	143179	165972	155681	6	1	0	0	1	165741.345888086	187411.373319119	198148.406636143	173758.243596123	227996.911789579	2.54025934233606	0.756650869870045	0	0	1.0839702509467	Up_ovary_Down_gills
XR_003476627.1	188269.159411197	-16.3579344166579	0.565607236128361	-28.9210133318478	6.49868104452812e-184	1.68417961183978e-180	154173	312254	336530	341064	250830	30	2	4	1	3	254097.834388432	438433.796324316	465730.891298733	357064.333706096	367343.897997702	12.7012967116803	1.51330173974009	2.63400524783033	0.739882242889578	3.2519107528401	Up_ovary_Down_gills
XM_027380251.1	2781.56093642973	-9.96805933391185	0.353542348447505	-28.1948099787314	6.77035228631303e-175	1.53526201032506e-171	3373	3309	3115	6085	4712	11	7	11	6	6	5559.15753985574	4646.14522804243	4310.91351854382	6370.46557420776	6900.78717603624	4.65714212761611	5.29655608909031	7.2435144315334	4.43929345733746	6.50382150568021	Up_ovary_Down_gills
XM_027383510.1	38424.6114569647	-15.6049982492333	0.553866190446143	-28.174672002751	1.1951412480983e-174	2.40900637575014e-171	38409	59129	60542	70472	54863	3	2	0	0	6	63303.1965456031	83022.6416406531	83785.3374766228	73778.0525793869	80347.5990744644	1.27012967116803	1.51330173974009	0	0	6.50382150568021	Up_ovary_Down_gills
XM_027378195.1	133828.407471704	-17.1328639688787	0.613213337037746	-27.939483592517	8.84767841364018e-172	1.60505734101846e-168	160048	215876	228198	178249	183655	11	0	0	0	4	263780.624351862	303110.077742185	315807.975314498	186611.194434997	268965.209850368	4.65714212761611	0	0	0	4.3358810037868	Up_ovary_Down_gills
XM_027373305.1	75330.0139535869	-16.8680937845212	0.608358235968453	-27.7272383066676	3.27889185943364e-169	5.40748883836233e-166	96041	111804	99352	123779	116721	3	0	0	0	6	158288.481851552	156983.26415112	137495.306547148	129585.843600635	170939.469434237	1.27012967116803	0	0	0	6.50382150568021	Up_ovary_Down_gills
XM_027367827.1	232205.804564166	-16.7022568381123	0.603184375895136	-27.6901350657929	9.17904506526526e-169	1.38764213774148e-165	150276	350534	385259	456990	389606	26	8	2	0	2	247675.054390561	492182.493613366	533167.971505834	478428.76955747	570583.210633866	11.0077904834563	6.05320695896036	1.31700262391516	0	2.1679405018934	Up_ovary_Down_gills
XM_027373948.1	83616.6652989797	-16.7006650216273	0.604743556504827	-27.6161107332013	7.12786666353639e-168	9.9466637802472e-165	97389	115090	114191	148760	136757	11	0	0	0	2	160510.16710614	161597.115229799	158031.30837754	155738.777127222	200282.460066466	4.65714212761611	0	0	0	2.1679405018934	Up_ovary_Down_gills
XM_027375090.1	5532.13911855493	-6.30736954422088	0.229081619391321	-27.5332851277191	7.0168456358787e-167	9.09232833431968e-164	5433	6955	8724	10900	8487	378	188	214	197	91	8954.31453128854	9765.46994893779	12073.3256936682	11411.3516448422	12429.3252892656	160.036338567172	142.250363535568	140.919280758923	145.756801849247	98.6412928361498	Up_ovary_Down_gills
XM_027360711.1	251578.595769886	-19.0025410739465	0.691968833683291	-27.4615562854148	5.05657082478656e-166	6.11541675549687e-163	338171	179703	321078	603141	430400	3	0	0	0	4	557351.279101855	252319.805353554	444346.545973359	631436.150680894	630326.570578522	1.27012967116803	0	0	0	4.3358810037868	Up_ovary_Down_gills
XM_027353729.1	14676.7901469242	-12.3975521977164	0.453807296075275	-27.318979454354	2.52420855225685e-164	2.86197920915572e-161	13978	20932	20638	33401	21020	8	5	18	10	0	23037.6235078872	29390.4841080037	28561.3589713346	34967.9409439792	30784.0718251871	3.38701245644808	3.78325434935022	11.8530236152365	7.39882242889578	0	Up_ovary_Down_gills
XM_027354025.1	4336.54804408213	-5.9167291864661	0.217537139396059	-27.1987082430729	6.72745587319599e-163	7.17898688209697e-160	5467	5668	5921	8259	6043	264	200	243	230	104	9010.3511029918	7958.40167801285	8194.19548741508	8646.45442520656	8850.05452138943	111.771411062787	151.330173974009	160.015818805692	170.172915864603	112.732906098457	Up_ovary_Down_gills
XM_027365284.1	43627.7004526438	-12.0040424608686	0.459293791959856	-26.1358691778656	1.42671765019818e-150	1.43789360512473e-147	71800	69125	70991	45543	51110	16	37	51	38	9	118336.05436159	97057.9597728719	98245.9266757446	47679.5585285364	74851.2802561995	6.77402491289616	27.9960821851917	33.5835669098367	28.1155252298039	9.75573225852031	Up_ovary_Down_gills
