ID	log2FoldChange
XM_027373072.1	-12.6730120177456
XM_027356520.1	-14.1733962984786
XM_027367829.1	-16.6508001727684
XM_027360709.1	-18.7145927315543
XM_027373952.1	-16.9312826148193
XM_027373947.1	-17.4959830038175
XR_003476627.1	-16.3579344166579
XM_027380251.1	-9.96805933391185
XM_027383510.1	-15.6049982492333
XM_027378195.1	-17.1328639688787
XM_027373305.1	-16.8680937845212
XM_027367827.1	-16.7022568381123
XM_027373948.1	-16.7006650216273
XM_027375090.1	-6.30736954422088
XM_027360711.1	-19.0025410739465
XM_027353729.1	-12.3975521977164
XM_027354025.1	-5.9167291864661
XM_027365284.1	-12.0040424608686
XR_003476415.1	-16.367155365489
XM_027375755.1	-18.827833767122
XR_003477587.1	-17.4049177214351
XM_027373951.1	-17.1880381631397
XM_027382375.1	-16.1506061315329
XM_027377649.1	-10.5740895261984
XR_003477486.1	-18.147103552863
XM_027378196.1	-16.949002246291
XM_027367828.1	-15.6014385756554
XM_027378200.1	-17.7860416789066
XM_027373955.1	-17.0491583173185
XM_027375756.1	-16.4903229546285
XM_027373949.1	-16.5867326251235
XM_027375221.1	-10.0669131367144
XR_003476907.1	-7.25682233984978
XM_027373950.1	-17.0065990837996
XM_027357635.1	-14.4366118080248
XM_027369632.1	-11.0566883991285
XM_027378198.1	-18.3576656885769
XM_027350640.1	8.24703720372452
XM_027370944.1	11.0625783020751
XM_027378197.1	-17.5255483754142
XM_027378201.1	-17.178390968406
XM_027372426.1	11.4852667968826
XM_027367375.1	-17.6284084338728
XM_027354033.1	-7.99331761617237
XM_027374262.1	-9.24232372920112
XM_027376912.1	-18.0680633363018
XR_003476797.1	-8.71671079667562
XM_027368306.1	10.4507228250306
XM_027363509.1	-14.2276522724574
XM_027354024.1	-5.56661738902173
XM_027363378.1	-6.01312546860194
XM_027378026.1	10.3529910740941
XM_027368762.1	9.15903022798029
XM_027360279.1	-12.8378703854234
XM_027360712.1	-17.378582449386
XM_027359485.1	5.56359806719542
XM_027374607.1	-13.9033905889324
XM_027363799.1	10.0543357616962
XM_027378199.1	-17.0185613013971
XM_027369156.1	-13.0458942463731
XM_027356357.1	-14.8331302797703
XM_027367006.1	-19.3551160466818
XM_027373953.1	-16.6257582022524
XM_027366420.1	8.6306226379362
XM_027360280.1	-12.3638396759357
XM_027353111.1	-16.0562042226712
XM_027353283.1	-16.1207059839287
XM_027353849.1	-12.4612947514314
XM_027350981.1	-6.06281861626234
XM_027382573.1	-10.9417589378632
XM_027383077.1	-7.86452158918802
XM_027367040.1	-9.72506261365929
XR_003477394.1	-18.3370082613352
XM_027363368.1	-5.90839178183815
XM_027366734.1	-14.1090308100376
XM_027365568.1	-17.3759922124476
XM_027360710.1	-17.8252676305582
XM_027373414.1	13.1908317728993
XM_027375663.1	15.6842924256253
XM_027373523.1	4.60708821646489
XM_027359845.1	-4.81056587314435
XM_027360307.1	-8.77790175814462
XM_027354026.1	-5.24450897014245
XM_027383076.1	-7.76332549316384
XM_027360707.1	-20.2712723983994
XM_027380767.1	-20.45954788213
XM_027380048.1	4.48081619662712
XM_027374383.1	-5.76032213190957
XM_027360713.1	-18.1875182954582
XM_027350718.1	-11.3064899726911
XM_027370207.1	-10.7907999584026
XM_027381616.1	-10.3553409338178
XM_027380768.1	-18.3748437255566
XM_027376192.1	-19.7776113701847
XM_027356726.1	-5.99027986174061
XM_027367726.1	-14.5378994603559
XM_027361327.1	-11.0205495520149
XM_027383523.1	-18.3776998805213
XR_003477485.1	-17.45616431801
XM_027357185.1	-6.38578979386558
XM_027356531.1	15.3509845568696
XM_027367844.1	-19.3881872429305
XM_027372464.1	14.3114598991505
XM_027365299.1	-11.2856727792303
XM_027355253.1	4.856555457394
XM_027366882.1	-10.9181589463561
XM_027366609.1	-5.84430398121793
XM_027373307.1	-15.9332806825612
XM_027350717.1	-11.4148334251307
XM_027366999.1	-17.2381165971732
XM_027362516.1	4.34661544258271
XM_027366993.1	-18.687119602793
XM_027356356.1	-15.0554083902893
XM_027367113.1	-18.8955911880169
XR_003476577.1	-19.2590752222272
XM_027360532.1	-14.6588374852769
XM_027376193.1	-17.0797821156544
XM_027356275.1	20.1338468295781
XM_027366607.1	-5.82911842582088
XM_027378752.1	-5.61995360098798
XM_027360708.1	-18.6665837607638
XM_027366608.1	-5.73017228378719
XR_003475469.1	15.4316668005829
XM_027353517.1	-18.343605130588
XM_027371765.1	-16.8835314234292
XM_027361838.1	-9.47873089873586
XM_027376152.1	-16.4445897925403
XM_027373521.1	4.59354242447361
XM_027351212.1	5.49026762100454
XM_027366982.1	-18.1068270556711
XR_003477695.1	13.8632321185629
XM_027356112.1	11.2426675264522
XM_027352540.1	-4.58553810164764
XM_027378554.1	-18.2571192571279
XM_027355250.1	5.40440093778157
XR_003475471.1	-15.8268386377395
XM_027352360.1	-15.0619944497727
XM_027380344.1	11.7075666736022
XM_027350808.1	15.3750807577788
XM_027376624.1	-3.66790124289297
XM_027370208.1	-12.439198366732
XM_027369419.1	7.07411958029331
XM_027369058.1	-18.2065232166314
XM_027377198.1	10.7573188289835
XM_027351560.1	12.2463338104734
XM_027353575.1	9.44565614483134
XR_003477351.1	-11.1395095242797
XM_027371012.1	-5.62616190981989
XM_027356379.1	-17.6885567508012
XM_027359526.1	5.30986879750879
XM_027365569.1	-17.2857936643958
XM_027367320.1	-9.97041862256475
XM_027355867.1	-14.3714045688197
XM_027370449.1	-6.66106100764256
XM_027376151.1	-17.3444933701195
XM_027373288.1	18.5235352147875
XM_027377034.1	6.62775008593297
XM_027377294.1	-14.2899436941723
XM_027364776.1	-17.5427838439316
XM_027371897.1	15.6143239893321
XM_027353433.1	10.5295934485139
XM_027367725.1	-17.4149654723093
XM_027374381.1	-5.2418104480948
XM_027352223.1	-13.093074246323
XR_003474933.1	11.4550244571535
XM_027359007.1	8.38116113143874
XM_027373306.1	-15.5890366588941
XM_027352922.1	-4.12759690575283
XM_027364162.1	-18.5059068082275
XM_027359551.1	-7.91539534237828
XM_027371564.1	11.2114692412083
XM_027364476.1	-17.4697740251848
XR_003476619.1	-15.2212488337431
XM_027367609.1	-10.5168676724873
XR_003476844.1	10.3886388884142
XM_027356202.1	-16.3093533718879
XM_027366022.1	-8.16375251411408
XM_027359434.1	-4.15326345763039
XM_027374913.1	10.7067773495292
XM_027375757.1	-16.9531161355611
XR_003475697.1	5.85426604625206
XM_027352176.1	3.70741496075568
XM_027362264.1	-10.8347195106847
XM_027380671.1	-8.12307291696166
XM_027370165.1	-16.807806827829
XM_027378643.1	-5.64949478027452
XM_027365010.1	17.9677556072745
XM_027382572.1	-10.5061215620092
XM_027352541.1	-4.50143379729446
XM_027372127.1	6.33976004528429
XM_027354978.1	-16.3635911749783
XM_027370945.1	9.92074097743275
XM_027376445.1	-10.067289740202
XM_027353526.1	-9.38221835451557
XM_027358398.1	-4.72044802635779
XM_027383717.1	-15.9556454224591
XM_027374001.1	-4.0474261453926
XM_027363524.1	9.88774404339977
XM_027360261.1	-7.84508596809806
XM_027357976.1	-5.96286283890471
XM_027365739.1	7.91381188273682
XM_027383679.1	6.72395411010267
XM_027382677.1	5.52050054175845
XM_027356265.1	17.2405492193603
XM_027380032.1	-14.1284412922718
XR_003476560.1	-16.1794399318387
XM_027353686.1	-4.28384312885064
XM_027355874.1	-14.6437560194876
XM_027360654.1	9.85979549807734
XM_027383763.1	-15.0875486808228
XM_027360541.1	-11.0415943147986
XM_027365106.1	2.93489830705851
XM_027373625.1	12.0456991278863
XM_027351592.1	11.0604728028547
XM_027364806.1	-7.24182963832095
XM_027371720.1	6.8283886854422
XM_027355399.1	-13.6651707066223
XM_027364188.1	-16.513478867021
XM_027369461.1	-5.16753612660878
XM_027379583.1	10.441350038758
XR_003477154.1	18.4458297668418
XM_027357251.1	5.82925715155498
XM_027367783.1	-5.26478778819077
XM_027376154.1	-16.6453254609822
XM_027354465.1	-5.43895285599847
XM_027375363.1	8.43142546293227
XM_027368880.1	6.45359830268214
XM_027365171.1	7.2294591966551
XM_027363503.1	-5.31481438186061
XM_027356267.1	17.0352343344432
XM_027370337.1	5.08673317819532
XM_027366439.1	-7.30248117483599
XM_027380050.1	3.97417356833115
XM_027380690.1	-16.528172451432
XM_027356269.1	16.6954589429966
XM_027383361.1	5.03768743637942
XM_027357249.1	5.92987920174342
XM_027368263.1	-5.2033513226085
XM_027364187.1	-16.3649887866681
XM_027358900.1	-16.2318264078766
XM_027373871.1	11.6397299792452
XM_027353282.1	-15.7174395404365
XM_027381080.1	7.10235983363066
XM_027366290.1	16.0472501118604
XM_027356381.1	-15.6652786176667
XM_027366389.1	-9.89652762321907
XM_027368503.1	5.2261028632782
XM_027374382.1	-5.58705716489441
XM_027371013.1	-7.01879593350216
XM_027356603.1	9.25693504221021
XM_027365107.1	3.02132924585854
XM_027361907.1	10.5308686218097
XM_027372345.1	-14.4649256337572
XM_027378576.1	7.84894868774418
XM_027372883.1	-10.891146299387
XM_027372262.1	-15.5835753796477
XM_027374305.1	13.4535760657733
XM_027369021.1	9.11668618283963
XM_027378858.1	5.75985978894921
XM_027363385.1	-4.90331022176842
XM_027365177.1	-4.98149223342411
XM_027377103.1	-4.76793012534054
XM_027370325.1	12.2801501553947
XM_027363018.1	-5.0660204162456
XM_027357428.1	7.98513168706374
XM_027364568.1	-15.4269391976672
XM_027373106.1	6.4053264110208
XM_027360490.1	-7.74385860390582
XR_003475953.1	4.22484896315787
XM_027357369.1	-15.8050233355422
XM_027352782.1	8.79268772792276
XM_027380116.1	6.23079194652898
XM_027375725.1	-6.73782688573047
XM_027370947.1	9.99959412512999
XM_027363360.1	5.35439790211955
XM_027379278.1	7.34250249125393
XM_027355437.1	12.6073567615926
XM_027356271.1	16.4934305415328
XM_027360213.1	-4.42814952868975
XM_027378563.1	-15.738308544576
XM_027353685.1	-4.24180979720436
XM_027382774.1	-6.30966634657292
XM_027356355.1	-14.1553951498943
XM_027352923.1	-4.05063817149308
XM_027356268.1	16.2057650283864
XM_027370320.1	12.640643372007
XM_027365048.1	-3.36228779924487
XM_027356270.1	16.1701080359215
XR_003476156.1	13.9327877762628
XM_027350794.1	17.067554694757
XM_027357247.1	5.63294889691745
XM_027366187.1	-7.23660127015006
XM_027382049.1	6.35062647502984
XM_027354220.1	5.35972227016418
XM_027363598.1	-12.2258970966338
XM_027354640.1	-11.4056308444708
XM_027358478.1	16.2173410002997
XM_027357912.1	-15.0070563912728
XM_027368879.1	6.43142586792983
XM_027380864.1	-5.54446406665995
XM_027358197.1	9.42122490174944
XM_027365105.1	3.02378698510644
XM_027367003.1	6.52476716776581
XM_027373421.1	13.3930758659214
XM_027364405.1	-15.2511145445436
XM_027375754.1	-17.8746775946865
XM_027377982.1	-5.54316738466822
XM_027357252.1	5.52366341496081
XM_027356272.1	15.973682886725
XM_027368866.1	-12.1791192009101
XM_027352986.1	-12.3221730255259
XM_027363593.1	-15.4181591292305
XM_027374162.1	5.05773131477342
XM_027375140.1	7.40605526668629
XM_027372694.1	-15.2105700810504
XM_027356273.1	15.9475246771975
XM_027368070.1	4.38210106540118
XM_027357248.1	5.60815982065882
XM_027377634.1	-9.80866917526683
XM_027381702.1	9.36251284333487
XM_027378386.1	-8.79832778961227
XM_027353688.1	-4.15919985178632
XM_027357549.1	-5.22776066033017
XM_027380268.1	8.91476942498994
XM_027376102.1	7.51275335022961
XM_027373710.1	-4.1407679131551
XM_027356274.1	15.2387386273161
XM_027370202.1	-10.9308104909718
XM_027360430.1	-5.14818803719058
XM_027355088.1	-14.8195957469129
XM_027367845.1	9.9394815252903
XM_027364414.1	-15.2620539245681
XM_027365740.1	6.19993059644233
XM_027366616.1	6.06670019073853
XM_027352808.1	15.8371018921848
XM_027365539.1	-15.2314191811821
XM_027372261.1	-14.8624056174339
XM_027376971.1	-7.98738129731101
XM_027356380.1	-15.718424896807
XM_027362740.1	8.56029609748102
XM_027357569.1	-9.68711833369332
XR_003476052.1	-9.7352322187239
XM_027352461.1	5.81099984464822
XM_027369057.1	-14.2656186840407
XM_027376679.1	5.60213911837782
XM_027352222.1	-14.0208305678821
XM_027354227.1	6.00133140312307
XM_027381567.1	9.51143793897124
XM_027357975.1	-5.34607719032358
XM_027383771.1	7.01172861963255
XM_027370454.1	5.3604749311609
XM_027379847.1	-11.8529128147384
XM_027357401.1	8.59956505750546
XM_027378347.1	15.1420577545693
XM_027375988.1	-7.22111864702099
XM_027353285.1	-16.4601277959018
XM_027367267.1	5.85928688821359
XM_027360136.1	16.3131015396105
XM_027374557.1	-14.3320472923159
XM_027357552.1	-6.25682890945253
XM_027366617.1	6.09272530753538
XM_027372507.1	8.88825040606611
XM_027378388.1	-9.34284558284865
XM_027353475.1	8.0008008319644
XM_027372792.1	-7.81524256966032
XM_027380564.1	5.06973998221053
XM_027383678.1	6.62152717316884
XM_027367070.1	3.33121561161654
XM_027377795.1	16.6278565685036
XM_027355829.1	3.14864008515409
XM_027379186.1	-14.551280824892
XM_027366009.1	12.4231911441588
XM_027356793.1	5.36360759206215
XR_003477352.1	-11.6882999133992
XM_027375881.1	11.7474877620225
XM_027382818.1	-5.04897250233466
XM_027359417.1	3.55403100013906
XM_027352783.1	9.46482718204767
XM_027352178.1	3.33614279317696
XM_027366177.1	13.5506657024112
XM_027360596.1	5.41640404116751
XM_027378528.1	-14.3557489983617
XM_027362271.1	-14.6323174762275
XM_027354476.1	-14.950903403301
XM_027381081.1	7.4648134233699
XM_027353917.1	-15.0298885920895
XM_027377350.1	-6.21262353689587
XM_027373686.1	7.14932551946097
XM_027377087.1	10.8441329840647
XM_027378925.1	-7.04312634872422
XM_027362719.1	-14.8553668167768
XM_027370241.1	6.45694134701597
XM_027366632.1	-14.605627502447
XM_027378859.1	5.59383917057635
XM_027376155.1	-17.2500115257109
XM_027380943.1	-9.31884987538774
XM_027353679.1	-12.5543636940334
XM_027375456.1	-5.77823597063499
XM_027366577.1	-10.6220141077988
XM_027368913.1	9.64758089442799
XM_027370216.1	15.9709565297884
XM_027374233.1	-5.56907737097362
XM_027367068.1	3.43269160636943
XM_027372793.1	-7.51562437754827
XR_003477509.1	-14.8290765048275
XR_003477393.1	-13.1029397209276
XM_027379019.1	-13.9682592207181
XM_027363594.1	-13.8961747107604
XM_027363247.1	5.77722226376977
XM_027355690.1	9.8609542161214
XM_027369460.1	-5.24710228969853
XM_027368463.1	-5.9169064695869
XM_027366633.1	-14.533105287893
XM_027355028.1	-6.28962343229342
XM_027383770.1	-16.4961109842154
XM_027371563.1	-8.11273439367224
XM_027363184.1	14.1234126812125
XM_027368722.1	-13.8896072322324
XM_027365316.1	15.3520263225114
XM_027379320.1	-6.68251269242785
XM_027377062.1	6.15756426238861
XM_027370319.1	13.0851619850555
XM_027352265.1	8.16649210473752
XM_027357254.1	5.69725009837103
XM_027374882.1	12.719443965886
XM_027377418.1	9.25343026544579
XM_027359019.1	15.4533005571639
XM_027362415.1	5.02275288855842
XM_027369777.1	15.3056162171511
XM_027362110.1	-2.86306369313783
XM_027372978.1	-14.3657460809985
XM_027355986.1	-4.40905976510958
XM_027377368.1	4.90296139639663
XM_027361316.1	-13.4897323697498
XR_003477328.1	16.0655200814595
XM_027367265.1	6.24481822346751
XM_027362717.1	-14.2730692799397
XM_027358305.1	-4.41396539888022
XM_027375505.1	-14.1501530419636
XM_027376406.1	-14.222467230292
XM_027357840.1	-7.27739836727497
XM_027382202.1	-5.32696499997794
XM_027363538.1	6.39546875313836
XM_027356425.1	-13.7211669401401
XM_027374863.1	9.71785176633905
XR_003476842.1	11.5486071979267
XM_027381035.1	-9.27550239445861
XM_027355482.1	8.4949080458319
XM_027379273.1	14.2525470590231
XM_027381431.1	-4.38057223188793
XR_003476845.1	10.1307143753751
XM_027362512.1	10.7426768903737
XM_027353281.1	-14.6521740292171
XR_003477648.1	14.8465553817767
XM_027351369.1	-9.21436275534376
