ID	padj
XM_027373072.1	3.67133215368044e-239
XM_027356520.1	3.16656144930826e-209
XM_027367829.1	9.24262175243393e-204
XM_027360709.1	1.33883057310216e-191
XM_027373952.1	1.64732312581134e-184
XM_027373947.1	9.50312449999631e-182
XR_003476627.1	1.68417961183978e-180
XM_027380251.1	1.53526201032506e-171
XM_027383510.1	2.40900637575014e-171
XM_027378195.1	1.60505734101846e-168
XM_027373305.1	5.40748883836233e-166
XM_027367827.1	1.38764213774148e-165
XM_027373948.1	9.9466637802472e-165
XM_027375090.1	9.09232833431968e-164
XM_027360711.1	6.11541675549687e-163
XM_027353729.1	2.86197920915572e-161
XM_027354025.1	7.17898688209697e-160
XM_027365284.1	1.43789360512473e-147
XR_003476415.1	1.8544130779949e-147
XM_027375755.1	1.41399142555123e-144
XR_003477587.1	7.02024544212831e-143
XM_027373951.1	6.43828456877568e-141
XM_027382375.1	7.61530444208733e-141
XM_027377649.1	8.98234125786388e-140
XR_003477486.1	1.46792218048368e-137
XM_027378196.1	1.31282298665918e-136
XM_027367828.1	2.43584395652483e-135
XM_027378200.1	3.57525578781418e-135
XM_027373955.1	6.03111023911858e-134
XM_027375756.1	1.07589458411113e-133
XM_027373949.1	1.61387660873302e-133
XM_027375221.1	1.63143610686094e-133
XR_003476907.1	3.45722534261127e-133
XM_027373950.1	2.19327515438211e-131
XM_027357635.1	2.24584854748569e-131
XM_027369632.1	2.0632416570657e-129
XM_027378198.1	1.09064337230757e-128
XM_027350640.1	1.56783351474356e-128
XM_027370944.1	1.68335303029433e-128
XM_027378197.1	5.68995190969464e-128
XM_027378201.1	7.40650293349201e-128
XM_027372426.1	7.87775144275247e-124
XM_027367375.1	1.54400205872096e-123
XM_027354033.1	3.82961029737669e-123
XM_027374262.1	7.90854891554733e-123
XM_027376912.1	4.78886136038422e-122
XR_003476797.1	4.78886136038422e-122
XM_027368306.1	6.42309184529216e-121
XM_027363509.1	8.25902279260068e-121
XM_027354024.1	9.25546247546882e-120
XM_027363378.1	4.74010352143803e-119
XM_027378026.1	1.05435189512613e-118
XM_027368762.1	1.21408523242484e-114
XM_027360279.1	2.28310144702236e-114
XM_027360712.1	4.3193169052458e-114
XM_027359485.1	4.82863328274714e-114
XM_027374607.1	4.9180536815961e-114
XM_027363799.1	2.06348671150569e-113
XM_027378199.1	1.16880478454443e-111
XM_027369156.1	5.1761484470125e-110
XM_027356357.1	6.48266121421961e-110
XM_027367006.1	8.04677854792785e-110
XM_027373953.1	1.18398477703445e-109
XM_027366420.1	2.08426319301231e-109
XM_027360280.1	9.80679527135685e-109
XM_027353111.1	2.88656066343209e-108
XM_027353283.1	1.81004729594539e-106
XM_027353849.1	2.12655544282703e-106
XM_027350981.1	9.01202230600127e-106
XM_027382573.1	4.25943862223693e-104
XM_027383077.1	4.39245988410195e-103
XM_027367040.1	6.19455374816843e-103
XR_003477394.1	6.86937318109512e-103
XM_027363368.1	2.92636842014657e-102
XM_027366734.1	1.81127637706611e-101
XM_027365568.1	2.53066839036281e-101
XM_027360710.1	1.16533567794345e-99
XM_027373414.1	3.07232306993066e-99
XM_027375663.1	6.29643672770578e-99
XM_027373523.1	1.63438210875402e-97
XM_027359845.1	6.23339796567814e-97
XM_027360307.1	7.12097361875162e-97
XM_027354026.1	7.9023447879532e-96
XM_027383076.1	1.545637800263e-95
XM_027360707.1	1.83502410192982e-95
XM_027380767.1	5.75667464617615e-95
XM_027380048.1	8.0546074857355e-95
XM_027374383.1	4.85083095732575e-94
XM_027360713.1	1.75709551870611e-93
XM_027350718.1	2.79820392308417e-92
XM_027370207.1	3.08190358229793e-92
XM_027381616.1	4.98367226268843e-92
XM_027380768.1	7.03297881997963e-92
XM_027376192.1	2.00793445393523e-91
XM_027356726.1	2.13173015620846e-91
XM_027367726.1	1.15384691628082e-90
XM_027361327.1	2.44358206609096e-90
XM_027383523.1	9.99965019376009e-90
XR_003477485.1	1.54134754907532e-89
XM_027357185.1	1.60756983727202e-89
XM_027356531.1	1.17363649329946e-88
XM_027367844.1	1.32639328097898e-88
XM_027372464.1	3.80388212082381e-88
XM_027365299.1	1.2999286120785e-87
XM_027355253.1	3.59411391030644e-87
XM_027366882.1	2.56822690710255e-86
XM_027366609.1	2.56023221651265e-85
XM_027373307.1	4.22307991964342e-85
XM_027350717.1	1.07834379922177e-84
XM_027366999.1	4.97801711817479e-84
XM_027362516.1	5.13698647267579e-84
XM_027366993.1	1.32000934014519e-83
XM_027356356.1	3.37746229201432e-83
XM_027367113.1	2.00138455698118e-82
XR_003476577.1	3.77980480726149e-82
XM_027360532.1	4.73844368639075e-82
XM_027376193.1	8.21002790703809e-82
XM_027356275.1	3.96287944029523e-81
XM_027366607.1	5.25092076660919e-81
XM_027378752.1	6.5376998555189e-81
XM_027360708.1	3.15051138237515e-80
XM_027366608.1	7.64352610186209e-80
XR_003475469.1	2.46789332029774e-79
XM_027353517.1	4.2613106241978e-79
XM_027371765.1	1.14813172226459e-78
XM_027361838.1	3.12907731038022e-78
XM_027376152.1	3.25623464931468e-78
XM_027373521.1	1.04583442864438e-77
XM_027351212.1	1.19401899659868e-77
XM_027366982.1	1.19401899659868e-77
XR_003477695.1	1.96388185626458e-77
XM_027356112.1	1.97682065040251e-77
XM_027352540.1	3.13442450151666e-77
XM_027378554.1	1.807467156423e-76
XM_027355250.1	1.94725782967479e-76
XR_003475471.1	2.25059124365251e-76
XM_027352360.1	3.2137639247377e-76
XM_027380344.1	3.8395180778811e-76
XM_027350808.1	4.73934146760605e-76
XM_027376624.1	6.77471166429736e-76
XM_027370208.1	8.31715874982046e-76
XM_027369419.1	1.07804142340115e-75
XM_027369058.1	3.66861645791804e-75
XM_027377198.1	4.9996053849581e-75
XM_027351560.1	8.12446357361115e-75
XM_027353575.1	9.82925324318423e-75
XR_003477351.1	3.78791270343052e-74
XM_027371012.1	6.12363773986343e-74
XM_027356379.1	1.42558584335084e-73
XM_027359526.1	1.58760921844705e-73
XM_027365569.1	1.63740995167493e-73
XM_027367320.1	1.65274416950294e-73
XM_027355867.1	2.14852843870247e-73
XM_027370449.1	9.31426187860578e-73
XM_027376151.1	2.57015973680763e-72
XM_027373288.1	2.92396499474326e-72
XM_027377034.1	4.53430894946873e-72
XM_027377294.1	8.02493442183761e-72
XM_027364776.1	9.14780329182659e-72
XM_027371897.1	1.65505649966334e-71
XM_027353433.1	2.07096105707328e-71
XM_027367725.1	3.04205012091415e-71
XM_027374381.1	6.21163032906722e-71
XM_027352223.1	8.81034915227646e-71
XR_003474933.1	8.98488453960245e-71
XM_027359007.1	1.93768736738871e-70
XM_027373306.1	1.40230778534251e-69
XM_027352922.1	6.39671103421421e-69
XM_027364162.1	7.45149481598532e-69
XM_027359551.1	8.51527180720458e-69
XM_027371564.1	9.06748717437928e-69
XM_027364476.1	1.2323084838466e-68
XR_003476619.1	1.58231221552461e-68
XM_027367609.1	7.19837857748468e-68
XR_003476844.1	7.76887793794866e-68
XM_027356202.1	8.98799983885031e-68
XM_027366022.1	2.37413345094889e-67
XM_027359434.1	4.45033890801374e-67
XM_027374913.1	5.78609630335786e-67
XM_027375757.1	6.53380127025441e-67
XR_003475697.1	6.56374440842374e-67
XM_027352176.1	1.00855670759758e-66
XM_027362264.1	2.30831273943734e-66
XM_027380671.1	2.69028682932452e-66
XM_027370165.1	1.15934986696541e-65
XM_027378643.1	2.11184824028207e-65
XM_027365010.1	2.39620697269796e-65
XM_027382572.1	3.34643296052134e-65
XM_027352541.1	3.58527869627299e-65
XM_027372127.1	3.58527869627299e-65
XM_027354978.1	3.88276783987057e-65
XM_027370945.1	9.42137178360294e-65
XM_027376445.1	9.42137178360294e-65
XM_027353526.1	1.32028227763212e-64
XM_027358398.1	1.82603831958343e-64
XM_027383717.1	3.98131866338125e-64
XM_027374001.1	4.03245338349749e-64
XM_027363524.1	9.46245985003163e-64
XM_027360261.1	1.10301421476271e-63
XM_027357976.1	1.27272472430193e-63
XM_027365739.1	1.39964275005937e-63
XM_027383679.1	1.40858056105891e-63
XM_027382677.1	4.54602493638481e-63
XM_027356265.1	1.68738395673925e-62
XM_027380032.1	1.8440851403309e-62
XR_003476560.1	2.09004797689038e-62
XM_027353686.1	2.37476856808836e-62
XM_027355874.1	2.45633745734868e-62
XM_027360654.1	3.15537827295419e-62
XM_027383763.1	8.15875781466664e-62
XM_027360541.1	1.0586850553816e-61
XM_027365106.1	2.38100108658123e-61
XM_027373625.1	5.44384971733802e-61
XM_027351592.1	6.00562783365993e-61
XM_027364806.1	6.00562783365993e-61
XM_027371720.1	9.01177201810028e-61
XM_027355399.1	9.5521663291948e-61
XM_027364188.1	1.33260427602599e-60
XM_027369461.1	1.39178452054945e-60
XM_027379583.1	2.33138019114998e-60
XR_003477154.1	2.79479197667976e-60
XM_027357251.1	3.1582515778746e-60
XM_027367783.1	4.16167495596817e-60
XM_027376154.1	5.46941583576418e-60
XM_027354465.1	7.20596408309241e-60
XM_027375363.1	7.26915097333505e-60
XM_027368880.1	7.89897319893398e-60
XM_027365171.1	1.07146279648634e-59
XM_027363503.1	1.1554610385466e-59
XM_027356267.1	1.22879309780099e-59
XM_027370337.1	1.25151578104601e-59
XM_027366439.1	1.38156305140048e-59
XM_027380050.1	6.25775903976373e-59
XM_027380690.1	6.61648127673512e-59
XM_027356269.1	7.26048037753533e-59
XM_027383361.1	7.75516049168612e-59
XM_027357249.1	1.2875825342955e-58
XM_027368263.1	1.47958241130709e-58
XM_027364187.1	1.80408825559692e-58
XM_027358900.1	2.7001509557836e-58
XM_027373871.1	2.90698799024253e-58
XM_027353282.1	5.52032084293816e-58
XM_027381080.1	6.74976153108576e-58
XM_027366290.1	6.85834208666779e-58
XM_027356381.1	9.08608287745533e-58
XM_027366389.1	9.34489572417311e-58
XM_027368503.1	1.15203324627039e-57
XM_027374382.1	1.24273905086967e-57
XM_027371013.1	1.27743440334021e-57
XM_027356603.1	1.33836586078031e-57
XM_027365107.1	1.51517933798177e-57
XM_027361907.1	1.94256263637979e-57
XM_027372345.1	2.20040075025838e-57
XM_027378576.1	3.19253526097965e-57
XM_027372883.1	3.42471982708422e-57
XM_027372262.1	4.08633767990313e-57
XM_027374305.1	4.34189108414646e-57
XM_027369021.1	4.45660100998973e-57
XM_027378858.1	4.6190070829008e-57
XM_027363385.1	6.85260003946127e-57
XM_027365177.1	8.29633913294766e-57
XM_027377103.1	8.29633913294766e-57
XM_027370325.1	1.04118749592086e-56
XM_027363018.1	1.21387878846243e-56
XM_027357428.1	1.23758651904467e-56
XM_027364568.1	1.29040362732707e-56
XM_027373106.1	1.36786622644125e-56
XM_027360490.1	1.38227608412728e-56
XR_003475953.1	1.56984286051208e-56
XM_027357369.1	1.6860545938997e-56
XM_027352782.1	1.96891494627376e-56
XM_027380116.1	2.06390095179424e-56
XM_027375725.1	3.44346702548493e-56
XM_027370947.1	4.10495513289318e-56
XM_027363360.1	5.24780906900569e-56
XM_027379278.1	5.49976228418486e-56
XM_027355437.1	5.54019086241868e-56
XM_027356271.1	5.63874260267725e-56
XM_027360213.1	7.64468908122477e-56
XM_027378563.1	9.03388008958012e-56
XM_027353685.1	9.79696757658051e-56
XM_027382774.1	1.03619772022223e-55
XM_027356355.1	1.42554492888285e-55
XM_027352923.1	2.04102424483498e-55
XM_027356268.1	2.1470018479576e-55
XM_027370320.1	3.40046136589201e-55
XM_027365048.1	4.42452616081212e-55
XM_027356270.1	5.99120423677649e-55
XR_003476156.1	1.05883433589176e-54
XM_027350794.1	2.5595042239019e-54
XM_027357247.1	3.95336444845877e-54
XM_027366187.1	5.81247105263157e-54
XM_027382049.1	8.58936725533256e-54
XM_027354220.1	1.03021082535518e-53
XM_027363598.1	1.04304816629879e-53
XM_027354640.1	1.50289646523685e-53
XM_027358478.1	1.63554238051562e-53
XM_027357912.1	2.37317479797462e-53
XM_027368879.1	2.55377949586016e-53
XM_027380864.1	2.55377949586016e-53
XM_027358197.1	3.75639355960199e-53
XM_027365105.1	4.29092536119348e-53
XM_027367003.1	4.98247251430051e-53
XM_027373421.1	5.39706317941961e-53
XM_027364405.1	5.47909511951563e-53
XM_027375754.1	5.5565630938594e-53
XM_027377982.1	8.22780839838831e-53
XM_027357252.1	9.23352675881982e-53
XM_027356272.1	1.07731905439527e-52
XM_027368866.1	1.51153579050209e-52
XM_027352986.1	1.60494715863996e-52
XM_027363593.1	1.8586985325203e-52
XM_027374162.1	2.59945967458749e-52
XM_027375140.1	3.37928003627476e-52
XM_027372694.1	3.57755585471418e-52
XM_027356273.1	3.63266048450918e-52
XM_027368070.1	4.57555045891376e-52
XM_027357248.1	4.7533583598522e-52
XM_027377634.1	5.64340649422409e-52
XM_027381702.1	7.61616681808866e-52
XM_027378386.1	7.9345613643874e-52
XM_027353688.1	8.67807682070182e-52
XM_027357549.1	1.07938824709023e-51
XM_027380268.1	1.24199706793677e-51
XM_027376102.1	1.27932008766568e-51
XM_027373710.1	1.65827770214806e-51
XM_027356274.1	2.76792276755842e-51
XM_027370202.1	2.90161185015204e-51
XM_027360430.1	6.15166096075005e-51
XM_027355088.1	7.76073959558674e-51
XM_027367845.1	1.38297834740478e-50
XM_027364414.1	1.46496759817849e-50
XM_027365740.1	1.61714071742605e-50
XM_027366616.1	2.09767756999999e-50
XM_027352808.1	2.33342816837084e-50
XM_027365539.1	2.65913146690366e-50
XM_027372261.1	2.7957772262578e-50
XM_027376971.1	2.84642624396146e-50
XM_027356380.1	3.32028743004854e-50
XM_027362740.1	3.45398686638767e-50
XM_027357569.1	3.50792397003489e-50
XR_003476052.1	3.94906944079202e-50
XM_027352461.1	4.82612157184197e-50
XM_027369057.1	5.40196879729011e-50
XM_027376679.1	6.75930916340669e-50
XM_027352222.1	7.70702151690599e-50
XM_027354227.1	8.81620068984523e-50
XM_027381567.1	8.81620068984523e-50
XM_027357975.1	9.24353532832534e-50
XM_027383771.1	9.7270395465816e-50
