ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	Expression
XM_027357955.1	14797.7448838368	7.30052477720309	0.193417625728201	37.7448784707041	0	0	157	166	189	211	181	29642	34349	26879	21511	45374	195.893276280398	176.240498469346	198.020032080287	164.531748580317	199.018521504303	25708.2034958765	26143.8173227579	25929.348975973	28160.4521208614	41101.9228459845	Down_ovary_Up_hemocyte
XM_027358254.1	4721.88824378123	8.85703609291447	0.234150664265579	37.8262266335858	0	0	13	17	29	28	13	10373	12254	9757	8388	9275	16.2204623671667	18.0487257468607	30.3840260863933	21.8335969680041	14.2941479533477	8996.39683094013	9326.80245343605	9412.27939873389	10980.887564027	8401.73523155346	Down_ovary_Up_hemocyte
XM_027359731.1	37193.9659723281	13.2892807068222	0.335510579190924	39.6091257058689	0	0	10	8	6	8	4	100932	113018	84100	47327	61002	12.4772787439744	8.4935179985227	6.28635022477103	6.2381705622869	4.39819937026084	87537.2915203364	86020.6103870112	81128.6970824557	61956.6601982246	55258.507018353	Down_ovary_Up_hemocyte
XM_027363492.1	73946.6114888734	12.8588816114339	0.340103970140278	37.8086783465954	0	0	32	24	12	17	9	185258	207259	156540	117760	127805	39.9272919807181	25.4805539955681	12.5727004495421	13.2561124448597	9.8959485830869	160672.369045243	157749.61234672	151009.348885703	154161.816826398	115771.835177217	Down_ovary_Up_hemocyte
XM_027369772.1	75979.9990578088	12.2505713869352	0.25550492769363	47.9465171083691	0	0	22	14	44	41	32	166722	187771	152170	110198	199896	27.4500132367437	14.8636564974147	46.0999016483209	31.9706241317203	35.1855949620868	144596.285785019	142916.845396127	146793.743579516	144262.261299553	181075.284727397	Down_ovary_Up_hemocyte
XM_027376169.1	88209.0335656764	13.5819836496365	0.291067405908326	46.6626746036765	0	0	10	5	13	23	20	202498	230781	183820	108069	233970	12.4772787439744	5.30844874907669	13.6204254870039	17.9347403665748	21.9909968513042	175624.444757709	175652.749878115	177325.530293662	141475.147610496	211941.131226584	Down_ovary_Up_hemocyte
XM_027376677.1	63522.2384172201	14.070808289767	0.315382312095807	44.6150838208472	0	0	8	4	10	9	5	152863	172423	127307	114529	108884	9.98182299517952	4.24675899926135	10.4772503746184	7.01794188257276	5.49774921282606	132576.516800154	131235.128074817	122809.168126946	149932.054341971	98632.2953048482	Down_ovary_Up_hemocyte
XM_027376678.1	51313.8582591464	13.1704192390475	0.312050764287234	42.2060150024965	0	0	13	5	6	14	16	104850	118378	93814	97234	126132	16.2204623671667	5.30844874907669	6.28635022477103	10.9167984840021	17.5927974810434	90935.3328568469	90100.2301969033	90499.4956967122	127290.846614283	114256.352369412	Down_ovary_Up_hemocyte
XM_027383771.1	76477.0057630005	11.2598970608086	0.296023235122611	38.0372069650033	0	0	38	28	76	84	81	167093	187485	151057	95620	227349	47.4136592271027	29.7273129948294	79.6271028470997	65.5007909040124	89.0635372477821	144918.05029136	142699.164189853	145720.066530137	125177.929050103	205943.515165331	Down_ovary_Up_hemocyte
XR_003476972.1	55989.1001526477	10.2417515918489	0.224186745307593	45.6840192661559	0	0	53	86	108	127	83	125470	144991	109886	63709	166528	66.1295773430643	91.305318484119	113.154304045878	99.0309576763045	91.2626369329125	108818.848007139	110355.999226877	106003.662397179	83402.64256278	150848.96653802	Down_ovary_Up_hemocyte
