ID	padj
XM_027357955.1	0
XM_027358254.1	0
XM_027359731.1	0
XM_027363492.1	0
XM_027369772.1	0
XM_027376169.1	0
XM_027376677.1	0
XM_027376678.1	0
XM_027383771.1	0
XR_003476972.1	0
XM_027350836.1	3.70155451317833e-298
XM_027361751.1	4.7733618513163e-296
XM_027380148.1	3.44227654869055e-290
XM_027383768.1	7.2842618789126e-282
XM_027367783.1	1.96892905004314e-274
XM_027374126.1	1.36437544042524e-258
XM_027376661.1	9.40505820684115e-258
XM_027373305.1	8.61961193398926e-256
XM_027350640.1	2.64436809922449e-251
XM_027375317.1	9.59352648359639e-249
XM_027355501.1	6.18953893902008e-243
XM_027358330.1	5.04865764024253e-241
XM_027375363.1	7.07628655732056e-241
XM_027373634.1	7.78329871728425e-238
XM_027368613.1	2.25909246968449e-236
XM_027355075.1	6.85272827749234e-230
XM_027357187.1	3.16024204132364e-226
XR_003477171.1	2.41417878895012e-225
XM_027354465.1	4.38380432265071e-221
XM_027373633.1	9.36632893288945e-219
XM_027358577.1	4.84035073683345e-218
XM_027352540.1	8.39994754763222e-217
XM_027365556.1	1.14528693769915e-216
XM_027380870.1	3.55414944055874e-211
XM_027376679.1	1.04832177787425e-207
XM_027352693.1	4.00978155341082e-206
XM_027365613.1	1.45947734165353e-205
XM_027354076.1	6.43851839040829e-204
XM_027370921.1	3.47807694278318e-203
XM_027373630.1	5.21120361613195e-201
XM_027352694.1	1.29187021797383e-196
XM_027358927.1	1.30306973456433e-196
XM_027374131.1	6.1897821200688e-196
XM_027366607.1	1.55308525640771e-195
XM_027363368.1	1.01143442868244e-194
XM_027363378.1	8.13203457524211e-193
XM_027375533.1	2.15180560891105e-192
XR_003476907.1	2.89247509007295e-191
XM_027373877.1	1.11507134237788e-190
XM_027374038.1	1.56450444090696e-187
XM_027360279.1	3.28097364974827e-186
XM_027375688.1	8.38891116656361e-186
XM_027352254.1	3.51708877004508e-185
XM_027366609.1	5.58037633560372e-180
XM_027360440.1	8.6163196618906e-179
XM_027367438.1	4.38761929509939e-178
XM_027350837.1	6.45519536694349e-178
XM_027376468.1	9.72517150180292e-178
XM_027383772.1	6.61474187615847e-176
XM_027352539.1	7.20554754261016e-175
XM_027364713.1	3.73048562245979e-174
XM_027353896.1	7.67964296775752e-172
XR_003475547.1	2.24947235737484e-171
XM_027368319.1	9.77445770635277e-171
XM_027373355.1	1.03496283370545e-168
XM_027382520.1	9.45864027610048e-168
XM_027367267.1	9.25922619070597e-167
XM_027367113.1	2.15282491052345e-165
XM_027372039.1	7.11804460781421e-165
XR_003477351.1	2.74305879092602e-164
XM_027358655.1	4.36124719214052e-163
XM_027381616.1	7.71467352540148e-163
XM_027357428.1	8.99813023307169e-162
XM_027353532.1	1.03100921698574e-161
XM_027373523.1	3.29844467942403e-159
XM_027372507.1	1.88490856059062e-158
XM_027351285.1	1.81945055710847e-157
XM_027373628.1	2.25718808668849e-157
XM_027383258.1	3.557385994556e-156
XM_027366420.1	5.07540730142544e-156
XM_027355250.1	2.03421680534173e-155
XM_027383770.1	4.3693280474009e-152
XM_027355253.1	3.6238186208853e-151
XM_027365262.1	1.12586321372543e-150
XM_027350838.1	2.5270694918893e-150
XM_027373686.1	4.39224609451466e-149
XM_027375549.1	2.00623206735031e-148
XM_027363772.1	5.6382873772327e-148
XM_027370278.1	4.86209660363506e-147
XM_027380871.1	6.23909611230653e-147
XM_027375526.1	1.37095449389984e-146
XM_027358072.1	2.65321967760142e-146
XM_027376179.1	5.07265582771793e-146
XM_027351617.1	8.10740906317687e-146
XM_027377058.1	1.20606579180321e-145
XM_027373521.1	5.36281604639323e-144
XM_027371564.1	2.68147989746344e-143
XM_027383259.1	5.48401643367187e-143
XM_027379986.1	8.84072755262931e-142
XM_027358547.1	3.20102598473637e-141
XM_027375140.1	3.67845214723751e-141
XM_027370836.1	7.51128567942952e-141
XM_027357252.1	8.66225113693217e-140
XM_027379400.1	1.41648873996438e-139
XM_027357251.1	2.62954247934561e-138
XM_027357249.1	7.0353638338125e-138
XM_027381164.1	3.08917293883797e-137
XM_027382220.1	4.38791075167233e-137
XM_027366608.1	1.55363415690557e-136
XM_027375761.1	1.65134407261465e-136
