ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	hep_1	hep_2	hep_3	hep_4	hep_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027359829.1	10298.7079379686	-11.7522198713401	0.393253058256106	-29.8846242250619	3.11753816166134e-196	5.55264721973502e-192	23414	18034	24110	19015	21245	8	2	4	12	4	26767.5473964843	17616.6894486895	23209.0273902343	13854.9485171113	21509.7560260366	6.88969306966694	2.78886111502422	3.63317697183841	11.6231507994169	4.17571917396414	Up_ovary_Down_hep
XM_027376192.1	40221.5180352904	-15.0315501062141	0.522041724659703	-28.7937714480821	2.566894587784e-182	2.28594797515104e-178	64521	78203	82298	89164	106530	2	0	4	0	6	73762.2330899703	76393.3661392848	79222.5854899007	64967.7954025619	107857.581052186	1.72242326741673	0	3.63317697183841	0	6.26357876094621	Up_ovary_Down_hep
XM_027363598.1	25568.4518760599	-14.0243671836471	0.488632236736719	-28.7012729190923	3.67820601640036e-181	2.1837509119369e-177	35429	58742	56275	66156	54725	0	2	2	2	9	40503.4354108671	57382.6977705954	54172.0454743027	48203.4169917442	55406.985103547	0	2.78886111502422	1.8165884859192	1.93719179990282	9.39536814141932	Up_ovary_Down_hep
XM_027373652.1	2152.38333770823	-5.09118671974165	0.178989581222746	-28.4440395075614	5.77473642394971e-178	2.57134576117421e-174	4301	4514	4036	5162	3888	138	104	158	120	87	4917.02491467836	4409.5450910161	3885.17770829472	3761.20138024342	3936.4524090012	118.847205451755	145.020777981259	143.510490387617	116.231507994169	90.8218920337201	Up_ovary_Down_hep
XM_027366999.1	21149.7140205079	-14.2309856861344	0.513622816640731	-27.7070745789876	5.73800915082808e-169	2.04399361970798e-165	32066	55673	42383	53198	40379	1	0	6	0	4	36658.7586407989	54384.7150757951	40799.1790908462	38761.7960143722	40882.2046870009	0.861211633708367	0	5.44976545775761	0	4.17571917396414	Up_ovary_Down_hep
XM_027365299.1	8461.43125585219	-12.4505529407871	0.454350226741112	-27.4029860843042	2.52678197326952e-165	7.50075228765058e-162	17295	18798	19896	16793	14890	2	2	6	0	5	19772.1334339368	18363.0103280728	19152.5014083825	12235.9269233684	15075.5597659537	1.72242326741673	2.78886111502422	5.44976545775761	0	5.21964896745518	Up_ovary_Down_hep
XM_027353729.1	10203.9188234195	-9.67923015663353	0.369309021828561	-26.2090270871497	2.09688484796712e-151	5.3353737181632e-148	13978	20932	20638	33401	21020	22	32	38	21	7	15980.0451656299	20447.6291194393	19866.7734251205	24337.056819355	21281.9520671824	18.9466559415841	44.6217778403875	34.5151812324649	20.3405138989796	7.30750855443725	Up_ovary_Down_hep
XM_027371819.1	19757.3930712273	11.0688169945834	0.427703644950966	25.8796414883309	1.12902154666635e-147	2.5136253459593e-144	20	24	29	10	11	48510	41229	45548	40658	16726	22.8645659831591	23.4446349544498	27.916291759303	7.28632580442352	11.1370824328738	41777.3763511929	57490.9774556667	41370.9861783239	39381.1721002244	17460.7697259311	Down_ovary_Up_hep
XM_027377147.1	1268.6296557565	8.65585312781428	0.337132841695071	25.6749033535075	2.22930695734689e-145	4.4117984685895e-142	6	4	10	6	7	2952	1650	3311	3065	1758	6.85936979494772	3.90743915907496	9.62630750320794	4.37179548265411	7.08723427546512	2542.2967427071	2300.81041989498	3007.36223843924	2968.74643335107	1835.22857695724	Down_ovary_Up_hep
XM_027377103.1	1027.80088905299	-5.74433433011618	0.224331821909495	-25.6064176772643	1.29406257687276e-144	2.30485485566807e-141	1712	2469	2015	2833	1693	30	38	42	30	43	1957.20684815842	2411.86682093902	1939.7009618964	2064.21610039318	1714.09823262321	25.836349011251	52.9883611854601	38.1483582043033	29.0578769985423	44.8889811201145	Up_ovary_Down_hep
XR_003477433.1	1789.57097246716	7.62453040315957	0.299891995025645	25.4242544970484	1.36027754808176e-142	2.20253667353493e-139	13	14	23	31	16	3084	2665	5465	4171	2328	14.8619678890534	13.6760370567624	22.1405072573783	22.5876099937129	16.1993926296346	2655.9766783566	3716.15743576977	4963.82803777422	4040.01349869732	2430.26855924713	Down_ovary_Up_hep
XM_027356202.1	7959.47582497796	-12.5845915464712	0.504846369268292	-24.927566706503	3.73967331321429e-137	5.12364010628152e-134	13256	16942	14855	21208	17902	0	0	9	0	4	15154.6343336378	16549.958558262	14299.8797960154	15452.8397660214	18125.0954284824	0	0	8.17464818663641	0	4.17571917396414	Up_ovary_Down_hep
XM_027383510.1	26685.9019144131	-14.2241353674735	0.570557459009117	-24.9302417186457	3.49805176057987e-137	5.12364010628152e-134	38409	59129	60542	70472	54863	0	0	8	0	6	43910.2557423578	57760.7425092359	58279.5908859215	51348.1952089334	55546.7048649776	0	0	7.26635394367681	0	6.26357876094621	Up_ovary_Down_hep
XM_027380335.1	1382.88807497634	3.91081627984868	0.157460957207985	24.8367363516216	3.59702295605254e-136	4.57618399073227e-133	130	155	158	257	219	2978	1951	3023	2494	2415	148.619678890534	151.413267414155	152.095658550685	187.258573173684	221.729186618123	2564.68824518352	2720.53401770612	2745.77349646688	2415.67817447881	2521.09045128085	Down_ovary_Up_hep
XM_027363322.1	44756.5304837712	15.8614308773609	0.639850878586058	24.7892616986187	1.17048372706571e-135	1.38983237751783e-132	0	2	2	2	2	77716	103784	101904	97621	46741	0	1.95371957953748	1.92526150064159	1.4572651608847	2.02492407870432	66929.9233252795	144719.580980837	92558.8165345552	94555.3003491564	48794.3224775645	Down_ovary_Up_hep
XM_027354328.1	1601.07471839013	-5.07359072927048	0.205046441644243	-24.7436175365247	3.6316878538257e-135	4.04274952278059e-132	2666	3078	3001	3746	3830	142	54	94	74	101	3047.8466455551	3006.77443290818	2888.8548817127	2729.45764633705	3877.72961071877	122.292051986588	75.2992501056539	85.3796588382025	71.6760965964042	105.436909142595	Up_ovary_Down_hep
XM_027371933.1	8462.00300899288	12.0326891633005	0.491450990963692	24.4840063089616	2.18688269696077e-132	2.29120986562166e-129	6	4	8	3	0	19085	19918	14946	16474	10400	6.85936979494772	3.90743915907496	7.70104600256635	2.18589774132706	0	16436.2240293242	27774.2678445262	13575.3657552742	15956.6488557995	10856.8698523068	Down_ovary_Up_hep
XM_027383771.1	23064.4147905183	9.64659129228314	0.394368685558857	24.460845005006	3.85832705096297e-132	3.81781461692786e-129	38	28	76	84	81	44390	35283	61608	68828	19449	43.4426753680022	27.3520741135247	73.1599370243803	61.2051367571576	82.009425187525	38229.1844203144	49199.6933606997	55958.1917202551	66666.5186018555	20303.3905536071	Down_ovary_Up_hep
XM_027375348.1	11551.3274484025	13.1589051584365	0.544515034653714	24.1662843465928	5.03479392957217e-129	4.71972182524263e-126	3	4	2	0	4	31564	27339	17927	18315	15491	3.42968489747386	3.90743915907496	1.92526150064159	0	4.04984815740864	27183.2840063709	38122.3370118235	16282.9908935368	17739.83390761	16171.5164309696	Down_ovary_Up_hep
XR_003477351.1	4351.34814563421	-9.58732656948425	0.398229802823166	-24.0748595447074	4.5849693757062e-128	4.08314447753516e-125	9579	10855	6603	12478	6374	4	8	13	8	22	10950.983877634	10603.8130179397	6356.2508443682	9091.87733875967	6453.43303883067	3.44484653483347	11.1554444600969	11.8078251584748	7.74876719961127	22.9664554568028	Up_ovary_Down_hep
XM_027363368.1	20126.1629088667	-6.51704171680336	0.271016185544139	-24.0466882216596	9.04103889926763e-128	7.66809256356456e-125	40378	45935	42874	44992	33584	569	186	634	548	302	46161.2722633998	44872.0544430271	41271.8307892537	32782.6370592623	34002.5251296029	490.029419580061	259.364083697252	575.858550036387	530.790553173372	315.266797634293	Up_ovary_Down_hep
XM_027377374.1	2981.82268278605	6.5692691802048	0.27517667011163	23.8729147261643	5.85566781096225e-126	4.7406954264113e-123	67	67	52	51	82	5890	5312	7219	6587	3917	76.5962960435829	65.4496059145056	50.0567990166813	37.1602616025599	83.0218872268771	5072.53652254228	7407.21512150432	6556.97613992536	6380.14119297993	4089.07300110438	Down_ovary_Up_hep
XM_027364170.1	1772.56417861644	-3.36312021151865	0.142731554980696	-23.562555679951	9.33441436142544e-123	7.22848931266733e-120	2529	3252	3530	4153	3618	366	226	287	376	302	2891.22436857046	3176.74803632795	3398.0865486324	3026.01110657709	3663.08765837612	315.203457937262	315.141305997737	260.680447729406	364.19205838173	315.266797634293	Up_ovary_Down_hep
XM_027373953.1	49313.5217634186	-15.0712134196969	0.641489450039086	-23.4940939695556	4.68708871588658e-122	3.47840571327732e-119	77580	90983	102273	129016	121581	5	0	10	0	0	88691.651448674	88877.6342525294	98451.1347275585	94005.2609983505	123096.147206475	4.30605816854184	0	9.08294242959601	0	0	Up_ovary_Down_hep
XM_027353225.1	4760.85388554075	-7.21375767447967	0.307171654958844	-23.4844509837543	5.88100355663882e-122	4.18986217389176e-119	6149	9188	10521	14967	10123	33	72	77	54	67	7029.71081152226	8975.38774839519	10127.8381241251	10905.4438314807	10249.1532243619	28.4199839123761	100.399000140872	69.9386567078893	52.3041785973761	69.9432961638993	Up_ovary_Down_hep
XM_027363509.1	7159.21838130502	-10.5411411707024	0.451112008307135	-23.3670152347741	9.2549251010148e-121	6.33997965285287e-118	11150	15742	14405	20421	14491	1	14	12	4	14	12746.9955356112	15377.7268105395	13866.695958371	14879.4059252133	14671.5874122522	0.861211633708367	19.5220278051695	10.8995309155152	3.87438359980563	14.6150171088745	Up_ovary_Down_hep
XR_003476907.1	22387.5719869665	-7.66410724454614	0.330236107773277	-23.2079626186968	3.78379218146883e-119	2.49604157570894e-116	47422	53751	50112	49013	31711	405	94	261	257	125	54214.1724026685	52507.1905598596	48239.3521600756	35712.468665221	32106.1837298964	348.790711651889	131.076472406138	237.064797412456	248.929146287512	130.491224186379	Up_ovary_Down_hep
XM_027381616.1	1748.02016945023	-9.62822616054844	0.414924794093714	-23.204750107977	4.07721974424106e-119	2.59354860230991e-116	3238	3213	3111	4446	4330	4	0	1	7	10	3701.77323267345	3138.65050452696	2994.74426424799	3239.5004526467	4383.96063039485	3.44484653483347	0	0.908294242959602	6.78017129965986	10.4392979349104	Up_ovary_Down_hep
XM_027360613.1	1279.38313445056	6.85957817902912	0.295687986817419	23.1987043263438	4.69241564413039e-119	2.88195224267608e-116	33	24	21	17	17	3178	1881	2890	3058	1663	37.7265338722125	23.4446349544498	20.2152457567367	12.38675386752	17.2118546689867	2736.93057192519	2622.92387868028	2624.97036215325	2961.96626205141	1736.05524657559	Down_ovary_Up_hep
XM_027371223.1	455.842879809013	6.08453120413238	0.264407858982254	23.0119151055217	3.54186851519575e-117	2.10280733747172e-114	12	12	8	26	13	830	688	1110	1031	778	13.7187395898954	11.7223174772249	7.70104600256635	18.9444470915012	13.1620065115781	714.805655977945	959.368223568331	1008.20660968516	998.622372849902	812.177379336025	Down_ovary_Up_hep
