ID	padj
XM_027359829.1	5.55264721973502e-192
XM_027376192.1	2.28594797515104e-178
XM_027363598.1	2.1837509119369e-177
XM_027373652.1	2.57134576117421e-174
XM_027366999.1	2.04399361970798e-165
XM_027365299.1	7.50075228765058e-162
XM_027353729.1	5.3353737181632e-148
XM_027371819.1	2.5136253459593e-144
XM_027377147.1	4.4117984685895e-142
XM_027377103.1	2.30485485566807e-141
XR_003477433.1	2.20253667353493e-139
XM_027356202.1	5.12364010628152e-134
XM_027383510.1	5.12364010628152e-134
XM_027380335.1	4.57618399073227e-133
XM_027363322.1	1.38983237751783e-132
XM_027354328.1	4.04274952278059e-132
XM_027371933.1	2.29120986562166e-129
XM_027383771.1	3.81781461692786e-129
XM_027375348.1	4.71972182524263e-126
XR_003477351.1	4.08314447753516e-125
XM_027363368.1	7.66809256356456e-125
XM_027377374.1	4.7406954264113e-123
XM_027364170.1	7.22848931266733e-120
XM_027373953.1	3.47840571327732e-119
XM_027353225.1	4.18986217389176e-119
XM_027363509.1	6.33997965285287e-118
XR_003476907.1	2.49604157570894e-116
XM_027381616.1	2.59354860230991e-116
XM_027360613.1	2.88195224267608e-116
XM_027371223.1	2.10280733747172e-114
XM_027353111.1	6.45559833634914e-114
XM_027366472.1	1.31162741626654e-113
XM_027357274.1	7.38395344137304e-113
XM_027369287.1	7.65194386583324e-113
XM_027360708.1	4.77132075326624e-112
XM_027357490.1	9.80141743544542e-112
XM_027381345.1	1.33883870988296e-111
XM_027362346.1	1.65623583008006e-111
XM_027360707.1	1.86935943645097e-111
XM_027380421.1	1.59235210779583e-110
XM_027352008.1	8.61422926032133e-110
XM_027364048.1	8.61422926032133e-110
XM_027352225.1	9.40685573961507e-110
XM_027356697.1	1.75465691977563e-109
XM_027352178.1	7.66145599475363e-109
XM_027353517.1	2.36900679258299e-108
XM_027373774.1	3.45223810113022e-108
XM_027376410.1	6.28590128308966e-108
XM_027354590.1	1.14101126877153e-107
XM_027369306.1	2.84218087106894e-107
XM_027355570.1	6.06542211507651e-107
XM_027373653.1	1.00326542219157e-105
XM_027377619.1	2.42863257645193e-104
XM_027367145.1	3.72310700998219e-104
XM_027357105.1	7.8870755794545e-104
XM_027356013.1	2.30506245580663e-103
XM_027376193.1	4.30131129571082e-103
XM_027380441.1	4.30131129571082e-103
XM_027365373.1	6.70071455179734e-103
XM_027367828.1	9.02464057407901e-103
XM_027383260.1	3.51502328900015e-102
XM_027354465.1	7.67720630278772e-102
