ID	logFC
XM_027373625.1	-17.7090624784051
XM_027378026.1	-13.769176188549
XM_027363184.1	-15.3736958853296
XM_027366290.1	-11.8240625110448
XM_027359256.1	-16.3661675304813
XM_027377415.1	-21.0044943598967
XM_027364708.1	-14.4343133658528
XM_027370944.1	-13.8979148681523
XM_027376185.1	-12.9901949040646
XM_027373288.1	-19.774525542208
XM_027380344.1	-16.3921103785424
XM_027377418.1	-10.8611106325957
XM_027367923.1	-12.1406444290057
XR_003475688.1	-10.9680538103804
XM_027378347.1	-16.3870959743418
XM_027357868.1	-15.1282115384194
XM_027357867.1	-15.6165139027307
XM_027365171.1	-11.2483917899376
XM_027361907.1	-14.9180627058738
XM_027365793.1	-14.5748054521753
XM_027383335.1	-12.7160467699689
XR_003475976.1	-15.4372653883896
XM_027355829.1	-6.90960147806185
XM_027364702.1	-13.8944280858525
XM_027355828.1	-7.10012470883739
XM_027367438.1	-8.2462091432467
XM_027371156.1	-11.9316468297583
XM_027356265.1	-12.5902679595139
XM_027378011.1	-10.4688989133921
XM_027360131.1	-10.469886863675
XM_027352991.1	-14.710818086014
XM_027364713.1	-8.91604352268595
XM_027375663.1	-16.3861019782173
XM_027381155.1	-7.26054746502501
XM_027365740.1	-11.7450933137247
XM_027370320.1	-16.2988914156167
XM_027356268.1	-12.1095338002513
XM_027362395.1	-10.9455349071807
XM_027370319.1	-16.3543759103839
XM_027354370.1	-13.7899328997407
XM_027377086.1	-13.4497008024598
XM_027374863.1	-10.8406947811275
XM_027371784.1	-9.07776439668657
XM_027351679.1	-14.0633927541236
XM_027368787.1	-13.1273190300574
XM_027360383.1	-7.40559899280609
XM_027379273.1	-12.2301054673155
XM_027370438.1	-14.8775837302324
XM_027356112.1	-11.7713381565479
XM_027379114.1	-7.82563770382409
XM_027367748.1	-16.0489790013486
XM_027369612.1	-10.7041026794711
XM_027360384.1	-7.63925077925265
XM_027373801.1	-10.2752388551018
XM_027370945.1	-13.0457557247208
XM_027352034.1	-14.8427033782276
XM_027368237.1	-10.5934522759486
XM_027358478.1	-15.0580433232257
XM_027365010.1	-13.9500463328951
XR_003476844.1	-16.2052488044559
XM_027370325.1	-13.2212030971623
XM_027352577.1	-13.3502392929201
XM_027368358.1	-7.14335438528018
XM_027363524.1	-9.46838953673764
XM_027360785.1	-14.9343480105019
XM_027362631.1	-14.4041359286012
XM_027380389.1	-10.5068474184189
XM_027381683.1	-10.4856198046305
XM_027356825.1	-7.31957097065024
XM_027382389.1	-13.7841860963506
XM_027354371.1	-14.1396512532223
XM_027354244.1	-9.78343002691476
XM_027352265.1	-12.1536761957389
XM_027368788.1	-10.6014357943659
XM_027379274.1	-14.5694961502067
XM_027365316.1	-16.5899770983679
XM_027377198.1	-11.4396493062169
XM_027369484.1	-5.70448542818625
XM_027363774.1	-8.07706271893901
XM_027353243.1	-9.7510635098772
XR_003477463.1	-7.83856118189243
XM_027361969.1	-13.3103942665072
XM_027370947.1	-15.345806323145
XR_003477648.1	-12.6462506822385
XM_027376719.1	-7.53062438216703
XM_027377087.1	-11.8220597921306
XM_027356274.1	-12.4530896561781
XM_027360878.1	-9.77913858675437
XM_027354227.1	-9.24784172139845
XM_027354076.1	-7.22254073968597
XM_027351609.1	-12.5444857924828
XM_027356269.1	-12.424410355112
XM_027372464.1	-15.257315768062
XM_027363799.1	-12.5668459681596
XM_027383258.1	-6.24243747252597
XM_027368614.1	-9.34562228929675
XM_027351610.1	-12.0048942819336
XM_027355549.1	-16.0654512855552
XM_027354220.1	-8.45370209003557
XM_027362632.1	-14.6616518142337
XM_027382188.1	-7.6978635242082
XM_027360870.1	-9.31119389013564
XM_027354253.1	-8.19522702629734
XM_027366562.1	-16.5542693209878
XR_003476964.1	-16.8990044611831
XM_027376753.1	-6.98973266871407
XM_027383346.1	-13.0950879054065
XM_027357014.1	-10.342777187844
XM_027383345.1	-10.971903538058
XM_027368408.1	-6.87391471155658
XM_027362475.1	-11.7473588462667
XM_027350794.1	-18.3348541885055
XM_027363761.1	-6.55827043417748
XM_027376200.1	-7.17043728707044
XM_027359377.1	-14.4946011585231
XR_003475884.1	-13.7038007251597
XR_003476845.1	-14.7412775640665
XM_027357523.1	-10.2121894604137
XM_027366196.1	-7.27507395094361
XM_027360879.1	-9.16235378048564
XM_027376661.1	6.60658647712389
XM_027354538.1	-13.4047359343179
XM_027358254.1	4.81310553510281
XM_027370949.1	-12.0376731589206
XM_027363492.1	6.55830651620025
XM_027371300.1	-17.0974701580512
XM_027356273.1	-12.5834489207124
XM_027379949.1	-8.51969884994682
XM_027363190.1	-7.52061774036392
XM_027360873.1	-8.86323207676562
XM_027366120.1	-12.0182424138696
XM_027381750.1	-8.5785839716606
XM_027352033.1	-12.9751291126005
XM_027360875.1	-8.42797898951521
XM_027358623.1	-11.631968452332
XM_027364340.1	-13.7547254273622
XM_027362209.1	-9.49723184880322
XM_027374962.1	-11.76671680287
XM_027382676.1	-8.05716809495297
XM_027367066.1	-7.92728140247679
XM_027352461.1	-7.83189401197229
XM_027369777.1	-12.9444337250193
XM_027366225.1	-12.8130017595805
XM_027373107.1	-11.6073656558125
XM_027355522.1	-9.29471184426701
XM_027372337.1	-7.77654539088801
XM_027358547.1	-5.99123240620058
XM_027373414.1	-19.6770841056206
XM_027355334.1	6.1544785589168
XM_027356811.1	-6.67056081112451
XM_027360158.1	-13.4155173443928
XM_027376198.1	-7.34162557912153
XM_027354526.1	-10.3246874585377
XM_027365794.1	-13.8641616787818
XR_003477154.1	-19.7314308920192
XM_027369485.1	-5.85473759718668
XM_027362630.1	-13.5847111317436
XM_027365098.1	-13.3080919557195
XM_027358624.1	-6.4936969149036
XM_027364341.1	-13.9399293488806
