ID	FDR
XM_027373625.1	9.95314082559691e-100
XM_027378026.1	1.90147159292422e-97
XM_027363184.1	3.35129833458167e-92
XM_027366290.1	5.06499052025553e-84
XM_027359256.1	1.0333974050068e-83
XM_027377415.1	1.20038737320253e-82
XM_027364708.1	1.64533584008958e-82
XM_027370944.1	2.47325801192834e-82
XM_027376185.1	2.24404652895319e-81
XM_027373288.1	3.41010900451981e-79
XM_027380344.1	2.11344552544883e-78
XM_027377418.1	3.60946129153811e-76
XM_027367923.1	3.94232917079046e-75
XR_003475688.1	1.17086246158043e-73
XM_027378347.1	1.1720100489236e-73
XM_027357868.1	1.23927549964616e-73
XM_027357867.1	1.26742059758247e-73
XM_027365171.1	3.15204739184106e-73
XM_027361907.1	2.05763067321109e-71
XM_027365793.1	5.78058726821856e-71
XM_027383335.1	1.25053832975321e-70
XR_003475976.1	2.65256397042744e-70
XM_027355829.1	1.59055655406223e-68
XM_027364702.1	2.68359982628313e-68
XM_027355828.1	2.72122470676581e-68
XM_027367438.1	4.07836509685619e-68
XM_027371156.1	2.93844537104173e-65
XM_027356265.1	6.77528293524959e-65
XM_027378011.1	4.10650747921415e-64
XM_027360131.1	1.64402568750613e-63
XM_027352991.1	2.44255169909947e-63
XM_027364713.1	1.23653090692716e-62
XM_027375663.1	2.94724700062674e-62
XM_027381155.1	4.08626759673988e-62
XM_027365740.1	3.1631449145527e-61
XM_027370320.1	8.80370450140406e-61
XM_027356268.1	1.76788666121883e-60
XM_027362395.1	4.75167651372472e-60
XM_027370319.1	1.0890887846635e-59
XM_027354370.1	1.20679832313109e-59
XM_027377086.1	2.60272504409577e-59
XM_027374863.1	4.96833684292034e-59
XM_027371784.1	8.54860975327815e-59
XM_027351679.1	1.08207712670418e-58
XM_027368787.1	1.24611798650249e-58
XM_027360383.1	2.42956565066042e-58
XM_027379273.1	2.58697193019025e-58
XM_027370438.1	3.39052889896216e-58
XM_027356112.1	2.0837525922882e-57
XM_027379114.1	2.0837525922882e-57
XM_027367748.1	2.46863090760468e-57
XM_027369612.1	3.48084472478238e-57
XM_027360384.1	5.42733845331335e-57
XM_027373801.1	9.45083867772564e-57
XM_027370945.1	9.54173573830973e-57
XM_027352034.1	1.29016713952663e-56
XM_027368237.1	1.8353655814193e-56
XM_027358478.1	1.06510430754721e-55
XM_027365010.1	1.11094513732201e-55
XR_003476844.1	1.19393121407377e-55
XM_027370325.1	2.51026456792607e-55
XM_027352577.1	2.86879830060695e-55
XM_027368358.1	3.06710061159285e-55
XM_027363524.1	4.76972114625999e-55
XM_027360785.1	5.37056511392367e-55
XM_027362631.1	5.76411281966241e-55
XM_027380389.1	5.76411281966241e-55
XM_027381683.1	1.24549285725239e-54
XM_027356825.1	1.34806657767269e-54
XM_027382389.1	2.03480968991652e-54
XM_027354371.1	3.49005552629838e-54
XM_027354244.1	1.55952150583129e-53
XM_027352265.1	2.4517542915165e-53
XM_027368788.1	3.006152176827e-53
XM_027379274.1	4.79236975651159e-53
XM_027365316.1	1.05592947648279e-52
XM_027377198.1	1.26812730664797e-52
XM_027369484.1	1.34921671113897e-52
XM_027363774.1	1.92466842499278e-52
XM_027353243.1	1.36001874535209e-51
XR_003477463.1	3.03387892013614e-51
XM_027361969.1	7.29461039602241e-51
XM_027370947.1	8.67085605561209e-51
XR_003477648.1	9.7894909220817e-51
XM_027376719.1	2.71803574251856e-50
XM_027377087.1	3.52322530296976e-50
XM_027356274.1	4.43696112140705e-50
XM_027360878.1	4.59399902454959e-50
XM_027354227.1	4.79330052703918e-50
XM_027354076.1	5.67319073968317e-50
XM_027351609.1	7.72241957160553e-50
XM_027356269.1	1.61960535300555e-49
XM_027372464.1	5.64580945861502e-49
XM_027363799.1	1.84209433834705e-48
XM_027383258.1	1.90625458673139e-48
XM_027368614.1	2.119426967161e-48
XM_027351610.1	2.17057857311706e-48
XM_027355549.1	2.40269228900773e-48
XM_027354220.1	4.15178379661116e-48
XM_027362632.1	6.33294470386474e-48
XM_027382188.1	7.18190309858401e-48
XM_027360870.1	1.17199038490579e-47
XM_027354253.1	3.14935571143387e-47
XM_027366562.1	3.14935571143387e-47
XR_003476964.1	4.19786895320342e-47
XM_027376753.1	5.04691297350845e-47
XM_027383346.1	7.75440053976212e-47
XM_027357014.1	9.01624601698312e-47
XM_027383345.1	9.65954853950078e-47
XM_027368408.1	1.00431299560301e-46
XM_027362475.1	2.09993303563164e-46
XM_027350794.1	2.35024831334505e-46
XM_027363761.1	2.50876952648593e-46
XM_027376200.1	3.30088850571008e-46
XM_027359377.1	3.93821841719077e-46
XR_003475884.1	4.41282366922302e-46
XR_003476845.1	4.74453502528318e-46
XM_027357523.1	5.8630626818871e-46
XM_027366196.1	6.26140591065121e-46
XM_027360879.1	8.3150760100879e-46
XM_027376661.1	8.3150760100879e-46
XM_027354538.1	8.32503906256043e-46
XM_027358254.1	2.48571447541866e-45
XM_027370949.1	2.78033517163928e-45
XM_027363492.1	2.81218296266975e-45
XM_027371300.1	4.56281179969631e-45
