ID	logFC	logCPM	PValue	FDR	gills_1	gills_2	gills_3	gills_4	gills_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356802.1	11.4258500882378	11.1537851527198	1.46188368012876e-96	2.47496907045799e-92	384	214	237	242	220	277291	36319	44668	43915	77299	1.59514642574342	1.44278411784794	1.39824850446261	1.65038000709828	2.19334689202822	4864.45052871235	4498.33008804986	4211.06104076538	5026.11313244862	4176.04140877968	Down_gills_Up_muscle
XM_027365850.1	17.0904907987973	8.40700381366884	1.04185448097808e-77	8.81929818147941e-74	3	0	0	0	0	20826	5610	7666	6998	15017	0.0124620814511205	0	0	0	0	365.345599788538	694.832781573273	722.709634156609	800.927694429591	811.286224086269	Down_gills_Up_muscle
XM_027356798.1	10.3436003738654	10.8072974296446	4.20397526861152e-77	2.37244337658644e-73	426	350	508	466	349	234072	23680	32002	37732	65367	1.76961556605911	2.35969365068589	2.99708962137976	3.17800447647851	3.47944575144477	4106.26981819373	2932.91270368184	3016.97804751889	4318.46295601848	3531.42083038204	Down_gills_Up_muscle
XM_027362706.1	15.1488716437678	7.38872023870011	1.51214242844784e-76	6.40014282840546e-73	7	0	0	0	0	24463	2255	3903	2520	5765	0.0290781900526145	0	0	0	0	429.148631884519	279.29552984808	367.954044105563	288.416374673131	311.45136058183	Down_gills_Up_muscle
XM_027365858.1	15.4688520618122	8.15557036078556	2.044664251936e-76	6.9232331570553e-73	5	0	0	0	4	18860	5241	6765	5956	10232	0.0207701357518675	0	0	0	0.0398790344005131	330.856526073745	649.129876689041	637.768154848612	681.669812521098	552.778893577326	Down_gills_Up_muscle
XM_027365815.1	16.1059944550667	8.38898254721432	5.9991409982298e-75	1.69275761833384e-71	5	0	0	2	0	20162	6565	8473	7144	10547	0.0207701357518675	0	0	0.0136395041908949	0	353.69720459697	813.115367384766	798.789294313716	817.637532009859	569.796617529325	Down_gills_Up_muscle
XM_027361441.1	11.9722512429641	7.07792393842968	7.01015861211982e-74	1.69545693290269e-70	20	8	12	6	8	11225	2111	3002	2005	7042	0.0830805430074699	0.0539358548728203	0.070797392631018	0.0409185125726847	0.0797580688010262	196.91752413456	261.460249893258	283.012564797566	229.474139372868	380.44067323803	Down_gills_Up_muscle
XM_027356797.1	10.3220338627861	10.8127612044614	9.31770815095913e-73	1.97185998744673e-69	404	336	527	467	382	234492	23528	31943	38270	65796	1.67822696875089	2.26530590465845	3.10918549304554	3.18482422857396	3.808447785249	4113.63777900767	2914.08657484063	3011.41584188163	4380.03756299235	3554.59734966905	Down_gills_Up_muscle
XM_027370793.1	14.5334703447421	6.86980719767939	1.84347791395832e-72	3.46778678703494e-69	2	1	4	0	0	10434	2097	2482	2793	3218	0.00830805430074699	0.00674198185910254	0.023599130877006	0	0	183.041197934966	259.726264342095	233.989735452218	319.661481929386	173.850906912806	Down_gills_Up_muscle
XM_027365807.1	15.5572594064001	8.4931863082222	2.98748253726795e-72	5.05780793559464e-69	10	0	0	0	2	20715	6413	8525	7289	14964	0.041540271503735	0	0	0	0.0199395172002565	363.398353001996	794.289238543565	803.691577248251	834.232918647797	808.422924500694	Down_gills_Up_muscle
XM_027370370.1	11.8727023138352	8.02607538996077	5.42305100131169e-70	8.34656849565518e-67	30	38	24	8	11	21033	4836	5480	5260	9628	0.124620814511205	0.256195310645897	0.141594785262036	0.0545580167635796	0.109667344601411	368.976951903981	598.968151816105	516.625201562512	602.011956658995	520.148083205873	Down_gills_Up_muscle
XM_027365225.1	15.3019568882422	8.91644315964937	7.30597306762877e-70	1.03075103362463e-66	13	0	0	0	6	34015	9779	12709	8955	14838	0.0540023529548554	0	0	0	0.0598185516007696	596.717112110204	1211.18890748753	1198.13680413467	1024.90818857059	801.615834919894	Down_gills_Up_muscle
