ID	logFC	logCPM	PValue	FDR	gills_1	gills_2	gills_3	gills_4	gills_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027350619.1	2.69860917358746	6.98411625322659	2.09247300800696e-06	1.40801144775667e-05	10192	5554	6559	1968	3725	5141	2740	3501	2335	1311	42.3378447166067	37.4449672454555	38.6966748555706	13.4212721238406	37.1373507854778	90.1873489154361	339.365743584807	330.055626034736	267.242950341968	70.8261463526069	Down_gills_Up_muscle
XM_027350640.1	-3.38081268687563	5.04470704582777	6.95966634180261e-12	1.00363842561089e-10	19407	5548	8056	9809	6812	154	42	60	38	202	80.6172049072984	37.4045153543009	47.5286495862901	66.894948304244	67.9139955840738	2.70158563177926	5.20195665348974	5.6564803090786	4.34913580856308	10.9129531374726	Up_gills_Down_muscle
XM_027350642.1	-4.31272528245951	4.61961923299273	0.000100687318848214	0.000475623969894044	701	4354	20008	10904	853	14	8	4	22	140	2.91197303241182	29.3545890145325	118.042852646784	74.362576848759	8.50420408590941	0.245598693798114	0.990848886378998	0.377098687271907	2.51792073127336	7.56343286755528	Up_gills_Down_muscle
XM_027350643.1	-4.3018067686057	4.71105760425914	6.36733227996434e-05	0.000315940608147117	748	4530	21546	11338	1033	11	10	8	28	133	3.10721230847938	30.5411778217345	127.116718468993	77.3223492581832	10.2987606339325	0.192970402269947	1.23856110797375	0.754197374543813	3.20462638525701	7.18526122417751	Up_gills_Down_muscle
XM_027350644.1	8.12713697038921	7.31127072271573	5.93668588736196e-24	2.43951679788927e-22	95	103	213	71	285	6062	2550	4158	3106	7657	0.394632579285482	0.694424131487562	1.25665371920057	0.484202398776769	2.84138120103656	106.344234414584	315.833082533306	391.994085419147	355.484626878867	413.665753334791	Down_gills_Up_muscle
XM_027350645.1	8.21975883382138	7.25785114596783	1.11476293270894e-21	3.93186176057547e-20	90	92	154	49	290	5636	2411	4126	3059	7211	0.373862443533615	0.620262331037434	0.908566538764731	0.334167852676925	2.8912299940372	98.8710170175838	298.617083132471	388.977295920972	350.105432589328	389.570817199579	Down_gills_Up_muscle
XM_027350653.1	9.7608433109227	4.06488543912042	1.10714265860137e-23	4.45223876724967e-22	0	1	0	11	12	831	451	411	354	341	0	0.00674198185910254	0	0.0750172730499219	0.119637103201539	14.5780367533024	55.859105969616	38.7468901171884	40.515633585035	18.4223614845454	Down_gills_Up_muscle
XM_027350660.1	8.97413480058487	6.69092646628912	6.64067444383843e-14	1.23681648332436e-12	16	153	53	6	60	1279	2291	3777	2484	1585	0.0664644344059759	1.03152322444269	0.31268848412033	0.0409185125726847	0.598185516007696	22.437194954842	283.754349836786	356.075435456498	284.296140749229	85.6288649648223	Down_gills_Up_muscle
XM_027350677.1	2.06547128306166	6.94180656081284	2.20215609819426e-05	0.000120460428893146	6591	5632	9584	6493	7117	3419	1961	2574	1883	4289	27.3791929481117	37.9708418304655	56.5435175813064	44.2806503557403	70.9547719571129	59.9787095782681	242.881833273652	242.663005259472	215.511124408534	231.711168349604	Down_gills_Up_muscle
XM_027350678.1	2.35291878203861	3.42481719080476	0.000101983762249699	0.00048107692808231	883	717	670	489	186	224	239	334	168	115	3.6680059737798	4.83400099297652	3.95285442189851	3.3348587746738	1.85437509962386	3.92957910076983	29.6016104805726	31.4877403872042	19.227758311542	6.21281985549184	Down_gills_Up_muscle
XM_027350690.1	10.8632192782814	5.11025778383348	1.74293693419408e-39	1.9037369223165e-37	23	0	2	6	2	3737	722	451	946	745	0.0955426244585904	0	0.011799565438503	0.0409185125726847	0.0199395172002565	65.5573084802538	89.4241119957046	42.5178769899075	108.270591444755	40.2482677594906	Down_gills_Up_muscle
XM_027350702.1	6.2234187656287	3.44932824215434	2.36482772331422e-24	1.00594304913843e-22	43	35	90	28	31	418	218	290	219	405	0.17862316746606	0.235969365068589	0.530980444732635	0.190953058672529	0.309062516603976	7.33287528625799	27.0006321538277	27.3396548272132	25.064756370403	21.8799307954278	Down_gills_Up_muscle
XM_027350703.1	2.15447208448348	9.05644491972621	4.09093602475958e-05	0.000211544126142882	57235	37048	33821	11550	21142	22652	10212	12654	9906	6652	237.755743951627	249.776943916031	199.536551347805	78.768136702418	210.780636323912	397.378686565349	1264.81860346279	1192.95169718468	1133.751034727	359.371110249841	Down_gills_Up_muscle
XM_027350704.1	1.87569360235069	8.35083553780169	5.77932613774773e-05	0.000288710509035318	47838	26909	24914	8642	11344	19904	5214	6768	5616	5373	198.720350819567	181.41998984659	146.987186667432	58.9362976088568	113.096941559855	349.171171525548	645.785761697512	638.050978864066	642.756492128691	290.273748552675	Down_gills_Up_muscle
XM_027350705.1	1.90093792279752	8.21628845167049	6.2323094677771e-05	0.00031000413100537	46118	24844	21105	7645	9275	18860	4971	5892	5045	4940	191.575424120925	167.497797307544	124.514914289803	52.1370047696957	92.4695110161897	330.856526073745	615.68872677375	555.466366351518	577.405004057914	266.881131183736	Down_gills_Up_muscle
XM_027350736.1	9.11877831190695	5.80413710276703	1.34043159463785e-16	3.21893714854168e-15	8	69	23	6	33	890	1140	1987	1413	980	0.033232217202988	0.465196748278075	0.135695002542785	0.0409185125726847	0.329002033804233	15.613059820023	141.195966309007	187.32377290232	161.719181513148	52.9440300728869	Down_gills_Up_muscle
XM_027350748.1	-4.76463379380956	-0.257400997122933	8.25668215219685e-08	6.88599156830998e-07	73	295	304	194	199	8	0	0	0	0	0.303243981977265	1.98888464843525	1.79353394665246	1.3230319065168	1.98398196142553	0.14034211074178	0	0	0	0	Up_gills_Down_muscle
XM_027350755.1	1.97446776736608	7.38481251984781	4.77334221148025e-05	0.000242462297150797	25715	10926	9060	6578	6044	9031	2815	3799	3179	1919	106.820808171854	73.6628937925544	53.4520314364186	44.8603292838533	60.2572209791753	158.428700263626	348.65495189461	358.149478236493	363.839545669001	103.67305480599	Down_gills_Up_muscle
XM_027350780.1	2.92501070252148	6.96056327216882	5.72118839228906e-12	8.34278376239912e-11	10208	3145	5117	3853	2494	8535	2301	3227	1702	3098	42.4043091510126	21.2035329468775	30.1891881744099	26.276504823759	24.8645779487199	149.727489397636	284.992910944759	304.224365956611	194.795503846694	167.367964454902	Down_gills_Up_muscle
XM_027350791.1	-12.1729098402268	1.71094884011537	3.27865458842833e-10	3.82547361696014e-09	186	95	1263	2846	350	0	0	0	0	0	0.77264904996947	0.640488276614741	7.45142557441465	19.4090144636434	3.48941551004489	0	0	0	0	0	Up_gills_Down_muscle
XM_027350793.1	-6.09182536132954	5.51060729141922	3.80050739238375e-11	4.92669143591553e-10	11944	15517	26573	5932	9731	172	5	23	0	11	49.615700284061	104.615332507694	156.77492619867	40.4547694301943	97.0157209378482	3.01735538094826	0.619280553986874	2.16831745181346	0	0.594269725307915	Up_gills_Down_muscle
XM_027350794.1	-10.3410853160322	7.35096069544857	1.02625237215774e-25	4.77320128039302e-24	164682	11758	48174	26038	40647	32	0	2	2	2	684.093499177808	79.2722226993277	284.216132717222	177.572705061261	405.240777819414	0.561368442967119	0	0.188549343635953	0.228901884661215	0.108049040965075	Up_gills_Down_muscle
XM_027350797.1	1.7029208876743	7.04516192526299	6.67373969889043e-05	0.000329022752190492	24195	6890	10220	7569	5165	9064	1897	2850	2096	2002	100.506686903287	46.4522550092165	60.2957793907504	51.6187036104417	51.4938031696625	159.007611470436	234.95504218262	268.682814681233	239.889175124953	108.15709000604	Down_gills_Up_muscle
XM_027350808.1	-10.2588102155681	8.42632280509431	2.49310509164978e-24	1.05785135843686e-22	259673	117809	128653	39448	53686	38	2	6	12	0	1078.68869221894	794.266140839011	759.024746179864	269.025580661211	535.236460206486	0.666625026023453	0.24771222159475	0.56564803090786	1.37341130796729	0	Up_gills_Down_muscle
XM_027350813.1	6.94754228497279	8.29034454395729	1.2833025505505e-34	9.74274088826008e-33	542	831	1103	904	465	19447	6002	9321	6031	8382	2.25148271550243	5.60258692491421	6.50746033933441	6.16505589428449	4.63593774905965	341.154128449424	743.384377005844	878.734216015361	690.253633195893	452.833530684631	Down_gills_Up_muscle
XM_027350817.1	7.36449005857851	10.8851709855263	9.65039585381082e-15	1.98278157530361e-13	7845	3638	1853	1861	3344	42881	51058	66446	44855	6038	32.5883429946801	24.527330003415	10.932297378773	12.6915586496277	33.3388727588289	752.251256339782	6323.84530509236	6264.17484361728	5133.6970182394	326.200054673563	Down_gills_Up_muscle
XM_027350818.1	7.49838436454278	10.8978900537505	3.95336713033981e-15	8.4508214036178e-14	7337	3356	1901	1593	2985	42645	51778	66888	45242	6142	30.4780972022903	22.6260911191481	11.2154869492971	10.8638650880478	29.7597294213829	748.111164072899	6413.02170486647	6305.84424856082	5177.98953292134	331.818604803747	Down_gills_Up_muscle
XM_027350819.1	15.7307025820468	11.3367560798613	1.08073845689607e-31	7.20350475403563e-30	48	4	2	16	12	80198	66372	93358	56905	17094	0.199393303217928	0.0269679274364102	0.011799565438503	0.109116033527159	0.119637103201539	1406.89457465866	8220.57778584336	8801.29481158267	6512.83087332321	923.495153128499	Down_gills_Up_muscle
XM_027350820.1	2.37371802388437	10.3759814509511	5.20275263745201e-08	4.47801739461426e-07	142688	77268	66854	39322	37422	95541	21778	28912	24694	22481	592.729826032493	520.939454289135	394.42407391284	268.166291897185	373.088306334	1676.05320029755	2697.33838094523	2725.66931160134	2826.25156991202	1214.52524496793	Down_gills_Up_muscle
XM_027350821.1	2.32926513848535	9.74561372898312	3.14656204048633e-08	2.7832442709213e-07	95372	47368	46435	24451	26933	66579	12849	18026	16000	16110	396.177877385421	319.354196701969	273.956410568444	166.749758485786	268.515508377255	1167.97967388462	1591.42716763547	1699.39523419085	1831.21507728972	870.335024973682	Down_gills_Up_muscle
XM_027350868.1	-3.40718861088487	3.32435872582712	7.00672901981292e-06	4.25823014545222e-05	714	2323	5520	5115	464	30	12	14	20	55	2.96597538536668	15.6616238586952	32.5668006102683	34.8830319682137	4.62596799045952	0.526282915281674	1.4862733295685	1.31984540545167	2.28901884661215	2.97134862653957	Up_gills_Down_muscle
