ID	logFC
XM_027356802.1	11.4258500882378
XM_027365850.1	17.0904907987973
XM_027356798.1	10.3436003738654
XM_027362706.1	15.1488716437678
XM_027365858.1	15.4688520618122
XM_027365815.1	16.1059944550667
XM_027361441.1	11.9722512429641
XM_027356797.1	10.3220338627861
XM_027370793.1	14.5334703447421
XM_027365807.1	15.5572594064001
XM_027370370.1	11.8727023138352
XM_027365225.1	15.3019568882422
XM_027370962.1	16.0594824868467
XM_027354132.1	15.0784581788529
XM_027356799.1	11.7821378782466
XM_027378454.1	14.6098867216417
XM_027365822.1	15.676327054564
XM_027357706.1	15.2546655958448
XM_027356801.1	10.9072406099876
XM_027357705.1	15.7380644734574
XM_027367222.1	15.6820199473593
XM_027367224.1	14.9437756620595
XM_027361149.1	14.3638209649713
XM_027373383.1	12.333637155171
XM_027361148.1	13.1385696202119
XM_027375601.1	10.8545253883583
XM_027368030.1	13.8622855976937
XM_027370790.1	12.2149772477667
XM_027369977.1	13.1847425765242
XM_027368031.1	13.6336932719027
XM_027365705.1	14.9866332086121
XM_027383586.1	13.0646566702234
XM_027365863.1	16.5223842383841
XM_027351027.1	15.9779334121642
XM_027367001.1	11.7387989483105
XM_027365780.1	15.826646661223
XM_027365734.1	17.0716633417801
XM_027365636.1	15.9020391811547
XM_027368450.1	15.0439912956554
XM_027365839.1	17.0433311980318
XM_027371495.1	13.1667907918976
XM_027371688.1	12.5082840754147
XM_027365655.1	17.9894779745038
XM_027356800.1	10.4185561633844
XM_027373337.1	11.9427787449773
XR_003476908.1	14.9433115315298
XM_027365728.1	15.8040742332442
XM_027365800.1	18.1972167996447
XM_027370783.1	13.0932224154154
XM_027365792.1	17.1788149873184
XM_027365689.1	16.3717280526618
XM_027367149.1	13.1907052007742
XM_027363873.1	10.5960018642455
XM_027365772.1	16.2904076283679
XM_027360929.1	12.5020013167282
XM_027365681.1	16.3707758788338
XM_027371770.1	10.4142584631581
XM_027375602.1	11.5949463049423
XM_027355456.1	12.5925669369177
XM_027363564.1	16.3311970766081
XM_027373336.1	12.1004100869863
XM_027354226.1	17.0782751497255
XM_027359775.1	15.5239916798064
XM_027367246.1	14.8273522878147
XM_027362623.1	14.4889603828553
XM_027360928.1	11.8387147089303
XM_027356628.1	12.8859271072746
XM_027365721.1	16.9112507896571
XM_027365763.1	16.9638843579406
XM_027363561.1	15.6544589338476
XM_027354223.1	15.0000577686122
XM_027377415.1	-10.89380409712
XM_027365630.1	15.5514799401815
XM_027359703.1	16.1819308940719
XM_027367225.1	14.8437040899684
XM_027360930.1	12.3908078302963
XM_027365831.1	15.3700854072109
XM_027365826.1	15.6570379839744
XR_003476755.1	12.3479246777689
XM_027375035.1	15.9228536527481
XM_027360238.1	10.0610132553581
XM_027365785.1	17.0699837383296
XM_027365875.1	17.575484449093
XM_027365668.1	16.4239804420302
XM_027356399.1	13.6432074126195
XM_027365647.1	16.8101652161319
XM_027363562.1	16.0028472073134
XM_027367206.1	14.7856577130903
XM_027367205.1	15.1410958907866
XM_027367319.1	13.0645498114553
XM_027375603.1	11.3725339227397
XM_027371486.1	11.7630261825412
XM_027383587.1	12.7164912557774
XM_027363560.1	15.9035416189496
XM_027379534.1	14.1741917789205
XM_027383519.1	12.9240378784008
XR_003475609.1	14.5022565798828
XM_027365662.1	14.7079722677547
XM_027381669.1	15.1234599353288
XM_027358642.1	11.6564078114316
XM_027373331.1	10.2235502182712
XM_027354432.1	9.9578353122684
XM_027356611.1	10.6806398321359
XM_027365226.1	15.3841419195588
XM_027370936.1	14.7316782325106
XM_027365697.1	16.3591999289336
XM_027365898.1	16.4913983619124
XM_027365845.1	16.0478003467794
XM_027373333.1	10.2021096680415
XM_027373988.1	12.586043325849
XM_027373332.1	10.1007050514446
XM_027383520.1	11.5439022697481
XM_027359212.1	14.2399858837846
XM_027373625.1	-9.62359929208804
XM_027373339.1	10.15380992418
XM_027356629.1	9.311348036026
XR_003476379.1	14.6817853769314
XM_027358886.1	16.4111630322069
XM_027381851.1	7.76685869725744
XM_027373330.1	10.1714735633845
XM_027380481.1	14.0368138951007
XM_027373335.1	10.0918933328644
XM_027356931.1	11.3449532075683
XM_027383691.1	9.36596429887233
XM_027373343.1	9.39429722240289
XM_027373334.1	10.1813945621496
XM_027373312.1	10.0664943691209
XM_027373340.1	10.0182991678608
XM_027373344.1	9.27403338254487
XM_027369732.1	8.60116962461764
XM_027373338.1	10.1510525315149
XM_027375051.1	14.6439032717384
XM_027355469.1	14.0963487054807
