ID	FDR
XM_027356802.1	2.47496907045799e-92
XM_027365850.1	8.81929818147941e-74
XM_027356798.1	2.37244337658644e-73
XM_027362706.1	6.40014282840546e-73
XM_027365858.1	6.9232331570553e-73
XM_027365815.1	1.69275761833384e-71
XM_027361441.1	1.69545693290269e-70
XM_027356797.1	1.97185998744673e-69
XM_027370793.1	3.46778678703494e-69
XM_027365807.1	5.05780793559464e-69
XM_027370370.1	8.34656849565518e-67
XM_027365225.1	1.03075103362463e-66
XM_027370962.1	6.75001248277698e-66
XM_027354132.1	2.93156359777358e-65
XM_027356799.1	1.18973720325468e-64
XM_027378454.1	3.08405226142742e-64
XM_027365822.1	5.5848585423481e-64
XM_027357706.1	1.51222634726019e-63
XM_027356801.1	1.93571886198532e-63
XM_027357705.1	2.29682830563308e-63
XM_027367222.1	2.40803182905813e-63
XM_027367224.1	2.54883493880503e-62
XM_027361149.1	3.34459261128586e-62
XM_027373383.1	3.51203976257376e-62
XM_027361148.1	6.02294420517123e-62
XM_027375601.1	1.48301405779543e-61
XM_027368030.1	5.67461946842838e-61
XM_027370790.1	9.72788729257514e-61
XM_027369977.1	3.77838975575426e-60
XM_027368031.1	5.56413493925991e-60
XM_027365705.1	7.03061677193981e-60
XM_027383586.1	8.15297813821307e-60
XM_027365863.1	3.83496277570181e-59
XM_027351027.1	5.99652369131674e-58
XM_027367001.1	7.78094688841737e-58
XM_027365780.1	8.43226621954861e-58
XM_027365734.1	1.2427215506661e-57
XM_027365636.1	5.07069780290946e-57
XM_027368450.1	8.90588422232867e-57
XM_027365839.1	1.54665591332317e-56
XM_027371495.1	1.54665591332317e-56
XM_027371688.1	2.07306092047361e-56
XM_027365655.1	2.12202557668737e-56
XM_027356800.1	2.22766362346995e-56
XM_027373337.1	1.19180410255792e-55
XR_003476908.1	1.64727813416894e-55
XM_027365728.1	2.87459319757657e-55
XM_027365800.1	2.96117297762902e-55
XM_027370783.1	7.6758554245235e-55
XM_027365792.1	1.09807891522097e-54
XM_027365689.1	1.47461797547302e-54
XM_027367149.1	2.33270465673805e-54
XM_027363873.1	2.66941471118576e-54
XM_027365772.1	4.19300319107599e-54
XM_027360929.1	1.21089180120653e-53
XM_027365681.1	1.6157653674348e-53
XM_027371770.1	1.6157653674348e-53
XM_027375602.1	2.48092077488205e-53
XM_027355456.1	1.53440954392013e-52
XM_027363564.1	1.565134841624e-52
XM_027373336.1	3.77969768929011e-52
XM_027354226.1	2.47239180954947e-51
XM_027359775.1	2.47239180954947e-51
XM_027367246.1	2.74755691856428e-51
XM_027362623.1	2.79583610476583e-51
XM_027360928.1	4.44648864049396e-51
XM_027356628.1	4.88086593589319e-51
XM_027365721.1	5.64678355421621e-51
XM_027365763.1	9.93160922497377e-51
XM_027363561.1	1.26328836764998e-50
XM_027354223.1	1.30251496736075e-50
XM_027377415.1	4.31361282211478e-50
XM_027365630.1	4.48605725734254e-50
XM_027359703.1	6.31820598407944e-50
XM_027367225.1	6.81085798596218e-50
XM_027360930.1	3.46393903948538e-49
XM_027365831.1	3.46393903948538e-49
XM_027365826.1	1.01812976853298e-48
XR_003476755.1	1.01812976853298e-48
XM_027375035.1	1.2636256108757e-48
XM_027360238.1	1.38852491593766e-48
XM_027365785.1	1.85846924310588e-48
XM_027365875.1	2.45727460969386e-48
XM_027365668.1	3.67234538434061e-47
XM_027356399.1	3.87390503159164e-47
XM_027365647.1	5.28976289714932e-47
XM_027363562.1	1.24888619697386e-46
XM_027367206.1	1.27089632482518e-46
XM_027367205.1	1.48930685795299e-46
XM_027367319.1	2.17181165109457e-46
XM_027375603.1	5.14050186583717e-46
XM_027371486.1	6.02996125125711e-46
XM_027383587.1	6.02996125125711e-46
XM_027363560.1	7.11809508444256e-46
XM_027379534.1	1.26235908175082e-45
XM_027383519.1	3.81897516632149e-45
XR_003475609.1	7.31588510681297e-45
XM_027365662.1	1.02977875995758e-44
XM_027381669.1	1.99271388129711e-44
XM_027358642.1	3.17281410642517e-44
XM_027373331.1	6.90851740087687e-44
XM_027354432.1	7.07445853646867e-44
XM_027356611.1	8.57377062607276e-44
XM_027365226.1	1.68780381080788e-43
XM_027370936.1	1.68780381080788e-43
XM_027365697.1	4.56885770674595e-43
XM_027365898.1	5.21105939507396e-43
XM_027365845.1	1.93941436773203e-42
XM_027373333.1	2.03319058597894e-42
XM_027373988.1	2.99593613458265e-42
XM_027373332.1	4.54059939717107e-42
XM_027383520.1	4.66045608095546e-42
XM_027359212.1	2.16936772875136e-41
XM_027373625.1	2.49916939049288e-41
XM_027373339.1	3.68649105295038e-41
XM_027356629.1	3.96827694115752e-41
XR_003476379.1	6.49203491129648e-41
XM_027358886.1	8.23281134195873e-41
XM_027381851.1	1.12672549190598e-40
XM_027373330.1	1.24249145269898e-40
XM_027380481.1	1.91346171759507e-40
XM_027373335.1	2.88927701435864e-40
XM_027356931.1	3.99284716312164e-40
XM_027383691.1	5.17102711852632e-40
XM_027373343.1	6.64645460312719e-40
XM_027373334.1	1.15818819944804e-39
XM_027373312.1	1.77964234081593e-39
XM_027373340.1	2.03136531258338e-39
XM_027373344.1	2.27098904219785e-39
XM_027369732.1	4.11748644053296e-39
XM_027373338.1	4.67231509933334e-39
XM_027375051.1	6.49866191691807e-39
XM_027355469.1	9.32748784318586e-39
XM_027373317.1	9.32748784318586e-39
XM_027372676.1	1.30153498283104e-38
XR_003476575.1	1.47902048345886e-38
XM_027367223.1	1.4919611205967e-38
XM_027355909.1	1.57354034945171e-38
XM_027365861.1	1.60543320954101e-38
XM_027363565.1	1.93292302652766e-38
XM_027365559.1	2.22272380668821e-38
XM_027369862.1	3.15322828762396e-38
XM_027356275.1	3.22537391177636e-38
XM_027366312.1	3.33066678109516e-38
XM_027370784.1	3.71819834250101e-38
XM_027375615.1	4.35979548046103e-38
XM_027373313.1	4.78659595777012e-38
XM_027378495.1	9.20894416193932e-38
XM_027363214.1	9.21760953909004e-38
XM_027351037.1	1.25748385285303e-37
XM_027367239.1	1.31859937904075e-37
XM_027358624.1	1.43721696223866e-37
XM_027357707.1	1.58013705568099e-37
XM_027363215.1	1.62695162068292e-37
XM_027350690.1	1.9037369223165e-37
XR_003476776.1	1.9269078135355e-37
XM_027363559.1	2.51203323533721e-37
XM_027373316.1	2.61624276219398e-37
XM_027363212.1	2.86987163780954e-37
XM_027381865.1	2.90870516776815e-37
XM_027354682.1	3.50713844397491e-37
XM_027372710.1	3.5162194281665e-37
XM_027360317.1	3.77943665771222e-37
XM_027383576.1	3.81662342845507e-37
XM_027383577.1	5.02547359538012e-37
XM_027381853.1	5.26996291221141e-37
XM_027371490.1	5.65457792280542e-37
XM_027353766.1	6.9187046910031e-37
XM_027356631.1	9.33852074057297e-37
XM_027373623.1	1.30294823773386e-36
XM_027354135.1	2.17407186964645e-36
XM_027356630.1	2.3207783970045e-36
XM_027351034.1	2.84466557912827e-36
XM_027365860.1	3.27161608882538e-36
XM_027366518.1	3.33713823094624e-36
XM_027355788.1	4.1671758067965e-36
XM_027359642.1	4.22117526867461e-36
XM_027365712.1	4.872537541786e-36
XM_027373345.1	5.44752479328807e-36
XM_027373320.1	5.61141292584698e-36
XM_027360316.1	6.04713775638836e-36
XM_027381854.1	7.05962101958571e-36
XM_027373315.1	7.1588241910629e-36
XM_027360998.1	1.1174741678024e-35
XM_027380479.1	1.47512361333597e-35
XM_027369400.1	1.7173101036097e-35
XM_027366311.1	1.73213681761799e-35
XM_027365288.1	3.06386246757644e-35
XM_027383692.1	3.10617594596885e-35
XM_027373346.1	4.16906570886973e-35
XM_027353808.1	5.54281645709179e-35
XM_027373341.1	5.77289308046767e-35
XM_027373323.1	6.25202906259017e-35
XM_027371488.1	1.23062724714118e-34
XM_027359641.1	1.69583889582011e-34
XM_027370486.1	2.45720056005729e-34
XM_027373322.1	3.03223524007823e-34
XM_027371539.1	3.29756014216693e-34
XM_027365370.1	4.2509356721218e-34
XM_027357480.1	4.91295688406398e-34
XM_027363208.1	6.12844326479801e-34
XM_027373318.1	6.27972253673865e-34
XM_027360995.1	6.39468702523846e-34
XM_027366313.1	6.42354339573054e-34
XM_027354945.1	8.42884925488192e-34
XM_027371492.1	8.93188203736466e-34
XM_027367242.1	9.35669766868191e-34
XM_027360996.1	1.13683032541058e-33
XM_027375613.1	1.8377599849144e-33
XM_027369560.1	2.33452865548187e-33
XM_027360999.1	2.3932344772067e-33
XM_027377087.1	2.43813135615422e-33
XM_027381668.1	2.94817660450675e-33
XM_027371491.1	3.23236686294033e-33
XM_027364019.1	4.41025963326853e-33
XM_027365505.1	4.68041911476734e-33
XM_027373319.1	5.35552508627649e-33
XM_027355822.1	5.83147442867426e-33
XM_027363210.1	5.83147442867426e-33
XM_027366419.1	6.52631612141832e-33
XM_027365741.1	6.9888197921194e-33
XM_027359643.1	9.31001660768131e-33
XM_027350813.1	9.74274088826008e-33
XM_027363211.1	1.10356386517359e-32
XM_027375614.1	2.08770079843192e-32
XM_027357709.1	2.13553839388004e-32
XM_027365747.1	2.35765873164155e-32
XM_027373327.1	2.41321949248419e-32
XM_027371537.1	2.94387227020258e-32
XM_027353767.1	3.13454466468296e-32
XM_027363209.1	7.65445383817147e-32
XM_027362345.1	8.40886412595152e-32
XM_027370521.1	8.67474201834333e-32
XM_027371493.1	1.10336242859334e-31
XM_027375142.1	1.39690213493453e-31
XM_027374280.1	1.83104033863269e-31
XM_027380490.1	1.92454377240124e-31
XM_027366516.1	2.04996323567139e-31
XM_027373325.1	2.06049543059564e-31
XM_027364574.1	2.29912528164704e-31
XM_027366152.1	2.69347288272012e-31
XM_027354623.1	4.20303543643075e-31
XM_027360239.1	6.78066108164604e-31
XM_027360131.1	6.85398070028484e-31
XM_027363563.1	6.98787721788371e-31
XM_027363213.1	9.77994659009681e-31
XM_027378347.1	1.07188025044402e-30
XR_003475626.1	1.13940873537851e-30
XM_027365755.1	1.57016887301051e-30
XM_027372961.1	1.6807997344765e-30
XM_027381855.1	2.2155289502073e-30
XM_027356510.1	4.06177499164526e-30
XM_027354137.1	5.87053517188718e-30
XM_027350819.1	7.20350475403563e-30
XM_027355818.1	9.44001924593071e-30
XM_027374148.1	9.55068767205297e-30
XM_027365867.1	1.0860901956636e-29
XM_027359148.1	1.31584471879585e-29
XM_027355187.1	1.436711070565e-29
XM_027366154.1	1.46842225530571e-29
XM_027370509.1	2.31602801842531e-29
XM_027366304.1	2.37999777607203e-29
XM_027370502.1	2.44508263572903e-29
XM_027360578.1	2.81497723619153e-29
XM_027353243.1	3.15255631836423e-29
XM_027353433.1	3.55098742750723e-29
XM_027373991.1	5.47937031673416e-29
XM_027357358.1	5.91356048016521e-29
XM_027370495.1	6.11672259168108e-29
XM_027380344.1	6.32931385987409e-29
XM_027371767.1	6.93537845381118e-29
XM_027381866.1	7.00073907626365e-29
XM_027370538.1	8.04393689132628e-29
XM_027363570.1	8.13848112997445e-29
XM_027375663.1	9.39117971312673e-29
XR_003476384.1	9.80580269858781e-29
XM_027378553.1	1.21704005418581e-28
XM_027373288.1	1.95843744158132e-28
XM_027366115.1	2.15245873360756e-28
XM_027355821.1	2.42956306916438e-28
XM_027365560.1	2.52326916792793e-28
XM_027370789.1	2.6260102156903e-28
XM_027355819.1	2.81282338598622e-28
XM_027365880.1	2.98940734961408e-28
XM_027365890.1	3.22255070228971e-28
XM_027369720.1	4.23981853985705e-28
XM_027380152.1	4.29072587280666e-28
XR_003477752.1	5.54625311132982e-28
XM_027363221.1	6.71687327691716e-28
XM_027370478.1	9.21386812509544e-28
XM_027363529.1	9.29663236243184e-28
XM_027354220.1	1.70557856295417e-27
XM_027359446.1	1.90559192417792e-27
XM_027373329.1	2.84848262744277e-27
XM_027376330.1	3.05880402571846e-27
XM_027363929.1	4.34159928712189e-27
XM_027373324.1	4.45191944391875e-27
XR_003476385.1	4.99132830926255e-27
XM_027374613.1	5.39077004008959e-27
XM_027377086.1	6.14142910853965e-27
XM_027352835.1	6.23020072276392e-27
XM_027362629.1	6.50909718948891e-27
XM_027368018.1	6.87734786899619e-27
XM_027369722.1	6.99063168720336e-27
XM_027362632.1	9.51922147581863e-27
XM_027363216.1	1.31988946598185e-26
XM_027382986.1	1.55864851094245e-26
XM_027360208.1	1.61850045358688e-26
XM_027371768.1	1.95461019208497e-26
XM_027365170.1	2.15189933511464e-26
XM_027377795.1	2.71950338404815e-26
XM_027373227.1	2.78003359171756e-26
XM_027367234.1	2.80291070501167e-26
XM_027365675.1	3.1136478416619e-26
XM_027352824.1	3.17752188012439e-26
