ID	logFC	logCPM	PValue	FDR	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	hep_1	hep_2	hep_3	hep_4	hep_5	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027350706.1	18.6863260377868	9.46609291284469	8.65559368184688e-98	1.60206383457304e-93	0	0	0	0	0	62219	44554	60850	48971	24116	0	0	0	0	0	1591.81208552583	1717.04646559937	1604.35937897513	1392.3441651382	766.567639864443	Down_hemocyte_Up_hep
XM_027377792.1	16.980443258265	7.76041188007579	4.82559328656556e-97	4.4658453070521e-93	0	0	0	0	0	21383	12080	17488	14666	8719	0	0	0	0	0	547.063080808095	465.545659299734	461.085239433311	416.983919583362	277.148086414749	Down_hemocyte_Up_hep
XM_027363322.1	19.5575034094974	10.3372286756818	6.7057370399662e-93	4.13721622909115e-89	0	0	0	0	0	77716	103784	101904	97621	46741	0	0	0	0	0	1988.2876298032	3999.68466099036	2686.78123508761	2775.56165373294	1485.74133583115	Down_hemocyte_Up_hep
XM_027363951.1	16.2344950637505	7.0146602905517	1.52780677398292e-92	7.06954389491247e-89	0	0	0	0	0	12382	7121	11021	8677	5163	0	0	0	0	0	316.781324723651	274.43299998952	290.577563117253	246.70458681473	164.114642752534	Down_hemocyte_Up_hep
XM_027362713.1	18.0508453433193	8.83066136089568	4.11176355818944e-92	1.52209263397057e-88	0	0	0	0	0	44418	29090	39067	26185	16375	0	0	0	0	0	1136.39096119974	1121.08636001898	1030.03299685162	744.492290623914	520.506929125072	Down_hemocyte_Up_hep
XM_027360388.1	15.9097766549666	6.69006126290933	8.42847993302513e-92	2.6000455846727e-88	0	0	0	0	0	10226	6675	6905	6104	4959	0	0	0	0	0	261.622179504446	257.244807601467	182.055899947794	173.549014396348	157.630159482823	Down_hemocyte_Up_hep
XM_027352295.1	13.3717928363105	4.15501213029599	4.99055014428429e-91	1.31957275172226e-87	0	0	0	0	0	1418	914	1131	1271	1266	0	0	0	0	0	36.2781391098479	35.2242328311223	29.8197281449608	36.1370899898031	40.2419402914407	Down_hemocyte_Up_hep
XM_027380431.1	15.2598461545271	6.04047885976226	2.0406969148908e-90	4.72140739971422e-87	0	0	0	0	0	5860	3686	5155	4999	2760	0	0	0	0	0	149.922352033645	142.053087763147	135.915737035608	142.131638756118	87.7312442372641	Down_hemocyte_Up_hep
XM_027371450.1	15.3398326247176	6.12041366463563	5.10923575785752e-90	1.0507427182465e-86	0	0	0	0	0	6292	3996	5198	5316	2897	0	0	0	0	0	160.974648292781	154.000037629283	137.049466752879	151.144587242953	92.0860197664327	Down_hemocyte_Up_hep
XM_027380855.1	15.5476281990589	6.32808959451751	1.90326930523492e-89	3.52276115705932e-86	0	0	0	0	0	7206	4370	6804	5958	3190	0	0	0	0	0	184.358441766971	168.413454564556	179.392953402576	169.397940329856	101.399517795968	Down_hemocyte_Up_hep
XM_027367729.1	17.1474872038744	9.24813949565266	5.16681485874386e-89	8.6938705654991e-86	0	0	0	1	0	48557	51171	38682	36748	25212	0	0	0	0.0340485374771788	0	1242.28321633067	1972.05603741943	1019.88216101094	1044.81965613319	801.405844097791	Down_hemocyte_Up_hep
XM_027352296.1	13.2909332813589	4.07436494798877	7.4073332600511e-89	1.14251942758572e-85	0	0	0	0	0	1398	943	1012	1204	1101	0	0	0	0	0	35.7664587274805	36.3418507218253	26.6821970669322	34.2321450414815	34.9971376468217	Down_hemocyte_Up_hep
XM_027354925.1	15.0392125417446	5.81999762865591	1.134639321759e-88	1.61546455434133e-85	0	0	0	0	0	3971	4011	3441	3591	3634	0	0	0	0	0	101.594139919045	154.578115848612	90.7247431890453	102.099362827209	115.512804912398	Down_hemocyte_Up_hep
XM_027350707.1	17.9119313284853	8.69176126944903	1.43231440882003e-87	1.76738049285667e-84	0	0	0	0	0	42604	26632	31202	26834	13611	0	0	0	0	0	1089.98155051901	1026.35860914491	822.665921820573	762.944667809896	432.64853815703	Down_hemocyte_Up_hep
XM_027365833.1	9.6260491533213	6.41678641660092	1.37009226952522e-87	1.76738049285667e-84	12	12	11	3	6	7350	4340	6954	6536	4039	0.272893494571053	0.240596899508731	0.274236045487933	0.102145612431536	0.150476832431306	188.042540520016	167.257298125898	183.347824509335	185.8316445109	128.386411403735	Down_hemocyte_Up_hep
XM_027355570.1	13.9168028633038	7.48758074236181	2.7355002451576e-87	3.16446087735138e-84	0	2	0	2	0	17165	12184	11187	8904	10612	0	0.0400994832514551	0	0.0680970749543576	0	439.149688166812	469.553668287083	294.954287142066	253.1586540277	337.320276755742	Down_hemocyte_Up_hep
XM_027378584.1	13.5218978678212	4.30474517117808	4.26701818123864e-87	4.64577879509094e-84	0	0	0	0	0	1917	1002	1411	1433	993	0	0	0	0	0	49.0445646499143	38.6156250511865	37.2021542109105	40.74307628276	31.5641759157983	Down_hemocyte_Up_hep
XM_027380586.1	11.4754971337416	4.68953055914227	8.06517752236097e-87	8.29324282007663e-84	2	0	0	0	1	2148	1527	2036	1757	1261	0.0454822490951755	0	0	0	0.0250794720718843	54.9544730662576	58.8483627277064	53.6807838224052	49.9550488686736	40.0830068779674	Down_hemocyte_Up_hep
XM_027352297.1	13.2501908461756	4.03373340159315	2.71181322342701e-86	2.64173426065319e-83	0	0	0	0	0	1408	967	970	1094	1050	0	0	0	0	0	36.0222989186642	37.2667758727519	25.5748331570398	31.1046234845355	33.376016829394	Down_hemocyte_Up_hep
XM_027379363.1	13.9645149716583	6.71625036684504	1.52962887108875e-85	1.41559503874908e-82	2	0	0	0	0	9532	7151	5335	7509	5580	0.0454822490951755	0	0	0	0	243.866870236298	275.589156428179	140.661582363719	213.495994282794	177.369689436208	Down_hemocyte_Up_hep
XM_027379504.1	17.242122272053	8.02204084727188	1.80117689055347e-85	1.58752300320258e-82	0	0	0	0	0	26695	17566	20708	12857	10303	0	0	0	0	0	682.965390364873	676.968133382378	545.983139191732	365.550405978677	327.498191803091	Down_hemocyte_Up_hep
XM_027353914.1	17.2550659004266	8.03497551710912	3.70102956053207e-85	3.11374346072218e-82	0	0	0	0	0	19400	20892	14621	12244	18477	0	0	0	0	0	496.329970896368	805.147343881626	385.494469679463	348.121581302242	587.32253614925	Down_hemocyte_Up_hep
XM_027360302.1	14.0281965859609	4.81011856548508	5.0815709338301e-85	4.0893389745331e-82	0	0	0	0	0	1738	1801	2207	2190	1440	0	0	0	0	0	44.4650252277262	69.4079248674521	58.1893368841101	62.2661109973791	45.7728230803117	Down_hemocyte_Up_hep
XM_027371447.1	15.2253071100765	6.00596168720361	5.63814646302896e-85	4.3481855368418e-82	0	0	0	0	0	5788	3936	4598	4956	2526	0	0	0	0	0	148.080302657123	151.687724751966	121.229982325844	140.909062147494	80.2931604867135	Down_hemocyte_Up_hep
XM_027379523.1	15.5054817350822	6.28596768987215	6.00311240493088e-85	4.44446430011462e-82	0	0	0	0	0	6264	4118	6963	6484	2924	0	0	0	0	0	160.258295757466	158.701740479827	183.58511677574	184.353179774889	92.9442601991885	Down_hemocyte_Up_hep
XM_027364536.1	13.227247254345	4.01086469165436	2.93147979458028e-84	2.08687536607255e-81	0	0	0	0	0	1149	1090	1190	1036	898	0	0	0	0	0	29.3960379670065	42.0070172712508	31.3753107802859	29.4555666636004	28.5444410598055	Down_hemocyte_Up_hep
XM_027365027.1	16.2155148345729	6.99568537610775	3.68266344989312e-84	2.52453399237303e-81	0	0	0	0	0	8434	7504	13356	9310	4842	0	0	0	0	0	215.775617244328	289.193263856391	352.141723345797	264.702051774246	153.911117607548	Down_hemocyte_Up_hep
XM_027358232.1	14.1248117651129	4.90658510238058	6.77656559956173e-84	4.47955188151029e-81	0	0	0	0	0	2047	1767	2620	2362	1346	0	0	0	0	0	52.3704871353023	68.0976142369727	69.0784153313859	67.1564174318765	42.7848749070136	Down_hemocyte_Up_hep
