ID	logFC
XM_027350706.1	18.6863260377868
XM_027377792.1	16.980443258265
XM_027363322.1	19.5575034094974
XM_027363951.1	16.2344950637505
XM_027362713.1	18.0508453433193
XM_027360388.1	15.9097766549666
XM_027352295.1	13.3717928363105
XM_027380431.1	15.2598461545271
XM_027371450.1	15.3398326247176
XM_027380855.1	15.5476281990589
XM_027367729.1	17.1474872038744
XM_027352296.1	13.2909332813589
XM_027354925.1	15.0392125417446
XM_027350707.1	17.9119313284853
XM_027365833.1	9.6260491533213
XM_027355570.1	13.9168028633038
XM_027378584.1	13.5218978678212
XM_027380586.1	11.4754971337416
XM_027352297.1	13.2501908461756
XM_027379363.1	13.9645149716583
XM_027379504.1	17.242122272053
XM_027353914.1	17.2550659004266
XM_027360302.1	14.0281965859609
XM_027371447.1	15.2253071100765
XM_027379523.1	15.5054817350822
XM_027364536.1	13.227247254345
XM_027365027.1	16.2155148345729
XM_027358232.1	14.1248117651129
XM_027371448.1	13.2578672519094
XM_027369553.1	13.6110663478869
XM_027370505.1	15.4855234859375
XM_027376864.1	13.5753964464629
XM_027382187.1	13.3841996515449
XM_027379298.1	14.0108689919193
XM_027352868.1	13.0855799542143
XM_027367611.1	15.4751493154268
XM_027350967.1	17.8708664740284
XM_027367709.1	13.5068873470158
XM_027363970.1	12.928363506633
XM_027377619.1	9.81634716875136
XM_027375354.1	8.22953248821396
XM_027369766.1	16.0998709880687
XM_027367438.1	7.91573103045255
XM_027372150.1	13.2597944006782
XM_027382895.1	13.3802126973123
XM_027382197.1	16.8607272776666
XM_027364078.1	17.2495820044339
XM_027363969.1	12.8367221368306
XM_027362646.1	9.85990014546573
XR_003476759.1	13.4843517488842
XM_027378174.1	17.0089958737601
XM_027377569.1	15.6268626910042
XM_027366171.1	12.3847840416152
XM_027366106.1	15.8953039129829
XM_027371550.1	13.3534955017132
XM_027351847.1	16.4365822038045
XM_027359178.1	15.0361246712353
XM_027378597.1	14.0986002527286
XM_027369155.1	11.8518276829294
XM_027380369.1	9.82570309171746
XM_027360739.1	13.1906462334078
