ID	FDR
XM_027350706.1	1.60206383457304e-93
XM_027377792.1	4.4658453070521e-93
XM_027363322.1	4.13721622909115e-89
XM_027363951.1	7.06954389491247e-89
XM_027362713.1	1.52209263397057e-88
XM_027360388.1	2.6000455846727e-88
XM_027352295.1	1.31957275172226e-87
XM_027380431.1	4.72140739971422e-87
XM_027371450.1	1.0507427182465e-86
XM_027380855.1	3.52276115705932e-86
XM_027367729.1	8.6938705654991e-86
XM_027352296.1	1.14251942758572e-85
XM_027354925.1	1.61546455434133e-85
XM_027350707.1	1.76738049285667e-84
XM_027365833.1	1.76738049285667e-84
XM_027355570.1	3.16446087735138e-84
XM_027378584.1	4.64577879509094e-84
XM_027380586.1	8.29324282007663e-84
XM_027352297.1	2.64173426065319e-83
XM_027379363.1	1.41559503874908e-82
XM_027379504.1	1.58752300320258e-82
XM_027353914.1	3.11374346072218e-82
XM_027360302.1	4.0893389745331e-82
XM_027371447.1	4.3481855368418e-82
XM_027379523.1	4.44446430011462e-82
XM_027364536.1	2.08687536607255e-81
XM_027365027.1	2.52453399237303e-81
XM_027358232.1	4.47955188151029e-81
XM_027371448.1	1.12086172933141e-80
XM_027369553.1	2.2824245118765e-79
XM_027370505.1	2.75224521991392e-79
XM_027376864.1	1.4208773291448e-78
XM_027382187.1	2.07366115458002e-78
XM_027379298.1	2.46648723579592e-78
XM_027352868.1	1.11404584577146e-77
XM_027367611.1	1.0823547411049e-76
XM_027350967.1	1.30330746839533e-76
XM_027367709.1	2.38693820990673e-76
XM_027363970.1	3.13875783662172e-76
XM_027377619.1	8.06047605201951e-76
XM_027375354.1	1.3281991160032e-75
XM_027369766.1	3.29166860935343e-75
XM_027367438.1	3.89837637568664e-75
XM_027372150.1	3.89837637568664e-75
XM_027382895.1	4.54190462572588e-75
XM_027382197.1	4.85286434649415e-75
XM_027364078.1	1.67107878284232e-74
XM_027363969.1	2.00795487340152e-74
XM_027362646.1	2.30281083522748e-74
XR_003476759.1	6.93189666515632e-74
XM_027378174.1	6.99841740490174e-74
XM_027377569.1	1.93685135593983e-73
XM_027366171.1	2.08753779548302e-73
XM_027366106.1	1.69265700688685e-72
XM_027371550.1	2.75601857889172e-72
XM_027351847.1	3.16137096722076e-72
XM_027359178.1	3.16137096722076e-72
XM_027378597.1	8.62015199206391e-72
XM_027369155.1	9.87875289182408e-72
XM_027380369.1	2.05285888810029e-71
XM_027360739.1	1.56500999771552e-70
XM_027363320.1	2.28997023555952e-70
XM_027381942.1	2.91455726379938e-70
XM_027353363.1	4.63880400203287e-70
XM_027380569.1	4.95663952903922e-70
XM_027356882.1	5.32005706908463e-70
XM_027366326.1	5.32005706908463e-70
XM_027371888.1	5.96227271669133e-70
XM_027364525.1	7.67005223745934e-70
XM_027376654.1	1.18447538711222e-69
XM_027380253.1	2.08305504573123e-69
XM_027377989.1	2.92934372727342e-69
XM_027357721.1	3.31205497826214e-69
XM_027372562.1	3.5301336196744e-69
XM_027363486.1	4.70888619956436e-69
XM_027358237.1	9.18536919717341e-69
XM_027360936.1	9.32568969358911e-69
XM_027365311.1	1.88671269473904e-68
XM_027382185.1	2.46283675723594e-68
XM_027377963.1	2.628527296386e-68
XM_027360141.1	4.00932442001019e-68
XM_027376806.1	4.07983355060745e-68
XM_027365310.1	6.00146316837524e-68
XM_027355865.1	7.47039947782147e-68
XM_027377145.1	7.59077546023746e-68
XM_027362059.1	9.34854569546515e-68
XM_027358581.1	1.19796145173731e-67
XM_027365313.1	1.23530426263993e-67
XM_027366568.1	1.23530426263993e-67
XM_027366957.1	2.08192899707128e-67
XM_027358508.1	2.97964499060403e-67
XM_027382405.1	3.39123434805695e-67
XM_027372128.1	6.82276428614536e-67
XM_027368181.1	1.14390065196687e-66
XM_027365653.1	1.15911147667461e-66
XM_027363955.1	1.3078863379682e-66
XM_027376807.1	1.54544654267734e-66
XM_027380981.1	1.84670062864454e-66
XM_027359900.1	1.9537833635542e-66
XM_027360507.1	2.32008047846503e-66
XM_027366103.1	2.32008047846503e-66
XM_027358509.1	3.10946657647725e-66
XM_027380485.1	4.68087471462082e-66
XM_027370939.1	5.65486013995958e-66
XM_027378762.1	6.59138570099844e-66
XM_027350715.1	1.03711663662839e-65
XM_027362687.1	1.26104620236578e-65
XM_027352856.1	2.48207591229716e-65
XM_027360143.1	3.0989259496497e-65
XM_027365595.1	3.36202247982021e-65
XM_027355618.1	4.96999961168674e-65
XM_027380873.1	4.99530495280134e-65
XM_027371690.1	5.77009712764194e-65
XM_027362299.1	5.89626460794291e-65
XM_027375340.1	9.33449803708425e-65
XM_027360593.1	1.14151000429524e-64
XM_027351485.1	2.17739209961532e-64
XM_027377990.1	3.0537343033482e-64
XM_027359736.1	3.25600258090732e-64
XM_027374911.1	3.40403932603133e-64
XM_027366679.1	4.29746271726466e-64
XM_027372253.1	4.29746271726466e-64
XM_027369866.1	4.69811597701939e-64
XM_027358583.1	5.21696175008543e-64
XM_027377389.1	5.79581300020875e-64
XM_027376808.1	6.32869091886623e-64
XM_027378226.1	7.86994311552829e-64
XM_027379362.1	8.76452356846206e-64
XM_027355406.1	2.91158211364523e-63
XR_003476748.1	3.39703665172473e-63
XM_027368483.1	3.42419852073198e-63
XM_027376863.1	3.50225510864616e-63
XM_027369773.1	4.10980678073471e-63
XM_027368484.1	4.24166877708768e-63
XM_027381145.1	4.69121885263279e-63
XR_003475869.1	4.78350071184275e-63
XM_027379918.1	5.01297547919529e-63
XM_027365162.1	5.01417105138604e-63
XM_027366958.1	5.01417105138604e-63
XM_027363953.1	5.07073977792454e-63
XM_027377992.1	5.70964216956429e-63
XM_027362058.1	8.51224380152611e-63
XM_027375922.1	8.67643278376201e-63
