ID	logFC	logCPM	PValue	FDR	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027367149.1	13.7749075275878	10.8857051105354	1.5742040843637e-111	2.40317995518962e-107	21	36	28	14	51	237274	29251	43178	36732	73932	0.177297241598276	0.266072836920329	0.261816484034541	0.174451065942346	0.455672346811257	3327.33840250774	3437.81624838759	3998.67412825515	3956.6398234772	4199.00235198805	Down_hemocyte_Up_muscle
XM_027367225.1	17.5185671808875	8.98918079431969	4.08318777161951e-104	3.11669722607717e-100	0	2	0	0	0	53657	10015	8966	10954	20121	0	0.0147818242733516	0	0	0	752.442310001762	1177.04453617318	830.332860112456	1179.9257493839	1142.78156041161	Down_hemocyte_Up_muscle
XM_027367243.1	17.7151172242369	10.6142387262493	2.74898815325722e-102	1.39886843825416e-98	3	2	0	2	0	136103	36854	38887	30281	45298	0.0253281773711823	0.0147818242733516	0	0.0249215808489065	0	1908.59823915183	4331.38285932366	3601.28863832178	3261.76114817361	2572.72099416159	Down_hemocyte_Up_muscle
XM_027358642.1	17.9800281949876	8.89400599910355	9.70024426370364e-101	3.70209822324249e-97	0	0	1	0	0	49483	8716	11510	11344	13241	0	0	0.00935058871551933	0	0	693.909514617239	1024.37545454672	1065.93031674039	1221.93515619965	752.028758084101	Down_hemocyte_Up_muscle
XM_027367223.1	17.718490697223	9.20844347731016	1.19313915248029e-98	3.64289246035282e-95	0	0	0	0	2	56665	11422	10102	13747	24004	0	0	0	0	0.0178695037965199	794.62406575563	1342.40665922817	935.536755839397	1480.7777320413	1363.31835277175	Down_hemocyte_Up_muscle
XM_027358624.1	13.8127873464912	10.9788763094712	4.57484309847836e-98	1.16399257902285e-94	26	33	23	39	27	220963	37625	60358	39962	48717	0.219510870550247	0.243900100510302	0.215063540456945	0.485970826553677	0.241238301253018	3098.60614914959	4421.99707174398	5589.69783299884	4304.56388505379	2766.9046905508	Down_hemocyte_Up_muscle
XM_027381155.1	11.9784291254235	7.77805154545199	6.37809657717224e-96	1.39097174781588e-92	14	20	10	8	8	22906	4063	5900	4519	6398	0.118198161065517	0.147818242733516	0.0935058871551933	0.0996863233956261	0.0714780151860795	321.215191920912	477.516919667662	546.393472525484	486.77053692403	363.377387978406	Down_hemocyte_Up_muscle
XM_027363214.1	12.3048526641261	6.82507221697019	2.07611174022542e-95	3.96174022828516e-92	8	7	4	3	2	17033	1487	2251	2272	4708	0.0675418063231528	0.0517363849567307	0.0374023548620773	0.0373823712733598	0.0178695037965199	238.856996594294	174.764375965005	208.463001127943	244.731723808674	267.393051360165	Down_hemocyte_Up_muscle
XM_027368030.1	16.9033381140885	6.83558020908716	5.42119319731753e-95	9.19554837224993e-92	0	0	0	0	0	19344	1559	2474	2420	3494	0	0	0	0	0	271.264588863971	183.226403584023	229.114822208144	260.673755113112	198.443356298304	Down_hemocyte_Up_muscle
XM_027368031.1	15.3131783460412	6.80227079757933	6.4229785114817e-95	9.45084468980078e-92	0	0	0	0	2	19751	1502	2341	2205	3676	0	0	0	0	0.0178695037965199	276.972027225615	176.527298385633	216.797816810535	237.514723150583	208.780131011038	Down_hemocyte_Up_muscle
XM_027370962.1	15.9668434905335	9.25865319452757	6.80985795806423e-95	9.45084468980078e-92	0	0	4	5	0	59909	8821	16542	11932	25213	0	0	0.0374023548620773	0.0623039521222663	0	840.115294367847	1036.71591149113	1531.93912246043	1285.27241570647	1431.98407050634	Down_hemocyte_Up_muscle
XM_027363209.1	11.4538966425934	6.56358062436699	1.07532527045344e-94	1.36799296489518e-91	10	7	8	6	5	10701	1393	2199	1957	3839	0.084427257903941	0.0517363849567307	0.0748047097241547	0.0747647425467196	0.0446737594912997	150.062157021989	163.716728795731	203.647329844668	210.801049072876	218.037791880135	Down_hemocyte_Up_muscle
XM_027367241.1	18.9811170942661	8.91402308785326	4.93106142427329e-94	5.79058336176585e-91	0	0	0	0	0	92266	8459	10889	8919	9987	0	0	0	0	0	1293.86365571356	994.170717073284	1008.42008853051	960.72281894787	567.216313494896	Down_hemocyte_Up_muscle
XM_027363210.1	11.9460828164072	6.53459024876745	6.41433904098993e-94	6.99437855712517e-91	7	7	6	4	1	10686	1386	2171	1858	3761	0.0590990805327587	0.0517363849567307	0.056103532293116	0.0498431616978131	0.00893475189825994	149.851809170823	162.894031666104	201.05427607675	200.13712272734	213.607745574677	Down_hemocyte_Up_muscle
XM_027367224.1	15.8567182261471	8.98819121800606	6.0628013390018e-91	6.1703150160801e-88	0	2	0	6	0	53639	9985	8918	10703	20679	0	0.0147818242733516	0	0.0747647425467196	0	752.189892580362	1173.51869133192	825.88762508174	1152.88892602299	1174.47343013527	Down_hemocyte_Up_muscle
XM_027363215.1	12.569000192581	6.73195909208878	1.35943084879297e-90	1.2970669586046e-87	2	4	8	4	0	16674	1412	2080	2123	4266	0.0168854515807882	0.0295636485467033	0.0748047097241547	0.0498431616978131	0	233.822671356382	165.94976386186	192.626851331018	228.681976076503	242.289455629241	Down_hemocyte_Up_muscle
XM_027370790.1	17.8136498770294	10.5189780609515	6.12342410746385e-90	5.49883484850253e-87	0	0	0	0	6	132749	25935	41903	33027	40960	0	0	0	0	0.0536085113895596	1861.56445963106	3048.09286526725	3880.59757275176	3557.55045872758	2326.34226501962	Down_hemocyte_Up_muscle
XM_027354432.1	15.4042044278353	9.48571164661422	3.20380745461983e-88	2.71718470012369e-85	4	0	2	2	9	60756	12736	21729	13381	24080	0.0337709031615764	0	0.0187011774310387	0.0249215808489065	0.0804127670843395	851.9929363637	1496.83866327525	2012.30233296716	1441.35351949114	1367.6348081463	Down_hemocyte_Up_muscle
XM_027365225.1	18.9156409397471	8.84851910158788	1.83861792072796e-86	1.47728111462279e-83	0	0	0	0	0	34015	9779	12709	8955	14838	0	0	0	0	0	476.998810494622	1149.30789008862	1176.96858344515	964.600610346247	842.731116415066	Down_hemocyte_Up_muscle
XM_027370793.1	16.8561482781907	6.78835990904623	8.16935814917258e-84	6.23567107526343e-81	0	0	0	0	0	10434	2097	2482	2793	3218	0	0	0	0	0	146.31796527123	246.45655440391	229.855694713263	300.851982657406	182.76780783284	Down_hemocyte_Up_muscle
XM_027368559.1	20.9048887611891	10.8379349426255	3.56723173258275e-83	2.59320760140992e-80	0	0	0	0	0	209446	34591	50904	46616	27587	0	0	0	0	0	2937.10106902415	4065.41663013145	4714.17175007411	5021.30899518712	1566.81650549551	Down_hemocyte_Up_muscle
XM_027363211.1	11.843255156722	6.74863500812962	8.19158776649712e-82	5.68421722015205e-79	6	14	8	4	0	12247	1473	2214	2231	5027	0.0506563547423646	0.103472769913461	0.0748047097241547	0.0498431616978131	0	171.742008882188	173.118981705751	205.036465791766	240.315350271633	285.510804840176	Down_hemocyte_Up_muscle
XM_027363212.1	13.775849173877	7.67473716286287	3.29494361932783e-81	2.18698301272429e-78	4	4	4	3	0	15065	3550	5307	5174	6458	0.0337709031615764	0.0295636485467033	0.0374023548620773	0.0373823712733598	0	211.259358521284	417.224972882156	491.476298083516	557.324797088943	366.785115905681	Down_hemocyte_Up_muscle
XM_027363208.1	11.3029070010462	6.60491464586428	7.85000231490145e-80	4.9932556391369e-77	17	13	7	2	4	11201	1410	2166	2031	4077	0.1435263384367	0.0960818577767856	0.0654541210086353	0.0249215808489065	0.0357390075930398	157.073752060863	165.71470753911	200.591230761051	218.772064725095	231.555112658325	Down_hemocyte_Up_muscle
XM_027363224.1	10.3554529641757	5.68619302601704	9.43109561259565e-80	5.75900422487541e-77	9	11	7	9	6	4685	890	1346	1024	1938	0.0759845321135469	0.081300033503434	0.0654541210086353	0.112147113820079	0.0536085113895596	65.6986455142526	104.600063623977	124.651798986322	110.301621998275	110.069612050977	Down_hemocyte_Up_muscle
XM_027363217.1	11.3472487166244	5.69397952356347	3.10914736696938e-79	1.81104009988201e-76	7	6	2	4	2	4574	943	1359	1001	1931	0.0590990805327587	0.0443454728200549	0.0187011774310387	0.0498431616978131	0.0178695037965199	64.1420714156225	110.829056176866	125.855716807141	107.824144160424	109.672043792795	Down_hemocyte_Up_muscle
XM_027367239.1	17.1548156181851	7.08716988602828	3.20307105311243e-79	1.81104009988201e-76	0	0	0	0	0	13583	3538	2219	2914	4137	0	0	0	0	0	190.476990826061	415.814634945653	205.499511107466	313.885670413061	234.9628405856	Down_hemocyte_Up_muscle
XM_027370370.1	11.7438155161361	7.95657121363545	5.81054174946279e-79	3.16799036954639e-76	21	7	14	10	26	21033	4836	5480	5260	9628	0.177297241598276	0.0517363849567307	0.130908242017271	0.124607904244533	0.232303549354758	294.949756905288	568.366188410734	507.497666006721	566.588409873954	546.826741396701	Down_hemocyte_Up_muscle
XM_027363225.1	10.4483190175703	5.7355215248529	6.38564275058931e-79	3.36149042174125e-76	8	15	9	4	6	4915	939	1454	973	2016	0.0675418063231528	0.110863682050137	0.084155298439674	0.0498431616978131	0.0536085113895596	68.9239792321349	110.358943531365	134.653577805433	104.808084183908	114.499658356434	Down_hemocyte_Up_muscle
XM_027363229.1	10.0700504530522	5.79067262179155	1.2660215796021e-78	6.44236181140187e-76	15	13	10	8	10	4702	1042	1432	1087	2039	0.126640886855912	0.0960818577767856	0.0935058871551933	0.0996863233956261	0.0893475189825994	65.9370397455744	122.464344153016	132.616178416355	117.087756945435	115.80595406189	Down_hemocyte_Up_muscle
XM_027378454.1	14.6013230443478	7.55593770790042	1.5566334978652e-78	7.66566676722907e-76	0	0	0	4	3	23797	2712	6688	2522	5967	0	0	0	0.0498431616978131	0.0268042556947798	333.709854280186	318.736373649692	619.369414279735	271.660830741846	338.898542367482	Down_hemocyte_Up_muscle
XM_027363223.1	10.8283903366413	5.65427615611041	2.12190960882032e-78	1.01228350275784e-75	11	6	6	2	5	4577	942	1290	971	1853	0.0928699836943351	0.0443454728200549	0.056103532293116	0.0249215808489065	0.0446737594912997	64.1841409858558	110.71152801549	119.465691450487	104.592651328443	105.241997487338	Down_hemocyte_Up_muscle
XM_027363563.1	17.3089937261154	10.0551945223106	9.08894788407996e-78	4.20460237570802e-75	0	0	2	2	2	68328	20846	37547	21306	25705	0	0	0.0187011774310387	0.0249215808489065	0.0178695037965199	958.176531632413	2449.99205202857	3477.1924937143	2295.00620927271	1459.92743950999	Down_hemocyte_Up_muscle
