ID	FDR
XM_027367149.1	2.40317995518962e-107
XM_027367225.1	3.11669722607717e-100
XM_027367243.1	1.39886843825416e-98
XM_027358642.1	3.70209822324249e-97
XM_027367223.1	3.64289246035282e-95
XM_027358624.1	1.16399257902285e-94
XM_027381155.1	1.39097174781588e-92
XM_027363214.1	3.96174022828516e-92
XM_027368030.1	9.19554837224993e-92
XM_027368031.1	9.45084468980078e-92
XM_027370962.1	9.45084468980078e-92
XM_027363209.1	1.36799296489518e-91
XM_027367241.1	5.79058336176585e-91
XM_027363210.1	6.99437855712517e-91
XM_027367224.1	6.1703150160801e-88
XM_027363215.1	1.2970669586046e-87
XM_027370790.1	5.49883484850253e-87
XM_027354432.1	2.71718470012369e-85
XM_027365225.1	1.47728111462279e-83
XM_027370793.1	6.23567107526343e-81
XM_027368559.1	2.59320760140992e-80
XM_027363211.1	5.68421722015205e-79
XM_027363212.1	2.18698301272429e-78
XM_027363208.1	4.9932556391369e-77
XM_027363224.1	5.75900422487541e-77
XM_027363217.1	1.81104009988201e-76
XM_027367239.1	1.81104009988201e-76
XM_027370370.1	3.16799036954639e-76
XM_027363225.1	3.36149042174125e-76
XM_027363229.1	6.44236181140187e-76
XM_027378454.1	7.66566676722907e-76
XM_027363223.1	1.01228350275784e-75
XM_027363563.1	4.20460237570802e-75
XM_027363560.1	2.48278799612246e-74
XM_027360043.1	3.84218530043581e-74
XM_027363221.1	5.99261052351395e-74
XM_027363227.1	5.99261052351395e-74
XM_027363561.1	5.99261052351395e-74
XM_027363216.1	2.08302873595884e-73
XM_027356802.1	2.35551044345939e-73
XM_027363213.1	2.35551044345939e-73
XM_027367242.1	4.2407130767154e-73
XM_027361148.1	5.64208279160907e-73
XR_003475816.1	6.4655641800918e-73
XM_027363562.1	6.51099409096332e-73
XM_027367246.1	6.51099409096332e-73
XM_027379534.1	1.58317528342246e-72
XM_027363219.1	3.20548130386278e-72
XM_027367236.1	9.12806662659099e-72
XM_027353008.1	1.59067591436332e-71
XM_027363232.1	1.59067591436332e-71
XM_027363228.1	1.82497125114387e-71
XM_027381156.1	3.57994249373258e-71
XR_003476908.1	1.09550351276229e-70
XM_027373383.1	3.02116675244606e-70
XM_027365815.1	3.5001487117053e-70
XM_027363559.1	3.56358370850501e-70
XM_027382986.1	3.56358370850501e-70
XM_027363230.1	7.14474087117879e-70
XM_027363564.1	7.4323036245609e-70
XM_027367222.1	8.15619873626499e-69
XM_027381154.1	9.99795092359261e-69
XM_027370783.1	1.29088496808749e-68
XM_027367001.1	1.61328300412569e-68
XM_027357870.1	4.23408424469184e-68
XM_027363218.1	5.85052055326134e-68
XM_027363226.1	3.99869525743756e-67
XM_027371770.1	1.44017128199109e-66
XM_027357709.1	1.80201768175289e-66
XM_027357706.1	5.44913310151744e-66
XM_027355456.1	1.00039669071526e-65
XM_027368450.1	3.40844914728943e-64
XM_027357161.1	2.05275761180227e-63
XM_027365705.1	4.32693572872534e-63
XM_027362845.1	2.34420039638474e-62
XM_027356798.1	2.90333894327884e-62
XM_027356797.1	3.03453130778947e-62
XM_027361149.1	4.96089214986045e-62
XM_027356801.1	1.24640910861343e-61
XM_027365822.1	1.24640910861343e-61
XM_027365831.1	2.2805397146931e-61
