ID	logFC	logCPM	PValue	FDR	hep_1	hep_2	hep_3	hep_4	hep_5	gills_1	gills_2	gills_3	gills_4	gills_5	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	Expression
XM_027380431.1	-13.5755068090883	6.20774342866384	5.73944032078466e-72	1.14576447123824e-67	5860	3686	5155	4999	2760	2	0	0	0	1	171.63036989901	157.523650797306	153.110152800899	159.455991475852	97.1351481412124	0.0211911506905869	0	0	0	0.0258786919158345	Up_hep_Down_gills
XM_027380586.1	-12.6378807663503	4.85454284351481	1.20532316457961e-70	1.20309331672514e-66	2148	1527	2036	1757	1261	0	0	2	0	0	62.9116099902856	65.2573561496166	60.4718275659808	56.0440442134572	44.3795006543728	0	0	0.030144712595736	0	0	Up_hep_Down_gills
XM_027352295.1	-12.0897319582471	4.3185365038507	2.15426397657332e-70	1.43351905881111e-66	1418	914	1131	1271	1266	0	2	0	0	0	41.5310349004772	39.0603952329729	33.5921596154835	40.5418213974411	44.5554701256431	0	0.0345161641046497	0	0	0	Up_hep_Down_gills
XM_027352296.1	-13.7750099705284	4.2377736048963	1.0315883375913e-69	3.6099997094124e-66	1398	943	1012	1204	1101	0	0	0	0	0	40.9452657199345	40.2997294362073	30.0577060396722	38.4046836841221	38.7484775737228	0	0	0	0	0	Up_hep_Down_gills
XM_027367228.1	-10.9036340535305	6.53908938362219	7.35954464991638e-70	3.6099997094124e-66	6947	4050	6110	7181	4040	11	8	5	2	4	203.466924861506	173.079431831007	181.474885279049	229.056506258871	142.183332786412	0.116551328798228	0.138064656418599	0.0753617814893399	0.0353369899844895	0.103514767663338	Up_hep_Down_gills
XM_027380251.1	-10.1116657453633	6.21985975626271	1.0850071760995e-69	3.6099997094124e-66	3838	4810	5105	4322	3894	11	7	11	6	6	112.409105746144	205.558535088183	151.625088273248	137.861331297986	137.045024225319	0.116551328798228	0.120806574366274	0.165795919276548	0.106010969953468	0.155272151495007	Up_hep_Down_gills
XM_027358232.1	-12.8548608663791	5.07143266897301	9.90219554826723e-68	2.82396471042941e-64	2047	1767	2620	2362	1346	0	0	2	0	0	59.953475628545	75.5139150729355	77.8173812489537	75.3420787889504	47.3709816659681	0	0	0.030144712595736	0	0	Up_hep_Down_gills
XM_027369553.1	-12.9585504826245	4.55616033756707	2.37112130275158e-67	5.91683682085373e-64	1347	1467	1690	1240	1226	0	1	0	0	0	39.4515543095506	62.6932164187869	50.1951810346304	39.5529964853084	43.1477143554806	0	0.0172580820523248	0	0	0	Up_hep_Down_gills
XM_027379298.1	-14.493628288379	4.95577205716874	3.38609283081848e-67	7.51073013129214e-64	1556	1777	2376	2122	1431	0	0	0	0	0	45.5728422462218	75.9412716947405	70.570266354013	67.6866601143746	50.3624626775634	0	0	0	0	0	Up_hep_Down_gills
XM_027352297.1	-11.9380838731886	4.19758403905922	3.08303450982931e-66	6.15466179197226e-63	1408	967	970	1094	1050	0	0	0	0	2	41.2381503102059	41.3253853285391	28.8102518364447	34.8959501249415	36.9535889667656	0	0	0	0	0.051757383831669	Up_hep_Down_gills
XM_027363949.1	-12.6855199170837	6.52101109316422	1.43565517555404e-65	2.60545311541685e-62	6065	5154	7038	6590	2867	3	0	2	2	1	177.634503999573	220.259602878274	209.037682912266	210.205037772728	100.900894826397	0.0317867260358803	0	0.030144712595736	0.0353369899844895	0.0258786919158345	Up_hep_Down_gills
XM_027354925.1	-11.8339052053847	5.98348609559365	2.6452378759101e-65	4.40057364306611e-62	3971	4011	3441	3591	3634	4	0	0	4	2	116.304470796752	171.412741005967	102.202140792996	114.544201918341	127.894611719263	0.0423823013811738	0	0	0.070673979968979	0.051757383831669	Up_hep_Down_gills
XM_027377569.1	-16.1076026656338	6.56909509327005	1.03870976887116e-63	1.59505870122884e-60	4832	7334	5159	5462	4743	0	0	0	0	0	141.521834019116	313.423346431754	153.228957963111	174.224570002221	166.924640447018	0	0	0	0	0	Up_hep_Down_gills
XM_027360388.1	-12.2424643656242	6.85738576574486	2.06995414304461e-63	2.95160675411426e-60	10226	6675	6905	6104	4959	4	0	2	6	2	299.503782011481	285.260545054807	205.087411268712	194.702814956712	174.526521605896	0.0423823013811738	0	0.030144712595736	0.106010969953468	0.051757383831669	Up_hep_Down_gills
