ID	FDR
XM_027380431.1	1.14576447123824e-67
XM_027380586.1	1.20309331672514e-66
XM_027352295.1	1.43351905881111e-66
XM_027352296.1	3.6099997094124e-66
XM_027367228.1	3.6099997094124e-66
XM_027380251.1	3.6099997094124e-66
XM_027358232.1	2.82396471042941e-64
XM_027369553.1	5.91683682085373e-64
XM_027379298.1	7.51073013129214e-64
XM_027352297.1	6.15466179197226e-63
XM_027363949.1	2.60545311541685e-62
XM_027354925.1	4.40057364306611e-62
XM_027377569.1	1.59505870122884e-60
XM_027360388.1	2.95160675411426e-60
XM_027378597.1	3.55944712132637e-59
XM_027361473.1	5.82630201294443e-59
XM_027382895.1	8.14277927302204e-59
XM_027355864.1	1.30425072265299e-58
XM_027372562.1	1.45300970721063e-58
XM_027381942.1	2.04640023266448e-58
XM_027364536.1	2.79443759115127e-58
XM_027379523.1	3.5799398314724e-58
XM_027363320.1	5.44383809316449e-58
XM_027355865.1	6.65422156250519e-58
XM_027374911.1	7.84465161499115e-58
XM_027359900.1	4.71437587402094e-57
XM_027362906.1	4.71437587402094e-57
XM_027379362.1	6.81274399863663e-57
XM_027365869.1	1.57446183266027e-56
XM_027365595.1	5.68362246915034e-56
XM_027375794.1	2.55033754894904e-55
XM_027365310.1	2.93219338191408e-55
XM_027370939.1	3.11051427929417e-55
XM_027364525.1	3.79448027323978e-55
XM_027380981.1	1.46140634421498e-54
XM_027375922.1	3.31518414156201e-54
XM_027352868.1	3.93287593776529e-54
XM_027353914.1	6.20404944304193e-54
XM_027351567.1	7.45081428512751e-54
XM_027372253.1	7.45081428512751e-54
XM_027378226.1	8.5931227601751e-54
XM_027353363.1	1.07728507567303e-53
XM_027357695.1	1.07728507567303e-53
XM_027382405.1	1.30002692616539e-53
XM_027377963.1	1.43611461287161e-53
XM_027363991.1	1.50623292838562e-53
XM_027362059.1	1.52256341413841e-53
XM_027365311.1	1.52256341413841e-53
XM_027360302.1	1.56670664659968e-53
XM_027352856.1	2.00147747410501e-53
XM_027355671.1	2.12829326272653e-53
XM_027368839.1	5.06337954071908e-53
XR_003476748.1	5.15220721769993e-53
XM_027376807.1	1.19781022957791e-52
XM_027369773.1	1.8320888381503e-52
XM_027376188.1	2.1811529193037e-52
XM_027380855.1	2.22961655966399e-52
XM_027355338.1	2.83703889446027e-52
XM_027379449.1	3.89364278286272e-52
XM_027371550.1	9.19611828577411e-52
XM_027374995.1	9.45334530754434e-52
XM_027366679.1	9.92590411184491e-52
XM_027376737.1	1.58175623553879e-51
XM_027369645.1	1.64276463157974e-51
XM_027380253.1	2.62818301164446e-51
XM_027351217.1	2.75331006515686e-51
XM_027362058.1	3.39653135530816e-51
XM_027359233.1	5.40188746277964e-51
XM_027372202.1	8.27568523408937e-51
XM_027374535.1	8.54236426950011e-51
XM_027374921.1	1.48626243500351e-50
XM_027374373.1	1.50455693678961e-50
XM_027355619.1	1.55249980923846e-50
XM_027367879.1	2.19785954401203e-50
XR_003475003.1	3.01047075454062e-50
XM_027369548.1	4.36349840647171e-50
XM_027366577.1	4.52195413956282e-50
XM_027376387.1	6.07874462042055e-50
XM_027380441.1	6.1105432680947e-50
XM_027352843.1	1.37118225983418e-49
XM_027364702.1	1.77003982998431e-49
XM_027374536.1	1.77774160776503e-49
XM_027352569.1	2.01936662571416e-49
XM_027351847.1	2.3481493072527e-49
XM_027377212.1	2.85246897975896e-49
XM_027369535.1	3.40445776213998e-49
XM_027356123.1	3.83124444124104e-49
XM_027353680.1	4.5028722264299e-49
XM_027365314.1	4.60348617712661e-49
XM_027381683.1	4.83625749625033e-49
XM_027362910.1	5.83851102070391e-49
XM_027358460.1	6.82463544269969e-49
XM_027359230.1	7.00514117529047e-49
XM_027360238.1	1.06677717068147e-48
XM_027382407.1	1.71663348649051e-48
XM_027376736.1	1.85293657177315e-48
XM_027365380.1	2.94434241891567e-48
XM_027365519.1	4.88519828361076e-48
XM_027356770.1	5.0211641078762e-48
XM_027365162.1	5.41044771425223e-48
XM_027372900.1	6.72583349185246e-48
XM_027373827.1	7.95152077985227e-48
XM_027375340.1	1.89588219785061e-47
XM_027376806.1	2.83597373088783e-47
XM_027367963.1	3.13249584990833e-47
XM_027376738.1	3.18395125532462e-47
XM_027351588.1	3.47013320413212e-47
XM_027381890.1	3.98870939207645e-47
XM_027365592.1	4.18649771361449e-47
XM_027353471.1	5.80292109693607e-47
XM_027382409.1	5.97782301446755e-47
XM_027377227.1	6.53015638854965e-47
XM_027375239.1	1.04065342487672e-46
XM_027355571.1	1.05845798842749e-46
XR_003477669.1	1.2483961838923e-46
XM_027363321.1	1.2778787214521e-46
XM_027376739.1	1.54541143742913e-46
XM_027377298.1	1.61668635389044e-46
XM_027360690.1	2.05879289867051e-46
XM_027362057.1	2.09865803346803e-46
XM_027373824.1	2.18079803620831e-46
XM_027373828.1	2.34366106578523e-46
XM_027351358.1	2.81323154630235e-46
XM_027356949.1	2.83024908481855e-46
XM_027382408.1	2.96459420102728e-46
XM_027379161.1	3.24556600666731e-46
XM_027381844.1	3.792527997282e-46
XM_027365477.1	5.51306500433075e-46
XM_027380885.1	5.72109388434173e-46
XM_027354213.1	6.52319811011139e-46
XM_027371253.1	8.49245912505003e-46
XM_027374289.1	8.53955536108696e-46
XM_027360739.1	8.84997531082309e-46
XM_027361345.1	9.32830399879411e-46
XM_027363955.1	1.03258305216038e-45
XM_027379428.1	1.09245109077805e-45
XM_027380875.1	1.17494662362509e-45
XM_027376740.1	1.23908059697629e-45
XM_027378762.1	1.80988545227417e-45
XM_027371450.1	2.93935643936198e-45
XM_027380822.1	3.58289916927298e-45
XM_027374593.1	3.70754829222482e-45
XM_027359091.1	3.75888309524102e-45
XM_027359595.1	4.03356607715707e-45
XM_027380876.1	4.08121596154502e-45
XM_027375771.1	4.18722312032004e-45
XM_027375831.1	4.33865822672517e-45
XM_027369687.1	4.5146933742375e-45
XM_027357843.1	4.61183453029017e-45
XR_003476604.1	6.18986966854036e-45
XM_027379361.1	6.40831760676001e-45
XM_027356405.1	6.64469813650462e-45
XM_027373825.1	7.14189938682143e-45
XM_027351587.1	8.90265520585516e-45
XM_027378341.1	1.01409583502361e-44
XM_027363588.1	1.15165480858103e-44
XM_027353719.1	1.59800648701468e-44
XM_027382187.1	2.03108341304511e-44
XM_027352587.1	2.48066895916438e-44
XM_027360500.1	3.28051538366087e-44
XM_027364872.1	3.42102153887092e-44
XM_027363415.1	4.55092222718982e-44
XM_027363126.1	5.19443339217577e-44
XM_027358195.1	5.66371993372002e-44
XR_003477129.1	7.42700575049454e-44
XM_027360143.1	7.57147357365899e-44
XM_027371447.1	8.07055330818463e-44
XM_027379368.1	8.10927451879957e-44
XM_027368181.1	8.39530179641432e-44
XM_027383549.1	1.1163067468049e-43
XM_027379160.1	1.13033207055488e-43
XM_027369957.1	1.42565091376386e-43
XM_027362060.1	1.77713630205662e-43
XM_027351791.1	1.8310683137487e-43
XM_027367145.1	1.95203606079761e-43
XM_027372220.1	2.0204251611593e-43
XM_027365593.1	2.99820543596307e-43
XR_003475024.1	3.12598038479149e-43
XM_027352568.1	3.13037265708323e-43
XM_027351568.1	3.74062345251848e-43
XM_027377205.1	4.51468428658465e-43
XM_027365600.1	4.93072651830438e-43
XM_027358186.1	5.04059963296993e-43
XM_027380237.1	5.04059963296993e-43
XM_027355352.1	5.32652165829228e-43
XM_027369236.1	5.78039745864064e-43
