ID	FDR
XM_027367225.1	2.74753168026615e-46
XM_027367223.1	1.7504103387112e-45
XM_027367224.1	1.7504103387112e-45
XM_027370962.1	3.59802910788875e-45
XR_003476289.1	3.66929593559832e-41
XR_003476287.1	1.96064364776177e-40
XM_027365885.1	2.54702389719215e-40
XR_003476288.1	8.11584869877974e-40
XM_027367222.1	2.10578439156876e-39
XM_027365884.1	1.18976068568788e-36
XM_027378597.1	3.6737465920079e-36
XM_027354682.1	8.37989281658986e-36
XM_027378454.1	8.37989281658986e-36
XM_027367206.1	1.24498506769754e-33
XM_027381145.1	6.32092103853069e-33
XM_027380253.1	1.09402090708667e-32
XM_027363969.1	1.09525257995508e-32
XM_027359642.1	1.6389639763116e-32
XM_027359641.1	1.65662065473786e-32
XM_027367243.1	2.31602112922261e-32
XM_027378519.1	2.68981548035828e-32
XM_027361474.1	7.73164887803996e-32
XM_027361345.1	2.11818605248376e-30
XM_027359643.1	1.67465080287615e-29
XM_027364536.1	1.8353367217685e-28
XM_027367879.1	3.90184567659837e-28
XM_027381668.1	5.29907224943667e-28
XM_027371495.1	5.39682705736162e-28
XM_027355864.1	5.86902856807651e-28
XM_027352296.1	1.20011562032191e-27
XM_027363486.1	1.20011562032191e-27
XM_027367205.1	1.52455637393707e-27
XM_027368559.1	2.59081618002563e-27
XM_027367239.1	2.62890154200355e-27
XM_027358460.1	3.18456160868545e-27
XM_027366518.1	3.53980371053264e-27
XM_027355469.1	4.22135579924403e-27
XM_027374288.1	5.19764628248686e-27
XM_027362059.1	5.2349010522692e-27
XM_027352569.1	6.99839510774682e-27
XM_027352295.1	9.29907119543131e-27
XM_027351358.1	1.6172030783834e-26
XM_027371493.1	2.02746907656864e-26
XM_027371539.1	2.02746907656864e-26
XM_027369645.1	3.52437516833605e-26
XM_027363970.1	5.5172983382164e-26
XM_027358029.1	1.37895604378449e-25
XM_027370936.1	1.39025808040842e-25
XM_027375602.1	1.40669114503456e-25
XM_027371253.1	2.56492402300741e-25
XM_027356093.1	2.96333896912909e-25
XR_003476211.1	3.35542566185904e-25
XM_027372253.1	3.3982746830896e-25
XM_027371537.1	5.04536142978321e-25
XM_027356510.1	5.14735672164589e-25
XM_027353713.1	5.18317498703091e-25
XM_027378603.1	7.54967553169384e-25
XM_027366516.1	7.81809392562956e-25
XM_027376863.1	9.78491506717702e-25
XM_027352297.1	1.44025501869173e-24
XR_003476575.1	1.44025501869173e-24
XM_027368558.1	1.51863708409711e-24
XM_027383714.1	2.39370849810046e-24
XR_003476719.1	2.4603113908355e-24
XM_027377569.1	2.65533148527456e-24
XM_027370874.1	3.56937888408401e-24
XM_027363415.1	3.99691029754905e-24
XM_027373824.1	4.31160778552343e-24
XM_027362910.1	5.13892324358037e-24
XM_027360996.1	6.09038349354135e-24
XM_027360999.1	6.50125256082823e-24
XM_027374536.1	6.61939600007773e-24
XM_027355338.1	6.7988792414799e-24
XM_027376858.1	8.60765636796787e-24
XM_027382405.1	1.05523224931919e-23
XM_027357358.1	1.08215254012558e-23
XR_003475025.1	1.16920245752391e-23
XM_027378230.1	2.06091147046718e-23
XR_003475003.1	2.1761387368608e-23
XM_027383549.1	3.01007678618442e-23
XM_027375601.1	3.07259839256259e-23
XM_027362057.1	3.0772118333173e-23
XM_027354135.1	3.37272639808741e-23
XM_027366514.1	3.77858624528779e-23
XM_027370157.1	4.00698748706058e-23
XR_003476604.1	4.09766936539004e-23
XM_027378234.1	4.63675702871055e-23
XM_027381851.1	4.64512560734484e-23
XM_027381944.1	5.48441978759007e-23
XM_027383660.1	8.34127425521415e-23
XM_027381890.1	8.69907363093594e-23
XM_027366411.1	1.57999841559142e-22
XM_027380095.1	1.68486334536996e-22
XM_027360217.1	1.91997881430614e-22
XM_027381853.1	2.40473517056722e-22
XM_027366515.1	2.73422517455166e-22
XM_027368222.1	2.73998925063185e-22
XM_027359091.1	2.84124940244885e-22
XM_027362058.1	2.90351590530079e-22
XM_027358886.1	3.20896643498735e-22
XM_027359148.1	5.91469011429633e-22
XM_027366513.1	6.33629132073797e-22
XM_027365593.1	6.5690429904427e-22
XM_027361473.1	7.77117758430723e-22
XM_027381854.1	8.21093116694026e-22
XM_027351567.1	9.74858814909766e-22
XM_027369669.1	9.74858814909766e-22
XM_027370786.1	9.74858814909766e-22
XM_027353363.1	1.24556351432476e-21
XM_027373829.1	1.2610690446714e-21
XM_027381821.1	1.57159233729294e-21
XM_027372150.1	1.71044462059182e-21
XR_003477680.1	1.87556573030245e-21
XM_027370131.1	1.90040157813237e-21
XM_027380544.1	2.06380066198739e-21
XM_027356629.1	2.16187544118525e-21
XM_027381865.1	2.20076845608044e-21
XM_027381845.1	2.27789031731879e-21
XM_027371497.1	2.69437266822334e-21
XM_027372961.1	2.90068083720173e-21
XM_027367241.1	3.43869813656784e-21
XM_027372202.1	3.5306957918112e-21
XM_027362751.1	3.91249241307099e-21
XM_027361441.1	4.16054118689207e-21
XM_027378226.1	4.46173737195041e-21
XM_027355352.1	4.66253449313064e-21
XM_027374373.1	4.78739501576954e-21
XM_027381669.1	5.77235768161927e-21
XM_027355466.1	5.86452370456363e-21
XM_027366517.1	6.12677296277579e-21
XM_027379373.1	6.52109009974391e-21
XM_027365249.1	7.45826205996879e-21
XM_027377836.1	8.7703765489294e-21
XM_027357752.1	9.25809196126826e-21
XM_027356631.1	9.59234585306931e-21
XM_027366220.1	1.09002122067133e-20
XM_027373774.1	1.21178433407871e-20
XR_003477731.1	1.21356998609771e-20
XM_027369774.1	1.28784355047126e-20
XM_027367242.1	1.46242023532634e-20
XM_027363126.1	1.71748620210766e-20
XM_027351791.1	1.73330563964747e-20
XM_027352581.1	1.97311330575079e-20
XM_027367822.1	2.20333590662672e-20
XM_027368999.1	2.34064092210564e-20
XM_027381055.1	2.53599353114393e-20
XM_027379161.1	2.74171283649845e-20
XM_027352315.1	3.02020437278972e-20
XM_027374011.1	3.53655873306151e-20
XM_027363971.1	3.62740252000261e-20
XM_027380874.1	3.8121841205356e-20
XM_027354150.1	3.87973212152556e-20
XM_027364268.1	3.88444821038009e-20
XR_003476718.1	4.05237342385259e-20
XM_027352582.1	4.86580084870615e-20
XM_027366682.1	5.81742668305624e-20
XM_027375613.1	6.29281879769188e-20
XM_027359997.1	6.29473307622243e-20
XM_027377147.1	6.90322294150803e-20
XM_027370700.1	7.45893385991933e-20
XM_027369773.1	8.98691011334383e-20
XM_027365592.1	9.83943815032283e-20
XM_027360680.1	1.05395702407759e-19
XM_027360739.1	1.17865735849982e-19
XM_027365598.1	1.24285710785294e-19
XM_027378233.1	1.24718576478086e-19
XM_027350630.1	1.46317601487826e-19
XM_027359753.1	1.53109450487395e-19
XM_027371496.1	1.53109450487395e-19
XM_027379514.1	1.61400591811701e-19
XM_027361799.1	1.6935214312437e-19
XM_027365595.1	1.71376365148184e-19
XM_027379312.1	1.96484130591597e-19
XM_027379160.1	2.05692993115096e-19
XM_027360339.1	2.62635002749609e-19
XM_027356413.1	2.75707482395305e-19
XM_027359597.1	2.77681450647005e-19
XM_027367441.1	2.81060659875631e-19
XM_027362890.1	2.99878572083754e-19
XM_027368554.1	3.24705020322559e-19
XM_027375921.1	3.88266284973044e-19
XM_027358147.1	4.0069393727374e-19
XM_027372509.1	4.26233579886313e-19
XM_027363241.1	4.5088832707788e-19
XM_027374916.1	4.69353137227096e-19
XM_027364575.1	4.96167477203475e-19
XM_027383550.1	5.12128857650326e-19
XM_027381855.1	5.8597192030515e-19
XM_027381891.1	5.8597192030515e-19
XM_027358146.1	6.7697440510165e-19
XM_027376680.1	6.7697440510165e-19
XM_027377619.1	8.15814277939029e-19
XM_027351790.1	8.95935260298538e-19
XM_027359269.1	8.96363711412747e-19
XM_027353372.1	1.0235492976908e-18
XM_027375615.1	1.03083677849392e-18
XM_027359959.1	1.25559449179147e-18
XR_003476973.1	1.43040149143618e-18
XM_027371482.1	1.62032663438338e-18
XM_027370154.1	1.86632172231455e-18
XM_027360962.1	1.86709714101952e-18
XM_027353954.1	1.97895533590902e-18
XM_027372584.1	1.98923929759505e-18
XM_027352317.1	2.00848852397862e-18
XM_027382423.1	2.08996986871751e-18
XM_027382406.1	2.11300691852032e-18
XM_027367963.1	2.14977014768428e-18
XM_027378054.1	2.22750271637017e-18
XM_027366221.1	2.26296919552039e-18
XM_027352835.1	2.35252498499908e-18
XM_027373341.1	2.35528627415681e-18
XM_027354203.1	2.41513295412762e-18
XM_027364464.1	2.41547191856964e-18
XM_027374915.1	2.4968665167441e-18
XM_027354619.1	2.60873200156237e-18
XM_027369796.1	2.65136303703163e-18
XM_027369649.1	2.6827155799031e-18
XM_027373336.1	2.6827155799031e-18
XM_027372105.1	2.72440853127642e-18
XR_003475500.1	2.74590446595164e-18
XM_027366419.1	2.86682993057576e-18
XM_027381741.1	2.86682993057576e-18
XM_027370553.1	2.96076411522055e-18
XR_003477627.1	2.98594511951616e-18
XM_027382407.1	2.99577000371274e-18
XM_027381836.1	3.21700208835155e-18
XM_027359429.1	3.2363486847283e-18
XM_027362370.1	3.38538181727959e-18
XM_027367228.1	3.57077938313517e-18
XM_027356628.1	4.20350584621957e-18
XM_027362705.1	4.27135405136598e-18
XM_027352589.1	4.29268650985044e-18
XM_027373828.1	4.42650477688223e-18
XM_027378055.1	4.54657660389694e-18
XM_027381844.1	4.70836412983595e-18
XM_027383414.1	4.98274634553753e-18
XM_027370338.1	5.01592046262907e-18
XM_027372718.1	5.30672451305609e-18
XM_027373320.1	5.45190522977001e-18
XM_027354094.1	5.48716766840723e-18
XM_027379261.1	6.07846458249946e-18
XM_027355865.1	6.12427015982058e-18
XM_027372167.1	6.66728945886816e-18
XM_027364024.1	7.22174151313563e-18
XM_027381753.1	7.22174151313563e-18
XM_027360995.1	7.39098600196104e-18
XM_027367234.1	7.63632666209701e-18
XR_003476759.1	7.71958290417291e-18
XM_027353056.1	8.30731361312509e-18
XM_027373825.1	8.66363495784102e-18
XM_027366409.1	8.84432533579665e-18
XM_027379173.1	9.14292937790653e-18
XM_027374304.1	9.84056940831216e-18
XM_027369863.1	1.05382466969932e-17
XM_027362113.1	1.39631805929273e-17
XM_027378758.1	1.39631805929273e-17
XR_003475816.1	1.39631805929273e-17
XR_003476507.1	1.40411010439827e-17
XM_027357580.1	1.43416848148562e-17
XM_027383691.1	1.52633295731139e-17
XM_027358148.1	1.62063828254269e-17
XM_027358962.1	1.63456560617708e-17
XM_027359599.1	1.63456560617708e-17
XM_027353134.1	1.64533857124085e-17
XM_027365875.1	1.64533857124085e-17
XM_027374527.1	1.77585862495612e-17
XM_027382422.1	1.77585862495612e-17
XM_027350765.1	1.84516421668946e-17
XM_027368388.1	1.89419046484469e-17
XM_027352584.1	1.91294498266464e-17
XM_027368553.1	1.91294498266464e-17
XM_027378231.1	2.01375908953827e-17
XM_027373323.1	2.05653700165717e-17
XM_027381603.1	2.20729071844984e-17
XM_027361623.1	2.34285107904701e-17
XM_027372676.1	2.65526096337421e-17
XM_027365833.1	2.87402286745833e-17
XM_027367358.1	2.88817582815927e-17
XM_027373319.1	2.88817582815927e-17
XM_027379706.1	2.92227896516862e-17
XM_027372900.1	3.04610071380378e-17
XM_027356949.1	3.10282838249086e-17
XM_027378125.1	3.13697370600867e-17
XM_027356630.1	3.32133574042484e-17
XM_027359233.1	3.34223538414483e-17
XM_027360002.1	3.35757088191177e-17
XM_027360199.1	3.48829465502725e-17
XR_003476716.1	3.49522622509233e-17
XM_027372138.1	3.53540963804351e-17
XM_027357577.1	3.62710198013408e-17
XM_027379364.1	3.97312498889961e-17
XM_027377159.1	3.97547928444302e-17
XM_027359935.1	4.37418870428041e-17
XM_027373322.1	4.3938981877533e-17
XM_027359032.1	4.46858838632751e-17
XM_027366081.1	4.56736196360162e-17
XR_003476748.1	4.78727344370937e-17
XM_027369982.1	4.82915803571268e-17
XM_027364294.1	4.94664651742258e-17
XM_027355586.1	5.5898944422185e-17
XM_027369766.1	5.5972916490858e-17
XM_027375912.1	5.77738723085343e-17
XM_027373227.1	5.81400710304565e-17
XM_027374914.1	6.1276898864594e-17
XM_027363991.1	6.96305179443933e-17
XM_027367458.1	7.10183506301917e-17
XM_027379070.1	7.36296771787232e-17
XM_027382631.1	8.05556267440193e-17
XM_027358344.1	8.32914592024485e-17
XM_027373325.1	8.52165181186908e-17
XM_027358803.1	8.63025604040963e-17
XM_027376857.1	8.98677167969401e-17
XM_027356898.1	9.48623470942148e-17
XM_027371486.1	9.53779176502898e-17
XM_027352697.1	1.001608178183e-16
XM_027367361.1	1.03871667681476e-16
XM_027365071.1	1.04691174982711e-16
XR_003477437.1	1.04691174982711e-16
XM_027368950.1	1.19610364181928e-16
XM_027381866.1	1.236703234871e-16
XM_027359601.1	1.25697564981634e-16
XM_027369519.1	1.30916025166065e-16
XM_027356692.1	1.3152886165208e-16
XM_027366532.1	1.31817109999413e-16
XM_027371492.1	1.31817109999413e-16
XM_027378227.1	1.35011880105991e-16
XM_027363882.1	1.35238040168291e-16
XM_027362143.1	1.45317233272728e-16
XM_027375415.1	1.45632671248329e-16
XM_027356477.1	1.47149081029713e-16
XM_027360508.1	1.48594265090248e-16
XM_027373343.1	1.50710519276168e-16
XM_027372898.1	1.70991911844853e-16
XM_027352568.1	1.71452312575164e-16
XM_027369300.1	1.73120046595908e-16
XM_027362142.1	1.75152750359703e-16
XM_027371783.1	1.75217952305149e-16
XM_027360950.1	1.86377968487693e-16
XM_027356896.1	1.89588619732896e-16
XM_027365863.1	1.90014505737581e-16
XM_027373317.1	1.9718658546381e-16
XM_027362075.1	2.09664014734611e-16
XM_027379742.1	2.09664014734611e-16
XR_003476072.1	2.15545427294506e-16
XM_027383692.1	2.16481411866462e-16
XM_027353720.1	2.2141226519323e-16
XM_027364397.1	2.22014564233108e-16
XM_027359900.1	2.23453552496184e-16
XM_027373337.1	2.32537928766827e-16
XM_027369087.1	2.51202106014567e-16
XM_027354240.1	2.60958223934499e-16
XM_027359700.1	2.75144881867779e-16
XM_027373324.1	2.84073725454139e-16
XM_027379996.1	2.8859822415019e-16
XM_027364292.1	2.93072965241412e-16
XM_027381814.1	2.94988179613273e-16
XM_027376438.1	2.98911645824697e-16
XM_027381066.1	2.98911645824697e-16
XM_027368855.1	3.08822288446535e-16
XM_027367369.1	3.09593525737584e-16
XM_027364913.1	3.12260609806749e-16
XM_027356554.1	3.31939335062579e-16
XM_027374535.1	3.37430418107314e-16
XM_027351671.1	3.39029989324025e-16
XM_027364398.1	3.40454475038207e-16
XM_027359062.1	3.42416277910519e-16
XM_027361114.1	3.46593686137989e-16
XM_027361753.1	3.46593686137989e-16
XM_027367365.1	3.54597587926877e-16
XM_027383790.1	3.55929148496799e-16
XM_027373345.1	3.58317069739667e-16
XM_027365078.1	3.58319227635206e-16
XM_027376741.1	3.58319227635206e-16
XM_027375169.1	3.61752759816291e-16
XM_027353701.1	3.67312973109877e-16
XM_027373862.1	3.7128629102539e-16
XM_027373235.1	3.75619589282149e-16
XM_027381469.1	4.21439527189268e-16
XM_027383047.1	4.21439527189268e-16
XM_027361448.1	4.27710181621021e-16
XM_027359231.1	4.43832680215084e-16
XM_027367880.1	4.43832680215084e-16
XM_027378050.1	4.43832680215084e-16
XM_027355117.1	4.58986185553094e-16
XM_027358359.1	4.58986185553094e-16
XM_027358681.1	4.87706560228829e-16
XM_027353806.1	4.89174065179213e-16
XM_027381050.1	4.90805735427595e-16
XR_003477732.1	4.92540878175449e-16
XM_027356895.1	5.47879554381584e-16
XM_027379467.1	5.47879554381584e-16
XM_027355587.1	5.58893701878344e-16
XR_003476628.1	5.58893701878344e-16
XM_027361798.1	5.74317706458646e-16
XM_027353136.1	5.74773449777307e-16
XM_027361574.1	5.77342951093905e-16
XM_027361149.1	5.97935479672695e-16
XM_027352730.1	6.06363626907024e-16
XM_027367556.1	6.30388674188605e-16
XM_027381655.1	6.30388674188605e-16
XM_027370834.1	7.11094794900394e-16
XM_027361575.1	7.3470265352774e-16
XM_027353471.1	7.63111485571645e-16
XM_027377631.1	7.78074929038429e-16
XM_027371152.1	7.9489103451435e-16
XM_027369410.1	8.31044039181713e-16
XM_027381805.1	8.31044039181713e-16
XM_027362099.1	8.41215839466335e-16
XM_027360216.1	8.63452437823226e-16
XR_003475583.1	9.00834660529272e-16
XM_027378384.1	9.34841460912919e-16
XM_027373315.1	9.40570751560556e-16
XM_027353911.1	9.60956228939929e-16
XM_027379260.1	9.77385664173609e-16
XM_027381742.1	1.02270296392709e-15
XM_027352731.1	1.03971009731205e-15
XM_027369414.1	1.04590906308437e-15
XM_027373318.1	1.11124331137086e-15
XM_027378553.1	1.14633974968834e-15
XM_027373313.1	1.14749269585968e-15
XM_027382408.1	1.15449896325879e-15
XM_027371252.1	1.17379579625225e-15
XM_027375603.1	1.2467512525223e-15
XM_027365816.1	1.2742436286354e-15
XM_027351876.1	1.28258435967212e-15
XM_027360634.1	1.28258435967212e-15
XM_027382103.1	1.28357036980896e-15
XM_027370344.1	1.34168958233983e-15
XM_027381968.1	1.34168958233983e-15
XM_027370155.1	1.39154226791065e-15
XM_027366679.1	1.5236736338846e-15
XM_027360978.1	1.59348881273247e-15
XM_027361576.1	1.67163116009743e-15
XM_027372106.1	1.68317757769107e-15
XM_027362906.1	1.76217130579134e-15
XM_027358343.1	1.95507275804971e-15
XM_027373316.1	2.04441216743513e-15
XM_027377986.1	2.04441216743513e-15
XM_027365313.1	2.08214237354314e-15
XM_027356775.1	2.09192861832989e-15
XM_027358517.1	2.18898797623492e-15
XM_027378584.1	2.1911989698229e-15
XR_003476715.1	2.25455091210087e-15
XM_027356376.1	2.27683712152742e-15
XM_027352583.1	2.51466004347696e-15
XM_027364396.1	2.56865368401617e-15
XM_027383413.1	2.64813650547545e-15
XM_027364964.1	2.6643874413315e-15
XM_027382188.1	2.67227159956488e-15
XR_003476974.1	2.69202182455196e-15
XM_027374285.1	2.79622539568574e-15
XM_027358930.1	2.79994985803015e-15
XM_027371800.1	2.81725649034335e-15
XM_027380961.1	2.81725649034335e-15
XM_027365584.1	2.82319564650879e-15
XR_003476174.1	2.90018242602246e-15
XM_027372143.1	3.16370704767981e-15
XM_027350951.1	3.1960030138967e-15
XM_027351068.1	3.1960030138967e-15
XM_027380421.1	3.19683107740941e-15
XM_027367367.1	3.25233371246943e-15
XM_027365867.1	3.25877492577367e-15
XM_027374107.1	3.46475230601064e-15
XM_027358070.1	3.53967912769362e-15
XM_027380910.1	3.54447605319495e-15
