ID	FDR
XM_027373947.1	2.98157804273721e-157
XM_027360707.1	6.69377645919334e-153
XM_027367844.1	2.64968890971396e-149
XM_027378198.1	1.40238890875059e-148
XM_027376192.1	1.58542216954549e-147
XM_027380768.1	7.43227882538375e-143
XM_027366999.1	4.18910207327143e-142
XM_027353517.1	2.28198880647852e-141
XM_027376193.1	2.28198880647852e-141
XM_027367113.1	6.89334561898575e-141
XM_027366982.1	1.89181877989464e-139
XM_027380767.1	1.75811955066668e-138
XM_027356202.1	1.81883035774571e-138
XM_027373306.1	3.38585687627369e-136
XR_003477587.1	6.09288692093468e-136
XM_027383523.1	2.40938013900823e-134
XM_027356379.1	9.06494004930137e-134
XM_027373952.1	4.05988010708188e-132
XM_027366993.1	2.42437059064922e-130
XM_027373951.1	4.31579283307207e-130
XM_027367725.1	1.06114558221028e-129
XM_027378200.1	1.41810451840668e-128
XM_027373948.1	2.07634662858583e-127
XM_027353111.1	2.67128176800436e-126
XM_027378554.1	9.83518326201765e-125
XM_027373955.1	2.78012791651904e-123
XM_027360709.1	1.6802432207372e-122
XM_027364776.1	3.31034855765619e-122
XM_027375757.1	1.62417163036487e-121
XM_027354978.1	1.62596452572473e-121
XM_027369058.1	9.3883719322918e-121
XM_027382375.1	2.28753635431687e-119
XM_027367006.1	2.34603287862128e-119
XM_027373305.1	3.27021588834788e-119
XM_027377294.1	7.60838608089867e-119
XM_027370165.1	1.34915211498224e-118
XM_027364568.1	1.12088949079792e-117
XM_027373950.1	1.16006165717359e-117
XM_027383510.1	3.1235169997467e-117
XM_027372262.1	1.65898318222455e-116
XM_027363509.1	2.19190385317839e-115
XM_027357635.1	2.47532223980231e-115
XR_003476577.1	2.7715330692883e-115
XR_003477394.1	4.16150015804225e-115
XR_003477486.1	4.93348491294215e-115
XM_027352222.1	4.92371349503724e-114
XM_027360708.1	4.92371349503724e-114
XM_027378201.1	5.78682355176443e-114
XM_027378195.1	5.81611719402266e-113
XM_027352360.1	9.28631905092414e-113
XM_027364476.1	9.28631905092414e-113
XM_027352223.1	5.79908527833814e-111
XM_027357912.1	3.69110693321142e-110
XM_027378197.1	4.36319418238706e-109
XM_027373307.1	5.69912589739145e-109
XM_027375755.1	6.52411475740089e-109
XM_027360711.1	3.39399830219033e-106
XM_027374557.1	6.91489638412061e-106
XM_027367828.1	1.12478656186543e-105
XM_027360279.1	1.75911596594266e-105
XM_027369057.1	1.24248545146358e-104
XM_027356520.1	3.47914740720268e-104
XM_027369156.1	8.94322260203299e-104
XM_027361316.1	3.0375068368729e-103
XM_027353849.1	2.38277575880778e-102
XM_027380251.1	1.35604369529092e-100
XM_027360280.1	5.09521027272646e-100
XM_027375756.1	7.00411828785924e-100
XM_027366734.1	4.2945336378278e-99
XM_027355088.1	5.61222844859013e-99
XM_027374607.1	5.97650854903363e-99
XR_003475469.1	1.11546756780498e-98
XM_027373949.1	1.59499774771186e-98
XM_027366290.1	2.40380707898934e-98
XM_027357369.1	2.57652304621851e-98
XM_027364188.1	6.57944133274496e-98
XM_027360532.1	8.21413237571549e-98
XM_027370506.1	1.95982395081607e-97
XM_027373072.1	2.08895563355574e-97
XM_027378563.1	3.46570472663427e-97
XM_027383717.1	1.85170318795597e-96
XM_027368722.1	1.64106331526217e-95
XM_027367726.1	2.61229969927816e-95
XM_027363184.1	3.01800740221367e-95
XM_027383763.1	3.77570663423547e-95
XM_027378196.1	1.3714561901396e-94
XM_027364405.1	1.623369153844e-94
XM_027377649.1	5.54097746809984e-94
XM_027356425.1	7.44231314954097e-94
XM_027358900.1	2.61603960105633e-93
XM_027379847.1	1.23514048213671e-92
XM_027372345.1	6.61560857526892e-92
XM_027352986.1	7.03439882268366e-92
XM_027375819.1	9.96432593534909e-92
XM_027364187.1	2.46079569610046e-91
XM_027363594.1	2.9199296685114e-91
XM_027352224.1	1.26225878171604e-90
XM_027378528.1	1.3613459143265e-90
XM_027366882.1	3.89345404204598e-90
XM_027375820.1	1.29589922846403e-89
XM_027367829.1	1.87751820578207e-89
XM_027373953.1	1.93325578921209e-89
XM_027372261.1	7.79230398473077e-89
XM_027379019.1	1.07878182206072e-88
XM_027380690.1	1.96398889243782e-88
XM_027372694.1	2.12000304554772e-88
XM_027365568.1	2.62680400945441e-88
XM_027373288.1	5.31090602742152e-88
XM_027352548.1	1.68677621672416e-87
XM_027368866.1	3.08751425041338e-87
XM_027380032.1	4.8547543319058e-87
XM_027378199.1	6.4161605039396e-87
XM_027367610.1	6.63359245271205e-87
XR_003474933.1	1.54233593279384e-86
XM_027367305.1	1.57147418556272e-86
XM_027375505.1	1.98208294433049e-86
XM_027379186.1	1.29927868040527e-85
XM_027355874.1	1.49392828015767e-85
XM_027363285.1	1.59989571948896e-85
XM_027364708.1	6.42166803005006e-85
XM_027370208.1	6.75545533677927e-85
XM_027362271.1	1.70353650872873e-84
XM_027363593.1	2.87153542599645e-84
XM_027375221.1	4.68234035332e-82
XM_027356357.1	5.32043703267281e-82
XM_027356265.1	5.40688300631668e-82
XM_027360329.1	9.59383460225054e-82
XM_027356275.1	3.30465530032452e-81
XM_027356274.1	5.39291003769096e-81
XM_027356356.1	3.68473784548878e-80
XM_027356269.1	4.09070100784199e-80
XR_003476739.1	9.60804470943535e-80
XM_027366632.1	9.56668724673419e-79
XM_027378347.1	1.0010112400889e-78
XM_027378529.1	1.09031496674546e-78
XM_027379273.1	1.2575638590449e-78
XM_027360531.1	1.4453592388644e-78
XM_027376185.1	1.4453592388644e-78
XM_027366238.1	1.55758268622325e-78
XM_027375727.1	2.0289810863012e-78
XM_027361327.1	2.63642640259427e-78
XM_027353729.1	3.67652045518564e-78
XM_027362264.1	6.0089707803175e-78
XM_027368306.1	9.69736850827111e-78
XM_027372978.1	2.71058604765753e-77
XM_027359737.1	2.78779368707616e-77
XM_027362717.1	3.9485628193624e-77
XM_027359449.1	6.64808605832483e-77
XM_027350640.1	9.95055520741549e-77
XM_027365539.1	9.99753656448182e-77
XR_003476415.1	1.00617323113254e-76
XM_027381683.1	1.08844482955285e-76
XM_027376406.1	5.8535185575945e-76
XM_027367609.1	8.19656260489451e-76
XM_027356268.1	8.85370318815605e-76
XR_003475682.1	5.98627702952503e-75
XM_027375663.1	6.43161805211416e-75
XM_027375380.1	1.86377373338831e-74
XR_003475976.1	2.74616970700791e-74
XM_027356270.1	2.86998406150208e-74
XM_027367923.1	4.80584867772768e-74
XM_027360131.1	6.25950258981617e-74
XM_027364162.1	8.23475929362842e-74
XM_027356112.1	9.140193015156e-74
XR_003476627.1	2.12712842562674e-73
XM_027356267.1	6.40542061475141e-73
XM_027365010.1	1.06118063498525e-72
XM_027354025.1	1.60648632702328e-72
XM_027375090.1	2.41780684183893e-72
XM_027366633.1	4.89563430669157e-72
XM_027364414.1	6.22126194890348e-72
XM_027367040.1	6.69468433461817e-72
XM_027364702.1	9.71140160074957e-72
XM_027372977.1	1.0790674205126e-71
XM_027370944.1	2.5340500747394e-71
XM_027372883.1	2.64285875648029e-71
XM_027378026.1	1.38181420918276e-70
