ID	logFC
XR_003477485.1	-21.8774704705654
XM_027376912.1	-22.3990252143694
XM_027373949.1	-18.1562464798084
XM_027373948.1	-17.9736397898376
XM_027373947.1	-20.1769582990024
XM_027373951.1	-19.9151778854484
XM_027373955.1	-17.8797334532914
XR_003477587.1	-19.9870480817854
XM_027373953.1	-19.7525742393064
XM_027373950.1	-17.8368919215806
XM_027373952.1	-19.9659520699189
XM_027376677.1	14.0268909155536
XM_027378197.1	-20.4546426750384
XM_027383770.1	-20.1050025961621
XM_027378195.1	-20.6640952116638
XM_027378199.1	-20.1357061540373
XM_027383510.1	-15.7495858003389
XM_027378198.1	-20.3282778309001
XM_027371765.1	-21.8458979206345
XM_027367844.1	-19.0673414428835
XM_027363509.1	-16.967357790131
XM_027356202.1	-17.1203198179793
XM_027378201.1	-20.0041002553499
XR_003476619.1	-19.6072178406677
XM_027360707.1	-17.473249476526
XM_027378196.1	-20.4530647756843
XM_027373306.1	-16.8799589769213
XM_027366999.1	-18.5307628978303
XM_027376192.1	-19.4580749423225
XR_003476627.1	-21.1615740626242
XM_027375755.1	-21.637090915388
XM_027360712.1	-21.4840177836862
XM_027353517.1	-18.0197149172591
XM_027357635.1	-15.5215079305383
XM_027376193.1	-18.3681272434988
XM_027366982.1	-17.78757845773
XM_027376152.1	-21.0749747927549
XM_027380768.1	-19.6512068037032
XM_027378200.1	-20.184010507127
XM_027365613.1	13.4320358350939
XM_027360709.1	-21.6091051333979
XM_027353282.1	-18.0841428164377
XM_027353111.1	-18.2640091720784
XM_027356393.1	-16.6581641843223
XR_003477486.1	-18.8206623024666
XM_027356357.1	-18.5723261789248
XM_027383768.1	-17.2128747975653
XR_003476415.1	-20.7854042584773
XM_027356520.1	-16.3028490492184
XM_027364460.1	11.646606848318
XM_027359731.1	13.2465256430309
XM_027364459.1	11.9135903734787
XR_003476319.1	-18.7451643539702
XM_027356379.1	-17.9477333321118
XM_027367725.1	-17.0937237105749
XM_027353285.1	-22.185690387556
XM_027372039.1	-18.0952332566476
XM_027380767.1	-20.1343953255745
XM_027361124.1	-12.3269329553945
XM_027382375.1	-18.9236650119625
XM_027365299.1	-14.3818081607286
XM_027376169.1	13.5513783922487
XM_027364462.1	12.116404948257
XM_027360025.1	13.6249797357488
XM_027377294.1	-16.0193433368043
XM_027383523.1	-19.646573426212
XM_027364568.1	-13.7727717484641
XM_027352222.1	-14.8293062014735
XM_027366993.1	-19.5102283162082
XM_027369772.1	12.2272382086155
XM_027367828.1	-18.6789395350103
XM_027375363.1	10.3224376689491
XM_027364461.1	13.4416864590169
XM_027353078.1	13.963550809562
