ID	FDR
XR_003477485.1	1.49954900189375e-277
XM_027376912.1	1.85280213414261e-251
XM_027373949.1	2.41147905868319e-242
XM_027373948.1	2.71450486882786e-239
XM_027373947.1	9.93706676345352e-238
XM_027373951.1	1.54272422636798e-236
XM_027373955.1	4.61682432875988e-233
XR_003477587.1	7.48184339264617e-230
XM_027373953.1	2.40400686332571e-226
XM_027373950.1	3.76442799980895e-223
XM_027373952.1	2.19588232057973e-221
XM_027376677.1	6.67976625646422e-221
XM_027378197.1	5.58928971953609e-220
XM_027383770.1	2.46384680511882e-219
XM_027378195.1	4.81864368179164e-219
XM_027378199.1	5.40194754233913e-215
XM_027383510.1	5.76756972998333e-214
XM_027378198.1	5.30459168078795e-213
XM_027371765.1	6.17222825493226e-213
XM_027367844.1	6.14952759524311e-212
XM_027363509.1	8.48739086750883e-212
XM_027356202.1	1.47010461546921e-210
XM_027378201.1	1.74983328286147e-210
XR_003476619.1	1.1607558012066e-209
XM_027360707.1	4.03413993025668e-208
XM_027378196.1	4.21023375137901e-208
XM_027373306.1	6.86461590756254e-207
XM_027366999.1	3.92640820822354e-205
XM_027376192.1	2.75027104347559e-202
XR_003476627.1	3.32341372056498e-202
XM_027375755.1	4.02420018320813e-201
XM_027360712.1	6.31974913947802e-201
XM_027353517.1	2.6725884988492e-200
XM_027357635.1	5.2383706740258e-200
XM_027376193.1	1.53384476290715e-199
XM_027366982.1	3.73249953528389e-198
XM_027376152.1	9.0301803550605e-196
XM_027380768.1	6.46211752339464e-195
XM_027378200.1	4.89474260656954e-193
XM_027365613.1	1.00482281898975e-192
XM_027360709.1	1.49520702158918e-191
XM_027353282.1	4.151406206676e-191
XM_027353111.1	6.08923127166387e-191
XM_027356393.1	5.34308857864117e-189
XR_003477486.1	5.34308857864117e-189
XM_027356357.1	7.95107639599451e-189
XM_027383768.1	1.1101162903296e-187
XR_003476415.1	2.25857651849322e-187
XM_027356520.1	1.08963142525108e-186
XM_027364460.1	1.190810239112e-186
XM_027359731.1	2.27393213475552e-186
XM_027364459.1	4.2660426177854e-186
XR_003476319.1	1.85031269784092e-185
XM_027356379.1	1.60310815118525e-184
XM_027367725.1	4.37765925997919e-183
XM_027353285.1	2.18598249037115e-181
XM_027372039.1	1.01172311941064e-180
XM_027380767.1	4.0508981232448e-180
XM_027361124.1	4.74651174569662e-179
XM_027382375.1	3.21717755055318e-178
XM_027365299.1	4.13907395600722e-177
XM_027376169.1	1.26759466935124e-176
XM_027364462.1	2.00635264491898e-176
XM_027360025.1	4.94162791633919e-176
XM_027377294.1	5.99397220121255e-175
XM_027383523.1	7.28818296585656e-175
XM_027364568.1	7.35084110949889e-174
XM_027352222.1	3.5159164846953e-173
XM_027366993.1	4.0788664776563e-173
XM_027369772.1	8.11339452880709e-172
XM_027367828.1	5.78663125103509e-170
XM_027375363.1	9.95977071379694e-170
XM_027364461.1	1.78225003104711e-169
XM_027353078.1	4.45240794071821e-169
XM_027375221.1	7.09845010355725e-169
XM_027364776.1	2.32313319859452e-168
XM_027367829.1	2.34579044913368e-168
XM_027376678.1	2.92616894340275e-168
XM_027375757.1	1.87165272024504e-167
XM_027372262.1	2.97093088811812e-166
XM_027353871.1	5.60511400886765e-166
XM_027378554.1	6.75192210815439e-165
XM_027354978.1	1.80323676849974e-162
XM_027367827.1	7.08760500853906e-162
XM_027359829.1	1.35100218193116e-161
XM_027352223.1	3.73219963648809e-161
XM_027367726.1	1.34465883578243e-159
XM_027353849.1	7.33972373800335e-159
XM_027370449.1	7.68448949264024e-158
XM_027358254.1	1.5629055806358e-157
XR_003476972.1	8.47418375169461e-157
XR_003476560.1	6.57875538009769e-156
XM_027370165.1	1.6005726925524e-155
XM_027361316.1	5.40773142667351e-155
XM_027368613.1	5.5792906814061e-154
XM_027369058.1	2.70221941293058e-153
XM_027367820.1	2.86338792128904e-153
XM_027374557.1	1.20400304461006e-152
XM_027368866.1	1.76193954331784e-152
XM_027360711.1	6.25512548558527e-152
XM_027358330.1	1.54136091529827e-151
XM_027376468.1	1.57441328574883e-151
XM_027353896.1	4.07988387063778e-151
XM_027371031.1	1.00170580772572e-150
XM_027373307.1	6.62689394067947e-150
XR_003477394.1	1.65216364048492e-149
XM_027367006.1	4.46224361204791e-149
XM_027352299.1	1.57494429562658e-148
XM_027353075.1	7.18109767656718e-148
XM_027357912.1	2.42251648256539e-147
XM_027364106.1	3.41624287822099e-147
XM_027358973.1	1.69116849459089e-146
XM_027377649.1	2.65083387698217e-146
XM_027366734.1	4.77624262268183e-146
XM_027360279.1	1.73418909210825e-145
XM_027350837.1	2.51800210213922e-145
XM_027375756.1	4.02868162575793e-145
XM_027380780.1	4.25204973547207e-145
XM_027380148.1	5.02992847350786e-145
XM_027356425.1	1.4288110477331e-144
XM_027352694.1	2.15110067694632e-144
XM_027382572.1	3.70043860722283e-144
XM_027375533.1	4.52459891577386e-144
XM_027357187.1	1.58058976049387e-143
XM_027370506.1	7.37108647201135e-142
