ID	FDR
XM_027357635.1	2.96233698859904e-113
XM_027376193.1	8.39159680759294e-102
XM_027361124.1	1.08774936781438e-99
XM_027353849.1	2.2730470661389e-96
XM_027367828.1	2.2730470661389e-96
XM_027352223.1	7.10775664853081e-93
XM_027351217.1	7.66763278307725e-92
XM_027370165.1	7.66763278307725e-92
XM_027374557.1	7.9846897217327e-92
XM_027368866.1	3.68520601911982e-91
XM_027361316.1	3.70415147936344e-91
XM_027357832.1	6.70482184594594e-91
XM_027360388.1	6.70482184594594e-91
XM_027377792.1	1.07559454932778e-90
XM_027366657.1	1.66658415394166e-90
XM_027360708.1	1.71733102578458e-90
XM_027352222.1	3.94388308068922e-90
XM_027380431.1	5.56396895832759e-90
XM_027350706.1	6.72944075442174e-90
XM_027376445.1	6.72944075442174e-90
XM_027355570.1	1.17685579858104e-89
XM_027363322.1	1.17685579858104e-89
XM_027365299.1	1.17685579858104e-89
XM_027371450.1	1.2207739070752e-89
XM_027375354.1	2.49545528146787e-89
XM_027357912.1	2.99670107756841e-88
XM_027354925.1	1.793763600916e-87
XM_027376192.1	3.37209481923716e-87
XM_027359829.1	2.53527961927798e-86
XM_027371448.1	2.53527961927798e-86
XM_027350707.1	2.56685470462799e-86
XM_027378584.1	4.09401319769684e-86
XM_027367725.1	4.62981807939781e-86
XM_027352295.1	6.79673375920429e-86
XM_027363241.1	2.17792696102073e-85
XM_027358238.1	5.39098681369422e-85
XM_027366999.1	9.22557493399058e-85
XM_027365833.1	2.22361277786252e-84
XM_027371447.1	3.13560427841513e-84
XM_027358803.1	5.89820875971781e-84
XM_027380586.1	8.04113079882229e-84
XM_027380441.1	1.87878016703692e-83
XM_027370506.1	2.28088955922588e-83
XM_027372262.1	6.96393735961509e-83
XM_027367729.1	9.30121335837129e-83
XM_027367305.1	1.04644815799898e-82
XM_027363285.1	1.66324687404678e-82
XM_027379504.1	1.92382915977719e-82
XM_027379449.1	3.88568467692068e-82
XM_027380855.1	8.84019303166075e-82
XM_027357369.1	9.90439701587499e-82
XM_027360532.1	1.18867603995585e-81
XM_027356029.1	2.42429161379604e-81
XM_027365027.1	2.53495475510293e-81
XM_027378172.1	4.69095814890323e-81
XM_027352224.1	5.09493559234554e-81
XM_027352360.1	7.79399393439835e-81
XM_027378554.1	1.19320298272966e-80
XM_027378319.1	1.89309203266387e-79
XM_027351358.1	3.4030261891072e-79
XM_027380032.1	3.90278879012195e-79
XM_027363949.1	7.87587704895783e-79
XM_027352548.1	4.59948754264512e-78
XM_027364536.1	8.57314585557583e-78
XM_027376864.1	1.36504934731337e-77
XM_027371041.1	1.56312395184712e-77
XM_027382187.1	1.84007962697783e-77
XM_027363598.1	3.37578437074071e-77
XM_027358237.1	8.71014676373567e-77
XM_027377147.1	1.02966187902469e-76
XM_027379298.1	1.16496316085625e-76
XM_027372482.1	3.46676677605689e-76
XM_027360531.1	4.08695153895286e-76
XM_027355864.1	4.94727783305946e-76
XM_027365653.1	5.34337606454671e-76
XM_027369766.1	6.18879360453319e-76
XM_027382420.1	7.56251388434868e-76
XM_027365364.1	8.15785356079035e-76
XM_027377649.1	1.02843533841991e-75
XM_027360739.1	1.40028514641611e-75
XM_027366568.1	1.88616753479819e-75
XM_027356425.1	3.15609237643935e-75
XM_027363970.1	3.53813934981693e-75
XM_027371655.1	6.06830222586945e-75
XM_027375505.1	1.11820575723339e-74
XM_027379019.1	1.17336936543349e-74
XM_027380369.1	1.64076356737293e-74
XM_027352012.1	1.78335298626842e-74
XM_027382540.1	1.78481370958422e-74
XM_027372694.1	2.80144131132612e-74
XM_027372150.1	3.89645993295814e-74
XM_027379186.1	5.35733197928516e-74
XM_027364078.1	6.9318930824389e-74
XM_027359178.1	7.21995604053446e-74
XM_027366238.1	7.82121373362885e-74
XM_027381942.1	9.51799432578383e-74
XM_027372562.1	1.08542477710198e-73
XM_027375348.1	1.16484711188887e-73
XM_027367738.1	1.71583405392425e-73
XM_027382895.1	1.76253418920668e-73
XM_027378174.1	5.43831597592527e-73
XM_027353363.1	6.94493017650227e-73
XM_027358581.1	8.0457960305581e-73
XM_027382185.1	9.02294961124909e-73
XM_027360329.1	9.44307545059238e-73
XM_027375820.1	1.03039057263013e-72
XM_027370449.1	1.38712386379023e-72
XM_027377619.1	1.76266081928205e-72
XM_027352296.1	2.53554630935962e-72
XM_027363594.1	2.74986293217995e-72
XM_027357833.1	2.81306553124961e-72
XM_027360302.1	5.00908822345289e-72
XM_027378597.1	7.16690550999986e-72
XM_027370723.1	8.47245117824827e-72
XM_027382197.1	8.62555766451451e-72
XM_027355874.1	1.70706593762333e-71
XM_027359449.1	1.71245562192976e-71
XR_003475682.1	1.91584857410695e-71
XM_027355865.1	2.99327407320434e-71
XM_027365869.1	3.75495514340373e-71
XM_027358029.1	3.76001979881285e-71
XM_027371550.1	3.77910268064475e-71
XM_027364525.1	4.01264567701311e-71
XM_027371888.1	5.06685495382215e-71
XM_027363320.1	1.68007285197551e-70
XM_027377192.1	2.99619155213691e-70
XR_003475869.1	3.58109939432154e-70
XM_027353790.1	3.67686976650597e-70
XM_027376160.1	4.48797210119036e-70
XM_027365097.1	5.2938902818954e-70
XM_027380569.1	1.33068121597422e-69
XM_027370464.1	1.92660233148662e-69
XM_027377734.1	6.82433206490927e-69
XM_027365313.1	7.2149098865339e-69
XM_027367709.1	1.02671851127619e-68
XM_027377963.1	1.23219686851296e-68
XM_027378529.1	1.36561185087225e-68
XM_027363486.1	1.89389318415873e-68
XM_027362059.1	1.99716501987055e-68
XM_027365368.1	3.62968343311772e-68
XM_027365311.1	3.71979538761685e-68
