ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	gills_1	gills_2	gills_3	gills_4	gills_5	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	Expression
XM_027350606.1	-2.76192664867233	2.89318264063747	-6.14941634203995	4.64629421802456e-05	0.000243176690866856	2.19006619195492	1113	1093	1522	823	816	65	106	50	52	357	13.300167460984	21.6545264095768	25.5863077809934	16.9700376304917	22.3708522400131	1.8475224833159	2.65357824941963	1.55824965172308	2.15802778941216	10.7134723252628	Up_gills_Down_hemocyte
XM_027350607.1	-2.78546765425263	3.10332886359483	-6.38610083009443	3.24668673607312e-05	0.000180458332877732	2.53845941992481	1283	1226	1806	937	1029	102	96	82	41	380	15.3316395799124	24.2895236762499	30.3606253958437	19.320686828397	28.2103026408989	2.89918912766496	2.40324067871967	2.55552942882586	1.70152191088266	11.4036960324926	Up_gills_Down_hemocyte
XM_027350614.1	3.39888682131461	5.63085594763704	9.53106548779149	5.33876960723861e-07	6.69885017973486e-06	6.62127260708386	574	785	983	828	1060	4793	5273	3877	5664	6633	6.8592058603817	15.5524274762285	16.5251908992881	17.0731362795226	29.0601757039386	136.233465577433	132.003001030092	120.826677994608	235.059026908278	199.054515219799	Down_gills_Up_hemocyte
XM_027350615.1	3.32260201332632	5.65552832413338	9.52016236390927	5.40539723454697e-07	6.76407092968039e-06	6.60761865129329	645	693	1026	944	1111	4636	5377	3858	5473	6708	7.70764421593414	13.7297226000336	17.2480629325225	19.4650249370403	30.4583539689394	131.770988194654	134.606511765371	120.234543126953	227.13242483563	201.305244699896	Down_gills_Up_hemocyte
XM_027350616.1	3.15577507160135	5.48438244277369	9.25722849458727	7.31477789058128e-07	8.52390836839345e-06	6.2989818216135	592	708	976	850	1022	3917	4593	3413	4699	5056	7.07430290826823	14.0269027428915	16.4075140566686	17.5267703352588	28.0183958202125	111.334547186898	114.980046222494	106.366121226618	195.011011200918	151.729176684955	Down_gills_Up_hemocyte
XM_027350619.1	1.97039198769916	7.484377088605	5.30334718856303	0.000178331064708835	0.000771556515617752	0.614581541624798	10192	5554	6559	1968	3725	10457	12275	9653	18175	8894	121.792728447753	110.035900895507	110.263201534518	40.5796282585756	102.121843865256	297.223732431299	307.289368034208	300.835677761659	754.272212933961	266.90650661313	Down_gills_Up_hemocyte
XM_027350620.1	-2.74335219937386	3.13765886645564	-3.07721232912746	0.00944189732316781	0.023147311329826	-3.21349934979618	259	1683	5332	1683	705	157	167	132	120	38	3.09500752236735	33.343612028653	89.6361321210623	34.7030052638123	19.327758369129	4.46247738277842	4.18063743068942	4.11377908054894	4.98006412941267	1.14036960324926	Up_gills_Down_hemocyte
XM_027350635.1	-1.99956515129431	4.44728924617543	-2.61759490560636	0.0222567161455919	0.0475183848351731	-4.18999984267849	1024	11467	5990	881	1116	397	550	454	376	151	12.236632057545	227.18431321008	100.6977553273	18.1659819592505	30.5954302694297	11.2840988596371	13.7685663884981	14.1489068376456	15.6042009388264	4.53146868659576	Up_gills_Down_hemocyte
XM_027350640.1	3.42100496853218	9.09330071467333	11.0160368522921	1.08633123608938e-07	2.21952853214279e-06	8.24128482375951	19407	5548	8056	9809	6812	65325	71847	57186	71154	34354	231.910467129665	109.917028838364	135.429234877584	202.258929668886	186.752751787953	1856.76009573248	1798.60034420804	1782.20129166873	2952.92902553524	1030.95414079014	Down_gills_Up_hemocyte
XM_027350642.1	-9.04052268473414	1.53581135924734	-5.42260838870635	0.000146638963124493	0.000654050144629167	1.24281353980176	701	4354	20008	10904	853	2	2	6	4	6	8.37683503158113	86.2614894668777	336.354038161706	224.837533806661	23.3852168636412	0.0568468456404894	0.0500675141399931	0.18698995820677	0.166002137647089	0.180058358407778	Up_gills_Down_hemocyte
XM_027350643.1	-11.103504048198	0.622525050837755	-6.55582108763092	2.52262851115749e-05	0.000145602964378371	2.95556908171413	748	4530	21546	11338	1033	0	0	0	4	2	8.93847732328486	89.7484031430767	362.209321582972	233.786496542546	28.3199636812911	0	0	0	0.166002137647089	0.0600194528025928	Up_gills_Down_hemocyte
XM_027350644.1	-3.04221873985221	-0.24558264154704	-4.3587298880707	0.000899680011588268	0.00313234492253257	-0.535312828762998	95	103	213	71	285	14	5	11	4	16	1.13523441940115	2.04063698095737	3.58073821113771	1.46400081623926	7.81334912794576	0.397927919483426	0.125168785349983	0.342814923379079	0.166002137647089	0.480155622420742	Up_gills_Down_hemocyte
XM_027350645.1	-2.78212461475624	-0.366734923049795	-3.71921179330728	0.0028619040435445	0.00840906262874117	-1.66320368994471	90	92	154	49	290	10	16	2	8	18	1.07548523943267	1.82270487619494	2.58889053763008	1.01036676050315	7.95042542843603	0.284234228202447	0.400540113119945	0.0623299860689234	0.332004275294178	0.540175075223335	Up_gills_Down_hemocyte
XM_027350646.1	1.56708991860399	2.32860755440914	3.66854363379942	0.00314191756471405	0.00912010331923126	-2.10201661392265	122	149	269	122	160	247	229	182	446	366	1.45787999123095	2.95198941905484	4.52215295209411	2.51560703635479	4.38644161568885	7.02058543660044	5.73273036902921	5.67202873227203	18.5092383476504	10.9835598628745	Down_gills_Up_hemocyte
XM_027350661.1	2.68953331885771	1.67348207027841	4.35341026634444	0.000908214494200323	0.00315789188777861	-0.751760500006423	34	78	71	115	85	358	355	221	56	575	0.406294423785675	1.54533674286092	1.19357940371257	2.37126892771148	2.3302971083347	10.1755853696476	8.88698375984877	6.88746346061603	2.32402992705925	17.2555926807454	Down_gills_Up_hemocyte
XM_027350662.1	3.01740962503997	1.60886242049553	4.82918566591877	0.000395884570515725	0.00155474973791738	0.103606668036027	25	49	93	113	63	328	348	267	69	619	0.298745899842408	0.970788466669042	1.5634209090883	2.3300294680991	1.72716138617748	9.32288268504026	8.7117474603588	8.32105314020127	2.86353687441229	18.5760206424025	Down_gills_Up_hemocyte
XM_027350663.1	2.74737807112606	1.50855316183846	4.77162253381961	0.000437039468631268	0.00168872782125931	0.0078628210773859	36	45	65	115	74	240	331	239	60	517	0.430194095773068	0.89154042857361	1.0927135386101	2.37126892771148	2.02872924725609	6.82162147685873	8.28617359016886	7.44843333523634	2.49003206470634	15.5150285494702	Down_gills_Up_hemocyte
XM_027350664.1	3.25063924435042	1.77051075944902	4.26851111018323	0.00105639484948656	0.00358933275754539	-0.898011446115579	14	141	181	40	69	398	403	254	95	839	0.167297703911749	2.79349334286398	3.0427869305912	0.824789192247471	1.89165294676581	11.3125222824574	10.0886040992086	7.91590823075327	3.94255076911837	25.1781604506877	Down_gills_Up_hemocyte
XM_027350674.1	-2.40604091683342	3.3750791495662	-6.71136337817832	2.00859884589523e-05	0.000120333508542604	2.99748815497183	2838	1329	743	943	1315	155	164	116	104	214	33.9136345501102	26.3301606572073	12.4905562951893	19.4444052072341	36.0510670289427	4.40563053713793	4.10553615947943	3.61513919199756	4.31605557882432	6.42208144987743	Up_gills_Down_hemocyte
XM_027350677.1	2.95317486933852	8.50099961234514	10.4740695054168	1.90127877535483e-07	3.19241990734579e-06	7.67146508899304	6591	5632	9584	6493	7117	34416	38629	28787	20243	49201	78.7613690344525	111.581237638368	161.11640852368	133.883905631571	195.114406117859	978.220519781541	967.029001856897	897.146654483049	840.095318097506	1476.50854867018	Down_gills_Up_hemocyte
XM_027350678.1	1.86210349527061	4.22441463031622	4.34937808979415	0.000914739445259403	0.00317699089017322	-1.01234611414119	883	717	670	489	186	1670	1888	1726	985	402	10.5517051824339	14.2052108286062	11.2633549364426	10.0830478752253	5.09923837823828	47.4671161098086	47.2637333481535	53.7907779774809	40.8780263955957	12.0639100133212	Down_gills_Up_hemocyte
XM_027350688.1	2.64017879326781	3.55502535906018	7.95302681886645	3.63823195551455e-06	3.01066954383305e-05	4.71303781474134	326	144	283	304	268	1032	1368	1098	381	1250	3.895646533945	2.85292937143555	4.7575066373332	6.26839786108078	7.34728970627882	29.3329723504925	34.2461796717553	34.2191623518389	15.8117036108852	37.5121580016205	Down_gills_Up_hemocyte
XM_027350689.1	2.62515883426881	3.69768548676556	7.62113777185135	5.63887568768762e-06	4.24582282721526e-05	4.25757402320695	335	143	304	382	330	1197	1385	1141	455	1361	4.00319505788827	2.83311736191169	5.11053716519185	7.87673678596334	9.04703583235824	34.0228371158329	34.6717535419452	35.5592570523208	18.8827431573564	40.8432376321644	Down_gills_Up_hemocyte
XM_027350717.1	3.85057677492266	-0.21191025802907	4.4025509326372	0.000832467576707023	0.00293540972542549	-0.468905148353557	74	1	11	16	12	96	146	65	34	437	0.884287863533529	0.019812009523858	0.184920752687863	0.329915676898988	0.328983121176663	2.72864859074349	3.6549285322195	2.02572454724001	1.41101817000026	13.1142504373665	Down_gills_Up_hemocyte
XM_027350718.1	3.28273275042232	0.539718498740941	4.65638848380296	0.000533431055472753	0.00200212794037426	-0.0893652540153855	108	3	53	22	20	197	177	126	48	336	1.2905822873192	0.059436028571574	0.890981808405158	0.453634055736109	0.548305201961106	5.5994142955882	4.43097500138939	3.92678912234217	1.99202565176507	10.0832680708356	Down_gills_Up_hemocyte
XM_027350748.1	-7.77197210404667	-2.09364900592611	-9.83849437367056	3.78023452143499e-07	5.19688444192448e-06	6.84184935405059	73	295	304	194	199	0	0	0	0	0	0.872338027539832	5.84454280953811	5.11053716519185	4.00022758240023	5.455636759513	0	0	0	0	0	Up_gills_Down_hemocyte
