ID	adj.P.Val
XM_027373625.1	1.8148616879142e-09
XM_027377415.1	3.75010067336845e-09
XM_027363184.1	4.44156746897828e-09
XM_027359256.1	5.70661311362231e-09
XM_027364708.1	5.70661311362231e-09
XM_027373288.1	5.70661311362231e-09
XM_027378026.1	6.14122382232257e-09
XM_027380344.1	6.14122382232257e-09
XM_027357867.1	1.1629880535656e-08
XM_027357868.1	1.1629880535656e-08
XM_027364702.1	1.1629880535656e-08
XM_027365793.1	1.1629880535656e-08
XM_027375663.1	1.1629880535656e-08
XM_027376185.1	1.1629880535656e-08
XM_027378347.1	1.1629880535656e-08
XR_003475688.1	1.1629880535656e-08
XM_027361907.1	1.49579623506491e-08
XM_027370944.1	1.49579623506491e-08
XM_027376661.1	1.49579623506491e-08
XM_027366290.1	1.63686866506144e-08
XM_027367923.1	1.63686866506144e-08
XR_003475976.1	1.63686866506144e-08
XM_027368787.1	1.82607289225963e-08
XM_027358254.1	1.92412330416118e-08
XM_027363492.1	1.92412330416118e-08
XM_027377086.1	2.08835401378214e-08
XM_027351610.1	2.42235472149771e-08
XM_027351679.1	2.42235472149771e-08
XM_027354370.1	2.42235472149771e-08
XM_027364731.1	2.42235472149771e-08
XM_027367438.1	2.42235472149771e-08
XM_027368237.1	2.42750750523208e-08
XM_027355828.1	2.48025025916055e-08
XM_027355829.1	2.48025025916055e-08
XM_027365171.1	2.63964419256109e-08
XM_027350808.1	2.94531378375078e-08
XM_027351609.1	2.94531378375078e-08
XM_027381750.1	2.94531378375078e-08
XM_027352991.1	3.02918607382349e-08
XM_027370438.1	3.02918607382349e-08
XM_027370320.1	3.87562668541561e-08
XM_027352034.1	3.91079389143304e-08
XM_027353145.1	3.91079389143304e-08
XM_027354371.1	3.91079389143304e-08
XM_027360785.1	3.91079389143304e-08
XM_027363185.1	3.91079389143304e-08
XM_027364713.1	3.91079389143304e-08
XM_027366120.1	3.91079389143304e-08
XM_027369484.1	3.91079389143304e-08
XM_027370319.1	3.91079389143304e-08
XM_027370949.1	3.91079389143304e-08
XM_027373107.1	3.91079389143304e-08
XM_027373738.1	3.91079389143304e-08
XM_027374962.1	3.91079389143304e-08
XM_027357523.1	4.19666489571803e-08
XM_027367748.1	4.19666489571803e-08
XM_027377418.1	4.19666489571803e-08
XM_027382389.1	4.19666489571803e-08
XR_003477154.1	4.19666489571803e-08
XM_027383335.1	4.44083040970545e-08
XM_027356265.1	4.44187070715669e-08
XM_027362395.1	4.44187070715669e-08
XM_027368762.1	4.44187070715669e-08
XR_003476844.1	4.44187070715669e-08
XR_003476964.1	4.44187070715669e-08
XM_027365316.1	4.75758241910748e-08
XM_027362631.1	4.78681554290092e-08
XM_027371300.1	4.99894243773883e-08
XM_027358478.1	5.00798538997684e-08
XM_027372464.1	5.00798538997684e-08
XM_027383259.1	5.00798538997684e-08
XM_027373108.1	5.03565803580993e-08
XM_027351673.1	5.3191246065209e-08
XM_027369612.1	5.33824461631157e-08
