ID	adj.P.Val
XM_027356802.1	6.3123634569417e-11
XM_027356797.1	2.74778409445021e-10
XM_027356798.1	2.74778409445021e-10
XM_027356799.1	2.74778409445021e-10
XM_027356801.1	2.74778409445021e-10
XM_027365850.1	4.76018299300269e-10
XM_027356800.1	5.66511252559949e-10
XM_027367149.1	5.66511252559949e-10
XM_027368450.1	5.66511252559949e-10
XM_027373337.1	6.70118155804286e-10
XM_027355456.1	7.66664902958197e-10
XM_027370790.1	7.66664902958197e-10
XM_027362706.1	8.85776280436133e-10
XM_027373336.1	8.85776280436133e-10
XM_027369977.1	8.90764892742516e-10
XM_027361149.1	1.08290453409449e-09
XM_027370793.1	1.08290453409449e-09
XM_027361441.1	1.24351719959494e-09
XM_027365734.1	1.24351719959494e-09
XM_027365815.1	1.24351719959494e-09
XM_027370370.1	1.24351719959494e-09
XM_027370962.1	1.24594686072596e-09
XR_003475609.1	1.83382400266843e-09
XM_027357705.1	1.85179714641871e-09
XM_027365822.1	1.85179714641871e-09
XM_027367224.1	1.98434811349429e-09
XM_027361148.1	2.03234730005006e-09
XM_027365655.1	2.03234730005006e-09
XM_027354432.1	2.26343072166403e-09
XR_003476908.1	2.47052810993778e-09
XM_027365800.1	2.64986557068777e-09
XM_027373331.1	2.94496900343335e-09
XM_027354682.1	2.96089112901097e-09
XM_027365858.1	2.96089112901097e-09
XM_027375601.1	2.96089112901097e-09
XM_027365728.1	3.12875912216638e-09
XM_027365807.1	3.12875912216638e-09
XM_027367222.1	3.12875912216638e-09
XM_027373333.1	3.12875912216638e-09
XM_027354132.1	3.25327055404252e-09
XM_027372676.1	3.37038000459202e-09
XM_027373332.1	3.47989002340294e-09
XM_027378495.1	3.47989002340294e-09
XM_027358642.1	3.66408836160511e-09
XM_027359642.1	3.66408836160511e-09
XM_027365636.1	3.66408836160511e-09
XM_027365839.1	3.66408836160511e-09
XM_027373330.1	3.66408836160511e-09
XM_027373339.1	3.66408836160511e-09
XM_027357707.1	3.67545696146426e-09
XM_027370784.1	3.67545696146426e-09
XM_027354226.1	3.68118333981109e-09
XM_027363873.1	3.68118333981109e-09
XM_027365705.1	3.68118333981109e-09
XM_027367205.1	3.68118333981109e-09
XM_027367223.1	3.68118333981109e-09
XM_027368030.1	3.68118333981109e-09
XM_027373334.1	3.68118333981109e-09
XM_027373335.1	3.68118333981109e-09
XM_027373338.1	3.68118333981109e-09
XM_027373343.1	3.68118333981109e-09
XM_027378454.1	3.68118333981109e-09
XM_027381851.1	3.68118333981109e-09
XM_027373340.1	3.70636305448228e-09
XM_027365681.1	3.741572894242e-09
XM_027365861.1	3.79510461556819e-09
XM_027351027.1	3.8382531067109e-09
XM_027358624.1	3.93794407583612e-09
XM_027365863.1	3.93794407583612e-09
XM_027373344.1	3.93794407583612e-09
XM_027383587.1	4.02704706108483e-09
XM_027357706.1	4.03006885170105e-09
XM_027365630.1	4.03006885170105e-09
XM_027366152.1	4.03006885170105e-09
XM_027373312.1	4.03006885170105e-09
XM_027375035.1	4.06145711653985e-09
XM_027367206.1	4.08362098641397e-09
XM_027383691.1	4.38644983431505e-09
XM_027365792.1	4.46983525786173e-09
XM_027365860.1	4.46983525786173e-09
XM_027375602.1	4.46983525786173e-09
XM_027381865.1	4.46983525786173e-09
XM_027373317.1	4.50444053720409e-09
XM_027365689.1	4.64982827591873e-09
XM_027365225.1	4.65018707280336e-09
XM_027373313.1	4.65018707280336e-09
XM_027383586.1	4.65018707280336e-09
XM_027363561.1	4.6548457444304e-09
XM_027365763.1	4.6548457444304e-09
XM_027371770.1	4.6548457444304e-09
XR_003475626.1	4.6548457444304e-09
XM_027363214.1	4.73088137132027e-09
XM_027368031.1	4.73263644583169e-09
XM_027359643.1	4.75030601147899e-09
XM_027360928.1	4.75030601147899e-09
XM_027362049.1	4.75030601147899e-09
XM_027363564.1	4.75030601147899e-09
XM_027365226.1	4.75030601147899e-09
XM_027365662.1	4.75030601147899e-09
XM_027365721.1	4.75030601147899e-09
XM_027381853.1	4.75030601147899e-09
XM_027365772.1	4.93664454920205e-09
XM_027373316.1	4.98073102227848e-09
XM_027351034.1	5.25101721007859e-09
XM_027363212.1	5.25101721007859e-09
XM_027367225.1	5.28910264351476e-09
XM_027363215.1	5.30374181246925e-09
XM_027365875.1	5.32129048633771e-09
XM_027381854.1	5.54027651218867e-09
XR_003476140.1	5.66543764822475e-09
XM_027365780.1	5.84706063192468e-09
XM_027381669.1	5.84706063192468e-09
XM_027367238.1	5.89269648491335e-09
XM_027367246.1	5.89269648491335e-09
XM_027369560.1	6.07631147518163e-09
XM_027373341.1	6.07631147518163e-09
XM_027363563.1	6.10520941661943e-09
XM_027373315.1	6.10520941661943e-09
XM_027373345.1	6.10520941661943e-09
XM_027356399.1	6.48388934072612e-09
XM_027365741.1	6.75387057042226e-09
XM_027373320.1	6.75387057042226e-09
XM_027371495.1	6.76805966525721e-09
XM_027375216.1	6.85157381813413e-09
XM_027381668.1	7.05465262645468e-09
XM_027373346.1	7.07598910494546e-09
XM_027370783.1	7.23852698511376e-09
XM_027363562.1	7.42593636924084e-09
XM_027365647.1	7.67623405568339e-09
XM_027363208.1	7.70557965671954e-09
XM_027383519.1	7.70557965671954e-09
XM_027360929.1	7.86034786267868e-09
XM_027373323.1	7.86034786267868e-09
XM_027377415.1	7.86034786267868e-09
XM_027358886.1	8.06568831028876e-09
XM_027375603.1	8.15492598838042e-09
XM_027371688.1	8.34017238384589e-09
XM_027359775.1	8.36084251510894e-09
XM_027365826.1	8.36084251510894e-09
XM_027359703.1	8.36691022127243e-09
XM_027373383.1	8.36691022127243e-09
XM_027383692.1	8.36691022127243e-09
XR_003476379.1	8.36691022127243e-09
XM_027370495.1	8.62712958400241e-09
XM_027357709.1	8.92151812852087e-09
XM_027363560.1	8.92151812852087e-09
XM_027365898.1	8.92151812852087e-09
XM_027363210.1	8.92542206981169e-09
XM_027365785.1	9.09891441191115e-09
XM_027363559.1	9.26651113790133e-09
XM_027363565.1	9.26651113790133e-09
XM_027365712.1	9.26651113790133e-09
XM_027373318.1	9.26651113790133e-09
XM_027373322.1	9.26651113790133e-09
XM_027363211.1	9.35566169517563e-09
XM_027367243.1	9.51764590013344e-09
XM_027360238.1	1.00146751044936e-08
XM_027362623.1	1.0111751610225e-08
XM_027374011.1	1.05315350512584e-08
XM_027375557.1	1.05315350512584e-08
XM_027364019.1	1.05507943982658e-08
XR_003477592.1	1.05507943982658e-08
XM_027365668.1	1.06022721842964e-08
XM_027370509.1	1.06022721842964e-08
XM_027365831.1	1.08121284437868e-08
XM_027365845.1	1.08162174330243e-08
XM_027354137.1	1.09839170148225e-08
XM_027371490.1	1.09839170148225e-08
XM_027373319.1	1.09839170148225e-08
XM_027370502.1	1.10010397716363e-08
XM_027375051.1	1.11735242502849e-08
XM_027362345.1	1.12606898105768e-08
XM_027374280.1	1.12828029619151e-08
XM_027363209.1	1.16709302845504e-08
XM_027366304.1	1.16720805913078e-08
XM_027368559.1	1.16720805913078e-08
XM_027371539.1	1.16720805913078e-08
XM_027375218.1	1.16720805913078e-08
XR_003477589.1	1.16720805913078e-08
XM_027350813.1	1.17334653400565e-08
XM_027367001.1	1.18239116145985e-08
XM_027370538.1	1.18768001555397e-08
XR_003476755.1	1.18768001555397e-08
XM_027373988.1	1.20250168661662e-08
XM_027365697.1	1.22921299019725e-08
XM_027366660.1	1.32311187693634e-08
XM_027373327.1	1.3333388895616e-08
XM_027359148.1	1.36678980387885e-08
XM_027375558.1	1.36678980387885e-08
XM_027381866.1	1.36678980387885e-08
XM_027367236.1	1.38692974020699e-08
XM_027363213.1	1.39089592007494e-08
XM_027371491.1	1.40420262106188e-08
XM_027367319.1	1.40434075642655e-08
XM_027368553.1	1.46098625249374e-08
XM_027381855.1	1.47218771476939e-08
XM_027365675.1	1.53355139490311e-08
XM_027367241.1	1.61737563453899e-08
XM_027373325.1	1.61737563453899e-08
XM_027360930.1	1.63779497779476e-08
XM_027375559.1	1.63779497779476e-08
XM_027371486.1	1.6635116630129e-08
XM_027370936.1	1.68966233219735e-08
XM_027356467.1	1.69221547850044e-08
XM_027355187.1	1.69796527696747e-08
XM_027356628.1	1.70107937180023e-08
XR_003476141.1	1.71623374000476e-08
XM_027370521.1	1.7740801422816e-08
XM_027365370.1	1.82301707478505e-08
XM_027365747.1	1.82301707478505e-08
XM_027373625.1	1.82301707478505e-08
XM_027351045.1	1.87782756553163e-08
XM_027369862.1	1.94694018691849e-08
XM_027379534.1	1.94694018691849e-08
XM_027380479.1	1.94694018691849e-08
XM_027354223.1	1.96632844081405e-08
XM_027383577.1	2.00578222917096e-08
XM_027371488.1	2.02509240116017e-08
XM_027360131.1	2.10906855900501e-08
XM_027370478.1	2.10906855900501e-08
XM_027375563.1	2.10906855900501e-08
XM_027383576.1	2.10906855900501e-08
XM_027375565.1	2.13061587794492e-08
XM_027355469.1	2.2488580360085e-08
XM_027366312.1	2.27912741389449e-08
XM_027371767.1	2.27912741389449e-08
XM_027365885.1	2.34227511306714e-08
XM_027359641.1	2.37285721900772e-08
XM_027356611.1	2.39278774938731e-08
XM_027367239.1	2.39278774938731e-08
XM_027370486.1	2.51632908343186e-08
XM_027383520.1	2.51632908343186e-08
XM_027360317.1	2.59492082513006e-08
XR_003476717.1	2.59797150394487e-08
XR_003476719.1	2.59797150394487e-08
XM_027366311.1	2.61493078850355e-08
XM_027365884.1	2.62497441409769e-08
XM_027363221.1	2.65172620991819e-08
XM_027375561.1	2.67580167870886e-08
XM_027351037.1	2.68823237281392e-08
XM_027356275.1	2.68823237281392e-08
XM_027360316.1	2.72042267900214e-08
XM_027356629.1	2.7569886895685e-08
XM_027366154.1	2.77668918691218e-08
XM_027380490.1	2.92272214425509e-08
XM_027380481.1	3.09396105460575e-08
XR_003474933.1	3.15395979537052e-08
XM_027375217.1	3.1855339407531e-08
XM_027365867.1	3.18560207098404e-08
XM_027365559.1	3.25265828306185e-08
XR_003476776.1	3.2720349455585e-08
XM_027369732.1	3.28403974760733e-08
XR_003475816.1	3.28403974760733e-08
XM_027367242.1	3.30727081865745e-08
XM_027382986.1	3.30727081865745e-08
XM_027356630.1	3.38270089055224e-08
XM_027359212.1	3.48845072649034e-08
XM_027354135.1	3.49014579613882e-08
XM_027359446.1	3.62536877335902e-08
XM_027363216.1	3.62536877335902e-08
XM_027365505.1	3.62536877335902e-08
XR_003476309.1	3.63921765868193e-08
XM_027370922.1	3.78381562310927e-08
XR_003476575.1	3.89821144073185e-08
XM_027366115.1	3.96717960450611e-08
XM_027366313.1	3.96717960450611e-08
XM_027371768.1	3.96717960450611e-08
XM_027372710.1	3.96717960450611e-08
XM_027381155.1	3.96717960450611e-08
XR_003476718.1	3.96717960450611e-08
XM_027356931.1	4.04783670748298e-08
XM_027375569.1	4.17248678791823e-08
XM_027354220.1	4.23965894199033e-08
XM_027371537.1	4.43420428354253e-08
XM_027363230.1	4.48460880389089e-08
XM_027353808.1	4.49142864921311e-08
XR_003476574.1	4.49142864921311e-08
XR_003477591.1	4.5580920724967e-08
XM_027373324.1	4.62455416891763e-08
XM_027377087.1	4.62455416891763e-08
XM_027363217.1	4.62945768193307e-08
XM_027368554.1	4.62945768193307e-08
XM_027373329.1	4.62945768193307e-08
XM_027363227.1	4.72545088222192e-08
XM_027365755.1	4.77464150904918e-08
XR_003477590.1	4.8373411550084e-08
XM_027380344.1	5.15517390382251e-08
XM_027369400.1	5.16641366967344e-08
XM_027363224.1	5.30469376423317e-08
XM_027365890.1	5.30469376423317e-08
XM_027363220.1	5.32697905925256e-08
XM_027372961.1	5.36555306656746e-08
XM_027350690.1	5.39798912275572e-08
XM_027363225.1	5.40237524372413e-08
XM_027363232.1	5.42489047722507e-08
XM_027375615.1	5.44459690033442e-08
XM_027376054.1	5.50058420843456e-08
XM_027375215.1	5.54698626482719e-08
XM_027360998.1	5.62976000034932e-08
XM_027369975.1	5.63858072310829e-08
XM_027362641.1	5.9623672193499e-08
XM_027377086.1	6.08416087404643e-08
XM_027353766.1	6.19318142061604e-08
XM_027359447.1	6.19318142061604e-08
XM_027363219.1	6.19318142061604e-08
XM_027363223.1	6.19318142061604e-08
XM_027368558.1	6.19318142061604e-08
XM_027363218.1	6.34140300398491e-08
XM_027368018.1	6.3737621226793e-08
XM_027375613.1	6.3737621226793e-08
XM_027373991.1	6.40307312569043e-08
XM_027375219.1	6.46925474434858e-08
XM_027378347.1	6.47923756908714e-08
XM_027350644.1	6.53283897551175e-08
XM_027381154.1	6.59978344235561e-08
XM_027354623.1	6.64906869388156e-08
XM_027374148.1	6.64906869388156e-08
XM_027376330.1	6.64906869388156e-08
XR_003477752.1	6.64906869388156e-08
XM_027363524.1	6.8140005334033e-08
XM_027366518.1	6.8140005334033e-08
XM_027375614.1	6.8140005334033e-08
XM_027376573.1	7.10226645893412e-08
XM_027375562.1	7.15710806966865e-08
XM_027363228.1	7.21351005340791e-08
XM_027352549.1	7.2546898918153e-08
XM_027368787.1	7.28080600321134e-08
XM_027354260.1	7.35054227180838e-08
XM_027360996.1	7.57415410784775e-08
XM_027368762.1	7.76459546758062e-08
XM_027366516.1	8.06314127217357e-08
XM_027381156.1	8.06314127217357e-08
XM_027350645.1	8.3030924314429e-08
XM_027355909.1	8.4281857124335e-08
XR_003475500.1	8.56670467291152e-08
XM_027355822.1	8.57846366051394e-08
XM_027360043.1	8.61073972125205e-08
XM_027370514.1	8.63658350048703e-08
XM_027369985.1	8.65187672251838e-08
XM_027375663.1	8.65187672251838e-08
XM_027350819.1	8.8231404355469e-08
XM_027377953.1	9.10317255664847e-08
XM_027355818.1	9.63996600304272e-08
XM_027354133.1	9.77417366480702e-08
XM_027375564.1	9.77589294307881e-08
XM_027361439.1	9.78103350846194e-08
XM_027365288.1	9.79167427998107e-08
