ID	adj.P.Val
XM_027350706.1	1.27848833292117e-09
XM_027352295.1	1.27848833292117e-09
XM_027352296.1	1.27848833292117e-09
XM_027354925.1	1.27848833292117e-09
XM_027360388.1	1.27848833292117e-09
XM_027362713.1	1.27848833292117e-09
XM_027363322.1	1.27848833292117e-09
XM_027363951.1	1.27848833292117e-09
XM_027371450.1	1.27848833292117e-09
XM_027377792.1	1.27848833292117e-09
XM_027380431.1	1.27848833292117e-09
XM_027380855.1	1.35242738461355e-09
XM_027350707.1	1.39933785664135e-09
XM_027352297.1	1.39933785664135e-09
XM_027353914.1	1.39933785664135e-09
XM_027358232.1	1.39933785664135e-09
XM_027360302.1	1.39933785664135e-09
XM_027364536.1	1.39933785664135e-09
XM_027371447.1	1.39933785664135e-09
XM_027378584.1	1.39933785664135e-09
XM_027379504.1	1.39933785664135e-09
XM_027379523.1	1.53145086446934e-09
XM_027365027.1	1.5377380240284e-09
XM_027369553.1	1.5418547860024e-09
XM_027370505.1	1.5418547860024e-09
XM_027352868.1	1.65811085923547e-09
XM_027363970.1	1.65811085923547e-09
XM_027379298.1	1.65811085923547e-09
XM_027382187.1	1.65811085923547e-09
XM_027353363.1	1.71752053034654e-09
XM_027363969.1	1.71752053034654e-09
XM_027367611.1	1.71752053034654e-09
XM_027376864.1	1.71752053034654e-09
XM_027364078.1	1.78334412060466e-09
XM_027367729.1	1.78334412060466e-09
XM_027377569.1	1.97252968400062e-09
XM_027369766.1	2.11978612522274e-09
XM_027382405.1	2.11978612522274e-09
XM_027382895.1	2.11978612522274e-09
XM_027382197.1	2.20299612466129e-09
XM_027363486.1	2.34100358877305e-09
XM_027372150.1	2.34100358877305e-09
XM_027376677.1	2.34100358877305e-09
XM_027376863.1	2.34100358877305e-09
XM_027378174.1	2.34100358877305e-09
XM_027350967.1	2.36596730784831e-09
XM_027356882.1	2.44708355255672e-09
XM_027371550.1	2.59201733730943e-09
XM_027377992.1	2.59201733730943e-09
XM_027366957.1	2.69544710414445e-09
XM_027363320.1	2.89622881670753e-09
XM_027378597.1	2.89622881670753e-09
XM_027366106.1	2.90045596631298e-09
XM_027351847.1	3.04577456692573e-09
XM_027372128.1	3.04577456692573e-09
XM_027376661.1	3.04577456692573e-09
XR_003475003.1	3.04982551097391e-09
XM_027364525.1	3.07482261608511e-09
XM_027359178.1	3.10976878687481e-09
XM_027369866.1	3.13353312385819e-09
XM_027380253.1	3.13353312385819e-09
XM_027380569.1	3.13353312385819e-09
XM_027365310.1	3.15060995940927e-09
XM_027367438.1	3.15060995940927e-09
XM_027379363.1	3.15060995940927e-09
XM_027360141.1	3.1882139640892e-09
XM_027365833.1	3.19309453103178e-09
XM_027357721.1	3.23683057206862e-09
XM_027359900.1	3.23683057206862e-09
XM_027362299.1	3.24297506542222e-09
XM_027382408.1	3.29544142877024e-09
XM_027369645.1	3.30030976669123e-09
XM_027352856.1	3.35242086931234e-09
XM_027351485.1	3.48076131426891e-09
XM_027352843.1	3.48076131426891e-09
XM_027373827.1	3.57958486692813e-09
XM_027376806.1	3.57958486692813e-09
XM_027365311.1	3.63606906497004e-09
XM_027375354.1	3.65462433561452e-09
XM_027362687.1	3.6932067678882e-09
XM_027379918.1	3.79220929970259e-09
XM_027375317.1	3.79761861335563e-09
XM_027378226.1	3.82289565877938e-09
XM_027351791.1	4.06550847454773e-09
XM_027359091.1	4.06550847454773e-09
XM_027362059.1	4.06550847454773e-09
XM_027363492.1	4.06550847454773e-09
XM_027368483.1	4.06550847454773e-09
XM_027368484.1	4.06550847454773e-09
XM_027372900.1	4.06550847454773e-09
XM_027376807.1	4.06550847454773e-09
XM_027377963.1	4.06550847454773e-09
XM_027380981.1	4.06550847454773e-09
XM_027382409.1	4.06550847454773e-09
XM_027383260.1	4.06550847454773e-09
XR_003476604.1	4.06550847454773e-09
XM_027366103.1	4.09037391607819e-09
XM_027371448.1	4.09037391607819e-09
XM_027363955.1	4.36761054743092e-09
XM_027381145.1	4.36761054743092e-09
XM_027359736.1	4.37586229383776e-09
XM_027373824.1	4.37586229383776e-09
XM_027365313.1	4.41290360181171e-09
XM_027365595.1	4.41290360181171e-09
XM_027371888.1	4.41290360181171e-09
XM_027358778.1	4.63748523351386e-09
XM_027358581.1	4.73724500101125e-09
XM_027368181.1	4.73724500101125e-09
XM_027370939.1	4.73724500101125e-09
XM_027376808.1	4.73724500101125e-09
XR_003476759.1	4.7859375021568e-09
XM_027358620.1	4.80036227409576e-09
XM_027369773.1	4.88837301300636e-09
XM_027380586.1	4.91048711998622e-09
XM_027382407.1	4.91048711998622e-09
XM_027374700.1	4.9556586443631e-09
XM_027375922.1	4.96670441689215e-09
XM_027366679.1	5.06123774970573e-09
XM_027350715.1	5.07610758265568e-09
XM_027355570.1	5.07610758265568e-09
XM_027360507.1	5.07610758265568e-09
XM_027366171.1	5.07610758265568e-09
XM_027374921.1	5.07610758265568e-09
