ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027367149.1	13.8433285870506	4.95505089414396	41.0861894405463	2.20756633164264e-14	1.98600190793211e-10	18.3837904069185	21	36	28	14	51	237274	29251	43178	36732	73932	0.177297241598276	0.266072836920329	0.261816484034541	0.174451065942346	0.455672346811257	3327.33840250774	3437.81624838759	3998.67412825515	3956.6398234772	4199.00235198805	Down_hemocyte_Up_muscle
XM_027368030.1	15.5843583994068	0.0259296210801238	40.5290294065203	2.60186284282996e-14	1.98600190793211e-10	16.9849690498297	0	0	0	0	0	19344	1559	2474	2420	3494	0	0	0	0	0	271.264588863971	183.226403584023	229.114822208144	260.673755113112	198.443356298304	Down_hemocyte_Up_muscle
XM_027356802.1	7.50505948916804	8.31096884645335	37.7022350299223	6.20841659449552e-14	2.0178794120719e-10	20.5437432618373	3095	3377	2728	1627	2426	277291	36319	44668	43915	77299	26.1302363212698	24.9591102855542	25.5084060159367	20.2737060205855	21.6757081051786	3888.50439984901	4268.5052929879	4136.66163233362	4730.36692388112	4390.23268417362	Down_hemocyte_Up_muscle
XM_027358642.1	17.3255204071059	1.20502144111575	37.4102242877719	6.81671830469862e-14	2.0178794120719e-10	16.6565113277109	0	0	1	0	0	49483	8716	11510	11344	13241	0	0	0.00935058871551933	0	0	693.909514617239	1024.37545454672	1065.93031674039	1221.93515619965	752.028758084101	Down_hemocyte_Up_muscle
XM_027367225.1	17.2771184614364	1.32972941444081	36.9420050467149	7.93087676695364e-14	2.0178794120719e-10	16.6064078041756	0	2	0	0	0	53657	10015	8966	10954	20121	0	0.0147818242733516	0	0	0	752.442310001762	1177.04453617318	830.332860112456	1179.9257493839	1142.78156041161	Down_hemocyte_Up_muscle
XM_027367241.1	17.6271038881783	1.04870926068863	39.108385408765	3.99703358577866e-14	2.0178794120719e-10	16.8178574302448	0	0	0	0	0	92266	8459	10889	8919	9987	0	0	0	0	0	1293.86365571356	994.170717073284	1008.42008853051	960.72281894787	567.216313494896	Down_hemocyte_Up_muscle
XM_027358624.1	13.8508288814328	5.02543031922416	36.250770572713	9.95166724966216e-14	2.12315561267672e-10	17.8831828381616	26	33	23	39	27	220963	37625	60358	39962	48717	0.219510870550247	0.243900100510302	0.215063540456945	0.485970826553677	0.241238301253018	3098.60614914959	4421.99707174398	5589.69783299884	4304.56388505379	2766.9046905508	Down_hemocyte_Up_muscle
XM_027365225.1	17.5703492579799	1.00565967435859	35.9156967448205	1.11261921272198e-13	2.12315561267672e-10	16.5010511572749	0	0	0	0	0	34015	9779	12709	8955	14838	0	0	0	0	0	476.998810494622	1149.30789008862	1176.96858344515	964.600610346247	842.731116415066	Down_hemocyte_Up_muscle
XM_027370793.1	15.5259077986347	-0.0110950676029629	35.2034054656778	1.41525499237321e-13	2.40058696817438e-10	16.4599264525211	0	0	0	0	0	10434	2097	2482	2793	3218	0	0	0	0	0	146.31796527123	246.45655440391	229.855694713263	300.851982657406	182.76780783284	Down_hemocyte_Up_muscle
XM_027368559.1	19.5081455889594	1.97780494725121	34.4846472444943	1.81299874714421e-13	2.76772388739036e-10	16.2836416032694	0	0	0	0	0	209446	34591	50904	46616	27587	0	0	0	0	0	2937.10106902415	4065.41663013145	4714.17175007411	5021.30899518712	1566.81650549551	Down_hemocyte_Up_muscle
XM_027355456.1	9.01987726733975	6.97229766111229	32.7677507398053	3.3458298838747e-13	3.00499631360143e-10	19.4080376854488	538	608	458	711	753	156848	23174	34199	23486	68304	4.54218647523203	4.4936745790989	4.28256963170786	8.85962199178627	6.72786817938974	2199.50931731473	2723.59761171016	3167.13735032187	2529.82802172998	3879.35747240967	Down_hemocyte_Up_muscle
XM_027356797.1	6.8650463430642	8.27183205913073	32.7673496336393	3.34632106191696e-13	3.00499631360143e-10	19.454442649964	3301	3660	2992	2171	3763	234492	23528	31943	38270	65796	27.8694378340909	27.0507384202335	27.9769614368339	27.052376011488	33.6214713931522	3288.32588771145	2765.20258083701	2958.21130387823	4122.30768933008	3736.91444504958	Down_hemocyte_Up_muscle
XM_027356798.1	6.86109759575798	8.26971715055001	32.7838861208914	3.32613568373307e-13	3.00499631360143e-10	19.4588301095545	3245	3730	2889	2200	3837	234072	23680	32002	37732	65367	27.3966451898289	27.5681022698008	27.0138507991354	27.4137389337972	34.2826430336234	3282.43614787879	2783.06686136604	2963.67523860348	4064.35625120989	3712.54919036957	Down_hemocyte_Up_muscle
XM_027367223.1	17.4848841371137	1.43199371138469	33.8263710731471	2.28484617136584e-13	3.00499631360143e-10	16.2445330741832	0	0	0	0	2	56665	11422	10102	13747	24004	0	0	0	0	0.0178695037965199	794.62406575563	1342.40665922817	935.536755839397	1480.7777320413	1363.31835277175	Down_hemocyte_Up_muscle
XM_027367236.1	18.4359440078169	6.08219162192046	33.4922966556451	2.57380589360045e-13	3.00499631360143e-10	16.6168707356164	8	10	8	28	14	1355957	518654	523098	411891	707302	0.0675418063231528	0.0739091213667581	0.0748047097241547	0.348902131884691	0.125086526575639	19014.8427482539	60956.4510099216	48443.615710362	44367.4271352458	40171.5463069557	Down_hemocyte_Up_muscle
XM_027367239.1	15.8046615449656	0.128599663708714	33.4961941654822	2.57021526264386e-13	3.00499631360143e-10	16.2456251726565	0	0	0	0	0	13583	3538	2219	2914	4137	0	0	0	0	0	190.476990826061	415.814634945653	205.499511107466	313.885670413061	234.9628405856	Down_hemocyte_Up_muscle
XM_027382986.1	10.490479804209	7.07459517264601	32.931778110208	3.15135620581774e-13	3.00499631360143e-10	19.3218115027717	498	651	446	285	217	201950	45515	65828	52768	113529	4.20447744361626	4.81148380097596	4.17036256712162	3.55132527096918	1.93884116192241	2831.98323620135	5349.29426499474	6096.26940837417	5683.98045859863	6447.93239759307	Down_hemocyte_Up_muscle
XM_027356801.1	6.88463512016257	8.27048829704846	32.4175089135926	3.80595521369794e-13	3.22787290512849e-10	19.365069095872	3162	3702	2907	2139	3906	234762	23842	32236	38528	65691	26.6958989492262	27.3611567299739	27.1821613960147	26.6536307179055	34.8991409146033	3292.11214903244	2802.10642350884	2985.34575937822	4150.09852768512	3730.95092117685	Down_hemocyte_Up_muscle
XM_027353008.1	8.06345485564771	4.48174366267529	31.7757904818412	4.83667453135611e-13	3.72301251075369e-10	18.8287699557188	170	184	113	110	186	24240	2832	4082	4808	5153	1.435263384367	1.35992783314835	1.05661652485368	1.37068694668986	1.66186385307635	339.922127484628	332.839753014723	378.030195737123	517.900584538778	292.667033487453	Down_hemocyte_Up_muscle
XM_027368031.1	15.0854422337914	0.241688812538882	31.7534991976456	4.87752195827812e-13	3.72301251075369e-10	16.006193720161	0	0	0	0	2	19751	1502	2341	2205	3676	0	0	0	0	0.0178695037965199	276.972027225615	176.527298385633	216.797816810535	237.514723150583	208.780131011038	Down_hemocyte_Up_muscle
XM_027381155.1	11.9664457331136	2.76947511924336	30.9089317748012	6.73687831121546e-13	4.89738972852454e-10	16.3531740962183	14	20	10	8	8	22906	4063	5900	4519	6398	0.118198161065517	0.147818242733516	0.0935058871551933	0.0996863233956261	0.0714780151860795	321.215191920912	477.516919667662	546.393472525484	486.77053692403	363.377387978406	Down_hemocyte_Up_muscle
XR_003476908.1	15.3485547641283	-0.0904269137447602	30.7131830848631	7.26944874580423e-13	5.04433657061125e-10	15.8482896551945	0	0	0	0	0	19141	1074	1835	2723	2741	0	0	0	0	0	268.417881278188	126.225245317024	169.93763086174	293.311832716117	155.676370811005	Down_hemocyte_Up_muscle
XM_027373336.1	10.3774124970655	8.61789116528438	30.459101823865	8.02969285414844e-13	5.32962135267088e-10	18.7420127666205	1323	1414	1173	995	1073	375375	166759	225683	178090	244456	11.1697262206914	10.4507497612596	10.9682405633042	12.398486472331	9.58698878683292	5263.95497543492	19598.8786627762	20900.2911966049	19183.2186149149	13883.9923031649	Down_hemocyte_Up_muscle
XM_027357870.1	8.4689464668073	4.60682104784189	30.1872360324289	8.93945945887819e-13	5.43099562527359e-10	18.3815651067633	146	202	185	79	128	20403	4726	5215	5248	8195	1.23263796539754	1.49296425160851	1.72985891237108	0.984402443531808	1.14364824297727	286.115147156307	555.438090659456	482.956264274644	565.295812741162	465.438839400287	Down_hemocyte_Up_muscle
XM_027363209.1	11.4179744079555	1.84489356201084	30.0482829709067	9.44699420804883e-13	5.43099562527359e-10	15.9205384402409	10	7	8	6	5	10701	1393	2199	1957	3839	0.084427257903941	0.0517363849567307	0.0748047097241547	0.0747647425467196	0.0446737594912997	150.062157021989	163.716728795731	203.647329844668	210.801049072876	218.037791880135	Down_hemocyte_Up_muscle
XM_027367243.1	17.8588356733436	2.64033640136638	30.0513477105191	9.4354698089134e-13	5.43099562527359e-10	15.6630539943982	3	2	0	2	0	136103	36854	38887	30281	45298	0.0253281773711823	0.0147818242733516	0	0.0249215808489065	0	1908.59823915183	4331.38285932366	3601.28863832178	3261.76114817361	2572.72099416159	Down_hemocyte_Up_muscle
XM_027373337.1	10.215645970904	8.51360245950002	30.006548009324	9.60545538336086e-13	5.43099562527359e-10	18.6210551933893	1312	1491	1115	986	1009	335687	148772	200395	154664	208199	11.0768562369971	11.0198499957836	10.4259064178041	12.2863393585109	9.01516466534428	4707.40260762923	17484.8996241195	18558.3932079228	16659.8535788489	11824.7591121782	Down_hemocyte_Up_muscle
XM_027363214.1	12.3161727528489	1.65040213674373	29.7753611994044	1.05369441530404e-12	5.74489248001126e-10	15.7000073272923	8	7	4	3	2	17033	1487	2251	2272	4708	0.0675418063231528	0.0517363849567307	0.0374023548620773	0.0373823712733598	0.0178695037965199	238.856996594294	174.764375965005	208.463001127943	244.731723808674	267.393051360165	Down_hemocyte_Up_muscle
XM_027370783.1	15.1018389380203	-0.213514187632434	29.676492455535	1.09647334855326e-12	5.77198694448762e-10	15.6779591285847	0	0	0	0	0	16201	844	1423	1439	4283	0	0	0	0	0	227.189702449607	99.1937682007154	131.782696848096	155.003939507342	243.254978541968	Down_hemocyte_Up_muscle
XM_027370790.1	18.5157755907918	2.21974476844333	28.9475561130182	1.47633157226301e-12	7.51255926072238e-10	15.4762185114512	0	0	0	0	6	132749	25935	41903	33027	40960	0	0	0	0	0.0536085113895596	1861.56445963106	3048.09286526725	3880.59757275176	3557.55045872758	2326.34226501962	Down_hemocyte_Up_muscle
XM_027357161.1	8.10601239348395	4.44519040937725	28.4312074634502	1.83073209025382e-12	8.88310844057136e-10	17.8996739794947	191	237	144	93	97	16634	3430	4087	4082	6953	1.61256062596527	1.75164617639217	1.34648477503478	1.15885350947415	0.866670934131214	233.261743753272	403.121593517126	378.493241052823	439.698458004844	394.898871305698	Down_hemocyte_Up_muscle
XM_027368450.1	13.1755546068584	-1.17297783175636	28.3908926654068	1.86204290644755e-12	8.88310844057136e-10	15.4064660681194	0	0	0	0	0	1860	371	663	402	841	0	0	0	0	0	26.0831335446126	43.6029478702197	61.399808861762	43.3020039485417	47.7649864473022	Down_hemocyte_Up_muscle
XM_027354936.1	7.1094795575367	4.68264385769847	27.7965249751371	2.39754922723308e-12	1.1091208031194e-09	17.8981563158288	227	263	221	162	361	16502	3024	4247	2867	4338	1.91649875441946	1.94380989194574	2.06648010612977	2.01864804876143	3.22544543527184	231.410682663009	355.405159998772	393.310691155209	308.822998309625	246.37872914197	Down_hemocyte_Up_muscle
XM_027367246.1	16.3420381515778	0.862058772288966	26.8356389303531	3.64884720562962e-12	1.6383323953277e-09	15.1153896776155	0	0	2	0	0	33022	6488	4901	7525	5254	0	0	0.0187011774310387	0	0	463.073782747418	762.522711002656	453.877018448712	810.566118688499	298.403375498366	Down_hemocyte_Up_muscle
XM_027363007.1	5.90624552228707	5.76072084996288	26.7274568099011	3.82899980686187e-12	1.67010031575866e-09	17.7148960932346	737	767	675	732	938	26370	3519	5579	3886	6841	6.22228890752046	5.66882960883035	6.31164738297555	9.12129859069979	8.38079728056782	369.791522350233	413.581599879523	516.665963257572	418.586038169237	388.537779174785	Down_hemocyte_Up_muscle
XM_027356799.1	7.84936456054367	9.48082184991285	26.5096221060736	4.22162234100744e-12	1.71656881887082e-09	17.5048319767173	5516	6621	5097	3600	5545	422398	127708	155205	144433	127184	46.5700754598139	48.9352292569306	47.6599506830021	44.8588455280318	49.5431992758514	5923.36744246089	15009.2864329111	14373.3896446301	15557.8068067157	7223.47447837537	Down_hemocyte_Up_muscle
XM_027362845.1	16.4075618784946	0.421083614146594	26.4828160444857	4.27286880106716e-12	1.71656881887082e-09	15.0466443033812	0	0	0	0	0	11934	4708	6002	5225	5542	0	0	0	0	0	167.352750387853	553.322583754702	555.839596965755	562.81833490331	314.760469549285	Down_hemocyte_Up_muscle
XM_027363210.1	12.0404382058286	1.50392452191967	26.4973847772522	4.24493412203099e-12	1.71656881887082e-09	15.068809634135	7	7	6	4	1	10686	1386	2171	1858	3761	0.0590990805327587	0.0517363849567307	0.056103532293116	0.0498431616978131	0.00893475189825994	149.851809170823	162.894031666104	201.05427607675	200.13712272734	213.607745574677	Down_hemocyte_Up_muscle
XM_027363559.1	18.105272248313	1.90268145579464	26.3109395474083	4.61786629877256e-12	1.73682959505505e-09	14.9669997976446	4	0	0	0	0	69010	20903	38008	21420	26657	0.0337709031615764	0	0	0	0	967.740347265438	2456.69115722696	3519.8852718218	2307.28588203424	1513.99672262275	Down_hemocyte_Up_muscle
XM_027363562.1	17.7960474595447	2.04255927307703	26.3670589403916	4.50202040019524e-12	1.73682959505505e-09	14.9795758552874	2	0	0	0	2	67931	20901	38150	21545	25464	0.0168854515807882	0	0	0	0.0178695037965199	952.609325171547	2456.45610090421	3533.03575878767	2320.75043550083	1446.23973233544	Down_hemocyte_Up_muscle
XM_027370370.1	11.8506623309874	3.00536061061628	26.2356448350464	4.77838615173012e-12	1.73682959505505e-09	15.5351922572787	21	7	14	10	26	21033	4836	5480	5260	9628	0.177297241598276	0.0517363849567307	0.130908242017271	0.124607904244533	0.232303549354758	294.949756905288	568.366188410734	507.497666006721	566.588409873954	546.826741396701	Down_hemocyte_Up_muscle
