ID	adj.P.Val
XM_027367149.1	1.98600190793211e-10
XM_027368030.1	1.98600190793211e-10
XM_027356802.1	2.0178794120719e-10
XM_027358642.1	2.0178794120719e-10
XM_027367225.1	2.0178794120719e-10
XM_027367241.1	2.0178794120719e-10
XM_027358624.1	2.12315561267672e-10
XM_027365225.1	2.12315561267672e-10
XM_027370793.1	2.40058696817438e-10
XM_027368559.1	2.76772388739036e-10
XM_027355456.1	3.00499631360143e-10
XM_027356797.1	3.00499631360143e-10
XM_027356798.1	3.00499631360143e-10
XM_027367223.1	3.00499631360143e-10
XM_027367236.1	3.00499631360143e-10
XM_027367239.1	3.00499631360143e-10
XM_027382986.1	3.00499631360143e-10
XM_027356801.1	3.22787290512849e-10
XM_027353008.1	3.72301251075369e-10
XM_027368031.1	3.72301251075369e-10
XM_027381155.1	4.89738972852454e-10
XR_003476908.1	5.04433657061125e-10
XM_027373336.1	5.32962135267088e-10
XM_027357870.1	5.43099562527359e-10
XM_027363209.1	5.43099562527359e-10
XM_027367243.1	5.43099562527359e-10
XM_027373337.1	5.43099562527359e-10
XM_027363214.1	5.74489248001126e-10
XM_027370783.1	5.77198694448762e-10
XM_027370790.1	7.51255926072238e-10
XM_027357161.1	8.88310844057136e-10
XM_027368450.1	8.88310844057136e-10
XM_027354936.1	1.1091208031194e-09
XM_027367246.1	1.6383323953277e-09
XM_027363007.1	1.67010031575866e-09
XM_027356799.1	1.71656881887082e-09
XM_027362845.1	1.71656881887082e-09
XM_027363210.1	1.71656881887082e-09
XM_027363559.1	1.73682959505505e-09
XM_027363562.1	1.73682959505505e-09
XM_027370370.1	1.73682959505505e-09
XM_027381865.1	1.73682959505505e-09
XM_027363561.1	1.86782986576095e-09
XM_027365734.1	1.86782986576095e-09
XM_027350690.1	1.89155682540737e-09
XM_027365636.1	1.89155682540737e-09
XM_027352301.1	1.9860508278143e-09
XM_027363208.1	1.9860508278143e-09
XM_027354939.1	2.01923479875134e-09
XM_027360043.1	2.01923479875134e-09
XM_027356800.1	2.06860512320294e-09
XM_027354938.1	2.09152965744957e-09
XM_027367224.1	2.15964032704325e-09
XM_027363560.1	2.23493080017172e-09
XM_027354940.1	2.33445172834892e-09
XM_027363224.1	2.33445172834892e-09
XM_027371495.1	2.36825637120218e-09
XM_027381851.1	2.36825637120218e-09
XM_027363225.1	2.41446775307471e-09
XM_027361148.1	2.41932851083245e-09
XM_027354432.1	2.56910206027849e-09
XM_027363223.1	2.56910206027849e-09
XM_027363229.1	2.56910206027849e-09
XM_027363563.1	2.56910206027849e-09
XM_027381853.1	2.56910206027849e-09
XM_027371770.1	2.60365267523495e-09
XM_027373341.1	2.60365267523495e-09
XM_027363217.1	2.67707103428888e-09
XR_003475816.1	2.67707103428888e-09
XR_003476216.1	2.67707103428888e-09
XM_027381854.1	2.97117754251866e-09
XM_027354937.1	3.2709202106129e-09
XR_003476755.1	3.2709202106129e-09
XM_027370962.1	3.27828640109516e-09
XM_027357709.1	3.30805313372796e-09
XM_027364463.1	3.30805313372796e-09
XM_027375879.1	3.30805313372796e-09
XR_003475626.1	3.30805313372796e-09
XM_027367222.1	3.47500588670135e-09
XM_027362399.1	3.67048094672834e-09
XM_027363227.1	3.76383417825715e-09
XM_027365815.1	3.85370107980981e-09
XM_027365705.1	3.9121705245813e-09
XM_027367242.1	4.0590131030082e-09
XM_027373331.1	4.0590131030082e-09
XM_027363219.1	4.20511090387903e-09
XM_027383691.1	4.22790017083803e-09
XM_027365884.1	4.39501480635809e-09
XM_027373333.1	4.39501480635809e-09
XR_003476140.1	4.7695740460114e-09
XM_027357706.1	4.79775771922965e-09
XM_027365728.1	4.86945931596548e-09
XM_027362996.1	5.16702594882571e-09
XM_027365763.1	5.16702594882571e-09
XM_027354682.1	5.25072229707906e-09
XM_027356611.1	5.25072229707906e-09
XM_027363564.1	5.25072229707906e-09
XM_027363212.1	5.39783568874426e-09
XM_027363215.1	5.39783568874426e-09
XM_027364372.1	5.39783568874426e-09
XM_027373334.1	5.39783568874426e-09
XM_027374011.1	5.39783568874426e-09
XM_027381855.1	5.39783568874426e-09
XM_027373332.1	5.6656674633268e-09
XR_003477589.1	5.6656674633268e-09
XM_027359148.1	5.74380868321948e-09
XM_027373338.1	5.74380868321948e-09
XM_027379534.1	5.74380868321948e-09
XM_027373339.1	5.8407038877463e-09
XM_027378454.1	5.8407038877463e-09
XM_027373340.1	5.96536550499908e-09
XM_027366152.1	6.04913305719301e-09
XM_027373330.1	6.07538401967661e-09
XM_027365822.1	6.10510999474868e-09
XM_027365662.1	6.24699739607054e-09
XM_027381668.1	6.24699739607054e-09
XM_027371767.1	6.32434925968987e-09
XM_027371784.1	6.36902970425342e-09
XM_027367206.1	6.52686410058656e-09
