ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_4	hep_5	gills_1	gills_2	gills_3	gills_4	gills_5	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	Expression
XM_027352296.1	-12.1400837769681	-0.842318705261547	-29.3178399669002	1.58937064639744e-12	1.48368054583915e-08	14.6251814805288	1398	943	1012	1204	1101	0	0	0	0	0	40.9452657199345	40.2997294362073	30.0577060396722	38.4046836841221	38.7484775737228	0	0	0	0	0	Up_hep_Down_gills
XM_027377569.1	-14.4159671625303	0.29612254104051	-28.8206989596894	1.94570837209874e-12	1.48368054583915e-08	14.5850486121449	4832	7334	5159	5462	4743	0	0	0	0	0	141.521834019116	313.423346431754	153.228957963111	174.224570002221	166.924640447018	0	0	0	0	0	Up_hep_Down_gills
XM_027379298.1	-12.8388308970621	-0.492870176357276	-28.4905693132254	2.22964566323571e-12	1.48368054583915e-08	14.512755959031	1556	1777	2376	2122	1431	0	0	0	0	0	45.5728422462218	75.9412716947405	70.570266354013	67.6866601143746	50.3624626775634	0	0	0	0	0	Up_hep_Down_gills
XM_027352856.1	-11.4347873219921	-1.19569821459211	-24.6742060469258	1.21625558777802e-11	1.74360866421962e-08	13.7539521002135	792	598	829	918	423	0	0	0	0	0	23.1964595494908	25.5559259839363	24.6223698684666	29.2819764302525	14.8870172694684	0	0	0	0	0	Up_hep_Down_gills
XM_027355865.1	-12.2588861653454	-0.783636518134388	-25.2650220205109	9.20516532019272e-12	1.74360866421962e-08	13.9115140717245	1742	1032	1335	1570	705	0	0	0	0	0	51.0204956252689	44.1032033702714	39.6512228883027	50.0791971628502	24.811695449114	0	0	0	0	0	Up_hep_Down_gills
XM_027357695.1	-12.5211385795177	-0.334263988837726	-23.7330920197053	1.92152435069036e-11	1.74360866421962e-08	13.5820858693757	2109	2459	1847	1937	1076	1	0	0	0	0	61.7693600882274	105.086993301838	54.8582836514571	61.7856082193891	37.8686302173712	0.0105955753452934	0	0	0	0	Up_hep_Down_gills
XM_027358232.1	-12.494220987645	-0.201211509604293	-24.0259961076969	1.66352021647471e-11	1.74360866421962e-08	13.6525072665534	2047	1767	2620	2362	1346	0	0	2	0	0	59.953475628545	75.5139150729355	77.8173812489537	75.3420787889504	47.3709816659681	0	0	0.030144712595736	0	0	Up_hep_Down_gills
XM_027359233.1	-13.0050933799639	-0.40860985913546	-24.007336986143	1.67878516098422e-11	1.74360866421962e-08	13.6489010502874	1830	3145	1954	1717	1853	0	0	0	0	0	53.5978800196568	134.403657557658	58.0363217406319	54.7681411010279	65.2142860527778	0	0	0	0	0	Up_hep_Down_gills
XM_027363991.1	-12.035393657244	-0.893168270875217	-24.3326060427578	1.43305314769339e-11	1.74360866421962e-08	13.7045397612172	1341	1331	888	999	785	0	0	0	0	0	39.2758235553878	56.8811663622395	26.3747460110958	31.8656802329219	27.627206989439	0	0	0	0	0	Up_hep_Down_gills
XM_027367228.1	-10.9154989036288	2.05980254031371	-24.3354248798138	1.43110178156351e-11	1.74360866421962e-08	13.8164756864371	6947	4050	6110	7181	4040	11	8	5	2	4	203.466924861506	173.079431831007	181.474885279049	229.056506258871	142.183332786412	0.116551328798228	0.138064656418599	0.0753617814893399	0.0353369899844895	0.103514767663338	Up_hep_Down_gills
XM_027368839.1	-11.8032990868832	-1.01014390432074	-23.7699831802346	1.88676765480106e-11	1.74360866421962e-08	13.5675852432283	1225	951	869	1051	519	0	0	0	0	0	35.8783623082402	40.6416147336512	25.8104214905881	33.52435427908	18.2656311178584	0	0	0	0	0	Up_hep_Down_gills
XM_027369553.1	-12.1263662548429	-0.531746026358896	-25.0329551260612	1.02618969856e-11	1.74360866421962e-08	13.86679290889	1347	1467	1690	1240	1226	0	1	0	0	0	39.4515543095506	62.6932164187869	50.1951810346304	39.5529964853084	43.1477143554806	0	0.0172580820523248	0	0	0	Up_hep_Down_gills
