ID	logFC
XM_027352296.1	-12.1400837769681
XM_027377569.1	-14.4159671625303
XM_027379298.1	-12.8388308970621
XM_027352856.1	-11.4347873219921
XM_027355865.1	-12.2588861653454
XM_027357695.1	-12.5211385795177
XM_027358232.1	-12.494220987645
XM_027359233.1	-13.0050933799639
XM_027363991.1	-12.035393657244
XM_027367228.1	-10.9154989036288
XM_027368839.1	-11.8032990868832
XM_027369553.1	-12.1263662548429
XM_027369645.1	-10.9989269179367
XM_027373827.1	-10.5664733919785
XM_027375922.1	-13.5830563439124
XM_027378226.1	-11.5696159271258
XM_027379362.1	-13.0908222223658
XM_027380251.1	-10.0357590756405
XM_027380431.1	-13.311822797155
XM_027380441.1	-11.3210283338062
XM_027380586.1	-12.2890967430685
XM_027381890.1	-10.1404992906846
XM_027370939.1	-12.252936141749
XM_027352295.1	-11.7592540972838
XM_027355619.1	-12.5254949579305
XM_027359091.1	-10.2285341362085
XM_027365595.1	-12.0864783620971
XM_027367879.1	-11.6915609804774
XM_027382405.1	-10.569570517031
XM_027351791.1	-9.94130257646372
XM_027355671.1	-12.1404590787447
XM_027352569.1	-12.2454580781255
XM_027353680.1	-13.0019708502514
XM_027358147.1	-9.52853593453622
XM_027359900.1	-12.9891842534722
XM_027363949.1	-12.5729197636479
XM_027352587.1	-10.9002260870044
XM_027358144.1	-9.83739439993437
XM_027358460.1	-12.2538432723176
XM_027363126.1	-10.6562321106777
XM_027365869.1	-13.1794879978389
XM_027372253.1	-12.0394706609689
XM_027375239.1	-11.3307746300501
XM_027378597.1	-12.1286263222453
XM_027380875.1	-11.5116018273463
XM_027380876.1	-11.0578319687979
XM_027381821.1	-10.2077980428393
XM_027382410.1	-9.8785974120445
XM_027369773.1	-11.3296393177183
XM_027361473.1	-9.36722852557346
XM_027351790.1	-9.57331865190336
XM_027381805.1	-10.2594970771601
XM_027369957.1	-11.2043440684992
XM_027362910.1	-13.4992835873101
XM_027352583.1	-10.6493277234922
XM_027351568.1	-10.7878404367558
XM_027352580.1	-10.6830272325068
XM_027358195.1	-11.1048638619957
XM_027360388.1	-12.4327733919308
XM_027362906.1	-8.78030822463559
XM_027365310.1	-12.959059324529
XM_027365519.1	-11.7309250509014
XM_027371253.1	-10.9033707798091
XM_027372202.1	-11.5653558583253
XM_027372986.1	-9.92464208166708
XM_027374911.1	-12.9038858025379
XM_027379361.1	-11.9560583740694
XM_027380885.1	-11.5506029568346
XM_027381891.1	-9.90550451256842
XM_027383549.1	-10.8978598878548
XM_027364525.1	-13.2339705333216
XM_027363240.1	-10.9453724674749
XM_027374915.1	-9.69183956391444
XM_027351567.1	-10.2861697740911
XM_027352297.1	-11.6310709178122
XM_027353720.1	-10.6838045606248
XM_027351217.1	-9.10241554463149
XM_027351847.1	-12.443146274014
XM_027352582.1	-10.3304811390497
XM_027353914.1	-13.4028840332511
XM_027357622.1	-9.78000591092151
XM_027363946.1	-10.0701116810237
XM_027365597.1	-10.9128580761164
XM_027366081.1	-10.67254189609
XM_027374916.1	-9.96611206442399
XM_027378756.1	-10.0856439904491
XM_027380544.1	-10.7207817992683
XM_027380981.1	-11.3685464773758
XR_003475003.1	-10.3297825544885
XR_003477837.1	-9.85898373894122
XM_027351610.1	9.22076417309898
XM_027352581.1	-10.5998230146278
XM_027355864.1	-11.5822071581925
XM_027358149.1	-9.38050829992857
XM_027360238.1	-7.45859374642404
XM_027363320.1	-11.5607489026774
XM_027365592.1	-11.905768437198
XM_027368181.1	-13.6436436824349
XM_027373518.1	-9.5028561364362
XM_027379449.1	-14.1316181203593
XM_027381942.1	-11.8594031723734
XR_003476748.1	-11.7028060425961
XM_027352116.1	-10.0364317536636
XR_003475024.1	-11.745254098903
XM_027352584.1	-9.92569790763855
XM_027352843.1	-10.4263754733153
XM_027354222.1	-12.2814626200326
XM_027354925.1	-12.1390248686401
XM_027355117.1	-9.46999764361706
XM_027355338.1	-11.1097872003571
XM_027357069.1	-10.7949674614433
XM_027359230.1	-12.6524452108038
XM_027359595.1	-12.3219244214393
XM_027360739.1	-9.79907739955749
XM_027361279.1	-8.97414490664847
XM_027361575.1	-9.26320163683984
XM_027362059.1	-12.4442738979544
XM_027362743.1	-8.76955340139426
XM_027364955.1	-9.90139058798253
XM_027365311.1	-12.2149440216657
XM_027365314.1	-11.9058854821878
XM_027365600.1	-13.0951745794334
XM_027366577.1	-12.9437940432407
XM_027367358.1	-9.73895578544187
XM_027368862.1	-8.74305623141165
XM_027370505.1	-13.0136663056278
XM_027371450.1	-13.4791903345389
XM_027372562.1	-11.3691424991787
XM_027372718.1	-9.76815996817293
XM_027374373.1	-11.8339874049482
XM_027374535.1	-11.4434175461508
XM_027374536.1	-11.2663639528254
XM_027374914.1	-9.60981822558957
XM_027375193.1	-11.1553678051612
XM_027375727.1	-9.83316426191463
XM_027375794.1	-11.4621847049189
XM_027376737.1	-9.8623127803944
XM_027376739.1	-10.0463871033154
XM_027376807.1	-13.7404527399645
XM_027377329.1	-12.7319850668309
XM_027378757.1	-10.0807393954239
XM_027380237.1	-11.6423789508956
XM_027382407.1	-10.769057694249
XM_027382409.1	-10.0978625060379
XM_027382895.1	-11.4254367970455
XM_027351588.1	-10.6480903994507
XM_027363415.1	-10.8254197589919
XM_027382408.1	-9.84553709227135
XR_003477669.1	-12.9544463749255
XM_027365596.1	-10.8256949463887
XM_027366120.1	9.20621991421544
XM_027367366.1	-9.32759346691909
XM_027369966.1	-9.82263318739338
XM_027379312.1	-10.5634477575007
XM_027356123.1	-12.6046489564173
XM_027369535.1	-11.8915298472692
XM_027369866.1	-13.3786861861524
XM_027377235.1	-12.994357427772
XM_027379383.1	-9.22303001235949
XM_027373793.1	-11.1880696706296
XM_027351587.1	-13.0218617435546
XM_027353363.1	-10.684236268292
XM_027356029.1	-12.4295713305591
XM_027360302.1	-11.7659215326174
XM_027372584.1	-10.8857306116431
XM_027380363.1	-12.3540402972506
XM_027380855.1	-12.4873491711348
XM_027380253.1	-11.7131238791344
XM_027361576.1	-9.21931776026418
XM_027377963.1	-13.1981840016846
XM_027360690.1	-11.2662952601933
XM_027372220.1	-13.5218686527958
XM_027374995.1	-7.59630525166608
XM_027370874.1	-11.9034117281649
XM_027350765.1	-11.4269970346824
XM_027353471.1	-11.3134819457855
XM_027355571.1	-12.793241295873
XM_027363321.1	-11.7374768991125
XM_027364536.1	-10.6532964016081
XM_027365380.1	-12.0454857371493
XM_027366679.1	-12.5479448370058
XM_027371447.1	-12.3784369895184
XM_027373824.1	-10.1419845537697
XM_027373828.1	-10.3289744460954
XM_027374921.1	-12.3491825613656
XM_027377227.1	-12.9480079724287
XM_027380822.1	-12.9207274973629
XM_027376806.1	-13.1173113892624
XM_027367368.1	-9.30927383213795
XM_027360832.1	-13.266501361398
XM_027376188.1	-9.46771755227098
XM_027356770.1	-13.0505538301036
XR_003475025.1	-11.0492687978912
XM_027361345.1	-12.205087077478
XM_027377275.1	-12.8337627630473
XM_027364702.1	9.86823510720441
XM_027367458.1	-11.6281813674696
XM_027376740.1	-9.61382862155836
XM_027379160.1	-9.82404862610675
XR_003476604.1	-9.89878362227827
XM_027367359.1	-9.23544355411204
XM_027383544.1	-9.91099306374285
XM_027354900.1	-9.29671701679873
XM_027360500.1	-12.7195465840974
XM_027374593.1	-12.299977025921
XM_027379428.1	-11.5971109981853
XR_003477303.1	-8.16115833298477
XM_027377212.1	-12.575412633636
XM_027373825.1	-10.315596805931
XM_027375831.1	-13.1108348401224
XM_027357750.1	-11.8106355250316
XM_027367016.1	-11.8779946408139
XM_027377298.1	-12.7092510495766
XM_027376857.1	-9.34377781482651
XM_027373834.1	-9.57414537354811
XM_027379363.1	-13.4721301445193
XM_027375771.1	-11.8402644656165
XM_027369766.1	-13.3748213752645
XM_027350759.1	-10.8450555271087
XM_027381683.1	10.1642737612163
XM_027378234.1	-11.6313831194886
XM_027363955.1	-12.3556938933746
XM_027369687.1	-12.051715828666
XM_027380833.1	-10.8385072699262
XM_027381833.1	-9.65986617991554
XM_027379161.1	-11.4033870122825
XM_027360143.1	-13.336216182461
XM_027360680.1	-11.558642189796
XM_027362687.1	-10.3817574056073
XM_027378319.1	-10.9521780332128
XM_027369236.1	-11.6784619245394
XM_027376738.1	-10.1214921988344
XM_027356912.1	-13.484977749607
XM_027372613.1	-9.98880215798037
XM_027373415.1	-9.66137721596315
XM_027377290.1	-13.2156040457972
