ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	hep_1	hep_2	hep_3	hep_4	hep_5	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027350596.1	5.57304842349327	-1.82833376896056	7.19324639348367	1.20129227060778e-05	8.65441396547743e-05	3.66645506896387	0	4	0	0	0	201	135	272	156	185	0	0.41040960705562	0	0	0	1.79122167994246	1.77802145237627	2.58187302423249	1.58002238155673	2.0924396134745	Down_muscle_Up_hep
XM_027350619.1	-2.47948310874106	5.93019685820405	-5.12876259171315	0.000262976232458681	0.00104932356804372	0.440261054754748	5141	2740	3501	2335	1311	2245	2162	2889	2806	2314	67.1044127060739	281.1305808331	290.764355893543	200.721468729949	55.4343325750649	20.0064312013474	28.474684296574	27.422908702234	28.4201461708217	26.172460895027	Up_muscle_Down_hep
XM_027350629.1	5.53999878515775	-2.03461682900283	8.81909673516372	1.54123204862207e-06	2.14404554296256e-05	5.53786748860949	2	0	0	0	0	348	64	254	227	71	0.0261055875145201	0	0	0	0	3.101219624975	0.84291387371912	2.41101377998181	2.29913513213704	0.803044392198321	Down_muscle_Up_hep
XM_027350630.1	7.38181877279921	0.246223540941574	10.8169054839311	1.77271767474899e-07	6.25257904369167e-06	7.45761466564037	2	1	3	0	2	1051	1280	2060	2938	798	0.0261055875145201	0.102602401763905	0.249155403507749	0	0.0845680130817161	9.36603972945037	16.8582774743824	19.5538912864666	29.7570881859851	9.02576654893325	Down_muscle_Up_hep
XM_027350644.1	-8.49190308596191	3.62703809391611	-10.207000253465	3.30727630290426e-07	8.5631071154814e-06	7.14188317367907	6062	2550	4158	3106	7657	21	37	43	37	798	79.1260357565104	261.636124497958	345.32938926174	266.998236349131	323.76863808335	0.187142563576078	0.487309583243866	0.4081637501544	0.374748898189737	9.02576654893325	Up_muscle_Down_hep
XM_027350645.1	-8.94024807373921	3.34624149245541	-9.8504771608828	4.83005828279494e-07	1.03394148290869e-05	6.75126072540783	5636	2411	4126	3059	7211	14	29	37	15	745	73.5655456159176	247.374390652775	342.671731624324	262.958018348999	304.909971166128	0.124761709050718	0.381945349028976	0.351210668737507	0.151925228995839	8.42631087588379	Up_muscle_Down_hep
XM_027350660.1	-7.46728408783334	3.0940357617148	-7.89075004792724	4.79911934079862e-06	4.51322617012062e-05	4.57489713263766	1279	2291	3777	2484	1585	62	37	38	37	270	16.6945232155356	235.062102441106	313.686653016256	213.529819411218	67.02015036726	0.552516140081753	0.487309583243866	0.360702848973656	0.374748898189737	3.05383078723305	Up_muscle_Down_hep
XM_027350677.1	-1.53914519773506	6.37681942679921	-3.57571944720493	0.00390769947948457	0.0101890945375913	-2.29543897212947	3419	1961	2574	1883	4289	3821	4299	5281	4352	5777	44.6275018560721	201.203309859018	213.775336209649	161.866606260597	181.35610405374	34.0510350201997	56.6201053612265	50.1282038271021	44.0785731059929	65.3406683623902	Up_muscle_Down_hep
XM_027350703.1	-1.56130204719135	8.45503332476128	-3.56359388616929	0.00399497297689415	0.0103833536771577	-2.30770419543386	22652	10212	12654	9906	6652	16949	14828	26320	25602	16800	295.671884189454	1047.775726813	1050.93749199569	851.540415091594	281.273211509788	151.041871907188	195.292608117298	249.834183815438	259.305980850099	190.016137872279	Up_muscle_Down_hep
XM_027350704.1	-1.63174515630441	7.77961841210516	-4.73087875747666	0.000510145137181534	0.00181191785289903	-0.229227061278972	19904	5214	6768	5616	5373	13927	8538	16174	16129	7731	259.802806944504	534.968922797	562.094590313482	482.763069973187	227.19196714403	124.111165853525	112.449978965841	153.526523139471	163.360134564926	87.4413548744398	Up_muscle_Down_hep
XM_027350705.1	-1.76486266375922	7.5881872325455	-5.33414978000675	0.000188411645400882	0.000794495164475709	0.785937293777037	18860	4971	5892	5045	4940	13541	8240	11389	11848	6505	246.175690261924	510.036539168372	489.341212489219	433.678719375842	208.882992311839	120.671307303984	108.525161241337	108.106440709499	120.000674209514	73.5747010035223	Up_muscle_Down_hep
XM_027350706.1	10.1729709171653	3.93216672083578	7.3773969799572	9.37509267908107e-06	7.22524007153465e-05	3.91556852972233	10	98	258	0	0	62219	44554	60850	48971	24116	0.1305279375726	10.0550353728627	21.4273647016664	0	0	554.467769673332	586.799761401276	577.599167369657	495.995359277017	272.763641721897	Down_muscle_Up_hep
XM_027350707.1	9.25585206647702	3.613339219834	7.96023716581331	4.39360437074793e-06	4.23874437094763e-05	4.63047583463093	12	60	119	2	0	42604	26632	31202	26834	13611	0.15663352508712	6.1561441058343	9.88316433914072	0.171924170218372	0	379.667703742629	350.757535701369	296.175007728316	271.784106324957	153.947003129737	Down_muscle_Up_hep
XM_027350709.1	7.82709781180527	0.540240571949783	5.92480968756921	7.4651268111016e-05	0.000370295796060134	1.93330249126376	2	4	7	0	0	3052	5288	2393	4252	236	0.0261055875145201	0.41040960705562	0.581362608184748	0	0	27.1980525730566	69.6457588160422	22.7147873051042	43.0657382460206	2.66927431772963	Down_muscle_Up_hep
XM_027350712.1	9.37058485796423	2.6315849111408	7.59509722969712	7.03066555576875e-06	5.9201772106059e-05	4.1793225331109	4	37	55	0	0	27875	19952	19452	7377	8662	0.0522111750290402	3.79628886526448	4.56784906430874	0	0	248.409474270627	262.778400131935	184.641889953567	74.7168276201538	97.9714158481952	Down_muscle_Up_hep
XM_027350715.1	9.71897307531214	3.26368340251554	7.76081802638595	5.66888889462368e-06	5.05186228240994e-05	4.38278049160849	11	33	120	0	0	38011	32167	27308	34723	9618	0.14358073132986	3.38587925820886	9.96621614030997	0	0	338.736951623347	423.656415248796	259.212457888753	351.686648428169	108.78423893188	Down_muscle_Up_hep
XM_027350720.1	5.03861087113621	0.0523088588312858	4.77754843013101	0.00047146755402303	0.001695281386204	0.142026928569589	6	4	0	2	13	307	2031	706	186	685	0.0783167625435602	0.41040960705562	0	0.171924170218372	0.549692085031155	2.73584604846933	26.7493449613052	6.70147924672109	1.88387283954841	7.74768181205423	Down_muscle_Up_hep
XM_027350721.1	7.09484682678452	-0.957752111137973	5.69023183893988	0.000107193045653189	0.000496803721816003	1.58494438494166	0	0	6	0	0	1789	1230	449	101	621	0	0	0.498310807015498	0	0	15.9427641065525	16.1997510105393	4.26198892603083	1.02296320857199	7.02381081063602	Down_muscle_Up_hep
XM_027350736.1	-8.31764388215678	1.87100068537305	-7.33981210311122	9.85835664771103e-06	7.47653353972861e-05	3.87445554849919	890	1140	1987	1413	980	4	16	12	15	206	11.6169864439614	116.966738010852	165.023928923299	121.46442625928	41.4383264100409	0.0356462025859196	0.21072846842978	0.113906162833786	0.151925228995839	2.32995978581485	Up_muscle_Down_hep
