ID	logFC
XM_027365884.1	-13.5959891860399
XM_027365885.1	-13.6533806306357
XM_027367223.1	-12.7728845739205
XM_027367224.1	-12.6209638659498
XM_027367225.1	-12.7426944325313
XM_027370962.1	-12.8401246822766
XM_027367222.1	-12.6189922952271
XM_027367243.1	-13.5707058389064
XM_027368559.1	-15.8004302419167
XM_027378454.1	-11.7871668760044
XM_027368558.1	-13.4247815460849
XM_027374011.1	-12.5238251089595
XM_027381851.1	-7.39878886035169
XM_027381853.1	-6.70387528993641
XR_003476719.1	-13.5894659814168
XM_027381854.1	-6.55765857309301
XM_027361474.1	7.84709458093935
XM_027381865.1	-6.34164200760413
XR_003476287.1	-11.1259034863652
XM_027375602.1	-7.81745826801323
XM_027355469.1	-13.7973719697976
XM_027359148.1	-6.57945185381118
XM_027361441.1	-9.53730331980149
XR_003476289.1	-10.5887806822194
XM_027375601.1	-7.85816806946738
XM_027367206.1	-12.4229063345483
XM_027373336.1	-10.5199698855177
XM_027381855.1	-5.89920450134485
XM_027354682.1	-10.1939317720149
XR_003476288.1	-10.7567572964116
XM_027361345.1	8.4081194861801
XM_027378597.1	9.57420153433535
XM_027381669.1	-8.28168188040846
XM_027368554.1	-14.5203438461456
XR_003476718.1	-13.3165081220249
XM_027369645.1	7.20173393933246
XM_027359641.1	-9.91833158781022
XM_027367205.1	-12.3619912375519
XM_027371495.1	-11.7011922611196
XM_027373337.1	-10.3667592612876
XM_027380253.1	8.62351009099246
XM_027381145.1	9.1657340255639
XM_027358886.1	-15.5340527612818
XM_027381668.1	-14.1234492534012
XM_027365863.1	-10.2922927780021
XM_027365875.1	-11.1590427494407
XM_027363969.1	8.34041337588324
XM_027381866.1	-5.47341728284078
XM_027381890.1	6.34105456788662
XM_027369977.1	-9.55435203201515
XM_027367241.1	-14.1466160696537
XM_027370936.1	-13.6743226779104
XM_027359642.1	-10.3242156730451
XM_027372676.1	-9.82610889724404
XM_027378519.1	9.24944676512521
XM_027382405.1	6.53983490152842
XM_027368553.1	-15.9627974030746
XM_027373341.1	-6.72877135853829
XM_027374288.1	8.00957573644504
XM_027365225.1	-10.5811806857515
XM_027371539.1	-11.954610306703
XM_027373320.1	-7.31860337020054
XM_027364536.1	7.70867558686555
XM_027377569.1	9.69014203259844
XM_027373319.1	-7.81006561450717
XM_027383691.1	-7.70814453733548
XM_027351791.1	6.14391093967957
XM_027359643.1	-10.534724238115
XM_027365867.1	-11.9978900678227
XM_027367239.1	-11.2569085426259
XM_027373317.1	-8.11300926375827
XM_027373343.1	-7.74691954901833
XM_027352296.1	7.55922320356796
XM_027354135.1	-15.1225019413846
XM_027367242.1	-13.5344677558854
XM_027373313.1	-8.18039757901167
XR_003477680.1	6.52214795644627
XM_027361448.1	-5.46334630894878
XM_027363241.1	8.50591468731158
XM_027367879.1	8.3612952378889
XM_027373323.1	-7.12703759859971
XM_027376858.1	7.46590079977419
XM_027352295.1	7.68367406478466
XM_027355864.1	7.92973972234887
XM_027352569.1	7.66415008698056
XM_027363970.1	7.50427424412507
XM_027373316.1	-8.28283500672211
XM_027373322.1	-7.40169829647637
XM_027373345.1	-7.58050112885124
XR_003475816.1	-14.2804488314393
XM_027354137.1	-14.4286849817207
XM_027361149.1	-9.00242112209629
XR_003475500.1	-15.4725987571994
XM_027365839.1	-9.76470208587097
XM_027373315.1	-7.96245075446018
XM_027365741.1	-11.7404022520602
XM_027365792.1	-10.3481288691675
XR_003475003.1	6.68152226994356
XM_027359178.1	9.3425018720279
XM_027362910.1	9.38211152707496
XM_027365861.1	-5.5628466022733
XM_027370505.1	9.43832072984036
XM_027370874.1	8.10784559082233
XM_027371430.1	-4.24689722779617
XM_027371537.1	-11.6418169438475
XM_027373325.1	-6.98614405973246
XM_027376863.1	7.20009721549549
XM_027383692.1	-7.59088627209039
XR_003475025.1	7.70338903504807
XM_027367963.1	8.53750229843247
XM_027373318.1	-7.77640659001099
XM_027356628.1	-8.77386375425019
XM_027362345.1	-7.92260964581843
XM_027365800.1	-10.3649189159868
XM_027367236.1	-16.0112804396491
XM_027373339.1	-8.13171985628875
XR_003476211.1	8.0499919908263
XM_027373324.1	-7.17131625396684
XM_027378603.1	7.83832104501148
XM_027381741.1	5.77618670373296
XM_027356629.1	-6.20670821501007
XM_027366518.1	-7.04390657721621
XM_027371429.1	-4.27569579077366
XM_027373824.1	7.27408378524689
XM_027365681.1	-10.7739119210019
XM_027365845.1	-10.1584213042461
XM_027371253.1	7.88669882949084
XM_027374536.1	7.34366286093734
XR_003477591.1	-18.2636214357499
XM_027356631.1	-6.44241182680338
XM_027362058.1	8.05024191283228
XM_027362706.1	-11.8833468024587
XM_027366312.1	-7.26030682346177
XM_027370793.1	-9.45286315241404
XM_027375603.1	-8.33796094775974
XM_027375615.1	-8.60671715961777
XR_003476575.1	-10.9746970488441
XM_027369766.1	8.19035704775088
XR_003476174.1	-10.7071345381487
XM_027356093.1	8.57225623027531
XM_027363415.1	7.81522984165215
XM_027365833.1	8.09112005300634
XM_027369687.1	9.29478716451846
XM_027378230.1	7.90433967825069
XR_003476604.1	7.02822316472008
XM_027351358.1	5.55274896838853
XM_027369774.1	6.82822345170172
XM_027350813.1	-5.2407456873339
XM_027381944.1	6.93259257060242
XM_027383714.1	-9.38950794836571
XM_027351876.1	4.91543588097695
XM_027362059.1	9.10864129947399
XM_027360739.1	6.78010116238414
XM_027382406.1	6.03044307908111
XM_027354150.1	6.73233693267504
XM_027356510.1	-11.0405505211898
XM_027357866.1	5.08648467180684
XR_003475626.1	-10.0045809639321
XM_027365697.1	-10.4304172572061
XR_003476717.1	-15.4424482764587
XM_027353713.1	9.45619186769839
XM_027373519.1	-5.82351841615673
XM_027375272.1	-6.73887062564866
XM_027373338.1	-8.57460983742059
XM_027381942.1	8.7143323483252
XM_027373312.1	-8.70093209756418
XM_027359091.1	6.89590732332043
XM_027365747.1	-12.0216978439718
XM_027356630.1	-6.63730662339965
XM_027371496.1	-10.5543354719509
XM_027380421.1	7.96349999072848
XM_027355456.1	-11.1269863490404
XM_027364464.1	6.6705552561957
XM_027365860.1	-5.11085935724317
XM_027383549.1	7.56115152274123
XM_027375270.1	-6.88319544855997
XM_027358460.1	8.60039816652953
XM_027362049.1	-14.2168553433262
XM_027362057.1	8.27666612927333
XM_027366220.1	7.03389789776837
XM_027376680.1	4.35124749152255
XM_027360508.1	8.40724673745432
XM_027362845.1	-12.0793544731948
XM_027364268.1	5.60794542089179
XM_027367228.1	7.68923578208049
XM_027356799.1	-10.6725006121238
XM_027361439.1	-5.30088466701371
XM_027358029.1	6.35406292620541
XM_027363486.1	7.86054064363334
XM_027373774.1	5.4350042430567
XM_027361824.1	7.64806889165909
XM_027360217.1	6.15087206350689
XR_003475609.1	-12.1404023989717
XM_027364398.1	5.40540781316931
XM_027368571.1	-3.67668592527646
XM_027373829.1	6.98924254431433
XM_027381821.1	6.87653866553694
XM_027357536.1	-5.05955592364034
XM_027366516.1	-6.47735155811406
XM_027373327.1	-6.33988561692254
XM_027374285.1	7.60719363171727
XM_027364397.1	5.37173982354324
XM_027352297.1	7.09172091365626
XM_027357537.1	-5.13913853105647
XM_027359753.1	6.66242112697441
XM_027362751.1	6.55313696117859
XM_027362890.1	5.84095975864797
XM_027365655.1	-10.0493320381427
XM_027365712.1	-10.7787462756473
XM_027369414.1	5.26994831084223
XM_027372202.1	7.41025455275605
XM_027372253.1	8.70302046151531
XM_027373335.1	-8.61041095389785
XM_027377836.1	7.38971683451802
XM_027379438.1	3.84927145322326
XM_027380544.1	7.39061573503034
XR_003476759.1	5.94870076936721
XM_027375907.1	9.07260041931448
XM_027360996.1	-8.56244659464354
XM_027362996.1	-4.28661799936247
XM_027363991.1	7.28839069832546
XM_027365755.1	-11.7478963438042
XM_027370937.1	8.8506576410566
XM_027371152.1	-6.54488376743323
XM_027373862.1	4.5446541806247
XM_027375219.1	-12.1511028351945
XM_027373235.1	4.32905769139008
XM_027365647.1	-10.7992628626792
XM_027366679.1	8.21022795843227
XM_027368222.1	7.7648881378364
XM_027373552.1	4.90053425268543
XM_027360999.1	-8.4159181600851
XM_027365273.1	4.2082558228243
XM_027379918.1	10.0266389192703
XM_027357161.1	-6.61090805233183
XM_027370338.1	6.36523089675911
XM_027356611.1	-9.35315841241612
XM_027357535.1	-4.92795799259736
XM_027357843.1	8.51051700716832
XM_027360302.1	8.0077895839914
XM_027361473.1	6.5172486953589
XM_027365290.1	3.64138517247033
XM_027371490.1	-15.5033841967107
XM_027373333.1	-8.51987827286662
XM_027379363.1	8.11437778091817
XM_027361534.1	-4.03271967817447
XM_027365721.1	-10.916226271656
XM_027358429.1	-4.12133744358361
XM_027378553.1	-11.7107846220996
XM_027354940.1	-5.561734815992
XM_027370157.1	5.36401307025139
XM_027369773.1	7.17722504103663
XM_027366310.1	-7.18059386071271
XM_027382188.1	7.31100353501146
XM_027365675.1	-11.1701008571727
XM_027365822.1	-8.10461703499986
XM_027368290.1	6.26550257326621
XM_027371800.1	5.17699429892223
XM_027377147.1	5.37229089977224
XM_027381055.1	8.96837096843509
XM_027366682.1	8.65782441592122
XM_027373328.1	-6.62694754789136
XM_027353719.1	9.11989089922012
XM_027362142.1	6.05859177633591
XM_027352581.1	7.27243845002888
XM_027355352.1	8.96812130667632
XM_027362906.1	5.55888768378235
XM_027369068.1	6.91650853064277
XM_027375613.1	-7.57603364328392
XM_027357752.1	7.35188871490256
XR_003477590.1	-18.1211912879091
XM_027355338.1	8.26182476275295
XM_027354937.1	-5.75494615410847
XM_027352582.1	7.00133836635628
XM_027353577.1	7.99389701137574
XM_027363007.1	-4.44666129806387
XM_027377619.1	6.18258859108944
XM_027366311.1	-7.93101940022974
XR_003476216.1	-4.22172345126286
XM_027378234.1	8.3022280722382
XM_027383660.1	-9.83026736121203
XM_027365807.1	-8.05461701280574
XM_027365880.1	-10.7864609694949
XM_027378233.1	7.08504364211288
XM_027374917.1	-3.2673006734994
XM_027361148.1	-10.4529425401407
XM_027358147.1	6.19321815618424
XM_027369519.1	5.6383741382888
XM_027373329.1	-6.18806792303099
XM_027373331.1	-8.63240148773814
XM_027351485.1	8.18021240796969
XM_027356554.1	5.98368429353616
XM_027371493.1	-11.7497039159757
XM_027373863.1	4.75776419206735
XR_003476140.1	-15.7981541273716
XM_027354936.1	-5.62977443284538
XM_027372138.1	9.15358415286159
XM_027381154.1	-4.25464875391042
XM_027373330.1	-8.52523796076494
XM_027381891.1	6.57151370746513
XM_027354938.1	-5.65778859442244
XM_027358146.1	6.18848535058805
XM_027358655.1	-5.07939023531946
XM_027373383.1	-9.51667350384628
XM_027360998.1	-10.1204112573321
XM_027373334.1	-8.58592281422595
XM_027359446.1	-8.17471780462781
XM_027351790.1	6.23975141581565
XM_027353471.1	7.85314246095978
XM_027358803.1	6.54245886200177
XM_027366515.1	-6.51198019482587
XM_027375217.1	-11.6607105995936
XM_027382423.1	5.99533174805517
XM_027361621.1	5.04337599005865
XM_027355466.1	7.55456014621856
XM_027371808.1	4.59236235996626
XM_027371491.1	-15.8645043360456
XM_027367246.1	-12.5016466837745
XM_027368950.1	4.64231559152411
XM_027371492.1	-15.2472013563461
XM_027380095.1	8.27181910436882
XM_027353808.1	-9.68448353934144
XM_027371486.1	-9.91206068143127
XM_027374916.1	6.63179763378683
XM_027376864.1	7.08894587941563
XM_027364575.1	-14.6253562207842
XM_027359229.1	9.11909366073151
XM_027379312.1	7.23446902481996
XM_027365313.1	8.91046530789815
XM_027366306.1	-6.49281391034469
XM_027381155.1	-4.36028188021658
XM_027354134.1	-16.928199654644
XM_027356399.1	-10.4895692864592
XM_027369649.1	6.28115992680034
XM_027372105.1	6.41529413234062
XM_027374535.1	7.27487383700555
XM_027382407.1	6.03231855978071
XM_027367821.1	7.88413023440607
XM_027354133.1	-16.9332769026371
XM_027366979.1	4.72928957476754
XM_027374373.1	7.40200027791296
XM_027374915.1	6.35792630402897
XM_027365780.1	-9.22356791018596
XM_027370786.1	-8.59637212163528
XM_027365249.1	8.69140426504336
XM_027366152.1	-9.6964507099065
XM_027369412.1	5.27910391813205
XM_027371819.1	8.14243976509814
XM_027373332.1	-8.52135619485645
XM_027354939.1	-5.65558846133063
XM_027369863.1	5.89741701642555
XM_027366514.1	-6.31256429955443
XM_027371797.1	-3.54538017668657
XM_027371798.1	-3.46093271292672
XM_027371816.1	5.03562814484044
XM_027372900.1	6.35332700478216
XM_027354132.1	-12.6752953559315
XM_027370131.1	-9.1720353312778
XR_003477682.1	5.54883361614905
XR_003477731.1	-5.4177696171603
XM_027350951.1	-7.16724533824637
XM_027358620.1	8.80418038937474
XM_027362105.1	7.45102060589791
XM_027367186.1	-4.66405171007304
XM_027353954.1	6.53792946575679
XM_027357358.1	-9.62248317321907
XM_027366309.1	-5.54541879664803
XM_027366313.1	-8.38854699625448
XR_003476212.1	-4.09770406735765
XM_027367234.1	-14.1665643618647
XM_027353363.1	7.34775203119363
XM_027381844.1	7.23406704395932
XM_027351567.1	7.41767750412697
XM_027356800.1	-9.56717418198081
XM_027371933.1	7.44890809802376
XM_027372509.1	7.09106526887562
XM_027375169.1	5.18245895659406
XM_027375218.1	-11.8551858204997
XM_027375271.1	-7.03826836173818
XM_027379514.1	8.58141562356868
XM_027358148.1	6.08119945928045
XM_027360680.1	7.45307018140047
XM_027367016.1	10.6051915127947
XM_027368951.1	4.06717417131658
XM_027369796.1	-5.80609491277655
XM_027375912.1	6.36712904292698
XM_027366462.1	-10.9721631935245
XM_027365831.1	-8.50896504145118
XM_027367238.1	-15.6316185579751
XM_027365226.1	-9.86961250000684
XM_027356801.1	-9.51171719791047
XM_027356802.1	-10.0029436433991
XM_027357833.1	7.33444732093696
XM_027366513.1	-6.11508460176022
XM_027367441.1	7.3968885096332
XM_027367822.1	6.83552934520514
XM_027369155.1	7.34596855167436
XM_027371447.1	8.51333211557116
XM_027372718.1	6.43519798544526
XM_027374304.1	7.14684543724871
XM_027379807.1	7.77053556662316
XM_027380874.1	8.16148020397991
XR_003476748.1	7.8084590875003
XM_027365598.1	7.40345715992649
XM_027378231.1	6.92876645541867
XM_027355571.1	9.59075850136154
XM_027366308.1	-6.48790938734441
XM_027365785.1	-11.0365965899923
XM_027373775.1	-3.27771820687283
XM_027369550.1	8.18368599322059
XM_027356405.1	7.8801439548025
XM_027379161.1	7.50003254685064
XM_027366411.1	4.52383696364232
XM_027358232.1	7.71783448927645
XM_027370700.1	5.76241590196977
XM_027373988.1	-10.3643039969962
XM_027357721.1	7.96022471846224
XM_027353370.1	7.51309772426512
XM_027377963.1	8.66547967808435
XM_027372143.1	8.74815542416318
XM_027351601.1	8.71824363129946
XM_027365593.1	7.64262975103964
XM_027359032.1	5.47619914767289
XM_027364396.1	5.62961411416211
XM_027365869.1	9.54566973362743
XM_027368839.1	7.37079765341788
XR_003476379.1	-10.8218503212743
XM_027363126.1	7.00953165711459
XM_027381836.1	7.85650712018986
XM_027376627.1	5.20315307943747
XM_027360275.1	-5.9687883318629
XM_027366461.1	-11.757518434759
XM_027377192.1	10.1967727102502
XM_027362705.1	-11.9415662327766
XM_027371783.1	5.7117425454596
XM_027380910.1	5.70680867857234
XM_027352584.1	6.59467498013054
XM_027350780.1	-3.88927228795833
XM_027355671.1	8.48642064743471
XM_027367881.1	3.76730787667261
XM_027367358.1	6.40677647726029
XM_027370553.1	-8.81960794439983
XM_027362357.1	-3.69798693934133
XM_027375614.1	-7.41886325115294
XM_027359900.1	8.94703026946731
XM_027378758.1	6.64589434823116
XM_027364020.1	7.17242174694117
XM_027367406.1	-4.63507156218487
XM_027377631.1	6.17348097796304
XM_027379706.1	6.20506961781698
XM_027359992.1	3.84363104480267
XM_027365592.1	8.42195769487076
XM_027383718.1	-10.3928695971104
XM_027364872.1	9.17614789066192
