ID	adj.P.Val
XM_027365884.1	1.3819228088177e-08
XM_027365885.1	1.3819228088177e-08
XM_027367223.1	1.3819228088177e-08
XM_027367224.1	1.3819228088177e-08
XM_027367225.1	1.3819228088177e-08
XM_027370962.1	1.3819228088177e-08
XM_027367222.1	5.53556139771193e-08
XM_027367243.1	5.53556139771193e-08
XM_027368559.1	1.51863753931875e-07
XM_027378454.1	1.51863753931875e-07
XM_027368558.1	2.98383728996639e-07
XM_027374011.1	2.98383728996639e-07
XM_027381851.1	2.98383728996639e-07
XM_027381853.1	2.98383728996639e-07
XR_003476719.1	2.98383728996639e-07
XM_027381854.1	3.02445424325948e-07
XM_027361474.1	3.37873681759743e-07
XM_027381865.1	3.37873681759743e-07
XR_003476287.1	3.37873681759743e-07
XM_027375602.1	3.56178130900152e-07
XM_027355469.1	3.64476483705518e-07
XM_027359148.1	3.78663057697556e-07
XM_027361441.1	3.78663057697556e-07
XR_003476289.1	3.78663057697556e-07
XM_027375601.1	4.94540429081573e-07
XM_027367206.1	5.80313649758947e-07
XM_027373336.1	5.80313649758947e-07
XM_027381855.1	5.88504723883546e-07
XM_027354682.1	5.96369859533761e-07
XR_003476288.1	6.12625667220095e-07
XM_027361345.1	6.43854803628884e-07
XM_027378597.1	6.43854803628884e-07
XM_027381669.1	6.43854803628884e-07
XM_027368554.1	6.94613242913652e-07
XR_003476718.1	7.09636093201314e-07
XM_027369645.1	7.25650415624016e-07
XM_027359641.1	8.79831382563928e-07
XM_027367205.1	8.79831382563928e-07
XM_027371495.1	8.79831382563928e-07
XM_027373337.1	8.79831382563928e-07
XM_027380253.1	8.79831382563928e-07
XM_027381145.1	8.9951553345576e-07
XM_027358886.1	9.32670471724006e-07
XM_027381668.1	9.32670471724006e-07
XM_027365863.1	9.43743565582368e-07
XM_027365875.1	9.43743565582368e-07
XM_027363969.1	9.55012567063955e-07
XM_027381866.1	9.64471148965046e-07
XM_027381890.1	9.8330693041555e-07
XM_027369977.1	1.00530789057372e-06
XM_027367241.1	1.06622309838682e-06
XM_027370936.1	1.0665999162495e-06
XM_027359642.1	1.1185928768264e-06
XM_027372676.1	1.1185928768264e-06
XM_027378519.1	1.1185928768264e-06
XM_027382405.1	1.1185928768264e-06
XM_027368553.1	1.14259709986547e-06
XM_027373341.1	1.14259709986547e-06
XM_027374288.1	1.16455881750981e-06
XM_027365225.1	1.25995893380669e-06
XM_027371539.1	1.25995893380669e-06
XM_027373320.1	1.27209159110252e-06
XM_027364536.1	1.27452234773566e-06
XM_027377569.1	1.33520889298469e-06
XM_027373319.1	1.35395814913498e-06
XM_027383691.1	1.38858503991082e-06
XM_027351791.1	1.42601313671769e-06
XM_027359643.1	1.42601313671769e-06
XM_027365867.1	1.42601313671769e-06
XM_027367239.1	1.42601313671769e-06
XM_027373317.1	1.42601313671769e-06
XM_027373343.1	1.42601313671769e-06
XM_027352296.1	1.4784519905072e-06
XM_027354135.1	1.54455338429631e-06
XM_027367242.1	1.54455338429631e-06
XM_027373313.1	1.54455338429631e-06
XR_003477680.1	1.54455338429631e-06
XM_027361448.1	1.60247290360075e-06
XM_027363241.1	1.60247290360075e-06
XM_027367879.1	1.60247290360075e-06
XM_027373323.1	1.60247290360075e-06
XM_027376858.1	1.60247290360075e-06
XM_027352295.1	1.71718832064719e-06
XM_027355864.1	1.71923937452863e-06
XM_027352569.1	1.72170837458082e-06
XM_027363970.1	1.72170837458082e-06
XM_027373316.1	1.72170837458082e-06
XM_027373322.1	1.72170837458082e-06
