ID	logFC
XM_027360707.1	-18.7634743697626
XM_027367844.1	-17.889779443489
XM_027376192.1	-18.2737502197895
XM_027353517.1	-16.843487692547
XM_027366982.1	-16.6111464823985
XM_027380767.1	-18.9319581638088
XM_027356379.1	-16.4459848599318
XM_027367725.1	-15.9133292190752
XM_027356202.1	-15.4879597136923
XM_027364776.1	-16.0350786704971
XM_027366999.1	-16.7914966329429
XM_027375757.1	-15.4443375296061
XM_027376193.1	-16.6277552949582
XM_027378554.1	-16.7377248094611
XM_027380768.1	-17.9008028573816
XM_027369058.1	-16.6765722237307
XM_027370165.1	-15.2974935634362
XM_027378198.1	-18.4522547457994
XM_027383523.1	-17.8833775040537
XM_027364568.1	-13.9323020324493
XM_027367113.1	-17.6402478475144
XM_027372262.1	-14.080986641632
XM_027373306.1	-15.1502418421432
XR_003476577.1	-17.9627907185585
XM_027374557.1	-12.8423603623676
XM_027373947.1	-17.6299601425618
XM_027357912.1	-13.5092969581326
XM_027354978.1	-15.5066327840782
XM_027364476.1	-16.1877706873197
XR_003477587.1	-17.9953911039024
XM_027367006.1	-19.1118122806681
XM_027360708.1	-17.7572467205448
XM_027356425.1	-12.2335854864962
XM_027368722.1	-12.4037546988504
XM_027373951.1	-17.8938139848855
XM_027378200.1	-18.2084443440529
XM_027375755.1	-19.5595938610924
XM_027352222.1	-13.1935498991948
XM_027375819.1	-12.1880577283462
XR_003477394.1	-18.1267198891339
XM_027373955.1	-17.8436743891494
XM_027375820.1	-12.0002130596069
XR_003477486.1	-18.7866753732873
XM_027355088.1	-13.3017350012722
XM_027353111.1	-16.3413730308548
XM_027373950.1	-17.7937497884007
XM_027367305.1	-11.8689311509861
XM_027378197.1	-18.3686946965893
XM_027378201.1	-17.9424844879927
XM_027366993.1	-17.8433664568693
XM_027363285.1	-12.0031527519626
XM_027352548.1	-12.2243019612023
XM_027364188.1	-14.9619110889747
XR_003476627.1	-16.7764315342346
XM_027373072.1	-12.8442798211894
XM_027357369.1	-14.2694487823649
XM_027363184.1	12.6894044674312
XM_027366290.1	14.5855087735008
XM_027378563.1	-14.1981208570105
XM_027378528.1	-12.8505216298954
XM_027378199.1	-18.0030023524007
XM_027360329.1	-11.9565108299863
XM_027373953.1	-17.626470467621
XM_027358900.1	-14.6754735309798
XM_027360709.1	-19.0760651478277
XM_027372261.1	-13.3300212765018
XM_027364708.1	11.7508266627181
XM_027360531.1	-11.7507444055649
XM_027373948.1	-17.4487920296232
XM_027354033.1	-8.0582085628306
XR_003476907.1	-7.20363814712517
XM_027364187.1	-15.0486674681487
XM_027375380.1	-11.5372517248138
