ID	adj.P.Val
XM_027360707.1	2.92272425354854e-11
XM_027367844.1	2.92272425354854e-11
XM_027376192.1	2.92272425354854e-11
XM_027353517.1	3.18121440551166e-11
XM_027366982.1	3.18121440551166e-11
XM_027380767.1	3.18121440551166e-11
XM_027356379.1	4.82328432416045e-11
XM_027367725.1	5.17501544373505e-11
XM_027356202.1	6.00924874399986e-11
XM_027364776.1	6.00924874399986e-11
XM_027366999.1	6.00924874399986e-11
XM_027375757.1	6.00924874399986e-11
XM_027376193.1	6.00924874399986e-11
XM_027378554.1	6.00924874399986e-11
XM_027380768.1	6.00924874399986e-11
XM_027369058.1	6.07762570806197e-11
XM_027370165.1	6.07762570806197e-11
XM_027378198.1	6.07762570806197e-11
XM_027383523.1	6.07762570806197e-11
XM_027364568.1	6.16106989911269e-11
XM_027367113.1	6.93600773916302e-11
XM_027372262.1	6.93600773916302e-11
XM_027373306.1	6.93600773916302e-11
XR_003476577.1	6.93600773916302e-11
XM_027374557.1	7.74971076468059e-11
XM_027373947.1	8.40543841547746e-11
XM_027357912.1	8.52394227450022e-11
XM_027354978.1	9.2380706495955e-11
XM_027364476.1	9.73652821452078e-11
XR_003477587.1	1.02337900663167e-10
XM_027367006.1	1.0648293316988e-10
XM_027360708.1	1.11596720132401e-10
XM_027356425.1	1.15895440899379e-10
XM_027368722.1	1.15895440899379e-10
XM_027373951.1	1.15895440899379e-10
XM_027378200.1	1.15895440899379e-10
XM_027375755.1	1.22541545600973e-10
XM_027352222.1	1.29833646118444e-10
XM_027375819.1	1.29833646118444e-10
XR_003477394.1	1.29833646118444e-10
XM_027373955.1	1.31781471275428e-10
XM_027375820.1	1.31781471275428e-10
XR_003477486.1	1.31781471275428e-10
XM_027355088.1	1.46449267744167e-10
XM_027353111.1	1.48508998899803e-10
XM_027373950.1	1.48508998899803e-10
XM_027367305.1	1.50045069367157e-10
XM_027378197.1	1.50045069367157e-10
XM_027378201.1	1.5872172010242e-10
XM_027366993.1	1.6684530320071e-10
XM_027363285.1	1.8607978210347e-10
XM_027352548.1	1.89484566695694e-10
XM_027364188.1	2.01924208931602e-10
XR_003476627.1	2.05761842887215e-10
XM_027373072.1	2.09032484382672e-10
XM_027357369.1	2.12179153033683e-10
XM_027363184.1	2.18345630400854e-10
XM_027366290.1	2.18345630400854e-10
XM_027378563.1	2.23640584992828e-10
XM_027378528.1	2.26001720361766e-10
XM_027378199.1	2.29954413393343e-10
XM_027360329.1	2.36102631151755e-10
XM_027373953.1	2.36102631151755e-10
XM_027358900.1	2.89843188906783e-10
XM_027360709.1	2.89843188906783e-10
XM_027372261.1	3.0141875948969e-10
XM_027364708.1	3.10848674143825e-10
XM_027360531.1	3.23319812523141e-10
XM_027373948.1	3.41726298406473e-10
