ID	logFC
XR_003477485.1	-19.926816973593
XM_027376912.1	-20.4351495009923
XM_027356202.1	-15.1684612501618
XM_027360712.1	-19.5024634738503
XM_027363509.1	-15.0158447869708
XM_027367844.1	-17.1062541717799
XM_027371765.1	-19.8707428183531
XM_027373947.1	-18.2203679705362
XM_027373951.1	-17.9597569775745
XM_027373952.1	-18.0035950259425
XM_027373953.1	-17.7936599303822
XM_027375755.1	-19.6568704554517
XM_027378195.1	-18.69860106992
XM_027378196.1	-18.4838948061539
XM_027378197.1	-18.4917449916904
XM_027378198.1	-18.3623078074913
XM_027378199.1	-18.1722795878402
XM_027378201.1	-18.0393214116774
XR_003476619.1	-17.6434050084485
XR_003477587.1	-18.0306347139927
XM_027366999.1	-16.5690583268538
XM_027376192.1	-17.4910151243384
XR_003476627.1	-19.1790479228669
XM_027360709.1	-19.6180841144408
XM_027373306.1	-14.928932732078
XM_027353285.1	-20.1814259805839
XM_027353517.1	-16.0615002189576
XM_027366982.1	-15.8274023031227
XM_027376152.1	-19.0962395487596
XM_027376193.1	-16.4070462240843
XM_027380768.1	-17.6808692070374
XM_027378200.1	-18.208239401746
XR_003476415.1	-18.7953018613435
XM_027353111.1	-16.2998877196003
XM_027380767.1	-18.1499854391385
XM_027356357.1	-16.604987011012
XM_027356379.1	-15.9794400297799
XM_027382375.1	-16.9462692049207
XM_027356393.1	-14.6987481828506
XM_027383523.1	-17.6640200653805
XM_027367725.1	-15.1309872385987
XM_027366993.1	-17.5258711250776
XM_027353078.1	11.8678619924004
XM_027367829.1	-19.2615839259115
XM_027376677.1	14.0055187074268
XM_027373949.1	-17.7532446302882
XM_027377294.1	-14.0582977539489
XM_027352222.1	-12.874230868619
XM_027367828.1	-16.6936683768338
XM_027373948.1	-17.56995046511
XM_027364776.1	-15.2503140289243
XM_027367820.1	11.4812097498065
XM_027373950.1	-17.4239470149697
XM_027378554.1	-15.9560670224397
XM_027373955.1	-17.4744437547889
XM_027367006.1	-18.9660200637171
XR_003477394.1	-17.9758006018391
XM_027369772.1	12.2918081924121
XM_027375757.1	-14.6618138081576
XM_027375221.1	-13.6591013812947
XM_027353075.1	11.4780155796037
XM_027353452.1	10.8216233424706
XM_027372262.1	-13.2992692596757
XM_027354978.1	-15.1895724215994
XR_003476972.1	10.1993050490438
XM_027369740.1	10.6609097090556
XM_027352223.1	-13.1396400582591
XM_027356425.1	-11.4491605550387
XM_027367726.1	-15.2578149931925
XM_027368866.1	-12.0290502834549
XM_027357446.1	10.8320509423099
XM_027361316.1	-12.3554897951696
XM_027369058.1	-15.8953740485314
XM_027370449.1	-13.0043468101243
