ID	adj.P.Val
XR_003477485.1	7.56440726933061e-13
XM_027376912.1	9.62113493304332e-13
XM_027356202.1	9.96722571490806e-13
XM_027360712.1	9.96722571490806e-13
XM_027363509.1	9.96722571490806e-13
XM_027367844.1	9.96722571490806e-13
XM_027371765.1	9.96722571490806e-13
XM_027373947.1	9.96722571490806e-13
XM_027373951.1	9.96722571490806e-13
XM_027373952.1	9.96722571490806e-13
XM_027373953.1	9.96722571490806e-13
XM_027375755.1	9.96722571490806e-13
XM_027378195.1	9.96722571490806e-13
XM_027378196.1	9.96722571490806e-13
XM_027378197.1	9.96722571490806e-13
XM_027378198.1	9.96722571490806e-13
XM_027378199.1	9.96722571490806e-13
XM_027378201.1	9.96722571490806e-13
XR_003476619.1	9.96722571490806e-13
XR_003477587.1	9.96722571490806e-13
XM_027366999.1	9.98953797258943e-13
XM_027376192.1	9.98953797258943e-13
XR_003476627.1	9.98953797258943e-13
XM_027360709.1	1.07386347922417e-12
XM_027373306.1	1.07386347922417e-12
XM_027353285.1	1.1765126877723e-12
XM_027353517.1	1.1765126877723e-12
XM_027366982.1	1.1765126877723e-12
XM_027376152.1	1.1765126877723e-12
XM_027376193.1	1.1765126877723e-12
XM_027380768.1	1.1765126877723e-12
XM_027378200.1	1.24458513058695e-12
XR_003476415.1	1.71840243305579e-12
XM_027353111.1	1.81399730210294e-12
XM_027380767.1	1.86934440665215e-12
XM_027356357.1	1.94452191285232e-12
XM_027356379.1	2.17704543970893e-12
XM_027382375.1	2.17704543970893e-12
XM_027356393.1	2.27824014243127e-12
XM_027383523.1	2.56944887903746e-12
XM_027367725.1	2.86885867319983e-12
XM_027366993.1	2.94944056703397e-12
XM_027353078.1	2.96849371480885e-12
XM_027367829.1	3.09397850803113e-12
XM_027376677.1	4.29305430207213e-12
XM_027373949.1	4.8776671081685e-12
XM_027377294.1	4.8776671081685e-12
XM_027352222.1	5.02550097012174e-12
XM_027367828.1	5.02550097012174e-12
XM_027373948.1	5.10690404967496e-12
XM_027364776.1	5.44463260633817e-12
XM_027367820.1	5.44463260633817e-12
XM_027373950.1	5.56412179948326e-12
XM_027378554.1	5.56412179948326e-12
XM_027373955.1	5.6897276002556e-12
XM_027367006.1	5.92963270276841e-12
XR_003477394.1	5.93817913780733e-12
XM_027369772.1	6.00217058522413e-12
XM_027375757.1	6.01284247417254e-12
XM_027375221.1	6.37806090371189e-12
XM_027353075.1	7.07664349381784e-12
XM_027353452.1	7.07664349381784e-12
XM_027372262.1	7.07664349381784e-12
XM_027354978.1	7.75667780787113e-12
XR_003476972.1	7.75667780787113e-12
XM_027369740.1	8.0275540940634e-12
XM_027352223.1	8.40306560521545e-12
XM_027356425.1	8.40306560521545e-12
XM_027367726.1	8.40306560521545e-12
XM_027368866.1	8.40306560521545e-12
XM_027357446.1	9.76450128245328e-12
XM_027361316.1	9.76450128245328e-12
XM_027369058.1	9.76450128245328e-12
XM_027370449.1	9.76450128245328e-12
XM_027376155.1	9.93476282533587e-12
XM_027376169.1	1.00974585628736e-11
XR_003476577.1	1.00974585628736e-11
XR_003477486.1	1.00974585628736e-11
XM_027360707.1	1.02171055983865e-11
XM_027369737.1	1.02171055983865e-11
XM_027376661.1	1.02171055983865e-11
XM_027383770.1	1.02171055983865e-11
XM_027367305.1	1.03759959062579e-11
XM_027375756.1	1.14488207388829e-11
XM_027363492.1	1.16702401225513e-11
XM_027359731.1	1.29212049899828e-11
XR_003476319.1	1.36240153919334e-11
XM_027356380.1	1.43813303441102e-11
XM_027358973.1	1.43813303441102e-11
XM_027379847.1	1.43813303441102e-11
XM_027376678.1	1.52082378751953e-11
XM_027357635.1	1.54697292765286e-11
XM_027381538.1	1.66118053184834e-11
XM_027366657.1	1.76274984678438e-11
XM_027381537.1	1.76274984678438e-11
XM_027366734.1	1.85794453675852e-11
XM_027383771.1	1.95200624149636e-11
XM_027364476.1	1.98902938785229e-11
XM_027367827.1	1.98902938785229e-11
XM_027369744.1	1.98902938785229e-11
XM_027382572.1	1.98902938785229e-11
XM_027365097.1	2.06914854527617e-11
XM_027357449.1	2.11149100198773e-11
XM_027382540.1	2.11149100198773e-11
XM_027357955.1	2.13187349335239e-11
XM_027363285.1	2.13187349335239e-11
XM_027364568.1	2.18761362464434e-11
XM_027356133.1	2.31976859451926e-11
XM_027360711.1	2.33495844873407e-11
XM_027382573.1	2.37328050839587e-11
XR_003476560.1	2.37328050839587e-11
XM_027353282.1	2.5992141714357e-11
XM_027369990.1	2.5992141714357e-11
XM_027352548.1	2.68292728266117e-11
XM_027381542.1	2.68292728266117e-11
XM_027383768.1	2.80757187003858e-11
XM_027357447.1	2.95094395657882e-11
XM_027366389.1	2.95094395657882e-11
XM_027356520.1	3.04602945751235e-11
XM_027361751.1	3.06820001466547e-11
XM_027383333.1	3.06820001466547e-11
XM_027357867.1	3.11979153670239e-11
XM_027357868.1	3.16152170138384e-11
