ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	hep_1	hep_2	hep_3	hep_4	hep_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027357635.1	-15.3419413836732	1.38209446568799	-48.0011311696209	1.86553723942422e-14	3.38464421348736e-10	17.4644712744348	17612	24958	18014	29504	22256	0	0	0	0	0	482.781232697059	619.073837251215	427.937992111556	572.896792998094	577.10065202843	0	0	0	0	0	Up_ovary_Down_hep
XM_027351217.1	12.4849559576543	-0.13215379060916	38.755343859007	2.08118412172595e-13	6.38191917986764e-10	16.7227080729132	0	0	0	0	0	3828	2314	2799	2858	2027	0	0	0	0	0	81.9566276982588	78.772001153802	64.3099237046493	69.4513915336408	54.5451847305687	Down_ovary_Up_hep
XM_027352223.1	-12.9054498101863	0.163820413608477	-38.7482061590423	2.08550441895953e-13	6.38191917986764e-10	16.7237680850538	2872	4203	3875	4877	4900	0	0	0	0	0	78.7274415345193	104.253839969824	92.0539424576595	94.6996224054944	127.057566271536	0	0	0	0	0	Up_ovary_Down_hep
XM_027353849.1	-13.1188041094148	0.587475186557798	-35.9387585013267	4.86449039777233e-13	6.38191917986764e-10	16.4053873969946	6032	5891	7033	6380	4406	1	0	0	0	0	165.349556871943	146.124047409524	167.074936078637	123.884271262468	114.24808918212	0.0214097773506423	0	0	0	0	Up_ovary_Down_hep
XM_027354925.1	12.9479866935365	0.0994059620744202	36.6603171969436	3.8898594272706e-13	6.38191917986764e-10	16.4924451941225	0	0	0	0	0	3971	4011	3441	3591	3634	0	0	0	0	0	85.0182258594007	136.54040476573	79.0605385736686	87.2638023083639	97.7884564927906	Down_ovary_Up_hep
XM_027360388.1	13.8118252527164	0.531178304580201	37.4242042469169	3.08434924099049e-13	6.38191917986764e-10	16.5800251721562	0	0	0	0	0	10226	6675	6905	6104	4959	0	0	0	0	0	218.936383187668	227.226926405198	158.649525966632	148.331453436439	133.443300976265	Down_ovary_Up_hep
XM_027361124.1	-12.301171186272	0.178683233448002	-36.3797640558834	4.24095647167049e-13	6.38191917986764e-10	16.4588735906269	3142	2871	3445	4291	3097	0	0	1	0	0	86.1286982247422	71.2140791228559	81.838924326874	83.3209103428289	80.3055679067239	0	0	0.0229760356215253	0	0	Up_ovary_Down_hep
XM_027363241.1	12.111237933697	-0.318346539592511	35.6799576926802	5.2763483270691e-13	6.38191917986764e-10	16.3686752592389	0	0	0	0	0	2575	2129	1979	1839	1980	0	0	0	0	0	55.130176677904	72.47432603995	45.4695744949986	44.688981466188	53.2804468507775	Down_ovary_Up_hep
XM_027366657.1	-15.0290274298119	1.22563903832417	-36.0359379164653	4.71898118151145e-13	6.38191917986764e-10	16.4139731101817	10184	19492	16483	21931	24496	0	0	0	0	0	279.164437530482	483.491755577397	391.567776394736	425.847328065388	635.184110895418	0	0	0	0	0	Up_ovary_Down_hep
XM_027367305.1	-10.8499388593862	-0.864669697310547	-35.878149972296	4.95770710505417e-13	6.38191917986764e-10	16.3676718099827	731	1050	1028	1338	847	0	0	0	0	0	20.0382171872332	26.0448565235105	24.4210200894126	25.9807452898404	21.9628078840798	0	0	0	0	0	Up_ovary_Down_hep
