ID	adj.P.Val
XM_027357635.1	3.38464421348736e-10
XM_027351217.1	6.38191917986764e-10
XM_027352223.1	6.38191917986764e-10
XM_027353849.1	6.38191917986764e-10
XM_027354925.1	6.38191917986764e-10
XM_027360388.1	6.38191917986764e-10
XM_027361124.1	6.38191917986764e-10
XM_027363241.1	6.38191917986764e-10
XM_027366657.1	6.38191917986764e-10
XM_027367305.1	6.38191917986764e-10
XM_027368866.1	6.38191917986764e-10
XM_027371450.1	6.38191917986764e-10
XM_027375354.1	6.38191917986764e-10
XM_027378584.1	6.38191917986764e-10
XM_027380431.1	6.38191917986764e-10
XM_027371448.1	8.52807961436204e-10
XM_027351358.1	8.55089452832136e-10
XM_027358238.1	8.55089452832136e-10
XM_027358803.1	8.55089452832136e-10
XM_027361316.1	8.55089452832136e-10
XM_027363285.1	8.55089452832136e-10
XM_027350707.1	8.6787112163076e-10
XM_027371447.1	8.6787112163076e-10
XM_027353363.1	8.80919187866188e-10
XM_027379449.1	1.0055096420906e-09
XM_027352224.1	1.02017310281278e-09
XM_027357369.1	1.0679606664558e-09
XM_027363970.1	1.0679606664558e-09
XM_027365027.1	1.0679606664558e-09
XM_027376445.1	1.0679606664558e-09
XM_027360531.1	1.07882407441318e-09
XM_027366568.1	1.07882407441318e-09
XM_027376193.1	1.07882407441318e-09
XM_027376863.1	1.07882407441318e-09
XM_027376864.1	1.07882407441318e-09
XM_027382187.1	1.07882407441318e-09
XM_027358581.1	1.11044955512815e-09
XM_027374835.1	1.11044955512815e-09
XM_027376736.1	1.11044955512815e-09
XM_027376737.1	1.11044955512815e-09
XM_027380032.1	1.11044955512815e-09
XM_027355864.1	1.18718827033273e-09
XM_027372562.1	1.18718827033273e-09
XM_027363949.1	1.23538326365698e-09
XM_027365364.1	1.23538326365698e-09
XM_027364078.1	1.26817090816627e-09
XM_027351567.1	1.2696994416281e-09
XM_027369766.1	1.2696994416281e-09
XM_027381942.1	1.2696994416281e-09
XM_027381890.1	1.30439867472022e-09
XM_027382895.1	1.30439867472022e-09
XM_027363486.1	1.31231230621888e-09
XM_027366238.1	1.36852368732118e-09
XM_027372150.1	1.36852368732118e-09
XM_027365653.1	1.42184695059623e-09
XM_027367729.1	1.42184695059623e-09
XM_027367828.1	1.42184695059623e-09
XM_027370165.1	1.42184695059623e-09
XM_027375505.1	1.42184695059623e-09
XM_027350706.1	1.44837277602133e-09
XM_027371550.1	1.44837277602133e-09
XM_027375846.1	1.44837277602133e-09
XM_027377792.1	1.44837277602133e-09
XM_027379019.1	1.44837277602133e-09
XM_027379186.1	1.44837277602133e-09
XM_027379504.1	1.44837277602133e-09
XM_027359829.1	1.4574127053377e-09
XM_027356029.1	1.47471084375952e-09
XM_027359449.1	1.47471084375952e-09
XM_027372482.1	1.47471084375952e-09
XM_027372694.1	1.47471084375952e-09
XM_027378174.1	1.47471084375952e-09
XR_003475682.1	1.47471084375952e-09
XM_027363320.1	1.49278638594705e-09
XM_027378319.1	1.49278638594705e-09
XM_027367338.1	1.56209433023227e-09
XM_027378597.1	1.56930935209591e-09
XM_027355865.1	1.5806620577896e-09
XM_027359178.1	1.5806620577896e-09
XM_027360708.1	1.5806620577896e-09
XM_027364525.1	1.5806620577896e-09
XM_027365869.1	1.5806620577896e-09
XM_027368181.1	1.5806620577896e-09
XM_027371655.1	1.5806620577896e-09
XM_027376738.1	1.5806620577896e-09
XM_027352843.1	1.59485993949352e-09
XM_027363322.1	1.59485993949352e-09
XM_027372413.1	1.59485993949352e-09
XM_027374557.1	1.59485993949352e-09
XM_027378172.1	1.6012770794649e-09
XM_027357832.1	1.64399480758858e-09
XM_027352856.1	1.65086333531651e-09
XM_027358237.1	1.65086333531651e-09
XM_027352222.1	1.6789751418646e-09
XM_027360327.1	1.6789751418646e-09
XM_027373827.1	1.6789751418646e-09
