ID	adj.P.Val
XM_027356801.1	6.01418220452704e-11
XM_027356802.1	6.01418220452704e-11
XR_003477589.1	6.01418220452704e-11
XM_027356798.1	7.06403650410506e-11
XM_027367224.1	7.06403650410506e-11
XM_027370962.1	7.06403650410506e-11
XM_027356797.1	9.29149254947341e-11
XM_027362706.1	9.29149254947341e-11
XM_027367223.1	1.02971298044319e-10
XM_027367236.1	1.08448902675435e-10
XM_027368553.1	1.08448902675435e-10
XM_027356800.1	1.18655230918866e-10
XM_027365860.1	1.18655230918866e-10
XM_027367225.1	1.18655230918866e-10
XM_027367243.1	1.18655230918866e-10
XM_027381668.1	1.18655230918866e-10
XR_003476719.1	1.18655230918866e-10
XR_003477591.1	1.18655230918866e-10
XM_027356799.1	1.66122999514014e-10
XR_003477592.1	2.02117195148964e-10
XM_027353008.1	3.69313957262732e-10
XM_027354936.1	3.69313957262732e-10
XM_027373336.1	3.69313957262732e-10
XM_027373337.1	3.69313957262732e-10
XM_027378454.1	3.69313957262732e-10
XR_003476140.1	3.69313957262732e-10
XR_003476141.1	3.69313957262732e-10
XM_027365861.1	3.7041709054257e-10
XM_027372676.1	3.7041709054257e-10
XM_027368554.1	3.76198811129505e-10
XR_003477590.1	5.31749102831065e-10
XM_027365885.1	5.42673629330009e-10
XM_027367239.1	5.42673629330009e-10
XM_027368558.1	5.79866063376359e-10
XM_027354939.1	5.87747803204419e-10
XM_027368559.1	5.94829076542186e-10
XR_003476216.1	5.94829076542186e-10
XM_027363007.1	6.23107819614668e-10
XM_027354137.1	6.89965655445149e-10
XM_027354938.1	6.89965655445149e-10
XM_027381155.1	6.89965655445149e-10
XM_027358642.1	7.0999793278551e-10
XM_027354940.1	7.94172782927846e-10
XM_027367222.1	7.97418042601887e-10
XM_027375602.1	8.05271321013006e-10
XR_003475816.1	8.05271321013006e-10
XM_027363210.1	8.45692377740943e-10
XM_027367241.1	8.65345678024402e-10
XM_027382986.1	8.65345678024402e-10
XM_027354937.1	9.00736531277464e-10
XM_027363208.1	1.04756470389141e-09
XM_027354132.1	1.0561618032156e-09
XM_027368571.1	1.0675898526547e-09
XM_027381154.1	1.07167002444788e-09
XM_027367246.1	1.18806071503903e-09
XM_027358886.1	1.50950039206589e-09
XM_027367149.1	1.50950039206589e-09
XM_027368572.1	1.50950039206589e-09
XM_027373383.1	1.50950039206589e-09
XM_027381156.1	1.50950039206589e-09
XM_027362996.1	1.69121913028893e-09
XM_027363213.1	1.71263590195589e-09
XR_003476212.1	1.88250204345111e-09
XM_027373314.1	1.92619006568025e-09
XM_027362345.1	2.14282452621974e-09
XM_027381854.1	2.14282452621974e-09
XM_027363209.1	2.23213253010309e-09
XM_027363228.1	2.31385602897682e-09
XM_027365884.1	2.31385602897682e-09
XR_003475609.1	2.33231176725348e-09
XM_027363226.1	2.33259917331726e-09
XM_027367238.1	2.33259917331726e-09
XM_027367242.1	2.40712621952047e-09
XM_027381851.1	2.42098556880731e-09
XM_027361448.1	2.44534549278489e-09
XM_027356793.1	2.4780880450753e-09
XM_027381865.1	2.48413190247296e-09
XM_027373343.1	2.50969501968788e-09
XM_027363232.1	2.64248981715974e-09
XM_027373331.1	2.6638009628869e-09
XM_027356467.1	2.67621913922262e-09
XM_027375601.1	2.67621913922262e-09
XM_027363211.1	2.70277181076638e-09
XM_027359148.1	2.73041743444545e-09
XM_027373333.1	2.95120568758555e-09
XM_027373338.1	2.95120568758555e-09
XM_027373332.1	3.25574846143795e-09
XR_003477731.1	3.25574846143795e-09
XR_003476718.1	3.36176027577272e-09
XR_003476287.1	3.36291886405911e-09
XM_027363216.1	3.44660696327388e-09
XM_027373339.1	3.44660696327388e-09
XM_027373341.1	3.44660696327388e-09
XM_027360043.1	3.51379279119081e-09
XM_027373334.1	3.52407551083376e-09
XM_027363219.1	3.58792529462709e-09
XM_027355187.1	3.62022699361023e-09
XM_027363230.1	3.83827776463101e-09
XM_027381853.1	3.84688345311021e-09
XM_027373345.1	3.86741525910766e-09
XM_027361534.1	4.0102090032739e-09
XM_027366660.1	4.0102090032739e-09
XM_027373312.1	4.07734521634648e-09
XM_027357161.1	4.14913557196954e-09
XM_027371195.1	4.14913557196954e-09
XM_027373316.1	4.14913557196954e-09
XM_027373330.1	4.14913557196954e-09
XM_027373346.1	4.14913557196954e-09
XM_027371495.1	4.18031785650996e-09
XR_003476717.1	4.19565477564777e-09
XM_027363224.1	4.26877383148794e-09
XR_003476574.1	4.31615742711222e-09
XM_027373335.1	4.33678190599405e-09
XM_027371198.1	4.39609145826122e-09
XM_027373317.1	4.42975154841102e-09
XM_027363252.1	4.44935843382231e-09
XM_027361148.1	4.70860938510913e-09
XM_027383361.1	4.70860938510913e-09
XR_003476288.1	4.70860938510913e-09
XM_027354360.1	4.94256961958037e-09
XM_027381855.1	5.10251144838451e-09
XM_027350813.1	5.20939395518187e-09
XM_027358624.1	5.21166417733822e-09
XM_027363225.1	5.36994306162504e-09
XM_027363221.1	5.48088166625498e-09
