	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6
XM_027350592.1	15	84	75	83	55	81	75	16	43	81	90	81	48	43	79	26	17	39	3	2	1	12	8	15
XM_027350593.1	18	93	106	99	63	105	78	15	41	112	97	62	59	40	57	30	17	56	11	0	2	6	7	9
XM_027350594.1	10	70	101	97	74	73	72	28	50	82	69	62	62	27	58	26	30	33	0	3	2	10	5	7
XM_027350595.1	25	80	103	83	68	78	75	14	23	69	87	63	44	48	73	36	17	34	5	4	2	8	7	18
XM_027350596.1	4	103	85	36	6	14	46	39	42	17	12	12	156	249	272	138	135	185	0	0	4	0	3	0
XM_027350597.1	113	1464	1764	1016	632	823	510	184	420	1144	1164	928	376	290	342	277	356	487	85	79	68	151	144	107
XM_027350603.1	97	4499	3844	2928	1955	2870	889	333	633	1564	1722	1371	1911	1816	2229	1063	1550	1581	291	284	272	334	222	432
XM_027350604.1	28	1160	1461	943	749	911	148	56	45	184	163	159	382	231	507	139	299	221	19	25	16	30	42	45
XM_027350605.1	28	1305	1574	870	789	964	158	51	48	192	181	174	470	297	631	206	300	250	15	34	19	47	48	54
XM_027350606.1	38	1093	1522	816	754	857	89	38	23	65	106	50	265	232	396	144	240	149	6	18	10	30	47	52
XM_027350607.1	35	1226	1806	1029	990	1178	79	26	20	102	96	82	310	227	410	151	274	222	6	33	14	26	26	44
XM_027350608.1	3	261	243	208	104	195	135	166	106	440	479	349	258	193	281	68	125	88	81	114	75	60	65	18
XM_027350613.1	44	377	174	62	17	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_027350614.1	114	785	983	1060	756	900	1985	874	1279	4793	5273	3877	185	112	198	40	83	196	16	14	0	59	25	43
XM_027350615.1	112	693	1026	1111	719	862	1810	807	1302	4636	5377	3858	189	111	225	45	103	170	13	20	11	41	14	54
XM_027350616.1	136	708	976	1022	651	856	1646	769	1234	3917	4593	3413	190	109	194	26	109	164	18	10	13	71	28	50
XM_027350617.1	35	856	1196	685	451	580	308	120	136	374	444	378	224	199	219	157	295	316	63	45	50	169	104	84
XM_027350619.1	113	5554	6559	3725	2615	3512	12956	5959	7086	10457	12275	9653	2806	2771	2889	1383	2162	2314	2335	3501	2740	1555	1299	1311
XM_027350620.1	207	1683	5332	705	488	643	28	19	14	157	167	132	220	382	241	208	180	486	28	19	20	54	43	244
XM_027350627.1	1292	12687	15816	7754	5241	8367	3650	1227	2217	8738	10299	7540	3376	3066	4601	1640	2942	3548	632	690	370	1407	1156	1170
XM_027350629.1	11	73	225	122	86	82	17	24	39	28	55	38	227	138	254	60	64	71	0	0	0	2	0	0
XM_027350634.1	24	842	801	147	60	122	0	0	0	2	8	6	6	1	7	8	12	59	29	28	11	22	16	27
