ID	padj
XM_027381617.1	5.49179505711141e-260
XM_027357077.1	1.92681619282802e-214
XM_027373805.1	1.98015471915813e-171
XM_027352808.1	1.21809809129571e-150
XM_027382986.1	2.85119465959839e-142
XM_027367438.1	1.95006744661386e-139
XM_027353243.1	1.51589612011432e-134
XM_027352932.1	1.9996276459314e-130
XM_027377198.1	3.01959457996002e-128
XM_027370278.1	4.38721536527214e-125
XM_027370845.1	2.80853082868847e-122
XM_027376753.1	2.03452772549198e-120
XM_027351285.1	5.31535106384592e-120
XM_027367749.1	4.67862050639166e-117
XM_027362512.1	5.2122878735876e-113
XM_027356531.1	9.225030111512e-111
XM_027376200.1	2.18463103556059e-109
XM_027378153.1	2.9226476528905e-108
XM_027376719.1	1.03681479206817e-107
XM_027351560.1	1.737259806196e-106
XM_027356274.1	3.22531655196992e-103
XM_027356273.1	6.41831508817547e-102
XR_003477463.1	1.37999753622504e-100
XR_003477328.1	2.15062437864632e-99
XR_003475688.1	2.66980092936384e-99
XM_027356268.1	1.46224748303954e-98
XM_027369485.1	2.74868409609615e-98
XM_027363524.1	3.7766360682059e-98
XM_027358787.1	4.90798863002731e-94
XM_027367424.1	6.60832527027173e-94
XM_027379660.1	4.56884201373183e-93
XM_027355828.1	1.5168781242447e-92
XM_027369777.1	2.90298220433962e-91
XM_027370614.1	4.22138336092781e-91
XM_027366023.1	5.12348776785714e-91
XM_027366711.1	9.38166519959429e-91
XM_027354076.1	2.62566232317638e-90
XM_027363774.1	2.62566232317638e-90
XM_027357523.1	2.63322715094926e-89
XM_027381154.1	7.505712888594e-89
XM_027368762.1	2.18099466855749e-88
XM_027362283.1	6.82344109339252e-88
XM_027380334.1	2.58344325061336e-87
XM_027356272.1	3.81603692111167e-87
XM_027375663.1	5.48830164495833e-87
XM_027372078.1	1.08816209241423e-86
XM_027356269.1	1.98946805757189e-86
XM_027381768.1	5.77202515896616e-86
XM_027365498.1	5.81170505829908e-86
XM_027364413.1	7.69189858084945e-86
XM_027353896.1	1.48416244232115e-85
XM_027369484.1	1.82963284346707e-85
XM_027378189.1	6.6817338416474e-85
XM_027359027.1	8.61639329050205e-85
XM_027356267.1	1.82587579310676e-84
XM_027359746.1	1.37278195111018e-82
XM_027377111.1	2.64611497783896e-82
XM_027366290.1	3.80911735559975e-82
XM_027372120.1	5.3860943973039e-82
XM_027356265.1	5.66168076512879e-82
XM_027381468.1	5.89062744980483e-81
XM_027369750.1	1.64788966765437e-80
XM_027365302.1	6.90875545918362e-78
XM_027355807.1	9.82098562752788e-78
XM_027359508.1	2.96613349742124e-77
XM_027373690.1	8.33669718641412e-77
XR_003477329.1	8.81063518619077e-77
XM_027352848.1	3.87066934648691e-76
XM_027364391.1	7.28343633452839e-76
XM_027361218.1	9.49421191873633e-75
XM_027363799.1	1.34939544519775e-73
XM_027365173.1	1.84901696471363e-73
XM_027356270.1	1.87221235850977e-73
XM_027354325.1	5.86506597917876e-73
XM_027375296.1	7.69705054360305e-73
XM_027373625.1	8.89784883737236e-73
XM_027350808.1	1.50577957584348e-72
XR_003475566.1	7.15814217608999e-72
XM_027370854.1	8.35193171561046e-72
XM_027356973.1	8.7744644430304e-72
XM_027360440.1	1.04634196168727e-71
XM_027363738.1	2.45935310911582e-71
XM_027357623.1	6.77325953840258e-71
XM_027355389.1	7.56571072668636e-71
XM_027370944.1	5.72992143491345e-70
XM_027377436.1	5.93851784841678e-70
XM_027379144.1	1.03977471205995e-69
XM_027383789.1	1.28707446963057e-69
XM_027376198.1	1.34314384060199e-69
XM_027352001.1	1.39689991579249e-69
XM_027364719.1	2.34255619520577e-69
XM_027378527.1	5.21262704315909e-69
XM_027371898.1	1.14687832998172e-68
XM_027367064.1	2.17757836809027e-68
XM_027363227.1	2.53766629745343e-68
XM_027363737.1	2.8170735307863e-68
XM_027381159.1	3.3101920997741e-68
XM_027368228.1	3.5488725471432e-68
XM_027373083.1	5.00787412824225e-68
XM_027352536.1	7.18654828323221e-68
XM_027364392.1	1.04519255637865e-67
XM_027379114.1	1.46973945775184e-67
XM_027374863.1	1.83507810604527e-67
XM_027363228.1	2.35721084811194e-67
XM_027380677.1	3.73801961161171e-67
XM_027367065.1	5.38442975530156e-67
XM_027372407.1	1.01597883193686e-66
XM_027376663.1	1.16929124846537e-66
XR_003475469.1	1.2627092739562e-66
XR_003476156.1	1.71477110733366e-66
XM_027367425.1	1.94567075598444e-66
XM_027377795.1	2.2788858628171e-66
XM_027376692.1	3.42923853160588e-66
XM_027354863.1	4.10322380023667e-66
XM_027361437.1	6.04901010432533e-66
XM_027363525.1	1.76110079308228e-65
XM_027368358.1	2.58271258582029e-65
XM_027381155.1	2.75792128685589e-65
XM_027352829.1	4.39099134161415e-65
XM_027375535.1	4.39099134161415e-65
XM_027381161.1	7.22807879072383e-65
XM_027376759.1	1.00543323811603e-64
XM_027382966.1	1.28615990468405e-64
XM_027365171.1	1.64161581826511e-64
XM_027375732.1	1.68478128086027e-64
XM_027379583.1	1.97245469669566e-64
XM_027381061.1	1.97245469669566e-64
XM_027366180.1	4.07289310832306e-64
XM_027365545.1	5.35371260755842e-64
XM_027355829.1	9.51595867436652e-64
XM_027358547.1	2.1112326300064e-63
XM_027364742.1	3.29640837064638e-63
XM_027365262.1	4.00478720212186e-63
XM_027383495.1	4.20548852024052e-63
