ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027352012.1	2240.44895934372	-7.72189496523464	0.268313045769442	-28.7794242098461	3.88142447106749e-182	7.1142629130196e-178	5292	4862	6075	2624	4146	2917	0	64	63	26	24	28	4350.97545965511	4768.04100027253	4666.40198650062	5090.05441356272	5231.27876531582	2669.75266906352	0	26.2557339351085	23.1847832664326	16.5922405892042	24.0840661615623	18.7663938020647	Up_hep_Down_gills
XM_027366326.1	506.236137830543	-7.73541020555225	0.272398549961692	-28.3973986155216	2.17735809858035e-177	1.99543982944397e-173	1240	1181	1306	456	777	1098	0	5	17	9	4	9	1019.50294217164	1158.17696859767	1003.18041059585	884.552138942302	980.391606524455	1004.93261248946	0	2.05122921368035	6.25621135760879	5.74346789626298	4.01401102692705	6.03205515066364	Up_hep_Down_gills
XM_027357077.1	3339.26784678766	10.0102695135711	0.355239377914467	28.1789411194761	1.0595276218733e-174	6.47336059377191e-171	8	13	10	1	5	2	746	14419	19639	9120	7152	7521	6.57743833659125	12.7487727280014	7.68132014238785	1.93980732224189	6.30882629681117	1.83047834697533	8853.50993883484	5915.33480641139	7227.39616776935	5820.04746821315	7177.05171614556	5040.78742090458	Down_hep_Up_gills
XM_027360238.1	1438.40555168718	-7.18540297369728	0.255810598124431	-28.088761866708	1.34383181940864e-173	6.15777335448523e-170	4345	3313	3930	882	2258	3003	1	39	49	28	21	41	3572.37119656112	3248.9756959899	3018.75881595843	1710.91005821735	2849.06595563992	2748.46323798346	11.8679757893228	15.9995878667067	18.0326092072253	17.8685667883737	21.073557891367	27.4793623530232	Up_hep_Down_gills
XM_027363970.1	444.191343911112	-6.53993036423976	0.277206576545642	-23.5922626574588	4.62760285345514e-123	1.69638665401958e-119	818	1034	1052	487	814	891	0	24	17	16	6	24	672.543069916455	1014.01776928873	808.074878979202	944.686165931801	1027.07692112086	815.47810357751	0	9.84590022566568	6.25621135760879	10.2106095933564	6.02101654039057	16.0854804017697	Up_hep_Down_gills
XM_027379583.1	5375.3106497739	7.92317446807284	0.346089346476721	22.8934364745197	5.40115810107837e-116	1.64996378057776e-112	55	20	74	22	53	37	575	20087	22730	18783	10252	27654	45.2198885640648	19.6134965046176	56.8417690536701	42.6757610893216	66.8735587461984	33.8638494190436	6824.08607886064	8240.60824303944	8364.92259755575	11986.6174995008	10287.910262014	18534.4947929391	Down_hep_Up_gills
XM_027380873.1	1146.99808674696	-8.18088902444615	0.358023118030299	-22.8501697584619	1.45572004389691e-115	3.81169895494092e-112	3408	2824	2940	1136	1979	1303	0	11	17	17	6	20	2801.98873138787	2769.425706452	2258.30812186203	2203.62111806679	2497.03344827786	1192.55664305443	0	4.51270427009677	6.25621135760879	10.8487726929412	6.02101654039057	13.4045670014748	Up_hep_Down_gills
XM_027364294.1	816.582615224843	-5.60860793751068	0.250639680255774	-22.3771748024382	6.56760522217799e-111	1.50472045146625e-107	1728	1438	1667	1191	1649	1189	4	68	90	49	33	53	1420.72668070371	1410.210398682	1280.47606773606	2310.31052079009	2080.65091268832	1088.21937727683	47.4719031572914	27.8967173060528	33.1211189520465	31.269991879654	33.1155909721482	35.5221025539081	Up_hep_Down_gills
XM_027365171.1	668.70998304281	7.30988103002292	0.341345788970262	21.4148856269024	9.70818995797955e-102	1.97712681933119e-98	8	5	8	5	16	6	76	3696	4351	2289	1058	2133	6.57743833659125	4.90337412615439	6.14505611391028	9.69903661120945	20.1882441497957	5.49143504092599	901.966159988536	1516.26863475251	1601.22209511505	1460.75533494955	1061.7059166222	1429.59707070728	Down_hep_Up_gills
XM_027351217.1	1340.28929484279	-8.38634129549776	0.395950777301855	-21.1802622352333	1.45221808879215e-99	2.66177053494713e-96	2858	3142	2799	1890	2314	2027	2	19	14	7	4	24	2349.78984574722	3081.28030087542	2150.00150785436	3666.23583903717	2919.72481016421	1855.1898046595	23.7359515786457	7.79467101198533	5.15217405920724	4.46714169709343	4.01401102692705	16.0854804017697	Up_hep_Down_gills
