ID	log2FoldChange
XM_027352012.1	-7.72189496523464
XM_027366326.1	-7.73541020555225
XM_027357077.1	10.0102695135711
XM_027360238.1	-7.18540297369728
XM_027363970.1	-6.53993036423976
XM_027379583.1	7.92317446807284
XM_027380873.1	-8.18088902444615
XM_027364294.1	-5.60860793751068
XM_027365171.1	7.30988103002292
XM_027351217.1	-8.38634129549776
XM_027366040.1	-8.05446251008616
XM_027382967.1	9.64917435270928
XM_027362138.1	-7.783296717116
XM_027358803.1	-7.88999669384521
XM_027375725.1	-6.92642206964171
XM_027369548.1	-9.56645686303274
XM_027366620.1	4.87699595220376
XM_027371565.1	8.48801343150389
XM_027351250.1	-6.22224514077248
XM_027374599.1	6.17454636050557
XM_027357868.1	9.71230745614618
XM_027367556.1	-10.377037671458
XM_027351106.1	-2.50438152868834
XM_027378341.1	-10.3294424858529
XM_027371564.1	6.15151574961783
XM_027364536.1	-9.34038980210863
XM_027370320.1	9.10468468444703
XM_027376188.1	-9.29004471582168
XM_027381869.1	-8.31545321661708
XM_027382688.1	-7.1692217482252
XM_027357867.1	9.17650569286636
XM_027377449.1	8.79818839529696
XM_027366023.1	7.11236573353046
XM_027367145.1	-8.02601554168614
XM_027370319.1	8.93617994273999
XM_027373083.1	9.84924663416585
XM_027368547.1	-7.51125324837883
XM_027374772.1	-9.43556874998789
XM_027380251.1	-9.18611262843786
XM_027359032.1	-7.56051441079371
XM_027351115.1	-3.17793844371789
XM_027352868.1	-10.0482414946482
XM_027355618.1	-6.57040038990652
XM_027373014.1	-6.28557213227345
XM_027360881.1	-7.02589229135499
XM_027367600.1	9.9664534712439
XR_003476759.1	-7.88759060591369
XM_027365607.1	-10.1735074952618
XR_003477669.1	-11.2589791184447
XM_027365793.1	10.0406025764228
XM_027369070.1	8.66501633404574
XM_027352295.1	-10.6797003211328
XM_027360239.1	-6.89030453476558
XM_027371251.1	-8.44791901656097
XM_027364291.1	-4.85428838388714
XM_027355338.1	-10.7802541202832
XM_027362059.1	-10.2074135563982
XM_027371898.1	6.12716289732583
XM_027369246.1	-10.451994113502
XR_003477847.1	-9.5278214193706
XM_027377056.1	9.71315572811281
XM_027374288.1	-10.3212005209752
XM_027368786.1	-6.9165803294284
XM_027372562.1	-11.1218042385453
XM_027359900.1	-11.5574402899453
XM_027353933.1	10.0019221179224
XM_027360743.1	-8.72062846461767
XM_027364295.1	-4.96705244553841
XM_027354471.1	6.7963473641584
XM_027378230.1	-10.6877385209576
XM_027365464.1	-10.4934927438692
XM_027363028.1	-2.77247334198061
XM_027370325.1	8.84249638538187
XM_027353240.1	-9.03608434887803
XM_027360855.1	-5.75674074354336
XM_027360739.1	-8.91218291327057
XM_027365739.1	9.37408342105909
XM_027375237.1	-9.31246708980185
XM_027383790.1	-10.4323938259563
XM_027352991.1	9.83793709533422
XM_027358198.1	-9.28177842699376
XM_027353827.1	9.75167443088057
XM_027368084.1	-6.12574067519415
XM_027381966.1	-6.85027778309085
XM_027365703.1	5.02578593663681
XM_027378386.1	-9.6977111795127
XM_027371250.1	-8.63440821588942
XM_027377198.1	8.45257145444879
XM_027364296.1	-4.85634221909058
XM_027350887.1	-5.28483505666675
XM_027363799.1	8.8976464537287
XM_027381339.1	-8.27154947893715
XM_027371252.1	-8.30794054964734
XM_027372089.1	-8.94052689167381
XM_027380421.1	-8.46337387392871
XM_027365162.1	-10.5340924732713
XM_027363531.1	-2.71942869425196
XM_027378590.1	-9.84295076342492
XM_027358358.1	-10.6156275748108
XM_027352856.1	-9.58951664545812
XM_027362592.1	-5.0772917544967
XM_027372020.1	8.66607082830436
XM_027358622.1	7.89122329821564
XM_027366537.1	-8.73795664803164
XM_027375881.1	7.81073809666339
XM_027364297.1	-4.7627737641051
XM_027382895.1	-9.21403726157174
XM_027383312.1	-4.8007478366162
XM_027375535.1	8.91613716182106
XM_027359256.1	8.44364047442904
XM_027359377.1	8.68299412600137
XM_027354784.1	-10.0711397819544
XM_027372109.1	-8.18929416348785
XM_027364872.1	-9.97034414169041
XM_027354863.1	10.2478843603727
XM_027351614.1	-7.10882024831419
XM_027375340.1	-10.5877053126668
XR_003477222.1	11.2298266910814
XM_027379160.1	-8.60802560108971
XM_027379752.1	9.8995363560472
XM_027363303.1	-10.2982576017556
XM_027372107.1	-7.72086640222589
XM_027374289.1	-10.1478688906465
XM_027372407.1	10.3982718592762
XM_027367923.1	7.88584401692907
XM_027369722.1	8.10035070273756
XM_027354240.1	-10.9550107936925
XM_027353713.1	-9.81511159626945
XM_027361614.1	-9.21234271248605
XM_027354213.1	8.82250127956044
XM_027374995.1	-6.61311139578255
XM_027364290.1	-4.76020373121009
XM_027370947.1	8.39502875110614
XM_027361474.1	-8.45419266451302
XM_027365098.1	8.30407606169299
XM_027369417.1	-8.99951218392093
XM_027353771.1	6.73352496849829
XM_027351265.1	-10.551041877693
XM_027356973.1	5.45938221821769
XM_027360936.1	-6.42108531283123
XM_027378347.1	10.2447871074307
XM_027369596.1	-7.54263765569936
XM_027360613.1	-4.71566500979196
XM_027377619.1	-4.59447561065257
XM_027380186.1	10.5194542033
XM_027365477.1	-9.73684086717878
XM_027351319.1	-8.51900733923173
XM_027375771.1	-10.8651671247385
XR_003476507.1	-9.18034017091923
XM_027362060.1	-9.45076118653026
XR_003476964.1	11.366132832155
XM_027376737.1	-9.38230376967885
XM_027375142.1	-8.37771434034498
XM_027374535.1	-9.8144673395634
XM_027358623.1	9.84873457338422
XM_027380253.1	-9.95799658181326
XM_027354961.1	8.93030050450652
XM_027381844.1	-9.02769412945207
XM_027367677.1	-5.4264013232986
XM_027359031.1	-6.81221497924616
XM_027358234.1	-11.0234605611843
XM_027351555.1	-9.55495012040399
XM_027378388.1	-9.10650743644508
XM_027355671.1	-10.785887182112
XM_027369930.1	9.73231769854545
XM_027364078.1	-6.38705201429623
XM_027383792.1	-10.4093825931971
XM_027366882.1	-8.63663725809957
XM_027373801.1	9.70521479654737
XM_027372362.1	-7.00293636500077
XM_027364935.1	-11.3785832389887
XM_027382966.1	9.36170931637815
XM_027363524.1	9.88170469412473
XM_027369415.1	-8.87917214650312
XM_027358359.1	-9.94467871097353
XM_027376410.1	-6.99067171434944
