ID	padj
XM_027352012.1	7.1142629130196e-178
XM_027366326.1	1.99543982944397e-173
XM_027357077.1	6.47336059377191e-171
XM_027360238.1	6.15777335448523e-170
XM_027363970.1	1.69638665401958e-119
XM_027379583.1	1.64996378057776e-112
XM_027380873.1	3.81169895494092e-112
XM_027364294.1	1.50472045146625e-107
XM_027365171.1	1.97712681933119e-98
XM_027351217.1	2.66177053494713e-96
XM_027366040.1	9.25661040433694e-95
XM_027382967.1	7.48100052787551e-91
XM_027362138.1	1.13087209736368e-89
XM_027358803.1	3.07172459644103e-88
XM_027375725.1	5.05138762343898e-88
XM_027369548.1	1.69717290597333e-87
XM_027366620.1	2.18412772198346e-86
XM_027371565.1	2.3118819522363e-86
XM_027351250.1	5.93367634066595e-85
XM_027374599.1	5.93367634066595e-85
XM_027357868.1	4.25984308789437e-78
XM_027367556.1	4.25984308789437e-78
XM_027351106.1	2.57719683600105e-77
XM_027378341.1	3.05141422792983e-76
XM_027371564.1	4.12326369363074e-76
XM_027364536.1	1.74940489815612e-75
XM_027370320.1	2.48576103997946e-75
XM_027376188.1	1.28761086240144e-74
XM_027381869.1	3.09967760747801e-74
XM_027382688.1	3.96650882053989e-74
XM_027357867.1	7.67833941800631e-73
XM_027377449.1	8.14214557664232e-73
XM_027366023.1	8.73700601453065e-73
XM_027367145.1	1.1162921722477e-72
XM_027370319.1	1.1162921722477e-72
XM_027373083.1	1.70806830205815e-72
XM_027368547.1	8.7392106482979e-71
XM_027374772.1	1.21452495513723e-70
XM_027380251.1	1.57837043160421e-70
XM_027359032.1	1.68389196312177e-70
XM_027351115.1	8.83540235078792e-70
XM_027352868.1	1.785614231787e-69
XM_027355618.1	2.08152158049109e-69
XM_027373014.1	1.54841691114634e-68
XM_027360881.1	4.03041020307592e-68
XM_027367600.1	1.89287728079592e-67
XR_003476759.1	2.67353732172128e-67
XM_027365607.1	5.61055561326195e-67
XR_003477669.1	1.08907296349845e-66
XM_027365793.1	8.14706182399176e-66
XM_027369070.1	2.45179456034568e-65
XM_027352295.1	2.82157158699759e-65
XM_027360239.1	3.44635636737752e-65
XM_027371251.1	9.83027254407429e-65
XM_027364291.1	1.22255957729254e-64
XM_027355338.1	2.0795398528204e-64
XM_027362059.1	2.22469457276676e-64
XM_027371898.1	2.62496887594415e-64
XM_027369246.1	3.64754636295004e-64
XR_003477847.1	5.18907644613283e-64
XM_027377056.1	5.25721071932272e-64
XM_027374288.1	1.1003357289891e-63
XM_027368786.1	1.02079649148748e-62
XM_027372562.1	1.05470458897538e-62
XM_027359900.1	2.02669349026706e-62
XM_027353933.1	4.67360449746397e-62
XM_027360743.1	1.45739157156503e-61
XM_027364295.1	3.32976375676108e-61
XM_027354471.1	3.5717788452652e-61
XM_027378230.1	1.51145966691482e-60
XM_027365464.1	3.3599659495829e-60
XM_027363028.1	4.67351135042307e-60
XM_027370325.1	7.8437641523586e-60
XM_027353240.1	9.28122635670303e-60
XM_027360855.1	1.41158735163552e-59
XM_027360739.1	1.79967872182314e-59
XM_027365739.1	2.69132961136153e-59
XM_027375237.1	2.73290277090305e-59
XM_027383790.1	4.21681887231139e-59
XM_027352991.1	4.69690531841383e-59
XM_027358198.1	7.64910837301741e-59
XM_027353827.1	1.51199606333497e-58
XM_027368084.1	2.42943832475856e-58
XM_027381966.1	3.91017433014489e-58
XM_027365703.1	4.2863126468765e-58
XM_027378386.1	4.99790291556335e-58
XM_027371250.1	5.76474916012081e-58
XM_027377198.1	6.49290332848491e-58
XM_027364296.1	8.95502161140296e-58
XM_027350887.1	1.05503503582379e-57
XM_027363799.1	1.68866214857158e-57
XM_027381339.1	1.76243729409415e-57
XM_027371252.1	2.23136773110741e-57
XM_027372089.1	2.31890692011737e-57
XM_027380421.1	3.78572557512946e-57
XM_027365162.1	4.95659880383176e-57
XM_027363531.1	7.13886299620715e-57
XM_027378590.1	7.76140898056724e-57
XM_027358358.1	1.1200507034888e-56
XM_027352856.1	1.29886545173812e-56
XM_027362592.1	1.30559390396245e-56
XM_027372020.1	1.30559390396245e-56
XM_027358622.1	1.55975365185228e-56
XM_027366537.1	3.57715706403929e-56
XM_027375881.1	4.43917646271359e-56
XM_027364297.1	4.45022108160626e-56
XM_027382895.1	4.65224832180806e-56
XM_027383312.1	1.28510252889587e-55
XM_027375535.1	1.60170406617784e-55
XM_027359256.1	2.27485550824699e-55
XM_027359377.1	2.82948276410564e-55
XM_027354784.1	2.8448059043343e-55
XM_027372109.1	3.09463102093108e-55
XM_027364872.1	3.2178999792252e-55
XM_027354863.1	3.8364335182134e-55
XM_027351614.1	5.34470126532264e-55
XM_027375340.1	5.45602049111381e-55
XR_003477222.1	7.0611153540559e-55
XM_027379160.1	8.28925481298619e-55
XM_027379752.1	8.78565418309191e-55
XM_027363303.1	1.28683829584122e-54
XM_027372107.1	1.58473548897011e-54
XM_027374289.1	1.92677983768347e-54
XM_027372407.1	2.71763627640863e-54
XM_027367923.1	2.76382379372547e-54
XM_027369722.1	2.76382379372547e-54
XM_027354240.1	3.04922150087477e-54
XM_027353713.1	3.14326808699899e-54
XM_027361614.1	3.14326808699899e-54
XM_027354213.1	3.1556993056628e-54
XM_027374995.1	4.04965160254673e-54
XM_027364290.1	4.86992951481339e-54
XM_027370947.1	1.1580332153631e-53
XM_027361474.1	1.84450602702715e-53
XM_027365098.1	2.71629762883501e-53
XM_027369417.1	2.82578505184609e-53
XM_027353771.1	3.27780125103339e-53
XM_027351265.1	4.13306880861603e-53
XM_027356973.1	4.18879252678952e-53
XM_027360936.1	5.80553390223498e-53
XM_027378347.1	5.9574252933318e-53
XM_027369596.1	1.06568681309241e-52
XM_027360613.1	1.26366274842801e-52
XM_027377619.1	1.73704935731135e-52
XM_027380186.1	2.56504483818745e-52
XM_027365477.1	9.75588001802741e-52
XM_027351319.1	1.81961752910841e-51
XM_027375771.1	2.02372155550945e-51
XR_003476507.1	2.79857862476202e-51
XM_027362060.1	3.04136613065188e-51
XR_003476964.1	4.44398625051277e-51
XM_027376737.1	5.35034077236284e-51
XM_027375142.1	5.35542432305243e-51
XM_027374535.1	5.55570325948449e-51
XM_027358623.1	8.61000980102154e-51
XM_027380253.1	1.18068728571042e-50
XM_027354961.1	1.21201782969139e-50
XM_027381844.1	1.33304098607699e-50
XM_027367677.1	1.54528946309915e-50
XM_027359031.1	2.44360358818253e-50
XM_027358234.1	2.4590609293027e-50
XM_027351555.1	1.66640229072011e-49
XM_027378388.1	1.86250999191478e-49
XM_027355671.1	1.93060652272475e-49
XM_027369930.1	1.93060652272475e-49
XM_027364078.1	3.06560337393166e-49
XM_027383792.1	3.24227177290965e-49
XM_027366882.1	7.12780161014132e-49
XM_027373801.1	8.68037827523592e-49
XM_027372362.1	8.81325996581441e-49
XM_027364935.1	9.50843783126214e-49
XM_027382966.1	1.01493271871059e-48
XM_027363524.1	1.03315156306672e-48
XM_027369415.1	1.0901810010533e-48
XM_027358359.1	1.1508169129993e-48
XM_027376410.1	1.17023118150259e-48
XM_027374373.1	1.41242130105342e-48
XM_027350888.1	1.5300169055132e-48
XM_027382103.1	2.01463611781063e-48
XM_027371550.1	2.56108701949343e-48
XM_027374285.1	2.63275693895709e-48
XM_027368839.1	2.65716754103585e-48
XM_027353719.1	2.71473035907197e-48
XM_027377087.1	2.98055990841414e-48
XM_027363882.1	3.36069581646352e-48
XM_027380874.1	4.43818902598686e-48
XM_027373758.1	4.57991704083207e-48
XM_027354257.1	7.89353392868477e-48
XM_027361823.1	9.05058135695824e-48
XM_027354260.1	1.01813634737682e-47
XR_003477869.1	1.04795887741606e-47
XM_027373601.1	1.1809782981249e-47
XM_027364871.1	1.19011234540906e-47
XM_027354244.1	1.4711562006957e-47
XM_027382147.1	1.55953411914833e-47
XM_027382602.1	2.06386412630317e-47
XM_027369416.1	2.31775094347301e-47
XM_027372788.1	2.33402226440901e-47
XM_027358710.1	2.65825273947501e-47
XM_027356112.1	4.20067469327696e-47
XM_027363321.1	4.41247241388857e-47
XM_027363991.1	4.6749829483114e-47
XM_027356246.1	4.73342398723264e-47
XM_027367201.1	4.82170597686624e-47
XM_027382177.1	5.07962028527313e-47
XM_027379274.1	5.11504246668959e-47
XR_003476128.1	6.35257301715817e-47
XM_027366408.1	7.2627317209644e-47
XM_027374645.1	1.07904763454886e-46
XM_027357575.1	1.09558064072334e-46
XM_027362539.1	1.0960241967876e-46
XM_027369418.1	1.35769613593448e-46
XM_027357173.1	1.71448048778776e-46
XM_027381868.1	1.84068072453546e-46
XM_027362687.1	2.46140137568535e-46
XR_003476211.1	2.84478827251477e-46
XM_027363969.1	2.90574692019642e-46
XM_027358460.1	3.27468899207827e-46
XM_027375920.1	4.2655077324205e-46
XM_027354162.1	5.23536509273877e-46
XM_027366412.1	7.86774808824376e-46
XM_027377871.1	7.94924833284782e-46
XM_027362906.1	8.18912599909915e-46
XM_027365314.1	8.65959098417935e-46
XM_027364298.1	1.08462794979254e-45
XM_027362143.1	1.24573566120521e-45
XM_027378519.1	1.36695204245361e-45
XM_027362057.1	1.57508837741717e-45
XM_027364292.1	1.66428646665485e-45
XM_027374701.1	1.66428646665485e-45
XM_027367631.1	2.40235913956459e-45
XM_027376736.1	2.40571387634984e-45
XM_027360302.1	2.63768366326769e-45
XM_027352297.1	2.69990377968105e-45
