ID	padj
XM_027367438.1	3.58198601912799e-271
XM_027367228.1	5.24737261436563e-246
XM_027365833.1	1.02930934888084e-181
XM_027373064.1	2.02683540090051e-168
XM_027380251.1	1.43249237497987e-161
XM_027352012.1	5.45222373507586e-160
XM_027368290.1	2.17856697682139e-159
XM_027376677.1	6.85082692393148e-151
XM_027361823.1	1.60512237669319e-150
XM_027373063.1	4.34906601187093e-147
XM_027374190.1	7.32251030379639e-147
XM_027382188.1	4.13563860618571e-146
XM_027377145.1	5.98939327202808e-146
XM_027383312.1	3.23106190298289e-140
XM_027361824.1	3.78160503253684e-140
XM_027367016.1	1.89273126918885e-139
XM_027381768.1	9.24563066125519e-139
XR_003476238.1	9.74481376249556e-139
XM_027383256.1	5.97159969875481e-134
XM_027372007.1	1.13932949846775e-127
XM_027352932.1	1.94438160228683e-125
XM_027381206.1	1.94438160228683e-125
XM_027370723.1	3.78098970608638e-122
XM_027355653.1	1.74109377191583e-121
XM_027382263.1	2.71898897550513e-121
XM_027382261.1	4.56887027466146e-121
XM_027373065.1	1.78442614582912e-120
XM_027373062.1	1.13791707146378e-119
XM_027354285.1	2.21204626953099e-119
XM_027375354.1	2.29585021868785e-118
XM_027360912.1	1.03715641238592e-116
XM_027363774.1	1.29515949233789e-116
XM_027352729.1	2.82939452837453e-116
XM_027378229.1	7.26012518143146e-115
XM_027380334.1	1.41817720834623e-113
XM_027352731.1	1.70614199408329e-113
XM_027360286.1	2.0938419489852e-112
XM_027360440.1	1.80451344421584e-111
XM_027355618.1	2.14329404271944e-111
XM_027364294.1	2.54666092012447e-111
XM_027373933.1	2.596190975238e-111
XM_027382676.1	3.24592498918591e-111
XM_027351285.1	5.0073062713375e-111
XM_027352730.1	3.67929453051949e-110
XM_027361005.1	2.01257395591856e-109
XM_027377051.1	9.85530558647839e-109
XM_027350615.1	1.0142406208108e-107
XM_027354718.1	1.89427334516878e-107
XM_027382382.1	1.69884826042601e-106
XM_027359031.1	2.34292491232363e-106
XM_027351859.1	9.50694402224276e-106
XM_027354269.1	1.19185792868235e-105
XM_027368790.1	1.73367336505103e-104
XM_027375725.1	2.72686793405567e-104
XM_027361003.1	3.67945252622538e-104
XM_027354797.1	4.93436233531837e-104
XM_027359027.1	3.14511786531394e-103
XM_027359731.1	6.00663275673517e-103
XM_027354796.1	2.67939028471855e-102
XM_027376661.1	6.40448912718954e-102
XM_027351217.1	8.37530282815761e-102
XM_027376409.1	2.06742731817099e-100
XM_027355828.1	3.58667734654903e-100
XM_027371148.1	3.60814066011029e-100
XM_027375348.1	7.71101437068434e-100
XM_027357833.1	1.34374763017274e-99
XM_027382983.1	1.34374763017274e-99
XM_027360216.1	6.36232994849912e-99
XM_027352651.1	1.08097186533495e-98
XM_027350614.1	1.74558858389903e-98
XM_027377192.1	2.20736258954375e-98
XM_027360739.1	1.50797347436781e-97
XM_027377227.1	2.00596682186505e-97
XM_027359234.1	4.84103002013004e-97
XM_027382264.1	5.15920490822923e-97
XM_027371733.1	8.15304681985796e-97
XM_027354783.1	1.07537805255137e-96
XM_027357115.1	5.49832533059328e-96
XM_027379539.1	1.56874012578109e-95
XM_027372482.1	4.8656714565358e-95
XM_027355583.1	6.10692212143278e-95
XM_027359506.1	8.75535051588966e-95
XM_027365653.1	1.05302758602419e-94
XM_027353014.1	1.23847582066047e-94
XM_027377179.1	2.02830806547967e-94
XM_027357490.1	3.91998376191787e-94
XM_027358029.1	5.77925002000315e-94
XM_027354799.1	7.96831267226424e-94
XM_027380421.1	1.05408224302825e-93
XM_027369750.1	1.3973072477619e-93
XM_027361006.1	9.50458072521219e-92
XM_027355661.1	3.12360791914382e-91
XM_027380441.1	3.12360791914382e-91
XM_027363322.1	5.47589517522038e-91
XM_027351980.1	4.65504819472395e-90
XM_027380369.1	4.87049774078831e-90
XM_027369236.1	5.94206138663386e-90
XM_027371819.1	6.47443331305799e-90
XM_027366270.1	6.47634844373881e-90
XM_027374286.1	9.68578742442425e-90
XM_027354798.1	1.32263793269808e-89
XM_027359507.1	1.36488933255705e-89
XM_027354278.1	2.33597284100102e-89
XM_027379114.1	2.84916346023636e-89
XM_027354802.1	2.86834380832986e-89
XM_027383260.1	1.3645455182384e-88
XM_027375361.1	1.54993297149426e-88
XR_003476135.1	5.36552714274584e-88
XM_027360938.1	6.7913882543512e-88
XM_027358626.1	1.71726946031335e-87
XM_027361737.1	4.94262302723589e-87
XM_027365167.1	8.57540250006821e-87
XM_027369751.1	1.8888417253146e-86
XM_027353577.1	2.63957263251464e-86
XM_027375761.1	3.67063846146118e-86
XM_027362407.1	4.86025590974612e-86
XM_027372999.1	1.42460407927758e-85
XM_027378562.1	1.49305182091868e-85
XM_027383261.1	5.45130330703737e-85
XM_027355004.1	1.10654510795214e-84
XM_027358513.1	3.58002849826023e-84
XM_027364268.1	5.13959355147701e-84
XM_027358238.1	1.25496908635713e-83
XM_027353471.1	1.62638241136436e-83
XM_027377252.1	3.60747575752486e-83
XM_027362506.1	4.32176051362824e-83
XM_027370854.1	5.1792418852922e-83
XM_027351358.1	1.38299567501395e-82
XM_027366234.1	1.42959552365238e-82
XM_027350706.1	1.58549302514468e-82
XM_027356411.1	2.24676689362749e-82
XM_027353889.1	5.16237009233948e-82
XM_027354274.1	7.94605376241351e-82
XM_027366040.1	2.0410784966626e-81
XM_027358582.1	5.75215038756335e-81
XM_027366882.1	5.79156912444877e-81
XM_027359274.1	1.19082814477333e-80
XM_027371655.1	1.19102915498166e-80
XM_027354743.1	1.26658561511023e-80
XM_027380802.1	1.38552032224869e-80
XR_003475559.1	1.74859290250625e-80
XM_027369958.1	2.03041207848421e-80
XM_027373061.1	5.50709394806782e-80
XM_027372549.1	5.76150690417063e-80
XM_027367963.1	6.94884555061333e-80
XM_027354996.1	1.01709380430718e-79
XM_027363492.1	1.12092398135454e-79
XM_027367556.1	1.67213541568463e-79
XM_027356898.1	1.9314618413971e-79
XM_027352559.1	2.22705049246635e-79
XM_027362713.1	2.3398877264774e-79
XM_027371582.1	2.85467647594696e-79
XM_027372078.1	3.71004468647816e-79
XM_027373694.1	1.0034050041814e-78
XM_027355645.1	1.47088725267782e-78
XM_027355671.1	2.02745197126542e-78
XM_027367145.1	2.09885578332537e-78
XR_003475024.1	2.15428922181117e-78
XM_027374285.1	2.58628067321754e-78
XR_003475869.1	2.85544059597633e-78
XM_027369863.1	3.11175837832396e-78
XM_027378299.1	3.32855506278125e-78
XM_027366469.1	3.96272889208144e-78
XM_027377236.1	4.1258342869317e-78
XM_027356709.1	6.1756115209485e-78
XM_027379807.1	1.9120835900847e-77
XM_027361738.1	2.16358068445449e-77
XM_027372362.1	4.1173626776108e-77
XM_027377282.1	5.27738631562149e-77
XM_027367729.1	5.75810104266114e-77
XM_027382944.1	7.3332294188078e-77
XM_027376160.1	7.68326786752147e-77
XM_027350707.1	2.07441890780106e-76
XM_027364462.1	2.07441890780106e-76
XM_027371957.1	3.60429744087125e-76
XM_027350967.1	3.64724095173661e-76
XM_027376436.1	4.66466451737307e-76
XM_027367616.1	8.12621931042247e-76
XM_027362429.1	9.03881694957887e-76
XM_027364911.1	1.24870980514441e-75
XM_027376410.1	1.50057780261957e-75
XM_027350653.1	1.8473496620409e-75
XM_027380485.1	1.85177236902585e-75
XM_027362906.1	2.07200582779259e-75
XM_027377734.1	2.34631963859518e-75
XM_027357832.1	2.83840793850325e-75
XM_027361966.1	2.95363545734092e-75
XM_027374548.1	3.3540534383456e-75
XM_027370862.1	7.28724707072188e-75
XM_027372909.1	7.40619327152027e-75
XM_027358581.1	1.21832942728521e-74
XM_027377402.1	1.21832942728521e-74
XM_027351115.1	1.22939923802732e-74
XM_027358583.1	1.31735906203846e-74
XM_027381201.1	1.44985501743234e-74
XM_027376654.1	1.55187039858213e-74
XM_027358611.1	2.43150648438752e-74
XM_027377185.1	2.71267582147244e-74
XM_027369596.1	2.73166979213965e-74
XM_027378172.1	2.99751118463065e-74
XM_027353045.1	3.43959169852119e-74
XM_027364460.1	4.79486616895277e-74
XM_027373427.1	5.07902363825201e-74
XM_027369005.1	5.7957948645038e-74
XM_027357578.1	8.22983336549154e-74
XM_027358618.1	8.31006664265692e-74
XM_027374061.1	1.08281992758229e-73
XM_027352493.1	1.16999037648286e-73
XM_027364535.1	1.38382449204065e-73
XM_027375190.1	1.44822164611127e-73
XM_027364406.1	1.576974091357e-73
XM_027382265.1	1.62018689895778e-73
XM_027358237.1	5.12328439475125e-73
XM_027358589.1	5.50542686365464e-73
XM_027354804.1	8.69985560879016e-73
XM_027354801.1	2.25460539063181e-72
XM_027365498.1	2.62010009695197e-72
XM_027368408.1	2.84778684341524e-72
XM_027365381.1	3.07864223157106e-72
XM_027354612.1	4.18109349760419e-72
XM_027351137.1	4.20923185498302e-72
XM_027379671.1	1.3979224887547e-71
XM_027380803.1	1.56793086385922e-71
XM_027352829.1	2.14062289009889e-71
XM_027366472.1	2.39537240551389e-71
XM_027366233.1	3.16160713326349e-71
XM_027359754.1	3.7101754714209e-71
XM_027357577.1	6.33150187772351e-71
XM_027359213.1	7.08580220180474e-71
XM_027357308.1	7.81932505473225e-71
XM_027377444.1	8.19231595023147e-71
XM_027359032.1	8.49496484042969e-71
XM_027379504.1	9.5418548413868e-71
XM_027350715.1	9.77912505529094e-71
XM_027378174.1	1.05888338585197e-70
XM_027357579.1	1.08565695521343e-70
XM_027380495.1	1.49988793615944e-70
XM_027364111.1	1.55952275855827e-70
XM_027360499.1	2.18216866397595e-70
XM_027373913.1	2.23818097244842e-70
XM_027371933.1	2.2918311175255e-70
XM_027365030.1	2.83119905255216e-70
XM_027353476.1	3.97167897647965e-70
XM_027383173.1	5.81997306329997e-70
XM_027353672.1	7.46139991496915e-70
XM_027380815.1	7.46139991496915e-70
XM_027351668.1	7.49969310749287e-70
XM_027367621.1	9.80252652164172e-70
XM_027364912.1	9.84395094079642e-70
XM_027382197.1	1.4189115646679e-69
XR_003477463.1	1.46095219241867e-69
XM_027362347.1	1.82668490986079e-69
XM_027358604.1	1.91461433041364e-69
XM_027377442.1	1.97999488526179e-69
XM_027356789.1	2.38025380222801e-69
XM_027357795.1	2.52898185573763e-69
XM_027373642.1	2.96221731073671e-69
XM_027350616.1	3.40916903912253e-69
XM_027376430.1	4.84976652978708e-69
XM_027379373.1	5.34582163450231e-69
XM_027374911.1	7.37769304940973e-69
XM_027374284.1	7.43350536966658e-69
XM_027368484.1	8.02941797709748e-69
XM_027369289.1	8.75414139086246e-69
XM_027364296.1	9.98708986681501e-69
XM_027369667.1	1.51456157100813e-68
XM_027376403.1	2.11398776900532e-68
XM_027358971.1	2.15076566328031e-68
XM_027368483.1	2.3767799815533e-68
XM_027379397.1	2.49731726462027e-68
XM_027354803.1	2.55985896422241e-68
XM_027366568.1	2.90660563630448e-68
XM_027358972.1	3.51058589316003e-68
XM_027366397.1	3.60826223660429e-68
XM_027362541.1	3.7194377603928e-68
XM_027350702.1	4.43423165562686e-68
XM_027378519.1	4.96268271784326e-68
XM_027368522.1	7.19428382853699e-68
XM_027371690.1	1.0941592439329e-67
XM_027369155.1	1.48095867457055e-67
XM_027368785.1	2.05763179447384e-67
XM_027369068.1	3.52898645362658e-67
XR_003477060.1	4.10640365596547e-67
