ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027370790.1	46566.0706399699	-11.6105774596882	0.324984183363068	-35.7265924130129	1.5281680140878e-279	2.07785004875518e-275	33027	41903	25935	52625	40716	40960	5	123	148	84	53	194	116046.126118511	121289.157944086	98597.8588788543	76095.5574910715	77364.670851484	69222.6376582258	25.9349078839946	22.1482538003051	23.7094569300586	23.9464970117267	23.8695185264095	57.2301032536469	Up_muscle_Down_gills
XM_027382986.1	88736.7292366735	-5.19425718255063	0.157011055737929	-33.0821110535074	5.37463551117711e-240	3.65394595227376e-236	52768	65828	45515	115513	67703	113529	938	22868	27614	15651	11726	17513	185409.573470845	190540.598266073	173035.725732449	167031.375438786	128642.801617497	191864.668718279	4865.38871903739	4117.77453581608	4423.73610585567	4461.74553250636	5281.01838189959	5166.34432103669	Up_muscle_Down_gills
XM_027355909.1	18260.0463250499	-12.9802169537804	0.396964617133489	-32.6986748781578	1.63098375229703e-234	7.3921620266609e-231	8581	17076	12877	19216	14257	21117	0	11	17	20	12	28	30150.8404706133	49426.8587226024	48954.8729046851	27786.2657054333	27089.795469339	35687.8525251161	0	1.98073814474273	2.72338356629052	5.70154690755397	5.40441928899839	8.26001490258821	Up_muscle_Down_gills
XM_027373336.1	243192.011373468	-11.5609895346917	0.35677797942201	-32.4038763642891	2.4204419550734e-230	8.22768731578326e-227	178090	225683	166759	195929	162062	244456	19	882	715	447	542	725	625750.283115199	653244.422411166	633972.637315553	283312.617266853	307934.799281197	413132.058383283	98.5526499591795	158.819185787554	114.542308817513	127.429573383831	244.099604553094	213.875385870588	Up_muscle_Down_gills
XM_027383691.1	52032.3624510164	-9.73488472538763	0.306580155698937	-31.7531469158341	2.8730192369927e-221	7.81288851307794e-218	25414	49726	31967	69544	33925	61474	10	792	517	483	305	555	89296.5225172085	143933.004031396	121529.892222107	100560.369599222	64461.0585184349	103891.416684614	51.8698157679892	142.613146421477	82.822900221894	137.692357817428	137.362323595376	163.725295390588	Up_muscle_Down_gills
XM_027363212.1	6790.80464968179	-6.83809056583462	0.215699551092633	-31.7019230276376	1.46169597539073e-220	3.3124466962313e-217	5174	5307	3550	8595	5483	6458	16	622	935	366	220	487	18179.7516134429	15361.2285805136	13496.1403130878	12428.3385583992	10418.2751321025	10914.0574706255	82.9917052287828	112.001738729998	149.786096145979	104.338308408238	99.0810202983038	143.665259198588	Up_muscle_Down_gills
XM_027363211.1	3747.84065200773	-5.7891839723938	0.185436178343538	-31.2192799922181	5.83361969543741e-214	1.13313895712661e-210	2231	2214	1473	6165	3644	5027	23	657	1045	407	264	517	7839.00770189235	6408.47184421654	5599.94779751503	8914.56744764761	6923.98223260654	8495.65916767337	119.300576266375	118.304087372361	167.407989810211	116.026479568723	118.897224357965	152.515275165647	Up_muscle_Down_gills
XM_027363208.1	3294.45786968285	-5.74647518345776	0.186458993769806	-30.8189756218039	1.45950614769311e-208	2.4806131362729e-205	2031	2166	1410	5084	3070	4077	10	628	925	428	292	426	7136.27281153893	6269.53478526333	5360.43882857855	7351.4454020828	5833.32202362845	6890.15365558073	51.8698157679892	113.082141354403	148.184105812867	122.013103821655	131.507536032294	125.670226732235	Up_muscle_Down_gills
XM_027363227.1	1794.62404862505	-4.85116684441627	0.15793213708347	-30.7167808528566	3.39785291485251e-207	5.13340067591662e-204	1076	1332	913	2348	1511	2042	20	683	949	335	250	421	3780.71371010138	3855.50338595141	3470.97918474625	3395.19941071802	2871.05849436566	3450.99184809807	103.739631535978	122.985832078117	152.028882612336	95.500910701529	112.5920685208	124.195224071058	Up_muscle_Down_gills
XM_027354432.1	23406.6530499654	-9.2501823750501	0.301931984695838	-30.6366428332149	3.98101335684742e-206	5.41298386130544e-203	13381	21729	12736	36446	15100	24080	15	265	310	265	200	410	47016.4778390953	62895.0698748786	48418.8290218272	52700.7826759067	28691.5838947197	40695.3397170429	77.8047236519838	47.7177825778931	49.6617003264742	75.5454965250901	90.0736548166398	120.95021821647	Up_muscle_Down_gills
XM_027356802.1	58810.1678797889	-10.8568420939441	0.355870354519446	-30.5078575837112	2.04996888017856e-204	2.53394789670798e-201	43915	44668	36319	63031	32574	77299	11	214	237	220	159	377	154303.013549351	129292.511444202	138075.019727053	91142.5954246029	61894.0168070596	130635.758504473	57.0567973447882	38.5343602704495	37.9671708947561	62.7170159830937	71.6085555792286	111.215200652706	Up_muscle_Down_gills
XM_027361441.1	4284.62444621676	-11.4328033278597	0.375984840469152	-30.4076178007441	4.35620206454951e-203	4.9359399559733e-200	2005	3002	2111	6291	3495	7042	0	8	12	8	15	16	7044.91727579299	8689.3552286983	8025.45132420518	9096.76298672362	6640.86660344672	11901.020859112	0	1.44053683254017	1.92238839973448	2.28061876302159	6.75552411124798	4.72000851576469	Up_muscle_Down_gills
XM_027365861.1	22666.9353635088	-6.26288416103336	0.206504014400007	-30.3281472722457	4.87918626378946e-202	5.10325350990349e-199	12403	20024	14760	24191	15821	27109	109	3666	3662	2229	1105	1859	43580.1042252671	57959.9097599783	56113.5298651201	34980.097506252	30061.5595230703	45814.3672919151	565.380991871083	660.126003511533	586.64885998564	635.43740284689	497.656942861935	548.40598942541	Up_muscle_Down_gills
XM_027375601.1	2700.69463888239	-10.9158440243418	0.361032560847812	-30.235067991397	8.19931610363707e-201	7.96329293293952e-198	1255	1668	869	4999	2900	4209	0	19	14	7	12	6	4409.66143696768	4828.06279862384	3303.70307945727	7228.53571302359	5510.30419170114	7113.2344214715	0	3.4212749772829	2.2427864663569	1.99554141764389	5.40441928899839	1.77000319341176	Up_muscle_Down_gills
XM_027355456.1	46746.0945319904	-11.8110752081858	0.402460062713415	-29.3471981506803	2.59455950910224e-189	2.35188170968421e-186	23486	34199	23174	51360	53402	68304	11	65	196	39	40	138	82522.1581742016	98989.7599820964	88101.2832719711	74266.372118602	101469.401532836	115434.156313659	57.0567973447882	11.7043617643889	31.3990105289966	11.1180164697302	18.014730963328	40.7100734484704	Up_muscle_Down_gills
XM_027363873.1	4968.75776400573	-10.1801587350252	0.349629601320816	-29.116981790349	2.18851671789384e-186	1.85982886332516e-183	3621	4726	3287	4582	3465	4421	0	28	64	26	28	34	12723.0151898486	13679.5112627676	12496.2854110196	6625.55523846251	6583.86345663602	7471.51565153849	0	5.04187891389059	10.2527381319173	7.41201097982016	12.6103116743296	10.030018096	Up_muscle_Down_gills
XM_027363219.1	1795.96256455853	-4.84905846029361	0.166948330820792	-29.0452647022793	1.76599224074409e-185	1.41248214690573e-182	1000	1426	929	2356	1479	2042	19	600	973	399	228	446	3513.67445176708	4127.58845973477	3531.80685939679	3406.767381453	2810.25513776758	3450.99184809807	98.5526499591795	108.040262440513	155.873659411804	113.745860805702	102.683966490969	131.570237376941	Up_muscle_Down_gills
XM_027363213.1	3228.05903074555	-5.68311501939974	0.199921254844807	-28.4267674480704	9.44264862706701e-178	7.13287185456834e-175	2089	2061	1312	5106	2963	3974	12	749	971	406	239	467	7340.06592974143	5965.6099688032	4987.86932134401	7383.25732160401	5630.01080000361	6716.08305795384	62.2437789215871	134.870260946573	155.553261345182	115.741402223346	107.638017505885	137.765248553882	Up_muscle_Down_gills
XM_027363232.1	1789.27297464836	-4.72356524667127	0.166404885393348	-28.385976983222	3.01256831221737e-177	2.15588901795893e-174	1036	1305	1014	2513	1350	1909	22	685	981	471	233	474	3640.16673203069	3777.35129029024	3854.95388097776	3633.78880712708	2565.14160648157	3226.22107640511	114.113594689576	123.345966286252	157.155251678294	134.271429672896	104.935807861385	139.830252279529	Up_muscle_Down_gills
XM_027363209.1	3158.26392761925	-5.71238345174361	0.201399064885374	-28.3635053370025	5.70424208854222e-177	3.87802898389543e-174	1957	2199	1393	4838	2734	3839	11	610	957	375	247	492	6876.26090210817	6365.05401329366	5295.80942426235	6995.73030198202	5194.88677934859	6487.93227465647	57.0567973447882	109.840933481188	153.310474878825	106.904004516637	111.24096369855	145.140261859764	Up_muscle_Down_gills
XM_027356797.1	46043.6676963562	-10.0262951480866	0.357524051191851	-28.043694164526	4.768382825586e-173	3.08741434664251e-170	38270	31943	23528	55025	23615	65796	6	336	527	382	219	450	134468.321269126	92459.7182112958	89447.0955736142	79565.9487115669	44870.9770644905	111195.621761734	31.1218894607935	60.5025469666871	84.4248905550061	108.899545934281	98.6306520242206	132.750239505882	Up_muscle_Down_gills
XM_027367001.1	2111.09910663343	-12.0297332909772	0.437193719983082	-27.5157961817079	1.13625483098177e-166	7.02257133493597e-164	968	1748	1272	2260	1550	3443	0	5	11	2	2	2	3401.23686931053	5059.62456354585	4835.80013471767	3267.95173263319	2945.16258521958	5818.68997698417	0	0.900335520337606	1.76218936642328	0.570154690755397	0.900736548166398	0.590001064470586	Up_muscle_Down_gills
XM_027373383.1	2576.36011044097	-12.9138898528165	0.477219827949103	-27.0606732924638	2.86035753145888e-161	1.69096875457593e-158	1526	2194	1325	2530	2462	3448	0	0	8	4	0	2	5361.86721339656	6350.58140298604	5037.29180699757	3658.37074493892	4678.0582482649	5827.14000599518	0	0	1.28159226648966	1.14030938151079	0	0.590001064470586	Up_muscle_Down_gills
XM_027373337.1	212521.367953157	-11.4598554645326	0.426758661994695	-26.8532463078043	7.72955335067547e-159	4.3791140378806e-156	154664	200395	148772	163343	143273	208199	9	829	652	452	598	663	543438.945408103	580047.748519319	565590.925819353	236193.380470576	272233.728433654	351857.518012816	46.6828341911903	149.275629271975	104.449769718907	128.85496011072	269.320227901753	195.585352871999	Up_muscle_Down_gills
XM_027363230.1	1689.603189964	-4.85340086959574	0.181457483615209	-26.7467660903293	1.34650660884728e-157	7.32338014419857e-155	1017	1316	858	2328	1276	1880	16	612	898	331	230	433	3573.40691744712	3809.19103296701	3261.88405313503	3366.27948388056	2424.5338443485	3177.21090814122	82.9917052287828	110.201067689323	143.858731913464	94.3606013200182	103.584703039136	127.735230457882	Up_muscle_Down_gills
XM_027360238.1	4210.14991624298	-9.92544003878199	0.371734385703994	-26.7003549321516	4.66233697357761e-157	2.43822291652826e-154	3322	4170	3107	2835	2850	3197	1	39	49	28	21	41	11672.4265287702	12070.1569965596	11811.9740712011	4099.39962921022	5415.29894701664	5402.94854964228	5.18698157679892	7.02261705863333	7.84975263224915	7.98216567057556	9.45773375574718	12.095021821647	Up_muscle_Down_gills
XM_027363220.1	1960.89830618454	-5.02923082154238	0.189748041007115	-26.5047838957863	8.53665879471182e-155	4.29899813450728e-152	1234	1536	1048	2501	1480	2163	15	631	952	399	216	426	4335.87427348057	4445.98588650253	3984.21268961015	3616.4368510246	2812.15524266127	3655.48255016461	77.8047236519838	113.622342666606	152.509479712269	113.745860805702	97.279547201971	125.670226732235	Up_muscle_Down_gills
XM_027375602.1	2697.50822101972	-11.4894539777158	0.433829890711495	-26.4837767606854	1.4905484995576e-154	7.23820998160168e-152	1331	1638	866	4992	2762	4251	0	12	16	1	2	11	4676.70069530198	4741.22713677809	3292.2978904603	7218.41373863047	5248.08971637191	7184.21466516401	0	2.16080524881025	2.56318453297931	0.285077345377699	0.900736548166398	3.24500585458822	Up_muscle_Down_gills
XM_027373341.1	27631.383877882	-8.53467264007196	0.326767960839166	-26.1184499794725	2.25050672470672e-150	1.0551772391668e-147	17062	26468	19976	21216	25723	22864	11	915	885	508	443	569	59950.3134960499	76612.2099244459	75943.3518011951	30678.2583891795	48876.3981803891	38640.2926615643	57.0567973447882	164.761400221782	141.776144480418	144.819291451871	199.513145418857	167.855302841882	Up_muscle_Down_gills
