ID	log2FoldChange
XM_027370790.1	-11.6105774596882
XM_027382986.1	-5.19425718255063
XM_027355909.1	-12.9802169537804
XM_027373336.1	-11.5609895346917
XM_027383691.1	-9.73488472538763
XM_027363212.1	-6.83809056583462
XM_027363211.1	-5.7891839723938
XM_027363208.1	-5.74647518345776
XM_027363227.1	-4.85116684441627
XM_027354432.1	-9.2501823750501
XM_027356802.1	-10.8568420939441
XM_027361441.1	-11.4328033278597
XM_027365861.1	-6.26288416103336
XM_027375601.1	-10.9158440243418
XM_027355456.1	-11.8110752081858
XM_027363873.1	-10.1801587350252
XM_027363219.1	-4.84905846029361
XM_027363213.1	-5.68311501939974
XM_027363232.1	-4.72356524667127
XM_027363209.1	-5.71238345174361
XM_027356797.1	-10.0262951480866
XM_027367001.1	-12.0297332909772
XM_027373383.1	-12.9138898528165
XM_027373337.1	-11.4598554645326
XM_027363230.1	-4.85340086959574
XM_027360238.1	-9.92544003878199
XM_027363220.1	-5.02923082154238
XM_027375602.1	-11.4894539777158
XM_027373341.1	-8.53467264007196
XM_027365860.1	-5.80823585848916
XM_027373331.1	-9.83628282078513
XM_027373334.1	-9.73695024695081
XM_027383692.1	-9.74369908063115
XM_027369977.1	-12.7217628731308
XM_027363228.1	-4.68081028152287
XM_027373312.1	-9.72010253479571
XM_027363217.1	-4.8537849059018
XM_027373332.1	-9.77744956006858
XM_027359306.1	-7.19270739094685
XM_027366311.1	-8.61201136691998
XM_027373338.1	-9.86073001634399
XM_027359305.1	-7.11113610704233
XM_027356799.1	-11.3365944482213
XM_027356275.1	9.49064563877544
XM_027356798.1	-10.0548721841861
XM_027356611.1	-10.7980437968306
XM_027373339.1	-9.71732136095551
XM_027356800.1	-9.95331024792651
XM_027375603.1	-11.3800316483681
XM_027367149.1	-12.4987662626462
XM_027373333.1	-9.83535790486922
XM_027356629.1	-8.86211919126691
XM_027373344.1	-8.87737600134073
XM_027360043.1	-6.71731436703947
XM_027373340.1	-9.64917651881595
XM_027359304.1	-7.01383462562845
XM_027363210.1	-5.73964364157605
XM_027363225.1	-4.79817068484032
XM_027354226.1	-14.2537339419709
XM_027373335.1	-9.80739377708375
XM_027356801.1	-10.4740988612731
XM_027350813.1	-6.96057676827464
XM_027369732.1	-7.97601588231846
XM_027357480.1	-10.9294090632406
XM_027365225.1	-14.644272370525
XM_027373316.1	-8.9060863708085
XM_027353243.1	8.25242013882925
XM_027365370.1	-8.14028991873107
XM_027356399.1	-12.4353474444766
XM_027363218.1	-4.82422139544104
XM_027381865.1	-6.55221420844825
XM_027363215.1	-6.53226171379501
XM_027373317.1	-9.13897513849985
XM_027373988.1	-11.9379255616597
XM_027373343.1	-9.00857606004909
XM_027373315.1	-9.30650246580341
XM_027373330.1	-9.75793411730035
XM_027371688.1	-13.3490489975871
XM_027374156.1	-4.10096693168018
XM_027361148.1	-13.0383066509283
XM_027372676.1	-9.83781214681329
XM_027363216.1	-4.90661739313157
XM_027371440.1	-6.46528991913071
XM_027373991.1	-10.7582076160853
XM_027365636.1	-14.5322671692533
XM_027365734.1	-15.0856145491676
XM_027383519.1	-11.9314944004398
XM_027357062.1	-7.3455005370539
XM_027359212.1	-14.3621487713757
XM_027363221.1	-5.04650692225672
XM_027361149.1	-13.3851622718351
XM_027360239.1	-9.93119871425726
XM_027360996.1	-10.2708175196804
XM_027373323.1	-8.87651866708671
XM_027365696.1	-8.83446585846895
XM_027365668.1	-15.0270774013249
XM_027360999.1	-10.1846676659997
XM_027370370.1	-10.5603514623065
XM_027369777.1	9.14897260984212
XM_027360998.1	-10.9045943891606
XM_027383586.1	-11.3212477401932
XM_027360995.1	-10.898937267869
XM_027375615.1	-12.3063992951399
XM_027375035.1	-15.8931526492181
XM_027360317.1	-13.6649948867574
XM_027375613.1	-10.8603855259382
XM_027356628.1	-12.4462298781611
XM_027360578.1	-11.193913178868
XM_027381854.1	-6.81469554479081
XM_027373555.1	-4.8744401569613
XM_027356931.1	-10.9795589629869
XM_027351037.1	-14.3804380566827
XM_027365705.1	-14.3013128676688
XM_027380274.1	-10.0517068273621
XM_027381851.1	-7.96730236272667
XM_027362623.1	-13.1485168249077
XM_027365559.1	-7.77076520267857
XM_027373313.1	-8.70416897601896
XM_027365858.1	-14.3083785621973
XM_027370783.1	-12.0666901464094
XR_003474915.1	-8.47594356342815
XM_027366313.1	-8.08355545295666
XM_027371557.1	-8.14695649859897
XM_027375614.1	-11.1265641421296
XM_027353508.1	-4.55844913023769
